Date,GLW,Price
2009-09-25,13,14.84
2009-10-02,16,14.56
2009-10-09,14,15.68
2009-10-16,15,15.37
2009-10-23,14,15.65
2009-10-30,20,14.61
2009-11-06,11,15.30
2009-11-13,10,16.65
2009-11-20,13,16.41
2009-11-27,14,16.58
2009-12-04,15,18.33
2009-12-11,15,18.47
2009-12-18,18,18.47
2009-12-25,19,
2010-01-01,16,
2010-01-08,19,19.89
2010-01-15,17,19.66
2010-01-22,15,18.56
2010-01-29,17,18.08
2010-02-05,23,18.05
2010-02-12,12,17.89
2010-02-19,13,18.29
2010-02-26,13,17.63
2010-03-05,14,18.10
2010-03-12,14,18.04
2010-03-19,17,19.39
2010-03-26,16,19.79
2010-04-02,15,
2010-04-09,18,19.67
2010-04-16,13,19.90
2010-04-23,15,20.84
2010-04-30,19,19.25
2010-05-07,16,17.54
2010-05-14,11,17.96
2010-05-21,11,16.98
2010-05-28,12,17.43
2010-06-04,14,16.23
2010-06-11,13,18.14
2010-06-18,12,18.23
2010-06-25,11,17.33
2010-07-02,11,16.33
2010-07-09,11,17.51
2010-07-16,13,16.96
2010-07-23,14,18.01
2010-07-30,14,18.12
2010-08-06,47,18.80
2010-08-13,22,16.87
2010-08-20,22,16.10
2010-08-27,13,15.98
2010-09-03,18,16.81
2010-09-10,17,16.08
2010-09-17,17,17.00
2010-09-24,17,17.75
2010-10-01,19,18.23
2010-10-08,17,18.37
2010-10-15,16,18.78
2010-10-22,18,18.60
2010-10-29,19,18.28
2010-11-05,18,18.88
2010-11-12,14,18.37
2010-11-19,13,17.83
2010-11-26,10,18.11
2010-12-03,10,18.74
2010-12-10,11,18.83
2010-12-17,15,18.99
2010-12-24,18,
2010-12-31,14,19.32
2011-01-07,14,19.46
2011-01-14,18,19.81
2011-01-21,13,19.33
2011-01-28,19,21.80
2011-02-04,17,23.37
2011-02-11,20,22.36
2011-02-18,18,23.23
2011-02-25,15,22.60
2011-03-04,14,22.92
2011-03-11,16,21.31
2011-03-18,14,20.75
2011-03-25,16,21.46
2011-04-01,20,20.61
2011-04-08,14,19.58
2011-04-15,10,19.77
2011-04-22,14,
2011-04-29,20,20.94
2011-05-06,12,20.30
2011-05-13,13,20.73
2011-05-20,13,19.95
2011-05-27,11,19.87
2011-06-03,9,19.03
2011-06-10,11,18.37
2011-06-17,10,17.80
2011-06-24,13,17.55
2011-07-01,10,18.54
2011-07-08,10,17.86
2011-07-15,13,16.74
2011-07-22,12,17.14
2011-07-29,15,15.91
2011-08-05,17,14.32
2011-08-12,18,14.40
2011-08-19,16,14.32
2011-08-26,11,14.37
2011-09-02,10,14.12
2011-09-09,14,13.58
2011-09-16,14,13.94
2011-09-23,17,12.35
2011-09-30,15,12.36
2011-10-07,17,13.40
2011-10-14,17,13.71
2011-10-21,15,13.74
2011-10-28,26,15.31
2011-11-04,23,14.54
2011-11-11,18,15.19
2011-11-18,18,15.00
2011-11-25,17,13.95
2011-12-02,26,13.22
2011-12-09,16,13.79
2011-12-16,15,13.08
2011-12-23,13,13.38
2011-12-30,11,12.98
2012-01-06,14,13.52
2012-01-13,20,14.00
2012-01-20,16,14.42
2012-01-27,26,12.62
2012-02-03,21,13.58
2012-02-10,23,13.60
2012-02-17,17,13.84
2012-02-24,18,13.75
2012-03-02,16,12.99
2012-03-09,21,13.29
2012-03-16,18,14.33
2012-03-23,20,14.02
2012-03-30,19,14.08
2012-04-06,18,
2012-04-13,16,13.58
2012-04-20,15,13.18
2012-04-27,23,14.45
2012-05-04,14,13.67
2012-05-11,11,13.31
2012-05-18,12,12.75
2012-05-25,15,12.91
2012-06-01,13,12.61
2012-06-08,18,13.13
2012-06-15,14,13.01
2012-06-22,18,12.86
2012-06-29,15,12.93
2012-07-06,11,12.79
2012-07-13,12,12.32
2012-07-20,15,12.27
2012-07-27,20,11.53
2012-08-03,14,11.34
2012-08-10,10,11.57
2012-08-17,13,11.99
2012-08-24,15,11.52
2012-08-31,13,11.99
2012-09-07,11,12.55
2012-09-14,15,13.12
2012-09-21,18,13.22
2012-09-28,15,13.15
2012-10-05,15,13.30
2012-10-12,13,12.98
2012-10-19,13,13.52
2012-10-26,19,11.82
2012-11-02,13,11.70
2012-11-09,14,11.34
2012-11-16,14,10.90
2012-11-23,12,11.29
2012-11-30,15,12.23
2012-12-07,14,12.54
2012-12-14,12,12.62
2012-12-21,13,12.60
2012-12-28,13,12.47
2013-01-04,18,12.73
2013-01-11,18,12.45
2013-01-18,16,12.10
2013-01-25,16,12.24
2013-02-01,19,11.91
2013-02-08,15,12.28
2013-02-15,17,12.79
2013-02-22,17,12.61
2013-03-01,13,12.52
2013-03-08,14,12.71
2013-03-15,12,12.92
2013-03-22,15,13.05
2013-03-29,14,
2013-04-05,13,13.31
2013-04-12,13,13.30
2013-04-19,10,12.84
2013-04-26,18,14.23
2013-05-03,15,14.87
2013-05-10,15,15.10
2013-05-17,18,16.14
2013-05-24,16,15.66
2013-05-31,14,15.37
2013-06-07,17,15.38
2013-06-14,14,14.92
2013-06-21,14,14.26
2013-06-28,13,14.23
2013-07-05,11,14.52
2013-07-12,14,15.03
2013-07-19,18,15.11
2013-07-26,16,15.25
2013-08-02,19,15.40
2013-08-09,15,15.09
2013-08-16,12,15.03
2013-08-23,12,14.77
2013-08-30,12,14.04
2013-09-06,13,14.40
2013-09-13,13,14.64
2013-09-20,11,14.67
2013-09-27,12,14.73
2013-10-04,11,14.63
2013-10-11,14,14.45
2013-10-18,14,15.00
2013-10-25,37,17.35
2013-11-01,20,17.13
2013-11-08,17,16.58
2013-11-15,14,17.01
2013-11-22,13,17.26
2013-11-29,12,17.08
2013-12-06,13,17.11
2013-12-13,12,16.88
2013-12-20,13,17.43
2013-12-27,12,17.77
2014-01-03,14,17.89
2014-01-10,15,18.29
2014-01-17,17,18.77
2014-01-24,15,18.21
2014-01-31,18,17.21
2014-02-07,17,18.36
2014-02-14,17,19.11
2014-02-21,17,19.07
2014-02-28,18,19.27
2014-03-07,14,19.64
2014-03-14,12,18.87
2014-03-21,14,19.52
2014-03-28,15,20.61
2014-04-04,18,21.35
2014-04-11,15,20.38
2014-04-18,14,
2014-04-25,13,20.74
2014-05-02,21,
