Date,GAS,Price
2010-01-15,27,36.41
2010-01-22,26,35.58
2010-01-29,27,35.29
2010-02-05,27,35.00
2010-02-12,26,35.30
2010-02-19,26,36.52
2010-02-26,26,36.33
2010-03-05,26,37.25
2010-03-12,26,37.58
2010-03-19,26,38.07
2010-03-26,26,38.00
2010-04-02,25,
2010-04-09,26,38.25
2010-04-16,26,38.16
2010-04-23,26,39.27
2010-04-30,27,39.51
2010-05-07,26,37.53
2010-05-14,26,38.26
2010-05-21,26,35.71
2010-05-28,26,36.50
2010-06-04,26,35.72
2010-06-11,27,36.52
2010-06-18,25,37.92
2010-06-25,25,36.47
2010-07-02,26,35.80
2010-07-09,25,37.58
2010-07-16,26,37.49
2010-07-23,24,38.87
2010-07-30,26,38.00
2010-08-06,25,38.98
2010-08-13,24,37.22
2010-08-20,25,36.50
2010-08-27,25,37.08
2010-09-03,24,38.12
2010-09-10,26,38.04
2010-09-17,26,37.70
2010-09-24,25,38.25
2010-10-01,26,38.82
2010-10-08,26,38.88
2010-10-15,25,38.90
2010-10-22,26,38.85
2010-10-29,26,39.26
2010-11-05,27,39.18
2010-11-12,28,38.51
2010-11-19,28,37.52
2010-11-26,26,37.28
2010-12-03,28,37.45
2010-12-10,28,35.93
2010-12-17,25,35.61
2010-12-24,24,
2010-12-31,26,35.85
2011-01-07,28,35.95
2011-01-14,27,36.71
2011-01-21,27,36.50
2011-01-28,28,36.09
2011-02-04,29,37.40
2011-02-11,29,37.81
2011-02-18,28,38.80
2011-02-25,31,38.29
2011-03-04,33,38.71
2011-03-11,32,39.00
2011-03-18,29,38.89
2011-03-25,30,38.86
2011-04-01,30,40.13
2011-04-08,30,39.47
2011-04-15,32,39.60
2011-04-22,31,
2011-04-29,34,41.51
2011-05-06,34,41.42
2011-05-13,33,41.04
2011-05-20,32,40.67
2011-05-27,31,40.59
2011-06-03,31,40.07
2011-06-10,30,39.00
2011-06-17,29,39.44
2011-06-24,29,39.66
2011-07-01,30,41.50
2011-07-08,29,42.23
2011-07-15,29,41.37
2011-07-22,29,42.14
2011-07-29,29,40.80
2011-08-05,29,38.21
2011-08-12,29,38.23
2011-08-19,28,37.32
2011-08-26,27,40.51
2011-09-02,28,40.39
2011-09-09,27,39.87
2011-09-16,29,40.82
2011-09-23,29,39.70
2011-09-30,29,40.74
2011-10-07,29,40.44
2011-10-14,28,41.18
2011-10-21,30,41.66
2011-10-28,29,43.00
2011-11-04,30,41.36
2011-11-11,29,41.81
2011-11-18,29,41.01
2011-11-25,27,38.84
2011-12-02,29,40.42
2011-12-09,28,39.48
2011-12-16,28,41.01
2011-12-23,25,41.94
2011-12-30,25,42.26
2012-01-06,28,41.18
2012-01-13,29,41.23
2012-01-20,29,42.05
2012-01-27,28,41.91
2012-02-03,30,41.55
2012-02-10,31,41.56
2012-02-17,31,41.40
2012-02-24,33,40.37
2012-03-02,34,39.47
2012-03-09,32,39.38
2012-03-16,31,39.06
2012-03-23,32,38.76
2012-03-30,32,39.22
2012-04-06,30,
2012-04-13,30,37.84
2012-04-20,30,38.31
2012-04-27,30,39.25
2012-05-04,30,38.50
2012-05-11,30,38.57
2012-05-18,30,36.85
2012-05-25,31,37.27
2012-06-01,29,36.94
2012-06-08,29,38.15
2012-06-15,28,38.71
2012-06-22,29,38.23
2012-06-29,30,38.75
2012-07-06,29,38.94
2012-07-13,28,39.42
2012-07-20,28,39.90
2012-07-27,28,40.58
2012-08-03,29,40.76
2012-08-10,28,40.52
2012-08-17,29,39.84
2012-08-24,29,39.43
2012-08-31,30,39.65
2012-09-07,29,40.87
2012-09-14,31,41.21
2012-09-21,31,41.28
2012-09-28,30,40.91
2012-10-05,34,41.30
2012-10-12,33,40.13
2012-10-19,32,40.74
2012-10-26,32,40.28
2012-11-02,43,39.57
2012-11-09,41,38.36
2012-11-16,32,37.79
2012-11-23,29,37.55
2012-11-30,31,38.98
2012-12-07,30,39.58
2012-12-14,29,39.65
2012-12-21,27,40.36
2012-12-28,25,39.68
2013-01-04,28,41.13
2013-01-11,30,40.34
2013-01-18,29,41.16
2013-01-25,31,41.29
2013-02-01,31,42.28
2013-02-08,30,40.35
2013-02-15,30,39.74
2013-02-22,31,39.79
2013-03-01,30,40.18
2013-03-08,30,40.77
2013-03-15,30,41.15
2013-03-22,30,41.47
2013-03-29,28,
2013-04-05,30,41.71
2013-04-12,29,43.50
2013-04-19,29,43.45
2013-04-26,30,43.24
2013-05-03,30,43.89
2013-05-10,30,43.59
2013-05-17,32,44.18
2013-05-24,31,42.78
2013-05-31,32,42.33
2013-06-07,31,42.53
2013-06-14,31,42.98
2013-06-21,30,42.19
2013-06-28,30,42.86
2013-07-05,29,42.65
2013-07-12,30,44.72
2013-07-19,31,45.76
2013-07-26,30,46.14
2013-08-02,31,45.99
2013-08-09,30,45.91
2013-08-16,30,44.50
2013-08-23,31,45.33
2013-08-30,32,43.95
2013-09-06,32,43.85
2013-09-13,32,44.03
2013-09-20,32,45.79
2013-09-27,31,45.82
2013-10-04,31,45.12
2013-10-11,33,45.32
2013-10-18,33,46.44
2013-10-25,33,48.00
2013-11-01,32,47.92
2013-11-08,32,47.58
2013-11-15,33,47.48
2013-11-22,33,47.29
2013-11-29,32,46.54
2013-12-06,33,45.84
2013-12-13,32,45.59
2013-12-20,30,47.08
2013-12-27,28,47.23
2014-01-03,30,45.69
2014-01-10,32,47.05
2014-01-17,31,46.87
2014-01-24,32,47.14
2014-01-31,33,47.78
2014-02-07,30,46.01
2014-02-14,32,46.35
2014-02-21,32,46.79
2014-02-28,32,47.04
2014-03-07,31,47.04
2014-03-14,32,48.95
2014-03-21,30,47.74
2014-03-28,31,48.33
2014-04-04,31,49.13
2014-04-11,31,49.93
2014-04-18,31,
2014-04-25,32,52.47
2014-05-02,31,
