Date,LOW,Price
2006-05-12,69,63.27
2006-05-19,67,62.64
2006-05-26,67,61.85
2006-06-02,66,63.46
2006-06-09,66,62.23
2006-06-16,67,62.24
2006-06-23,65,60.86
2006-06-30,67,60.67
2006-07-07,66,28.96
2006-07-14,71,27.88
2006-07-21,72,28.11
2006-07-28,74,28.70
2006-08-04,75,28.78
2006-08-11,72,28.10
2006-08-18,72,29.52
2006-08-25,71,26.75
2006-09-01,71,27.33
2006-09-08,70,27.24
2006-09-15,73,29.35
2006-09-22,71,28.33
2006-09-29,70,28.06
2006-10-06,71,29.21
2006-10-13,70,30.95
2006-10-20,70,30.25
2006-10-27,70,30.34
2006-11-03,70,29.05
2006-11-10,67,29.17
2006-11-17,65,30.48
2006-11-24,61,30.00
2006-12-01,64,30.89
2006-12-08,60,30.81
2006-12-15,59,31.41
2006-12-22,56,30.43
2006-12-29,57,31.15
2007-01-05,68,31.79
2007-01-12,70,33.06
2007-01-19,68,33.71
2007-01-26,68,32.58
2007-02-02,68,34.15
2007-02-09,65,33.42
2007-02-16,65,33.27
2007-02-23,68,34.93
2007-03-02,64,31.94
2007-03-09,68,32.34
2007-03-16,68,30.93
2007-03-23,65,32.37
2007-03-30,69,31.49
2007-04-06,66,
2007-04-13,65,31.14
2007-04-20,65,32.02
2007-04-27,68,30.85
2007-05-04,64,30.45
2007-05-11,65,30.87
2007-05-18,66,32.67
2007-05-25,64,32.13
2007-06-01,63,32.66
2007-06-08,66,32.05
2007-06-15,64,31.55
2007-06-22,64,31.04
2007-06-29,65,30.69
2007-07-06,66,31.11
2007-07-13,68,30.76
2007-07-20,69,29.63
2007-07-27,66,27.77
2007-08-03,67,27.45
2007-08-10,66,27.76
2007-08-17,64,26.87
2007-08-24,64,30.20
2007-08-31,64,31.06
2007-09-07,63,29.43
2007-09-14,66,30.80
2007-09-21,65,30.62
2007-09-28,65,28.02
2007-10-05,63,29.29
2007-10-12,69,28.93
2007-10-19,67,26.13
2007-10-26,65,27.15
2007-11-02,67,26.00
2007-11-09,65,23.92
2007-11-16,65,25.01
2007-11-23,71,22.27
2007-11-30,74,24.41
2007-12-07,72,25.08
2007-12-14,63,22.72
2007-12-21,61,23.35
2007-12-28,60,22.66
2008-01-04,71,21.08
2008-01-11,76,20.31
2008-01-18,76,22.19
2008-01-25,74,24.71
2008-02-01,78,25.55
2008-02-08,78,23.61
2008-02-15,75,23.33
2008-02-22,77,23.59
2008-02-29,77,23.97
2008-03-07,77,22.40
2008-03-14,77,21.12
2008-03-21,78,
2008-03-28,77,22.67
2008-04-04,79,24.26
2008-04-11,79,23.99
2008-04-18,77,24.85
2008-04-25,76,26.02
2008-05-02,76,26.13
2008-05-09,74,24.20
2008-05-16,72,24.89
2008-05-23,73,23.30
2008-05-30,72,24.00
2008-06-06,73,23.52
2008-06-13,70,24.14
2008-06-20,71,22.83
2008-06-27,73,20.87
2008-07-04,70,
2008-07-11,72,18.90
2008-07-18,73,19.93
2008-07-25,72,19.98
2008-08-01,72,20.30
2008-08-08,70,22.78
2008-08-15,73,24.50
2008-08-22,70,24.86
2008-08-29,68,24.64
2008-09-05,66,25.75
2008-09-12,68,25.42
2008-09-19,65,25.53
2008-09-26,65,24.46
2008-10-03,65,21.52
2008-10-10,64,17.90
2008-10-17,65,19.31
2008-10-24,63,17.20
2008-10-31,62,21.70
2008-11-07,63,19.66
2008-11-14,64,18.23
2008-11-21,64,17.15
2008-11-28,58,20.66
2008-12-05,63,22.34
2008-12-12,61,21.99
2008-12-19,59,22.54
2008-12-26,57,21.13
2009-01-02,64,22.64
2009-01-09,71,21.19
2009-01-16,69,21.04
2009-01-23,68,20.05
2009-01-30,70,18.27
2009-02-06,68,19.24
2009-02-13,67,17.80
2009-02-20,66,15.86
2009-02-27,68,15.84
2009-03-06,68,13.39
2009-03-13,69,15.89
2009-03-20,68,17.03
2009-03-27,68,18.81
2009-04-03,71,19.12
2009-04-10,70,
2009-04-17,69,20.73
2009-04-24,69,21.09
2009-05-01,69,20.85
2009-05-08,70,19.80
2009-05-15,69,18.45
2009-05-22,70,19.37
2009-05-29,68,19.01
2009-06-05,69,20.04
2009-06-12,70,19.85
2009-06-19,71,18.78
2009-06-26,68,19.22
2009-07-03,68,
2009-07-10,75,18.85
2009-07-17,73,20.42
2009-07-24,73,22.00
2009-07-31,74,22.46
2009-08-07,74,23.85
2009-08-14,70,22.83
2009-08-21,70,21.16
2009-08-28,71,21.70
2009-09-04,71,21.62
2009-09-11,67,21.43
2009-09-18,69,21.97
2009-09-25,70,21.05
2009-10-02,71,20.03
2009-10-09,70,20.94
2009-10-16,67,21.36
2009-10-23,68,20.71
2009-10-30,69,19.57
2009-11-06,67,20.94
2009-11-13,69,21.85
2009-11-20,68,21.35
2009-11-27,65,21.96
2009-12-04,66,22.88
2009-12-11,63,23.88
2009-12-18,61,23.62
2009-12-25,56,
2010-01-01,65,
2010-01-08,70,23.59
2010-01-15,72,23.13
2010-01-22,71,22.31
2010-01-29,68,21.65
2010-02-05,69,21.59
2010-02-12,69,22.16
2010-02-19,71,23.13
2010-02-26,70,23.71
2010-03-05,72,24.05
2010-03-12,71,24.95
2010-03-19,71,24.78
2010-03-26,69,24.48
2010-04-02,70,
2010-04-09,71,25.63
2010-04-16,70,26.29
2010-04-23,70,28.22
2010-04-30,70,27.12
2010-05-07,69,25.31
2010-05-14,68,26.07
2010-05-21,66,24.20
2010-05-28,67,24.75
2010-06-04,66,23.52
2010-06-11,66,23.48
2010-06-18,66,22.62
2010-06-25,66,21.33
2010-07-02,69,20.27
2010-07-09,70,20.43
2010-07-16,70,20.04
2010-07-23,73,21.11
2010-07-30,73,20.74
2010-08-06,73,20.28
2010-08-13,72,19.59
2010-08-20,69,20.64
2010-08-27,68,21.10
2010-09-03,69,21.96
2010-09-10,67,21.52
2010-09-17,66,21.02
2010-09-24,66,22.48
2010-10-01,65,22.35
2010-10-08,65,22.70
2010-10-15,62,21.56
2010-10-22,64,22.00
2010-10-29,63,21.34
2010-11-05,63,22.29
2010-11-12,64,21.69
2010-11-19,63,22.09
2010-11-26,58,22.24
2010-12-03,59,24.86
2010-12-10,60,25.22
2010-12-17,58,25.17
2010-12-24,53,
2010-12-31,60,25.08
2011-01-07,71,23.99
2011-01-14,69,25.00
2011-01-21,71,25.01
2011-01-28,69,25.25
2011-02-04,70,24.71
2011-02-11,71,25.09
2011-02-18,69,26.30
2011-02-25,69,25.27
2011-03-04,70,26.24
2011-03-11,67,26.94
2011-03-18,65,26.20
2011-03-25,68,27.19
2011-04-01,68,26.74
2011-04-08,71,26.82
2011-04-15,67,27.05
2011-04-22,67,
2011-04-29,67,26.25
2011-05-06,68,25.64
2011-05-13,69,25.76
2011-05-20,67,24.46
2011-05-27,67,24.25
2011-06-03,67,23.40
2011-06-10,69,22.26
2011-06-17,68,22.83
2011-06-24,68,23.25
2011-07-01,68,23.82
2011-07-08,66,23.61
2011-07-15,70,22.86
2011-07-22,70,22.62
2011-07-29,69,21.58
2011-08-05,69,20.15
2011-08-12,67,19.51
2011-08-19,66,19.31
2011-08-26,66,20.24
2011-09-02,62,18.94
2011-09-09,62,18.96
2011-09-16,64,20.38
2011-09-23,64,19.74
2011-09-30,65,19.34
2011-10-07,63,20.34
2011-10-14,61,20.93
2011-10-21,62,22.13
2011-10-28,61,21.37
2011-11-04,61,21.54
2011-11-11,62,23.11
2011-11-18,62,23.31
2011-11-25,57,22.68
2011-12-02,63,24.31
2011-12-09,60,24.97
2011-12-16,59,25.02
2011-12-23,54,25.27
2011-12-30,58,25.38
2012-01-06,65,26.34
2012-01-13,68,26.32
2012-01-20,70,26.53
2012-01-27,69,26.91
2012-02-03,68,27.20
2012-02-10,66,27.09
2012-02-17,63,27.68
2012-02-24,67,27.16
2012-03-02,67,28.13
2012-03-09,68,29.77
2012-03-16,65,30.41
2012-03-23,67,30.74
2012-03-30,66,31.38
2012-04-06,66,
2012-04-13,66,31.69
2012-04-20,67,31.65
2012-04-27,67,31.61
2012-05-04,71,31.09
2012-05-11,67,29.62
2012-05-18,65,28.48
2012-05-25,66,27.24
2012-06-01,67,26.36
2012-06-08,65,27.92
2012-06-15,67,28.05
2012-06-22,69,27.31
2012-06-29,69,28.44
2012-07-06,68,27.85
2012-07-13,69,26.72
2012-07-20,71,25.79
2012-07-27,71,27.07
2012-08-03,72,25.49
2012-08-10,71,26.77
2012-08-17,69,27.87
2012-08-24,70,27.73
2012-08-31,69,28.48
2012-09-07,67,28.32
2012-09-14,67,29.40
2012-09-21,69,30.19
2012-09-28,66,30.24
2012-10-05,66,31.77
2012-10-12,65,31.18
2012-10-19,63,32.64
2012-10-26,63,31.36
2012-11-02,61,33.15
2012-11-09,62,31.47
2012-11-16,61,31.98
2012-11-23,58,35.15
2012-11-30,61,36.09
2012-12-07,61,35.11
2012-12-14,58,34.46
2012-12-21,54,35.04
2012-12-28,54,34.98
2013-01-04,66,35.58
2013-01-11,72,35.83
2013-01-18,68,36.99
2013-01-25,67,38.58
2013-02-01,68,38.56
2013-02-08,69,39.03
2013-02-15,67,39.14
2013-02-22,67,37.67
2013-03-01,66,38.38
2013-03-08,69,39.31
2013-03-15,70,38.81
2013-03-22,69,37.83
2013-03-29,69,
2013-04-05,68,38.39
2013-04-12,70,38.92
2013-04-19,69,38.12
2013-04-26,72,37.70
2013-05-03,71,39.59
2013-05-10,71,42.07
2013-05-17,68,42.67
2013-05-24,68,42.64
2013-05-31,67,42.11
2013-06-07,70,41.60
2013-06-14,69,41.16
2013-06-21,68,39.55
2013-06-28,68,40.90
2013-07-05,67,42.78
2013-07-12,71,43.83
2013-07-19,72,44.27
2013-07-26,72,43.97
2013-08-02,73,44.99
2013-08-09,70,45.68
2013-08-16,75,43.96
2013-08-23,70,46.98
2013-08-30,69,45.82
2013-09-06,68,45.60
2013-09-13,68,46.86
2013-09-20,66,47.84
2013-09-27,68,47.77
2013-10-04,68,48.14
2013-10-11,67,48.80
2013-10-18,67,47.66
2013-10-25,66,50.59
2013-11-01,65,49.18
2013-11-08,65,48.72
2013-11-15,67,51.77
2013-11-22,65,47.90
2013-11-29,61,47.48
2013-12-06,63,47.98
2013-12-13,62,47.11
2013-12-20,59,47.97
2013-12-27,54,48.83
2014-01-03,65,48.95
2014-01-10,75,49.68
2014-01-17,72,47.61
2014-01-24,73,47.83
2014-01-31,72,46.29
2014-02-07,70,46.07
2014-02-14,68,47.28
2014-02-21,71,47.06
2014-02-28,73,50.03
2014-03-07,73,50.42
2014-03-14,72,49.09
2014-03-21,70,49.25
2014-03-28,71,48.92
2014-04-04,70,48.44
2014-04-11,70,46.31
2014-04-18,72,
2014-04-25,73,46.38
2014-05-02,74,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
