"Date","JNPR","Price"
2008-10-03,50,18.56
2008-10-10,43,16.46
2008-10-17,30,17.99
2008-10-24,48,16.5
2008-10-31,26,18.74
2008-11-07,18,17.36
2008-11-14,20,15.03
2008-11-21,25,14.91
2008-11-28,22,17.38
2008-12-05,27,16.3
2008-12-12,22,17.46
2008-12-19,17,16.86
2008-12-26,14,16.93
2009-01-02,13,18.39
2009-01-09,19,17.64
2009-01-16,16,16.39
2009-01-23,20,17.68
2009-01-30,36,14.16
2009-02-06,30,16.35
2009-02-13,21,15.41
2009-02-20,14,14.68
2009-02-27,19,14.21
2009-03-06,16,12.67
2009-03-13,19,14.74
2009-03-20,18,15.09
2009-03-27,23,15.82
2009-04-03,23,17.03
2009-04-17,28,18.49
2009-04-24,28,22.33
2009-05-01,42,22.16
2009-05-08,23,21.85
2009-05-15,31,21.56
2009-05-22,19,23.19
2009-05-29,22,24.73
2009-06-05,33,24.1
2009-06-12,23,23.87
2009-06-19,18,22.42
2009-06-26,22,22.63
2009-07-10,14,23.2
2009-07-17,27,25.19
2009-07-24,34,26.86
2009-07-31,33,26.13
2009-08-07,31,25.4
2009-08-14,26,24.62
2009-08-21,16,24.61
2009-08-28,15,23.58
2009-09-04,12,23.77
2009-09-11,20,26.42
2009-09-18,22,27.62
2009-09-25,21,26.32
2009-10-02,19,25.85
2009-10-09,22,27.53
2009-10-16,27,26.5
2009-10-23,17,27.31
2009-10-30,34,25.51
2009-11-06,20,25.33
2009-11-13,24,26.15
2009-11-20,16,25.2
2009-11-27,8,25.67
2009-12-04,16,27.33
2009-12-11,14,26.78
2009-12-18,10,26.1
2010-01-08,9,26.25
2010-01-15,11,26.58
2010-01-22,13,24.95
2010-01-29,16,24.83
2010-02-05,20,25
2010-02-12,13,24.76
2010-02-19,17,27.44
2010-02-26,17,27.98
2010-03-05,14,29.1
2010-03-12,18,29.94
2010-03-19,19,29.89
2010-03-26,17,30.49
2010-04-09,23,31.65
2010-04-16,20,31.21
2010-04-23,26,30.07
2010-04-30,18,28.41
2010-05-07,15,26.73
2010-05-14,20,27.5
2010-05-21,11,26.39
2010-05-28,13,26.62
2010-06-04,8,24.67
2010-06-11,8,24.99
2010-06-18,8,25.5
2010-06-25,9,23.72
2010-07-02,8,24.08
2010-07-09,8,25.77
2010-07-16,10,25.9
2010-07-23,23,28.09
2010-07-30,15,27.78
2010-08-06,12,27.99
2010-08-13,15,25.63
2010-08-20,11,27.24
2010-08-27,11,27.24
2010-09-03,9,28.99
2010-09-10,10,28.28
2010-09-17,12,30.01
2010-09-24,15,29.78
2010-10-01,12,30.3
2010-10-08,18,31.47
2010-10-15,19,31.94
2010-10-22,23,31.94
2010-10-29,14,32.39
2010-11-05,17,34.39
2010-11-12,27,35.81
2010-11-19,15,34.73
2010-11-26,12,34.13
2010-12-03,10,34.32
2010-12-10,16,35.88
2010-12-17,11,36.49
2010-12-31,10,36.92
2011-01-07,12,37.59
2011-01-14,9,38.73
2011-01-21,13,34.87
2011-01-28,22,36.28
2011-02-04,16,40.06
2011-02-11,24,43.41
2011-02-18,34,44
2011-02-25,24,43.9
2011-03-04,21,44.11
2011-03-11,19,42.89
2011-03-18,14,40.26
2011-03-25,16,40.9
2011-04-01,12,41.26
2011-04-08,17,38.32
2011-04-15,12,38.38
2011-04-29,13,38.33
2011-05-06,15,37.14
2011-05-13,15,39.63
2011-05-20,16,38.86
2011-05-27,8,37.05
2011-06-03,18,32.33
2011-06-10,13,30.77
2011-06-17,15,29.33
2011-06-24,11,30.02
2011-07-01,14,31.97
2011-07-08,11,32.06
2011-07-15,11,30.63
2011-07-22,12,31.27
2011-07-29,62,23.39
2011-08-05,31,22.23
2011-08-12,19,22.18
2011-08-19,16,19.73
2011-08-26,16,20.9
2011-09-02,15,20.2
2011-09-09,16,21.46
2011-09-16,17,20.15
2011-09-23,21,18.95
2011-09-30,17,17.26
2011-10-07,16,19.05
2011-10-14,15,21.56
2011-10-21,22,21.12
2011-10-28,23,24.81
2011-11-04,14,23.98
2011-11-11,12,24.88
2011-11-18,11,22.56
2011-11-25,11,20.17
2011-12-02,11,22.6
2011-12-09,9,19.9
2011-12-16,11,18.35
2011-12-23,11,20.83
2011-12-30,10,20.41
2012-01-06,10,20.43
2012-01-13,21,21.05
2012-01-20,15,22.99
2012-01-27,24,21.69
2012-02-03,14,22.55
2012-02-10,13,22.72
2012-02-17,21,24.2
2012-02-24,15,23.72
2012-03-02,11,21.99
2012-03-09,11,21.42
2012-03-16,13,21.43
2012-03-23,7,21.11
2012-03-30,14,22.88
2012-04-13,8,21.2
2012-04-20,10,20.6
2012-04-27,25,21.26
2012-05-04,10,19.71
2012-05-11,10,17.95
2012-05-18,9,17.53
2012-05-25,12,17.15
2012-06-01,7,16.82
2012-06-08,12,16.89
2012-06-15,9,16.43
2012-06-22,10,16.04
2012-06-29,11,16.31
2012-07-06,8,15.58
2012-07-13,14,14.5
2012-07-20,10,15.65
2012-07-27,25,17.79
2012-08-03,15,18.08
2012-08-10,16,19.24
2012-08-17,15,18.45
2012-08-24,12,17.74
2012-08-31,11,17.44
2012-09-07,9,18.71
2012-09-14,9,19.33
2012-09-21,10,18.49
2012-09-28,8,17.11
2012-10-05,13,16.65
2012-10-12,6,16.35
2012-10-19,15,17.79
2012-10-26,14,16.58
2012-11-02,7,17.12
2012-11-09,11,17.65
2012-11-16,11,16.32
2012-11-23,9,16.7
2012-11-30,11,17.98
2012-12-07,13,19.29
2012-12-14,14,19.59
2012-12-21,11,20.17
2012-12-28,9,19.38
2013-01-04,8,20.38
2013-01-11,8,20.66
2013-01-18,7,21.49
2013-01-25,12,22.57
2013-02-01,15,22.32
2013-02-08,12,21.84
2013-02-15,13,21.86
2013-02-22,9,21.45
2013-03-01,9,20.49
2013-03-08,8,20.69
2013-03-15,8,20.17
2013-03-22,13,18.72
2013-04-05,13,17.55
2013-04-12,8,18.72
2013-04-19,8,17.1
2013-04-26,19,15.79
2013-05-03,11,16.48
2013-05-10,7,17.36
2013-05-17,10,17.61
2013-05-24,8,17.35
2013-05-31,8,17.73
2013-06-07,10,19.06
2013-06-14,9,19.05
2013-06-21,10,18.79
2013-06-28,6,19.31
2013-07-05,7,19.61
2013-07-12,11,20.35
2013-07-19,10,21.04
2013-07-26,17,21.52
2013-08-02,9,21.8
2013-08-09,12,20.92
2013-08-16,13,20.44
2013-08-23,11,19.74
2013-08-30,9,18.9
2013-09-06,9,20.83
2013-09-13,14,21.02
2013-09-20,11,20.99
2013-09-27,8,19.95
2013-10-04,9,20.85
2013-10-11,6,20.18
2013-10-18,9,20.82
2013-10-25,15,18.7
2013-11-01,11,18.48
2013-11-08,10,19.27
2013-11-15,18,19.84
2013-11-22,13,20.56
2013-11-29,9,20.27
2013-12-06,11,21.67
2013-12-13,13,20.67
2013-12-20,11,21.77
2013-12-27,8,22.22
2014-01-03,10,22.77
2014-01-10,14,23.54
2014-01-17,26,26
2014-01-24,28,27.72
2014-01-31,24,26.61
2014-02-07,27,27.25
2014-02-14,18,27.42
2014-02-21,27,27.95
2014-02-28,20,26.74
2014-03-07,15,26.26
2014-03-14,15,25.62
2014-03-21,15,25.96
2014-03-28,12,25.62
2014-04-04,15,25.9
2014-04-11,11,24.29
2014-04-25,22,24.48
