"Date","CRM","Price"
2007-11-30,71,56.73
2007-12-07,70,57.84
2007-12-14,69,59.55
2007-12-21,63,63.75
2007-12-28,43,64.4
2008-01-04,53,58.86
2008-01-11,70,54.47
2008-01-18,70,51.84
2008-01-25,72,52.94
2008-02-01,74,51.72
2008-02-08,69,50.87
2008-02-15,72,53.84
2008-02-22,73,52.34
2008-02-29,71,59.72
2008-03-07,73,56.66
2008-03-14,72,57.85
2008-03-28,68,56.85
2008-04-04,73,65.12
2008-04-11,75,61.09
2008-04-18,74,63.9
2008-04-25,72,68.09
2008-05-02,65,67.3
2008-05-09,70,66.7
2008-05-16,71,68.7
2008-05-23,68,67.02
2008-05-30,73,72.31
2008-06-06,70,71.02
2008-06-13,68,72.79
2008-06-20,70,73.1
2008-06-27,69,68.62
2008-07-11,67,63.28
2008-07-18,65,70.74
2008-07-25,69,63.75
2008-08-01,65,64.29
2008-08-08,65,69.59
2008-08-15,65,66.31
2008-08-22,65,55.97
2008-08-29,64,56.02
2008-09-05,62,54.45
2008-09-12,69,57.2
2008-09-19,67,55.81
2008-09-26,72,50.65
2008-10-03,67,41.57
2008-10-10,66,32.56
2008-10-17,70,31.59
2008-10-24,68,26.68
2008-10-31,70,30.96
2008-11-07,69,28.56
2008-11-14,71,26.4
2008-11-21,73,22.32
2008-11-28,70,28.62
2008-12-05,73,31.16
2008-12-12,65,31.95
2008-12-19,64,32.3
2008-12-26,44,31.42
2009-01-02,43,34.02
2009-01-09,69,31.53
2009-01-16,66,28.13
2009-01-23,67,27.09
2009-01-30,66,26.61
2009-02-06,70,29.04
2009-02-13,67,26.86
2009-02-20,66,26.05
2009-02-27,68,28
2009-03-06,68,30.07
2009-03-13,70,32.79
2009-03-20,69,34.76
2009-03-27,70,34.08
2009-04-03,69,37.27
2009-04-17,68,38.33
2009-04-24,68,40.17
2009-05-01,65,41.41
2009-05-08,68,41.04
2009-05-15,71,40.2
2009-05-22,68,36.15
2009-05-29,69,37.95
2009-06-05,69,39.13
2009-06-12,70,41.6
2009-06-19,69,39.91
2009-06-26,66,38.91
2009-07-10,67,37.26
2009-07-17,64,40.84
2009-07-24,65,45.13
2009-07-31,67,43.34
2009-08-07,63,46.73
2009-08-14,65,47.12
2009-08-21,66,53.67
2009-08-28,65,52.25
2009-09-04,64,52.8
2009-09-11,61,57.92
2009-09-18,66,58.17
2009-09-25,63,55.06
2009-10-02,61,54.51
2009-10-09,63,60.97
2009-10-16,60,62.36
2009-10-23,66,63.12
2009-10-30,66,56.75
2009-11-06,65,61.01
2009-11-13,66,66.13
2009-11-20,64,62.56
2009-11-27,61,63.25
2009-12-04,61,65.95
2009-12-11,59,63.26
2009-12-18,58,67.88
2010-01-08,57,74.15
2010-01-15,61,68.63
2010-01-22,65,64.54
2010-01-29,61,63.55
2010-02-05,65,62.08
2010-02-12,63,65.09
2010-02-19,59,68.92
2010-02-26,65,67.95
2010-03-05,63,72.28
2010-03-12,64,75.71
2010-03-19,67,76.02
2010-03-26,65,74.95
2010-04-09,63,79.77
2010-04-16,65,83.48
2010-04-23,66,88.16
2010-04-30,66,85.6
2010-05-07,64,77.52
2010-05-14,66,84.72
2010-05-21,65,83.24
2010-05-28,67,86.53
2010-06-04,60,89.64
2010-06-11,65,96.64
2010-06-18,63,95.72
2010-06-25,61,91.62
2010-07-02,60,87.11
2010-07-09,58,91.78
2010-07-16,58,92.05
2010-07-23,59,99.77
2010-07-30,60,98.95
2010-08-06,58,102.33
2010-08-13,57,97.24
2010-08-20,60,112.75
2010-08-27,57,111.48
2010-09-03,59,119.63
2010-09-10,57,117.42
2010-09-17,61,116.74
2010-09-24,64,119.34
2010-10-01,63,112
2010-10-08,62,105.87
2010-10-15,61,108.38
2010-10-22,62,107.94
2010-10-29,62,116.07
2010-11-05,59,113.17
2010-11-12,63,115.01
2010-11-19,62,136.74
2010-11-26,59,145.83
2010-12-03,58,142.81
2010-12-10,57,148.61
2010-12-17,55,136.5
2010-12-31,37,132
2011-01-07,54,142.22
2011-01-14,59,146.47
2011-01-21,61,132.24
2011-01-28,62,131.61
2011-02-04,60,137.95
2011-02-11,64,141.51
2011-02-18,62,143.08
2011-02-25,60,138.83
2011-03-04,61,129.97
2011-03-11,59,127.87
2011-03-18,61,120.01
2011-03-25,61,127.45
2011-04-01,62,134.12
2011-04-08,64,134.65
2011-04-15,62,133.73
2011-04-29,59,138.6
2011-05-06,60,132.32
2011-05-13,63,134.91
2011-05-20,63,146.61
2011-05-27,63,151.3
2011-06-03,58,144.99
2011-06-10,60,140.3
2011-06-17,58,139.53
2011-06-24,60,143.04
2011-07-01,61,149.39
2011-07-08,57,156.67
2011-07-15,59,154.4
2011-07-22,58,150.41
2011-07-29,56,144.71
2011-08-05,55,135.69
2011-08-12,56,134.08
2011-08-19,56,111
2011-08-26,57,117.5
2011-09-02,54,123.61
2011-09-09,55,123.23
2011-09-16,58,136.56
2011-09-23,60,120.3
2011-09-30,60,114.28
2011-10-07,57,120.96
2011-10-14,56,131.8
2011-10-21,58,129.29
2011-10-28,57,139.14
2011-11-04,53,131.33
2011-11-11,58,129.87
2011-11-18,60,113.43
2011-11-25,57,104.93
2011-12-02,58,119.64
2011-12-09,56,123.88
2011-12-16,55,107.06
2011-12-23,47,98.02
2011-12-30,36,101.46
2012-01-06,49,101.06
2012-01-13,58,103.9
2012-01-20,59,114.19
2012-01-27,58,116.6
2012-02-03,58,124.1
2012-02-10,60,128.44
2012-02-17,58,129.17
2012-02-24,58,143.64
2012-03-02,61,143.79
2012-03-09,60,147.43
2012-03-16,60,151.39
2012-03-23,60,153.9
2012-03-30,61,154.51
2012-04-13,57,159.37
2012-04-20,61,156.9
2012-04-27,58,156.66
2012-05-04,53,152.59
2012-05-11,59,137.78
2012-05-18,59,145.58
2012-05-25,61,147
2012-06-01,59,130.99
2012-06-08,56,136.49
2012-06-15,57,134.56
2012-06-22,59,137.11
2012-06-29,57,138.26
2012-07-06,55,135.75
2012-07-13,55,130.55
2012-07-20,56,135.16
2012-07-27,54,131.49
2012-08-03,55,128.27
2012-08-10,53,139.84
2012-08-17,53,147.23
2012-08-24,58,148.54
2012-08-31,54,145.18
2012-09-07,54,149.57
2012-09-14,59,159.43
2012-09-21,58,155.2
2012-09-28,58,152.69
2012-10-05,56,154.73
2012-10-12,57,153.29
2012-10-19,56,149.01
2012-10-26,56,146.65
2012-11-02,52,146.6
2012-11-09,56,141.14
2012-11-16,54,144.3
2012-11-23,52,159.45
2012-11-30,56,157.67
2012-12-07,54,156.7
2012-12-14,54,166.81
2012-12-21,48,168.95
2012-12-28,30,164.18
2013-01-04,39,169.61
2013-01-11,56,173.35
2013-01-18,55,170.02
2013-01-25,57,173.86
2013-02-01,57,175.06
2013-02-08,56,169.95
2013-02-15,52,175.03
2013-02-22,56,170.56
2013-03-01,59,182
2013-03-08,56,185.85
2013-03-15,58,176.5
2013-03-22,56,176.06
2013-04-05,54,165.42
2013-04-12,58,169.52
2013-04-19,60,40.88
2013-04-26,58,40.71
2013-05-03,52,42.24
2013-05-10,54,44.17
2013-05-17,56,46.79
2013-05-24,55,43.25
2013-05-31,55,42.33
2013-06-07,57,39.61
2013-06-14,57,37.56
2013-06-21,55,38.3
2013-06-28,55,38.18
2013-07-05,52,38.94
2013-07-12,54,42.43
2013-07-19,55,42.5
2013-07-26,56,43.22
2013-08-02,52,45.52
2013-08-09,53,45.21
2013-08-16,52,43.83
2013-08-23,55,43.59
2013-08-30,55,49.13
2013-09-06,54,48.47
2013-09-13,56,49.64
2013-09-20,55,52.76
2013-09-27,57,52.43
2013-10-04,56,52.83
2013-10-11,56,51.07
2013-10-18,55,54.1
2013-10-25,57,54.56
2013-11-01,55,53.96
2013-11-08,56,55.49
2013-11-15,56,57.31
2013-11-22,59,54.69
2013-11-29,53,52.09
2013-12-06,55,53.88
2013-12-13,53,51.13
2013-12-20,52,53.72
2013-12-27,30,54.45
2014-01-03,34,55.12
2014-01-10,54,56.95
2014-01-17,57,59.86
2014-01-24,57,58.4
2014-01-31,57,60.53
2014-02-07,56,61.55
2014-02-14,57,62.8
2014-02-21,58,63.59
2014-02-28,59,62.37
2014-03-07,55,60.74
2014-03-14,59,58.16
2014-03-21,59,57.03
2014-03-28,57,55.75
2014-04-04,57,54.41
2014-04-11,57,52.87
2014-04-25,54,52.8
