"Date","V","Price"
2010-04-16,49,93.85
2010-04-23,47,96.59
2010-04-30,47,90.23
2010-05-07,47,82.29
2010-05-14,49,77.26
2010-05-21,49,74.2
2010-05-28,47,72.46
2010-06-04,46,72.13
2010-06-11,46,76.08
2010-06-18,47,77.04
2010-06-25,47,76.66
2010-07-02,44,73.18
2010-07-09,41,77.38
2010-07-16,41,71.45
2010-07-23,43,75.59
2010-07-30,43,73.35
2010-08-06,44,72.14
2010-08-13,45,72.22
2010-08-20,47,70.1
2010-08-27,47,71.11
2010-09-03,44,72.5
2010-09-10,47,68.09
2010-09-17,46,68.49
2010-09-24,49,72.37
2010-10-01,48,73.32
2010-10-08,47,74
2010-10-15,48,77.6
2010-10-22,47,79.29
2010-10-29,47,78.16
2010-11-05,49,79.8
2010-11-12,49,76.94
2010-11-19,48,77.05
2010-11-26,48,75.48
2010-12-03,49,77.35
2010-12-10,48,80.2
2010-12-17,47,66.9
2010-12-31,46,70.38
2011-01-07,51,72.96
2011-01-14,53,71.12
2011-01-21,49,70.15
2011-01-28,50,69.46
2011-02-04,49,72.9
2011-02-11,51,74.93
2011-02-18,52,75.83
2011-02-25,51,74.68
2011-03-04,59,74.69
2011-03-11,52,72.51
2011-03-18,50,71.42
2011-03-25,53,72.09
2011-04-01,52,74.22
2011-04-08,49,76.72
2011-04-15,50,76.47
2011-04-29,50,78.12
2011-05-06,50,79.41
2011-05-13,51,79.91
2011-05-20,49,78.23
2011-05-27,48,79.8
2011-06-03,48,79.13
2011-06-10,46,74.69
2011-06-17,47,74.43
2011-06-24,46,73.37
2011-07-01,46,87.97
2011-07-08,44,89.73
2011-07-15,46,88.75
2011-07-22,47,89.52
2011-07-29,47,85.54
2011-08-05,47,83.41
2011-08-12,50,83.83
2011-08-19,52,79.6
2011-08-26,50,85.85
2011-09-02,47,85.55
2011-09-09,49,86.35
2011-09-16,50,90.85
2011-09-23,51,90.08
2011-09-30,50,85.72
2011-10-07,50,86.25
2011-10-14,50,93.92
2011-10-21,52,93.43
2011-10-28,55,95.1
2011-11-04,58,92.64
2011-11-11,57,95.16
2011-11-18,57,90.81
2011-11-25,54,89.02
2011-12-02,54,97.2
2011-12-09,53,97.19
2011-12-16,52,97.44
2011-12-23,49,102.48
2011-12-30,51,101.53
2012-01-06,54,100.71
2012-01-13,55,100.74
2012-01-20,53,100.58
2012-01-27,57,101.05
2012-02-03,55,107.03
2012-02-10,57,113.9
2012-02-17,54,115.01
2012-02-24,52,117.54
2012-03-02,59,116.16
2012-03-09,53,117.17
2012-03-16,52,116.68
2012-03-23,52,118.78
2012-03-30,51,118
2012-04-13,53,123.16
2012-04-20,54,121.01
2012-04-27,52,123.52
2012-05-04,53,117.79
2012-05-11,53,117.92
2012-05-18,54,112.64
2012-05-25,50,119.37
2012-06-01,52,112.25
2012-06-08,52,116.58
2012-06-15,54,118.4
2012-06-22,51,124.95
2012-06-29,49,123.63
2012-07-06,48,125.28
2012-07-13,48,124.09
2012-07-20,48,125.75
2012-07-27,48,129.14
2012-08-03,48,130.98
2012-08-10,50,129.09
2012-08-17,53,128.69
2012-08-24,55,126.66
2012-08-31,52,128.25
2012-09-07,51,129.71
2012-09-14,50,134.25
2012-09-21,50,135
2012-09-28,51,134.28
2012-10-05,51,140.26
2012-10-12,50,139.12
2012-10-19,51,139.97
2012-10-26,51,138.31
2012-11-02,51,143.4
2012-11-09,53,142.93
2012-11-16,54,142.71
2012-11-23,52,148.12
2012-11-30,52,149.71
2012-12-07,50,148.55
2012-12-14,51,146.82
2012-12-21,50,150.77
2012-12-28,48,148.65
2013-01-04,51,156.77
2013-01-11,51,161.16
2013-01-18,50,158.27
2013-01-25,52,159.84
2013-02-01,52,158.56
2013-02-08,52,157.8
2013-02-15,54,157.99
2013-02-22,50,159.43
2013-03-01,55,158.08
2013-03-08,51,160.67
2013-03-15,52,158.55
2013-03-22,51,160.09
2013-04-05,50,165.16
2013-04-12,51,165.75
2013-04-19,48,163.96
2013-04-26,50,167.23
2013-05-03,52,179.54
2013-05-10,52,178.75
2013-05-17,51,184.57
2013-05-24,49,180.45
2013-05-31,50,178.14
2013-06-07,51,179.94
2013-06-14,51,180.93
2013-06-21,49,179.5
2013-06-28,47,182.75
2013-07-05,48,190.79
2013-07-12,49,190.72
2013-07-19,49,189.92
2013-07-26,49,193.2
2013-08-02,48,184
2013-08-09,49,179.81
2013-08-16,53,173.13
2013-08-23,52,179.1
2013-08-30,53,174.42
2013-09-06,52,176.67
2013-09-13,58,189
2013-09-20,100,198.83
2013-09-27,91,193.05
2013-10-04,86,190.48
2013-10-11,71,192.2
2013-10-18,70,200.45
2013-10-25,64,203.06
2013-11-01,63,199.16
2013-11-08,63,198.29
2013-11-15,61,202
2013-11-22,59,202.12
2013-11-29,57,203.46
2013-12-06,57,201.87
2013-12-13,57,207.36
2013-12-20,55,215.97
2013-12-27,58,219.67
2014-01-03,59,221.16
2014-01-10,57,221.13
2014-01-17,56,232.18
2014-01-24,58,221.25
2014-01-31,57,215.43
2014-02-07,56,221.78
2014-02-14,55,226
2014-02-21,57,223.36
2014-02-28,57,225.94
2014-03-07,57,225.56
2014-03-14,54,220.77
2014-03-21,54,223.37
2014-03-28,55,212.09
2014-04-04,53,207.7
2014-04-11,54,196.63
2014-04-25,55,198.93
