"Date","MCHP","Price"
2011-10-14,27,33.45
2011-10-21,25,33.8
2011-10-28,33,36.46
2011-11-04,29,37.02
2011-11-11,31,36.76
2011-11-18,30,34.58
2011-11-25,26,32.3
2011-12-02,27,34.65
2011-12-09,25,34.81
2011-12-16,24,34.48
2011-12-23,18,36.6
2011-12-30,18,36.63
2012-01-06,26,35.62
2012-01-13,17,35.61
2012-01-20,24,37.37
2012-01-27,24,36.79
2012-02-03,32,38.42
2012-02-10,29,36.69
2012-02-17,21,37.17
2012-02-24,36,36.37
2012-03-02,31,35.7
2012-03-09,24,36.13
2012-03-16,26,36.48
2012-03-23,21,36.57
2012-03-30,18,37.2
2012-04-13,28,35.81
2012-04-20,44,35.28
2012-04-27,38,35.41
2012-05-04,28,33.79
2012-05-11,30,31.9
2012-05-18,32,30.49
2012-05-25,28,30.93
2012-06-01,23,30.4
2012-06-08,20,32.01
2012-06-15,27,32.48
2012-06-22,35,33.2
2012-06-29,33,33.08
2012-07-06,19,32.2
2012-07-13,27,31.63
2012-07-20,28,32.39
2012-07-27,30,32.9
2012-08-03,35,34.7
2012-08-10,33,35.06
2012-08-17,33,35.73
2012-08-24,24,34.73
2012-08-31,23,34.75
2012-09-07,20,34.67
2012-09-14,32,34.35
2012-09-21,24,34.07
2012-09-28,19,32.74
2012-10-05,27,33.25
2012-10-12,21,31.71
2012-10-19,26,31.35
2012-10-26,20,31.73
2012-11-02,26,32.14
2012-11-09,29,30.62
2012-11-16,18,29.37
2012-11-23,29,29.99
2012-11-30,27,30.42
2012-12-07,33,30.85
2012-12-14,18,31.64
2012-12-21,21,32.59
2012-12-28,20,32.11
2013-01-04,23,33.21
2013-01-11,27,33.59
2013-01-18,26,33.53
2013-01-25,23,33.3
2013-02-01,28,34.52
2013-02-08,37,36.39
2013-02-15,39,37.08
2013-02-22,23,36.87
2013-03-01,26,36.46
2013-03-08,23,36.85
2013-03-15,28,36.28
2013-03-22,22,36.2
2013-04-05,19,35.54
2013-04-12,28,36.31
2013-04-19,20,34.34
2013-04-26,25,35.6
2013-05-03,30,37.55
2013-05-10,32,37.21
2013-05-17,19,37.08
2013-05-24,27,36.32
2013-05-31,22,36.48
2013-06-07,32,36.7
2013-06-14,21,37.04
2013-06-21,16,36.75
2013-06-28,18,37.25
2013-07-05,16,38.23
2013-07-12,20,39.44
2013-07-19,27,39.87
2013-07-26,14,39.29
2013-08-02,31,41.48
2013-08-09,32,40.61
2013-08-16,24,39.51
2013-08-23,31,39.08
2013-08-30,30,38.81
2013-09-06,18,38.9
2013-09-13,20,39.6
2013-09-20,18,40.24
2013-09-27,24,40.3
2013-10-04,26,39.39
2013-10-11,26,40.1
2013-10-18,20,40.3
2013-10-25,23,38.87
2013-11-01,42,42.54
2013-11-08,17,42.89
2013-11-15,29,43.61
2013-11-22,27,43.81
2013-11-29,23,43.29
2013-12-06,31,43.56
2013-12-13,26,41.53
2013-12-20,23,43.42
2013-12-27,20,44.28
2014-01-03,24,44.54
2014-01-10,21,45.07
2014-01-17,26,46.2
2014-01-24,19,44.08
2014-01-31,20,44.86
2014-02-07,12,44.44
2014-02-14,26,45.76
2014-02-21,22,45.26
2014-02-28,14,45.55
2014-03-07,16,46.58
2014-03-14,18,46.07
2014-03-21,21,47.45
2014-03-28,10,46.92
2014-04-04,19,47.18
2014-04-11,32,46.46
2014-04-25,21,47.16
