"Date","EBAY","Price"
2013-12-13,65,51.55
2013-12-20,60,54.58
2013-12-27,57,54.18
2014-01-03,60,53.26
2014-01-10,59,52.16
2014-01-17,60,53.2
2014-01-24,59,54.37
2014-01-31,59,53.2
2014-02-07,60,54.59
2014-02-14,61,54.77
2014-02-21,60,54.59
2014-02-28,57,58.77
2014-03-07,58,59.06
2014-03-14,56,56.74
2014-03-21,58,56.96
2014-03-28,56,55.19
2014-04-04,56,54
2014-04-11,56,53.46
2014-04-25,56,53.72
