"Date","RHT","Price"
2007-12-14,68,18.85
2007-12-21,70,20.71
2007-12-28,63,21.12
2008-01-04,61,20.34
2008-01-11,42,19.65
2008-01-18,67,18.17
2008-01-25,56,17.95
2008-02-01,56,19.14
2008-02-08,49,18.2
2008-02-15,71,18.12
2008-02-22,46,18.24
2008-02-29,58,17.83
2008-03-07,64,17.32
2008-03-14,39,17.05
2008-03-28,59,18.49
2008-04-04,60,20.32
2008-04-11,51,19.34
2008-04-18,47,19.69
2008-04-25,48,20.61
2008-05-02,53,21.21
2008-05-09,56,21.86
2008-05-16,52,22.63
2008-05-23,46,23.5
2008-05-30,36,24.36
2008-06-06,57,22.76
2008-06-13,41,22.25
2008-06-20,42,22.24
2008-06-27,52,21.17
2008-07-11,47,19.72
2008-07-18,52,21.19
2008-07-25,54,21.06
2008-08-01,52,21.23
2008-08-08,45,22.88
2008-08-15,49,22.75
2008-08-22,54,21.72
2008-08-29,46,21
2008-09-05,50,19.01
2008-09-12,59,18.42
2008-09-19,44,18.55
2008-09-26,63,16.41
2008-10-03,64,14.65
2008-10-10,52,12.8
2008-10-17,52,12.97
2008-10-24,58,11.37
2008-10-31,60,13.31
2008-11-07,70,12.82
2008-11-14,64,10.49
2008-11-21,52,8.56
2008-11-28,59,9.25
2008-12-05,63,12.18
2008-12-12,71,11.65
2008-12-19,59,12.37
2008-12-26,67,13.13
2009-01-02,65,13.99
2009-01-09,59,15.46
2009-01-16,54,14.82
2009-01-23,64,14.28
2009-01-30,61,14.65
2009-02-06,56,16.19
2009-02-13,53,15.29
2009-02-20,49,14.33
2009-02-27,59,13.69
2009-03-06,50,13.43
2009-03-13,51,15.07
2009-03-20,50,14.89
2009-03-27,71,16.99
2009-04-03,67,18.62
2009-04-17,54,18.32
2009-04-24,61,18.16
2009-05-01,43,17.12
2009-05-08,50,17.6
2009-05-15,49,19.86
2009-05-22,33,19.41
2009-05-29,51,19.95
2009-06-05,44,19.92
2009-06-12,43,20.79
2009-06-19,42,19.99
2009-06-26,42,19.87
2009-07-10,55,19.2
2009-07-17,53,20.6
2009-07-24,47,23
2009-07-31,43,22.83
2009-08-07,53,21.84
2009-08-14,42,21.62
2009-08-21,43,22.28
2009-08-28,53,22.9
2009-09-04,54,23.63
2009-09-11,43,25.39
2009-09-18,33,25.84
2009-09-25,51,27.8
2009-10-02,53,26.73
2009-10-09,44,28.16
2009-10-16,53,28.63
2009-10-23,58,27.49
2009-10-30,50,25.81
2009-11-06,40,27.59
2009-11-13,45,28.18
2009-11-20,40,27.09
2009-11-27,41,26.8
2009-12-04,56,27.91
2009-12-11,60,28.22
2009-12-18,56,29.27
2010-01-08,58,30.14
2010-01-15,50,29.08
2010-01-22,49,27.73
2010-01-29,36,27.22
2010-02-05,36,27.24
2010-02-12,40,27.86
2010-02-19,41,29.12
2010-02-26,45,28.05
2010-03-05,47,30.27
2010-03-12,36,30.76
2010-03-19,38,29.97
2010-03-26,42,28.39
2010-04-09,45,30.81
2010-04-16,49,31.1
2010-04-23,39,31.46
2010-04-30,37,29.87
2010-05-07,41,27.49
2010-05-14,39,30.4
2010-05-21,31,29.22
2010-05-28,44,29.31
2010-06-04,32,28.62
2010-06-11,33,31.35
2010-06-18,31,31.92
2010-06-25,50,31.07
2010-07-02,33,28.91
2010-07-09,36,30.64
2010-07-16,31,31.58
2010-07-23,35,33.21
2010-07-30,36,32.15
2010-08-06,37,33.45
2010-08-13,48,30.93
2010-08-20,39,32.54
2010-08-27,48,35.16
2010-09-03,45,36.98
2010-09-10,36,37.41
2010-09-17,42,38.34
2010-09-24,46,41.26
2010-10-01,48,41.27
2010-10-08,48,38.67
2010-10-15,48,40.4
2010-10-22,51,40.66
2010-10-29,48,42.26
2010-11-05,34,43.1
2010-11-12,44,41.96
2010-11-19,36,41.87
2010-11-26,40,43.32
2010-12-03,49,47.45
2010-12-10,53,48.27
2010-12-17,49,47.83
2010-12-31,45,45.65
2011-01-07,52,45.71
2011-01-14,48,45.86
2011-01-21,50,42.76
2011-01-28,40,41.06
2011-02-04,44,43.57
2011-02-11,43,44.88
2011-02-18,42,45.43
2011-02-25,40,41.34
2011-03-04,34,40.96
2011-03-11,40,41.06
2011-03-18,37,39.11
2011-03-25,47,46.34
2011-04-01,38,46.31
2011-04-08,40,45.2
2011-04-15,39,45.92
2011-04-29,42,47.47
2011-05-06,36,45.79
2011-05-13,33,46.87
2011-05-20,40,45.74
2011-05-27,31,43.35
2011-06-03,36,42.12
2011-06-10,42,41.49
2011-06-17,34,41.2
2011-06-24,43,45.03
2011-07-01,35,46.4
2011-07-08,36,46.51
2011-07-15,32,43.3
2011-07-22,32,44.55
2011-07-29,45,42.08
2011-08-05,36,37.75
2011-08-12,45,37.42
2011-08-19,34,31.87
2011-08-26,30,35.9
2011-09-02,37,37.27
2011-09-09,41,37.23
2011-09-16,30,41.21
2011-09-23,45,42.32
2011-09-30,38,42.26
2011-10-07,39,42.88
2011-10-14,32,47.44
2011-10-21,47,46.29
2011-10-28,46,51.86
2011-11-04,40,50.59
2011-11-11,35,50.05
2011-11-18,35,49.04
2011-11-25,35,44.93
2011-12-02,36,50.22
2011-12-09,38,49.7
2011-12-16,40,47.64
2011-12-23,43,41.59
2011-12-30,32,41.29
2012-01-06,38,43.04
2012-01-13,36,42.43
2012-01-20,47,46.24
2012-01-27,33,47.5
2012-02-03,42,48.95
2012-02-10,36,47.97
2012-02-17,43,48.61
2012-02-24,37,50.01
2012-03-02,30,50.23
2012-03-09,38,50.57
2012-03-16,35,50.64
2012-03-23,36,51.87
2012-03-30,49,59.89
2012-04-13,40,60.2
2012-04-20,36,60.55
2012-04-27,38,60.91
2012-05-04,33,58.7
2012-05-11,34,56.67
2012-05-18,33,53.53
2012-05-25,36,52.09
2012-06-01,35,49.9
2012-06-08,35,55.76
2012-06-15,32,56.49
2012-06-22,40,55.01
2012-06-29,32,56.48
2012-07-06,28,52.94
2012-07-13,33,52.48
2012-07-20,33,53.72
2012-07-27,34,55.81
2012-08-03,30,55.5
2012-08-10,32,57.04
2012-08-17,30,59.42
2012-08-24,23,57.77
2012-08-31,31,56.04
2012-09-07,33,59.15
2012-09-14,33,60
2012-09-21,30,57.64
2012-09-28,40,56.94
2012-10-05,27,55.21
2012-10-12,28,53.69
2012-10-19,42,50.73
2012-10-26,38,50.27
2012-11-02,36,50.64
2012-11-09,33,48.34
2012-11-16,33,48.45
2012-11-23,30,49.74
2012-11-30,30,49.4
2012-12-07,27,49.16
2012-12-14,31,50.22
2012-12-21,31,54.99
2012-12-28,31,51.98
2013-01-04,28,54.25
2013-01-11,32,54.45
2013-01-18,34,54.15
2013-01-25,33,56.05
2013-02-01,33,56.9
2013-02-08,30,54.96
2013-02-15,29,53.93
2013-02-22,27,51.24
2013-03-01,35,51.58
2013-03-08,26,53
2013-03-15,35,50.44
2013-03-22,33,50.8
2013-04-05,35,47.47
2013-04-12,32,50.55
2013-04-19,31,49.25
2013-04-26,27,48.53
2013-05-03,30,49.65
2013-05-10,32,51.9
2013-05-17,35,54.99
2013-05-24,37,48.49
2013-05-31,31,48.23
2013-06-07,31,46.24
2013-06-14,29,45.81
2013-06-21,37,46.45
2013-06-28,30,47.82
2013-07-05,26,48.34
2013-07-12,25,50.26
2013-07-19,28,49.38
2013-07-26,26,50.83
2013-08-02,36,52.44
2013-08-09,23,52.46
2013-08-16,26,51.51
2013-08-23,29,51.57
2013-08-30,23,50.52
2013-09-06,24,51.06
2013-09-13,33,52.43
2013-09-20,28,53.22
2013-09-27,47,45.95
2013-10-04,27,45.05
2013-10-11,34,42.82
2013-10-18,33,43.29
2013-10-25,33,43.4
2013-11-01,30,43.23
2013-11-08,29,43.32
2013-11-15,27,47.1
2013-11-22,33,47.11
2013-11-29,28,46.85
2013-12-06,28,46.77
2013-12-13,28,46.77
2013-12-20,45,56.1
2013-12-27,36,56.24
2014-01-03,33,55.78
2014-01-10,33,56.81
2014-01-17,33,58.59
2014-01-24,36,56.73
2014-01-31,30,56.5
2014-02-07,33,56.99
2014-02-14,30,58.32
2014-02-21,30,58.69
2014-02-28,30,58.99
2014-03-07,30,60.52
2014-03-14,25,57.62
2014-03-21,29,57.4
2014-03-28,31,52.23
2014-04-04,28,50.46
2014-04-11,31,49.36
2014-04-25,31,48.37
