"Date","ORCL","Price"
2008-08-01,24,21.5
2008-08-08,23,23.52
2008-08-15,26,23.06
2008-08-22,19,22.7
2008-08-29,17,21.93
2008-09-05,15,20.07
2008-09-12,19,19.61
2008-09-19,40,20.07
2008-09-26,27,20.62
2008-10-03,28,19.48
2008-10-10,40,16.68
2008-10-17,35,17.02
2008-10-24,23,16.2
2008-10-31,30,18.29
2008-11-07,24,17.53
2008-11-14,22,16.9
2008-11-21,23,16.38
2008-11-28,18,16.09
2008-12-05,19,16.32
2008-12-12,18,16.84
2008-12-19,30,17.78
2008-12-26,12,17.43
2009-01-02,21,18.41
2009-01-09,14,17.36
2009-01-16,18,16.91
2009-01-23,17,16.78
2009-01-30,17,16.83
2009-02-06,14,17.97
2009-02-13,14,17.72
2009-02-20,13,16.56
2009-02-27,15,15.54
2009-03-06,19,14.47
2009-03-13,18,15.56
2009-03-20,35,17.1
2009-03-27,20,18.01
2009-04-03,20,19.29
2009-04-17,17,19.06
2009-04-24,42,19.79
2009-05-01,22,19.34
2009-05-08,19,18.32
2009-05-15,19,18.42
2009-05-22,16,18.65
2009-05-29,19,19.59
2009-06-05,21,20.71
2009-06-12,20,20.85
2009-06-19,16,20.66
2009-06-26,21,21.24
2009-07-10,18,20.49
2009-07-17,20,21.74
2009-07-24,18,22.33
2009-07-31,15,22.13
2009-08-07,15,21.43
2009-08-14,14,21.96
2009-08-21,17,22.11
2009-08-28,17,22.16
2009-09-04,14,21.97
2009-09-11,11,22.86
2009-09-18,23,21.62
2009-09-25,20,20.86
2009-10-02,14,20.34
2009-10-09,13,20.74
2009-10-16,19,21.81
2009-10-23,14,22.05
2009-10-30,12,21.1
2009-11-06,13,21.42
2009-11-13,13,22.34
2009-11-20,11,22.34
2009-11-27,8,22.09
2009-12-04,12,22.83
2009-12-11,12,22.78
2009-12-18,24,24.34
2010-01-08,15,24.68
2010-01-15,16,25.24
2010-01-22,21,24.15
2010-01-29,19,23.06
2010-02-05,14,23.55
2010-02-12,12,23.41
2010-02-19,12,24.32
2010-02-26,12,24.65
2010-03-05,14,24.95
2010-03-12,11,25.05
2010-03-19,15,25.19
2010-03-26,27,25.69
2010-04-09,17,26.13
2010-04-16,18,25.95
2010-04-23,18,26.48
2010-04-30,15,25.87
2010-05-07,17,23.41
2010-05-14,15,23.78
2010-05-21,14,22.16
2010-05-28,11,22.57
2010-06-04,10,22.13
2010-06-11,11,22.69
2010-06-18,13,23.2
2010-06-25,20,22.66
2010-07-02,9,21.83
2010-07-09,12,23.37
2010-07-16,11,23.27
2010-07-23,12,24.5
2010-07-30,14,23.64
2010-08-06,12,24.38
2010-08-13,12,22.66
2010-08-20,10,23.02
2010-08-27,10,22.51
2010-09-03,10,22.92
2010-09-10,21,25.05
2010-09-17,29,27.48
2010-09-24,23,26.96
2010-10-01,21,27.24
2010-10-08,17,28
2010-10-15,16,28.9
2010-10-22,19,28.99
2010-10-29,19,29.38
2010-11-05,17,29.25
2010-11-12,17,28.32
2010-11-19,13,28.15
2010-11-26,14,27.49
2010-12-03,13,28.81
2010-12-10,16,29.94
2010-12-17,34,31.46
2010-12-31,15,31.3
2011-01-07,15,31.03
2011-01-14,14,31.25
2011-01-21,15,32.51
2011-01-28,17,32
2011-02-04,16,32.62
2011-02-11,13,33.47
2011-02-18,14,33.68
2011-02-25,16,32.95
2011-03-04,13,32.76
2011-03-11,12,31.91
2011-03-18,12,30.76
2011-03-25,27,32.64
2011-04-01,17,34.02
2011-04-08,16,33.54
2011-04-15,15,34.18
2011-04-29,13,35.96
2011-05-06,13,34.87
2011-05-13,14,35.19
2011-05-20,13,34.27
2011-05-27,14,33.7
2011-06-03,12,32.33
2011-06-10,12,31.18
2011-06-17,12,31.18
2011-06-24,21,31.14
2011-07-01,15,33.05
2011-07-08,12,33.94
2011-07-15,13,32.09
2011-07-22,14,32.55
2011-07-29,11,30.58
2011-08-05,16,28.35
2011-08-12,21,27.39
2011-08-19,16,24.78
2011-08-26,16,26.65
2011-09-02,14,26.97
2011-09-09,12,26
2011-09-16,11,29.23
2011-09-23,25,28.9
2011-09-30,14,28.74
2011-10-07,12,29.91
2011-10-14,14,31.85
2011-10-21,12,32.12
2011-10-28,13,33.69
2011-11-04,9,32.55
2011-11-11,12,32.37
2011-11-18,9,30.6
2011-11-25,7,28.74
2011-12-02,9,31.2
2011-12-09,10,31.69
2011-12-16,12,29.21
2011-12-23,33,26.06
2011-12-30,14,25.65
2012-01-06,12,26.93
2012-01-13,13,27.34
2012-01-20,11,28.71
2012-01-27,11,28.42
2012-02-03,10,29.11
2012-02-10,11,28.5
2012-02-17,13,28.79
2012-02-24,10,29.25
2012-03-02,9,29.96
2012-03-09,11,30.13
2012-03-16,12,29.74
2012-03-23,25,28.55
2012-03-30,11,29.16
2012-04-13,7,28.56
2012-04-20,12,28.88
2012-04-27,12,29.24
2012-05-04,12,28.41
2012-05-11,13,27
2012-05-18,10,25.61
2012-05-25,11,26.14
2012-06-01,9,26
2012-06-08,12,27.16
2012-06-15,11,27.7
2012-06-22,22,28
2012-06-29,10,29.7
2012-07-06,12,29.18
2012-07-13,8,29.58
2012-07-20,12,30.12
2012-07-27,12,30.77
2012-08-03,11,30.72
2012-08-10,13,31.61
2012-08-17,9,32.2
2012-08-24,11,31.95
2012-08-31,10,31.65
2012-09-07,11,32.6
2012-09-14,12,32.95
2012-09-21,20,32.47
2012-09-28,14,31.46
2012-10-05,14,31.39
2012-10-12,13,31
2012-10-19,9,30.48
2012-10-26,10,30.99
2012-11-02,6,31.21
2012-11-09,11,30.35
2012-11-16,8,30
2012-11-23,6,30.92
2012-11-30,8,32.18
2012-12-07,11,31.92
2012-12-14,10,31.96
2012-12-21,23,33.76
2012-12-28,9,33.02
2013-01-04,12,34.61
2013-01-11,11,34.86
2013-01-18,11,35.11
2013-01-25,13,35.38
2013-02-01,14,36.21
2013-02-08,11,34.9
2013-02-15,11,34.81
2013-02-22,10,34.75
2013-03-01,9,34.63
2013-03-08,10,35.71
2013-03-15,11,36.34
2013-03-22,32,31.98
2013-04-05,11,32.03
2013-04-12,11,33.46
2013-04-19,10,32.37
2013-04-26,10,32.36
2013-05-03,13,33.38
2013-05-10,10,34.02
2013-05-17,11,35.03
2013-05-24,11,34.05
2013-05-31,8,33.78
2013-06-07,11,33.81
2013-06-14,12,33.77
2013-06-21,24,30.14
2013-06-28,18,30.71
2013-07-05,13,31.19
2013-07-12,16,31.25
2013-07-19,13,31.86
2013-07-26,13,32.54
2013-08-02,12,32.57
2013-08-09,12,32.92
2013-08-16,12,32.41
2013-08-23,14,31.77
2013-08-30,10,31.86
2013-09-06,10,32.2
2013-09-13,12,32.46
2013-09-20,23,34.05
2013-09-27,15,33.78
2013-10-04,13,33.21
2013-10-11,10,33.26
2013-10-18,12,32.9
2013-10-25,12,33.15
2013-11-01,11,33.53
2013-11-08,9,34.35
2013-11-15,13,34.92
2013-11-22,11,34.83
2013-11-29,10,35.29
2013-12-06,10,35.48
2013-12-13,8,33.23
2013-12-20,21,36.37
2013-12-27,11,37.98
2014-01-03,13,37.62
2014-01-10,13,38.11
2014-01-17,11,38.21
2014-01-24,9,37.11
2014-01-31,9,36.9
2014-02-07,9,37.19
2014-02-14,11,37.98
2014-02-21,8,38.1
2014-02-28,10,39.11
2014-03-07,13,38.83
2014-03-14,10,37.6
2014-03-21,21,37.5
2014-03-28,11,39.57
2014-04-04,16,39.98
2014-04-11,13,38.98
2014-04-25,10,39.45
