"Date","EA","Price"
2007-07-13,66,48.25
2007-07-20,66,51.87
2007-07-27,65,49.83
2007-08-03,63,50.04
2007-08-10,63,53.28
2007-08-17,70,52.47
2007-08-24,70,52.55
2007-08-31,75,52.94
2007-09-07,76,51.36
2007-09-14,77,54.76
2007-09-21,79,55.94
2007-09-28,76,55.99
2007-10-05,75,58.96
2007-10-12,69,61.4
2007-10-19,65,57.62
2007-10-26,71,58.08
2007-11-02,73,60.46
2007-11-09,68,55.73
2007-11-16,69,56.57
2007-11-23,73,54.29
2007-11-30,68,56.19
2007-12-07,69,54.05
2007-12-14,57,58.08
2007-12-21,59,58.93
2007-12-28,75,58.56
2008-01-04,68,54.51
2008-01-11,54,52.86
2008-01-18,52,49.42
2008-01-25,53,47.22
2008-02-01,54,48.62
2008-02-08,54,44.57
2008-02-15,51,48.72
2008-02-22,53,49.74
2008-02-29,54,47.29
2008-03-07,53,46.31
2008-03-14,52,46.91
2008-03-28,55,49.34
2008-04-04,52,51.94
2008-04-11,50,50.21
2008-04-18,50,52.01
2008-04-25,50,51.53
2008-05-02,50,53.17
2008-05-09,47,52.61
2008-05-16,47,49.6
2008-05-23,47,48.34
2008-05-30,50,50.2
2008-06-06,53,47.55
2008-06-13,53,46.99
2008-06-20,62,46.94
2008-06-27,58,43.94
2008-07-11,60,44.1
2008-07-18,62,48.46
2008-07-25,56,47.73
2008-08-01,55,42.9
2008-08-08,58,46.65
2008-08-15,62,48.24
2008-08-22,61,47.75
2008-08-29,62,48.81
2008-09-05,71,46.48
2008-09-12,77,44.99
2008-09-19,73,43.42
2008-09-26,62,39.63
2008-10-03,64,32.68
2008-10-10,65,27.99
2008-10-17,59,29.79
2008-10-24,59,24.77
2008-10-31,59,22.78
2008-11-07,56,23.56
2008-11-14,56,20.44
2008-11-21,57,18.87
2008-11-28,58,19.06
2008-12-05,53,19.98
2008-12-12,55,17.01
2008-12-19,54,17.39
2008-12-26,62,15.32
2009-01-02,65,17.44
2009-01-09,55,17.79
2009-01-16,53,17.53
2009-01-23,54,16.95
2009-01-30,52,15.44
2009-02-06,56,19.34
2009-02-13,51,16.93
2009-02-20,51,16.38
2009-02-27,49,16.31
2009-03-06,50,15.31
2009-03-13,47,17.76
2009-03-20,52,18.22
2009-03-27,50,18.69
2009-04-03,49,20.7
2009-04-17,52,18.62
2009-04-24,49,19.97
2009-05-01,51,20
2009-05-08,52,20.18
2009-05-15,53,21.03
2009-05-22,62,21.9
2009-05-29,62,22.99
2009-06-05,73,23
2009-06-12,67,21.93
2009-06-19,61,20.72
2009-06-26,60,20.9
2009-07-10,61,20.97
2009-07-17,66,20.93
2009-07-24,58,21.16
2009-07-31,56,21.47
2009-08-07,56,20.71
2009-08-14,55,21.29
2009-08-21,59,19.44
2009-08-28,54,18.76
2009-09-04,52,18.51
2009-09-11,57,18.18
2009-09-18,57,18.71
2009-09-25,56,19.46
2009-10-02,62,18.32
2009-10-09,67,20.41
2009-10-16,56,20.56
2009-10-23,53,19.71
2009-10-30,52,18.24
2009-11-06,53,19
2009-11-13,53,18.16
2009-11-20,47,17.3
2009-11-27,50,17.01
2009-12-04,50,16.2
2009-12-11,49,16.11
2009-12-18,49,16.72
2010-01-08,56,18.4
2010-01-15,51,17.03
2010-01-22,51,16.77
2010-01-29,61,16.28
2010-02-05,55,17.26
2010-02-12,52,16.06
2010-02-19,56,16.75
2010-02-26,51,16.58
2010-03-05,69,17.12
2010-03-12,65,17.77
2010-03-19,55,18.42
2010-03-26,53,18.85
2010-04-09,54,19.36
2010-04-16,53,19.57
2010-04-23,50,19.97
2010-04-30,53,19.37
2010-05-07,51,17.63
2010-05-14,55,17.42
2010-05-21,51,16.7
2010-05-28,50,16.51
2010-06-04,54,15.81
2010-06-11,56,16.32
2010-06-18,71,16.03
2010-06-25,63,15.14
2010-07-02,56,14.6
2010-07-09,56,14.84
2010-07-16,59,14.79
2010-07-23,58,15.88
2010-07-30,55,15.93
2010-08-06,54,17.07
2010-08-13,55,15.67
2010-08-20,57,15.79
2010-08-27,54,15.55
2010-09-03,52,16.46
2010-09-10,55,16.24
2010-09-17,56,16.26
2010-09-24,54,16.46
2010-10-01,67,16.44
2010-10-08,67,17.65
2010-10-15,63,15.96
2010-10-22,63,15.61
2010-10-29,62,15.83
2010-11-05,62,16.34
2010-11-12,56,15.83
2010-11-19,61,15.35
2010-11-26,59,14.82
2010-12-03,59,15.18
2010-12-10,56,15.82
2010-12-17,61,15.91
2010-12-31,75,16.38
2011-01-07,67,16.05
2011-01-14,59,15.95
2011-01-21,57,15.13
2011-01-28,56,15
2011-02-04,57,18.23
2011-02-11,56,18.21
2011-02-18,54,19.28
2011-02-25,56,19.18
2011-03-04,58,18.79
2011-03-11,56,18.54
2011-03-18,51,18.59
2011-03-25,55,19.7
2011-04-01,57,19.73
2011-04-08,58,19.86
2011-04-15,54,20.13
2011-04-29,55,20.18
2011-05-06,51,21.75
2011-05-13,51,23.7
2011-05-20,51,23.64
2011-05-27,53,23.9
2011-06-03,57,24.03
2011-06-10,62,22.81
2011-06-17,57,22.24
2011-06-24,56,21.77
2011-07-01,53,24.19
2011-07-08,53,25.05
2011-07-15,57,23.6
2011-07-22,55,23.93
2011-07-29,58,22.25
2011-08-05,55,20
2011-08-12,57,19.93
2011-08-19,59,19.31
2011-08-26,58,21.5
2011-09-02,56,21.99
2011-09-09,54,21.36
2011-09-16,59,23.01
2011-09-23,74,21.25
2011-09-30,100,20.45
2011-10-07,76,22.38
2011-10-14,64,24.54
2011-10-21,62,23.58
2011-10-28,93,24.1
2011-11-04,77,25.2
2011-11-11,60,23.9
2011-11-18,53,21.99
2011-11-25,57,20.83
2011-12-02,55,23
2011-12-09,56,21.99
2011-12-16,64,20.23
2011-12-23,63,20.71
2011-12-30,67,20.6
2012-01-06,60,19.67
2012-01-13,55,18.04
2012-01-20,58,17.93
2012-01-27,52,18.14
2012-02-03,56,19.24
2012-02-10,55,17.42
2012-02-17,54,17.47
2012-02-24,54,16.93
2012-03-02,56,16.78
2012-03-09,57,17.26
2012-03-16,55,17.46
2012-03-23,50,16.86
2012-03-30,52,16.49
2012-04-13,53,16.18
2012-04-20,49,14.93
2012-04-27,52,15.32
2012-05-04,54,15.12
2012-05-11,48,14.57
2012-05-18,46,14.1
2012-05-25,48,14.22
2012-06-01,49,13.12
2012-06-08,60,13.47
2012-06-15,51,12.44
2012-06-22,51,12.26
2012-06-29,49,12.35
2012-07-06,51,12.02
2012-07-13,50,11.71
2012-07-20,51,11.98
2012-07-27,48,11.41
2012-08-03,47,11.97
2012-08-10,50,13.08
2012-08-17,51,13.77
2012-08-24,51,13.33
2012-08-31,53,13.33
2012-09-07,50,14.04
2012-09-14,57,14.5
2012-09-21,71,13.24
2012-09-28,74,12.69
2012-10-05,68,12.95
2012-10-12,60,13.41
2012-10-19,57,13.08
2012-10-26,56,11.91
2012-11-02,56,12.99
2012-11-09,53,12.89
2012-11-16,51,13.05
2012-11-23,53,14.37
2012-11-30,53,14.81
2012-12-07,52,14.84
2012-12-14,54,15.3
2012-12-21,51,13.89
2012-12-28,62,13.92
2013-01-04,57,14.88
2013-01-11,51,14.24
2013-01-18,51,14.46
2013-01-25,52,14.77
2013-02-01,53,16.19
2013-02-08,52,17.37
2013-02-15,49,16.97
2013-02-22,49,17.81
2013-03-01,49,18.04
2013-03-08,59,18.58
2013-03-15,55,18.88
2013-03-22,57,17.97
2013-04-05,51,17.35
2013-04-12,51,17.58
2013-04-19,48,17.09
2013-04-26,44,17.88
2013-05-03,44,17.96
2013-05-10,50,22.48
2013-05-17,49,22.21
2013-05-24,53,22.77
2013-05-31,48,22.99
2013-06-07,45,23.61
2013-06-14,59,21.81
2013-06-21,48,21.98
2013-06-28,45,22.99
2013-07-05,43,23.83
2013-07-12,46,24.32
2013-07-19,47,24.27
2013-07-26,45,25.82
2013-08-02,43,26.57
2013-08-09,42,26.65
2013-08-16,46,26.89
2013-08-23,52,27.97
2013-08-30,46,26.64
2013-09-06,42,26.76
2013-09-13,50,26.67
2013-09-20,58,26.54
2013-09-27,63,25.95
2013-10-04,59,25.76
2013-10-11,50,24.72
2013-10-18,47,25.03
2013-10-25,42,24.75
2013-11-01,47,25.63
2013-11-08,45,25.7
2013-11-15,47,24.06
2013-11-22,45,23.14
2013-11-29,50,22.17
2013-12-06,47,22.24
2013-12-13,45,22.22
2013-12-20,49,23.54
2013-12-27,61,23.17
2014-01-03,64,22.68
2014-01-10,48,23.01
2014-01-17,49,24.1
2014-01-24,45,23.84
2014-01-31,45,26.4
2014-02-07,48,27.2
2014-02-14,48,27.58
2014-02-21,50,28
2014-02-28,45,28.59
2014-03-07,46,29.38
2014-03-14,48,29.6
2014-03-21,50,29.75
2014-03-28,51,28.53
2014-04-04,48,28.6
2014-04-11,47,26.67
2014-04-25,49,28.21
