"Date","MU","Price"
2008-10-17,78,4.12
2008-10-24,78,3.55
2008-10-31,76,4.71
2008-11-07,76,4.48
2008-11-14,77,2.75
2008-11-21,76,1.87
2008-11-28,76,2.74
2008-12-05,76,2.04
2008-12-12,76,2.07
2008-12-19,79,2.99
2008-12-26,92,2.59
2009-01-02,88,2.84
2009-01-09,77,3.29
2009-01-16,78,3.4
2009-01-23,77,3.56
2009-01-30,82,3.72
2009-02-06,80,4.08
2009-02-13,78,3.73
2009-02-20,77,2.81
2009-02-27,82,3.22
2009-03-06,82,2.91
2009-03-13,79,3.64
2009-03-20,79,3.43
2009-03-27,77,4.17
2009-04-03,79,4.5
2009-04-17,83,5
2009-04-24,81,4.86
2009-05-01,83,4.89
2009-05-08,85,4.85
2009-05-15,83,4.24
2009-05-22,81,4.51
2009-05-29,88,5.06
2009-06-05,79,5.3
2009-06-12,79,5.47
2009-06-19,80,5.33
2009-06-26,79,5.1
2009-07-10,85,5.08
2009-07-17,90,5.75
2009-07-24,90,6.27
2009-07-31,85,6.39
2009-08-07,86,6.83
2009-08-14,84,6.72
2009-08-21,86,7.14
2009-08-28,85,7.56
2009-09-04,86,7.35
2009-09-11,84,7.87
2009-09-18,81,8.2
2009-09-25,78,8.1
2009-10-02,74,7.46
2009-10-09,74,8.78
2009-10-16,76,7.95
2009-10-23,73,7.45
2009-10-30,74,6.79
2009-11-06,75,7.08
2009-11-13,74,7.51
2009-11-20,74,7.26
2009-11-27,77,7.3
2009-12-04,74,8.45
2009-12-11,75,8.64
2009-12-18,76,8.78
2010-01-08,75,11.1
2010-01-15,72,10.13
2010-01-22,73,9.13
2010-01-29,72,8.72
2010-02-05,74,8.7
2010-02-12,72,8.44
2010-02-19,76,8.9
2010-02-26,70,9.06
2010-03-05,72,9.46
2010-03-12,74,9.97
2010-03-19,76,9.95
2010-03-26,74,10.49
2010-04-09,79,10.73
2010-04-16,73,10.92
2010-04-23,77,11
2010-04-30,72,9.35
2010-05-07,71,8.57
2010-05-14,73,8.94
2010-05-21,72,8.93
2010-05-28,73,9.09
2010-06-04,74,8.86
2010-06-11,73,8.93
2010-06-18,71,10
2010-06-25,73,9.46
2010-07-02,74,8.22
2010-07-09,73,8.57
2010-07-16,74,8.27
2010-07-23,79,8.48
2010-07-30,80,7.28
2010-08-06,77,7.58
2010-08-13,78,7.28
2010-08-20,82,7.12
2010-08-27,79,6.83
2010-09-03,77,7.05
2010-09-10,74,6.51
2010-09-17,73,6.76
2010-09-24,77,7.2
2010-10-01,78,7.29
2010-10-08,76,7.59
2010-10-15,77,7.61
2010-10-22,73,7.69
2010-10-29,76,8.26
2010-11-05,76,8.66
2010-11-12,77,7.72
2010-11-19,73,7.39
2010-11-26,75,7.63
2010-12-03,73,7.92
2010-12-10,77,8.25
2010-12-17,79,8.21
2010-12-31,83,8.02
2011-01-07,78,8.65
2011-01-14,75,9.71
2011-01-21,76,9.84
2011-01-28,78,10.37
2011-02-04,76,11.05
2011-02-11,78,11.32
2011-02-18,78,11.7
2011-02-25,79,11.44
2011-03-04,81,11.64
2011-03-11,83,10.24
2011-03-18,77,10.07
2011-03-25,77,11.55
2011-04-01,76,11.3
2011-04-08,82,11.07
2011-04-15,84,10.75
2011-04-29,87,11.32
2011-05-06,86,10.87
2011-05-13,91,10.4
2011-05-20,82,10
2011-05-27,97,10.02
2011-06-03,91,9.16
2011-06-10,82,8.44
2011-06-17,84,7.83
2011-06-24,85,7.21
2011-07-01,88,7.83
2011-07-08,86,7.68
2011-07-15,92,7.41
2011-07-22,91,8.09
2011-07-29,95,7.37
2011-08-05,98,6.31
2011-08-12,95,6.18
2011-08-19,94,5.25
2011-08-26,93,5.66
2011-09-02,95,5.5
2011-09-09,88,6.35
2011-09-16,91,7.03
2011-09-23,96,6.65
2011-09-30,91,5.04
2011-10-07,89,4.95
2011-10-14,92,5.7
2011-10-21,90,5.46
2011-10-28,100,5.88
2011-11-04,95,5.89
2011-11-11,90,5.43
2011-11-18,89,6.29
2011-11-25,90,5.5
2011-12-02,88,5.8
2011-12-09,90,5.89
2011-12-16,88,5.68
2011-12-23,91,6.4
2011-12-30,97,6.29
2012-01-06,95,7.2
2012-01-13,87,7.23
2012-01-20,83,7.76
2012-01-27,64,7.43
2012-02-03,60,7.95
2012-02-10,64,7.91
2012-02-17,58,8.43
2012-02-24,60,7.95
2012-03-02,58,8.65
2012-03-09,60,8.33
2012-03-16,58,8.82
2012-03-23,56,8.4
2012-03-30,54,8.1
2012-04-13,54,6.96
2012-04-20,53,6.64
2012-04-27,52,6.57
2012-05-04,59,6.55
2012-05-11,49,6.36
2012-05-18,51,5.63
2012-05-25,49,5.96
2012-06-01,50,5.45
2012-06-08,50,5.88
2012-06-15,47,5.89
2012-06-22,49,5.74
2012-06-29,48,6.31
2012-07-06,49,6.72
2012-07-13,49,6.13
2012-07-20,51,5.83
2012-07-27,54,6.28
2012-08-03,52,6.33
2012-08-10,54,6.76
2012-08-17,54,6.57
2012-08-24,55,6.3
2012-08-31,52,6.21
2012-09-07,53,6.42
2012-09-14,53,6.7
2012-09-21,54,6.36
2012-09-28,55,5.98
2012-10-05,52,5.89
2012-10-12,49,5.67
2012-10-19,47,5.45
2012-10-26,50,5.47
2012-11-02,60,5.71
2012-11-09,49,5.62
2012-11-16,49,5.47
2012-11-23,48,5.68
2012-11-30,47,5.97
2012-12-07,48,6.44
2012-12-14,51,6.85
2012-12-21,50,6.32
2012-12-28,54,6.13
2013-01-04,52,6.96
2013-01-11,50,7.54
2013-01-18,52,7.89
2013-01-25,50,7.87
2013-02-01,49,7.83
2013-02-08,47,7.75
2013-02-15,61,7.91
2013-02-22,48,8.02
2013-03-01,48,8.25
2013-03-08,69,9.2
2013-03-15,53,9.37
2013-03-22,46,10.04
2013-04-05,51,9.31
2013-04-12,52,10.01
2013-04-19,47,9.35
2013-04-26,50,9.43
2013-05-03,51,9.63
2013-05-10,52,10.82
2013-05-17,47,11.31
2013-05-24,46,11.59
2013-05-31,45,11.68
2013-06-07,45,12.65
2013-06-14,46,12.76
2013-06-21,43,13.9
2013-06-28,45,14.33
2013-07-05,47,14.31
2013-07-12,51,12.69
2013-07-19,53,13.73
2013-07-26,51,12.59
2013-08-02,50,13.5
2013-08-09,46,13.99
2013-08-16,49,14.01
2013-08-23,46,13.86
2013-08-30,54,13.57
2013-09-06,49,15.26
2013-09-13,45,16.2
2013-09-20,46,17.23
2013-09-27,50,17.62
2013-10-04,47,18.47
2013-10-11,48,16.84
2013-10-18,45,17.03
2013-10-25,47,16.58
2013-11-01,48,17.58
2013-11-08,49,18.11
2013-11-15,55,19.46
2013-11-22,45,20.19
2013-11-29,49,21.1
2013-12-06,49,22.31
2013-12-13,48,23.08
2013-12-20,51,22.17
2013-12-27,51,21.52
2014-01-03,50,20.97
2014-01-10,51,23.71
2014-01-17,48,22.38
2014-01-24,55,22.92
2014-01-31,49,23.04
2014-02-07,45,24.51
2014-02-14,51,25.08
2014-02-21,47,25.08
2014-02-28,51,24.19
2014-03-07,48,24.42
2014-03-14,48,23.96
2014-03-21,57,23.66
2014-03-28,55,21.91
2014-04-04,57,22.58
2014-04-11,55,21.13
2014-04-25,53,25.26
