"Date","WU","Price"
2008-05-09,45,22.97
2008-05-16,44,23.42
2008-05-23,42,22.72
2008-05-30,41,23.64
2008-06-06,40,22.93
2008-06-13,40,24.03
2008-06-20,42,25.1
2008-06-27,41,25.19
2008-07-11,43,24.04
2008-07-18,47,25.86
2008-07-25,45,27.41
2008-08-01,44,27.57
2008-08-08,43,26.84
2008-08-15,49,28.35
2008-08-22,49,28.2
2008-08-29,44,27.62
2008-09-05,43,26.86
2008-09-12,43,25.51
2008-09-19,41,25.72
2008-09-26,42,25.23
2008-10-03,43,21.24
2008-10-10,45,18.13
2008-10-17,44,19.21
2008-10-24,42,14.53
2008-10-31,44,15.26
2008-11-07,42,15.49
2008-11-14,47,13.49
2008-11-21,53,11.92
2008-11-28,44,13.27
2008-12-05,42,12.65
2008-12-12,42,13.71
2008-12-19,40,13.83
2008-12-26,40,14.01
2009-01-02,41,15.2
2009-01-09,41,15.03
2009-01-16,43,14.74
2009-01-23,71,13.77
2009-01-30,42,13.66
2009-02-06,41,12.84
2009-02-13,41,12.58
2009-02-20,41,11.42
2009-02-27,40,11.16
2009-03-06,39,10.43
2009-03-13,39,12
2009-03-20,37,12.02
2009-03-27,39,12.65
2009-04-03,39,13.82
2009-04-17,38,14.92
2009-04-24,37,17.47
2009-05-01,47,17.01
2009-05-08,44,17.9
2009-05-15,40,16.36
2009-05-22,38,16.51
2009-05-29,42,17.63
2009-06-05,39,16.93
2009-06-12,37,17.25
2009-06-19,40,16.14
2009-06-26,39,16.43
2009-07-10,37,16.19
2009-07-17,36,18
2009-07-24,38,18.46
2009-07-31,39,17.48
2009-08-07,39,18.07
2009-08-14,45,17.94
2009-08-21,39,18.58
2009-08-28,38,18.77
2009-09-04,39,18.18
2009-09-11,40,18.87
2009-09-18,40,19.56
2009-09-25,39,19.08
2009-10-02,40,18.17
2009-10-09,42,19.06
2009-10-16,45,19.78
2009-10-23,40,18.79
2009-10-30,39,18.17
2009-11-06,39,18.81
2009-11-13,39,19.44
2009-11-20,38,18.83
2009-11-27,39,18.5
2009-12-04,36,18.14
2009-12-11,37,19.07
2009-12-18,38,19.13
2010-01-08,37,19.8
2010-01-15,37,19.53
2010-01-22,39,18.8
2010-01-29,39,18.54
2010-02-05,37,16.5
2010-02-12,37,16.12
2010-02-19,39,16.35
2010-02-26,38,15.78
2010-03-05,42,16.31
2010-03-12,41,16.91
2010-03-19,37,16.66
2010-03-26,40,17.05
2010-04-09,40,17.49
2010-04-16,39,17.24
2010-04-23,44,17.78
2010-04-30,43,18.25
2010-05-07,39,16.55
2010-05-14,37,16.64
2010-05-21,37,15.9
2010-05-28,36,15.96
2010-06-04,36,15.63
2010-06-11,35,16.09
2010-06-18,37,16.2
2010-06-25,35,16
2010-07-02,36,14.9
2010-07-09,35,15.87
2010-07-16,34,15.34
2010-07-23,37,16.31
2010-07-30,39,16.23
2010-08-06,39,16.29
2010-08-13,38,15.98
2010-08-20,37,15.94
2010-08-27,36,16.03
2010-09-03,36,16.48
2010-09-10,37,16.36
2010-09-17,36,16.98
2010-09-24,35,17.55
2010-10-01,38,17.68
2010-10-08,39,17.74
2010-10-15,40,17.89
2010-10-22,37,17.9
2010-10-29,37,17.59
2010-11-05,37,18.24
2010-11-12,37,18.11
2010-11-19,37,18.09
2010-11-26,36,18.15
2010-12-03,36,18.25
2010-12-10,36,18.71
2010-12-17,37,18.28
2010-12-31,36,18.57
2011-01-07,39,19.19
2011-01-14,38,19.26
2011-01-21,38,19.31
2011-01-28,38,19.75
2011-02-04,36,20.96
2011-02-11,36,21.4
2011-02-18,36,21.66
2011-02-25,40,21.72
2011-03-04,39,21.72
2011-03-11,38,21.16
2011-03-18,34,21.09
2011-03-25,36,21.76
2011-04-01,36,20.77
2011-04-08,36,20.76
2011-04-15,37,21.05
2011-04-29,36,21.25
2011-05-06,36,20.72
2011-05-13,37,20.7
2011-05-20,37,20.6
2011-05-27,36,20.38
2011-06-03,38,19.8
2011-06-10,38,19.63
2011-06-17,41,19.73
2011-06-24,41,19.23
2011-07-01,40,20.24
2011-07-08,38,19.77
2011-07-15,42,19.09
2011-07-22,47,19.37
2011-07-29,66,19.41
2011-08-05,44,17.84
2011-08-12,39,16.93
2011-08-19,38,15.81
2011-08-26,38,16.26
2011-09-02,40,16
2011-09-09,38,15.55
2011-09-16,38,16.48
2011-09-23,38,15.1
2011-09-30,38,15.29
2011-10-07,40,15.82
2011-10-14,39,16.75
2011-10-21,38,17.19
2011-10-28,38,18.01
2011-11-04,37,17.36
2011-11-11,41,17.3
2011-11-18,40,16.2
2011-11-25,39,16.3
2011-12-02,39,17.55
2011-12-09,38,18.18
2011-12-16,39,17.78
2011-12-23,38,18.47
2011-12-30,36,18.26
2012-01-06,44,18.31
2012-01-13,47,18.83
2012-01-20,50,19.05
2012-01-27,48,19.16
2012-02-03,53,19.73
2012-02-10,68,17.59
2012-02-17,44,17.97
2012-02-24,40,17.88
2012-03-02,39,17.29
2012-03-09,44,17.67
2012-03-16,47,18.05
2012-03-23,42,17.93
2012-03-30,41,17.6
2012-04-13,40,17.56
2012-04-20,40,18
2012-04-27,40,18.57
2012-05-04,38,17.7
2012-05-11,36,17.12
2012-05-18,37,16.54
2012-05-25,38,16.9
2012-06-01,38,15.97
2012-06-08,37,16.2
2012-06-15,36,16.24
2012-06-22,37,16.74
2012-06-29,36,16.84
2012-07-06,34,16.83
2012-07-13,36,16.69
2012-07-20,35,16.76
2012-07-27,36,17.62
2012-08-03,42,17.26
2012-08-10,44,17.65
2012-08-17,37,17.69
2012-08-24,43,17.42
2012-08-31,37,17.61
2012-09-07,40,18.15
2012-09-14,38,19.11
2012-09-21,37,18.67
2012-09-28,51,18.22
2012-10-05,38,18.46
2012-10-12,38,17.88
2012-10-19,37,17.93
2012-10-26,38,17.93
2012-11-02,35,11.95
2012-11-09,35,12.35
2012-11-16,36,12.71
2012-11-23,36,12.8
2012-11-30,38,12.61
2012-12-07,36,13
2012-12-14,35,13.11
2012-12-21,32,13.59
2012-12-28,32,13.38
2013-01-04,36,14.02
2013-01-11,35,13.8
2013-01-18,36,13.41
2013-01-25,58,13.53
2013-02-01,38,14.38
2013-02-08,37,14.66
2013-02-15,36,14.4
2013-02-22,35,14.02
2013-03-01,35,14.26
2013-03-08,37,14.63
2013-03-15,36,14.67
2013-03-22,33,14.64
2013-04-05,35,14.32
2013-04-12,38,15.04
2013-04-19,37,14.47
2013-04-26,37,14.58
2013-05-03,36,15.64
2013-05-10,35,15.99
2013-05-17,35,16.65
2013-05-24,36,16.45
2013-05-31,35,16.38
2013-06-07,36,16.65
2013-06-14,37,17.02
2013-06-21,35,16.58
2013-06-28,35,17.11
2013-07-05,33,17.04
2013-07-12,35,17.47
2013-07-19,35,17.32
2013-07-26,35,16.96
2013-08-02,34,18.31
2013-08-09,36,18.46
2013-08-16,37,18.25
2013-08-23,38,18.3
2013-08-30,36,17.53
2013-09-06,37,18.06
2013-09-13,51,18.41
2013-09-20,47,18.64
2013-09-27,43,18.64
2013-10-04,44,18.78
2013-10-11,40,18.41
2013-10-18,39,18.66
2013-10-25,38,19.29
2013-11-01,39,17.48
2013-11-08,39,17.21
2013-11-15,43,16.7
2013-11-22,42,16.84
2013-11-29,39,16.67
2013-12-06,37,16.77
2013-12-13,38,16.37
2013-12-20,37,17.01
2013-12-27,33,17.2
2014-01-03,35,16.92
2014-01-10,39,16.77
2014-01-17,36,16.45
2014-01-24,35,15.74
2014-01-31,37,15.4
2014-02-07,36,15.63
2014-02-14,38,16.26
2014-02-21,36,16.04
2014-02-28,37,16.73
2014-03-07,37,16.72
2014-03-14,36,15.93
2014-03-21,38,16.2
2014-03-28,42,16.21
2014-04-04,39,16.38
2014-04-11,37,15.79
2014-04-25,48,15.55
