"Date","UnitedHealth","Price"
2009-02-27,22,19.65
2009-03-06,31,17.9
2009-03-13,26,21.36
2009-03-20,25,20.63
2009-03-27,25,21.08
2009-04-03,27,20.54
2009-04-17,24,24.14
2009-04-24,23,23.06
2009-05-01,23,22.97
2009-05-08,22,28.87
2009-05-15,25,27.51
2009-05-22,17,26.3
2009-05-29,25,26.6
2009-06-05,25,27.1
2009-06-12,25,24.21
2009-06-19,23,25.43
2009-06-26,25,24.77
2009-07-10,26,24.67
2009-07-17,39,25.09
2009-07-24,31,27.32
2009-07-31,29,28.06
2009-08-07,25,26.51
2009-08-14,25,28.06
2009-08-21,30,28.92
2009-08-28,30,28.18
2009-09-04,30,28.88
2009-09-11,21,29.07
2009-09-18,22,28.58
2009-09-25,22,25.34
2009-10-02,17,24.28
2009-10-09,25,24.67
2009-10-16,16,24.45
2009-10-23,23,25.85
2009-10-30,22,25.95
2009-11-06,24,28.67
2009-11-13,17,29.08
2009-11-20,27,28.56
2009-11-27,14,29.44
2009-12-04,19,27.46
2009-12-11,15,30.48
2009-12-18,22,31.54
2010-01-08,19,32.7
2010-01-15,22,33.75
2010-01-22,20,33.16
2010-01-29,24,33
2010-02-05,20,32.54
2010-02-12,15,32.18
2010-02-19,22,31.94
2010-02-26,19,33.86
2010-03-05,19,33.74
2010-03-12,14,32.91
2010-03-19,22,34.39
2010-03-26,20,32.63
2010-04-09,23,32.26
2010-04-16,25,30.73
2010-04-23,29,30.95
2010-04-30,26,30.31
2010-05-07,19,29.02
2010-05-14,21,30.39
2010-05-21,23,28.7
2010-05-28,22,29.07
2010-06-04,15,30.34
2010-06-11,17,30.67
2010-06-18,18,31.33
2010-06-25,16,29.88
2010-07-02,22,28.3
2010-07-09,20,29.97
2010-07-16,28,30.34
2010-07-23,32,30.92
2010-07-30,30,30.45
2010-08-06,31,33.45
2010-08-13,23,32.03
2010-08-20,36,31.61
2010-08-27,42,32.37
2010-09-03,38,33.91
2010-09-10,31,34.49
2010-09-17,42,34.13
2010-09-24,41,35.73
2010-10-01,46,35.43
2010-10-08,42,34.35
2010-10-15,41,35.98
2010-10-22,52,37.26
2010-10-29,45,36.05
2010-11-05,50,36.86
2010-11-12,43,36.67
2010-11-19,44,36
2010-11-26,34,35.88
2010-12-03,44,37.82
2010-12-10,47,36.67
2010-12-17,44,35.05
2010-12-31,38,36.11
2011-01-07,57,38.45
2011-01-14,32,40.77
2011-01-21,30,40.41
2011-01-28,30,40.93
2011-02-04,28,42.49
2011-02-11,39,42.38
2011-02-18,46,42.84
2011-02-25,35,42.52
2011-03-04,37,44.45
2011-03-11,41,43.59
2011-03-18,33,42.6
2011-03-25,40,43.75
2011-04-01,32,45.61
2011-04-08,39,44.38
2011-04-15,29,44.98
2011-04-29,29,49.23
2011-05-06,26,50.12
2011-05-13,20,49.95
2011-05-20,22,49.74
2011-05-27,30,48.3
2011-06-03,25,48.85
2011-06-10,24,49.41
2011-06-17,28,49.96
2011-06-24,30,50.46
2011-07-01,31,53.13
2011-07-08,26,52.08
2011-07-15,27,51.97
2011-07-22,28,52.75
2011-07-29,28,49.63
2011-08-05,29,45.56
2011-08-12,25,44.81
2011-08-19,24,43.32
2011-08-26,24,45.72
2011-09-02,22,45.73
2011-09-09,24,45.52
2011-09-16,26,50.76
2011-09-23,31,47.6
2011-09-30,26,46.12
2011-10-07,23,44.89
2011-10-14,27,47.22
2011-10-21,26,47.92
2011-10-28,26,48.85
2011-11-04,23,45.58
2011-11-11,23,47.13
2011-11-18,30,44.55
2011-11-25,21,43.67
2011-12-02,27,48.23
2011-12-09,20,48.91
2011-12-16,25,49
2011-12-23,17,51.35
2011-12-30,17,50.68
2012-01-06,20,52.78
2012-01-13,30,52.7
2012-01-20,47,52.27
2012-01-27,45,51.02
2012-02-03,50,51.31
2012-02-10,49,53.32
2012-02-17,43,54.68
2012-02-24,44,55.65
2012-03-02,42,55.84
2012-03-09,45,55.78
2012-03-16,38,55.59
2012-03-23,38,53.66
2012-03-30,26,58.94
2012-04-13,25,58.05
2012-04-20,27,59.51
2012-04-27,27,57.91
2012-05-04,27,54.72
2012-05-11,24,55.2
2012-05-18,24,53.99
2012-05-25,30,56.12
2012-06-01,25,55.04
2012-06-08,26,58
2012-06-15,30,58.9
2012-06-22,31,59.07
2012-06-29,48,58.5
2012-07-06,42,55.82
2012-07-13,45,55.2
2012-07-20,49,55.41
2012-07-27,45,53.34
2012-08-03,42,51.61
2012-08-10,44,51.9
2012-08-17,40,53.13
2012-08-24,50,54.16
2012-08-31,54,54.3
2012-09-07,41,54.88
2012-09-14,47,54.25
2012-09-21,52,56.18
2012-09-28,34,55.41
2012-10-05,36,57.13
2012-10-12,42,57.07
2012-10-19,35,55.66
2012-10-26,30,55.78
2012-11-02,28,56.05
2012-11-09,33,52.9
2012-11-16,30,51.9
2012-11-23,26,53.92
2012-11-30,38,54.39
2012-12-07,39,53.87
2012-12-14,41,54.05
2012-12-21,40,55.03
2012-12-28,37,53.86
2013-01-04,38,52.09
2013-01-11,44,52.82
2013-01-18,49,54.56
2013-01-25,46,56.04
2013-02-01,40,55.77
2013-02-08,44,57.74
2013-02-15,43,57.32
2013-02-22,39,54.47
2013-03-01,43,53.52
2013-03-08,42,53.81
2013-03-15,37,54.73
2013-03-22,34,54.46
2013-04-05,41,62.1
2013-04-12,38,63.03
2013-04-19,35,60.04
2013-04-26,34,59.48
2013-05-03,37,58.92
2013-05-10,35,62.91
2013-05-17,31,62.84
2013-05-24,33,62.06
2013-05-31,36,62.63
2013-06-07,34,62.57
2013-06-14,34,63.8
2013-06-21,32,63.9
2013-06-28,36,65.48
2013-07-05,27,66.17
2013-07-12,35,68
2013-07-19,37,71.45
2013-07-26,48,72.21
2013-08-02,49,72.26
2013-08-09,46,72.93
2013-08-16,43,71.43
2013-08-23,41,72.54
2013-08-30,46,71.74
2013-09-06,43,74.06
2013-09-13,44,74.48
2013-09-20,45,70.57
2013-09-27,41,71.99
2013-10-04,50,72.99
2013-10-11,44,74.27
2013-10-18,48,68.76
2013-10-25,50,67.62
2013-11-01,47,68.63
2013-11-08,46,70.5
2013-11-15,48,71.87
2013-11-22,42,73.74
2013-11-29,27,74.48
2013-12-06,40,73.5
2013-12-13,35,70.48
2013-12-20,32,73.35
2013-12-27,24,74.69
2014-01-03,25,75.1
2014-01-10,37,74.7
2014-01-17,40,72.52
2014-01-24,39,71.6
2014-01-31,42,72.28
2014-02-07,36,71.36
2014-02-14,33,73.52
2014-02-21,39,73.81
2014-02-28,33,77.27
2014-03-07,38,77.4
2014-03-14,36,75.7
2014-03-21,32,81.34
2014-03-28,37,81.62
2014-04-04,44,81.53
2014-04-11,30,78.95
2014-04-25,36,75.66
