"Date","AT.T","Price"
2006-03-31,71,27.04
2006-04-07,72,26.16
2006-04-21,75,25.35
2006-04-28,76,26.21
2006-05-05,76,25.97
2006-05-12,72,25.62
2006-05-19,72,25.28
2006-05-26,71,26.23
2006-06-02,70,26.73
2006-06-09,70,26.62
2006-06-16,70,27.79
2006-06-23,69,27.37
2006-06-30,69,27.89
2006-07-07,67,27.74
2006-07-14,71,26.58
2006-07-21,72,27.34
2006-07-28,73,30.06
2006-08-04,73,30.97
2006-08-11,71,30.22
2006-08-18,71,30.51
2006-08-25,70,30.63
2006-09-01,70,31.61
2006-09-08,70,31.35
2006-09-15,71,31.86
2006-09-22,69,32.9
2006-09-29,69,32.56
2006-10-06,70,31.78
2006-10-13,70,33.6
2006-10-20,69,34.44
2006-10-27,67,34.22
2006-11-03,69,33.72
2006-11-10,71,33.05
2006-11-17,67,33.2
2006-11-24,63,32.67
2006-12-01,66,34
2006-12-08,66,34.97
2006-12-15,66,35.66
2006-12-22,64,34.98
2006-12-29,66,35.75
2007-01-05,70,33.96
2007-01-12,70,34.73
2007-01-19,68,35.07
2007-01-26,69,36.4
2007-02-02,68,38.12
2007-02-09,69,36.9
2007-02-16,68,37.48
2007-02-23,68,37
2007-03-02,68,36.44
2007-03-09,70,36.55
2007-03-16,66,36.98
2007-03-23,69,38.88
2007-03-30,68,39.43
2007-04-13,69,38.84
2007-04-20,71,39.87
2007-04-27,70,38.64
2007-05-04,70,39.48
2007-05-11,68,39.59
2007-05-18,71,41.1
2007-05-25,70,40.76
2007-06-01,70,40.53
2007-06-08,71,40.26
2007-06-15,69,40.28
2007-06-22,69,38.85
2007-06-29,71,41.5
2007-07-06,71,40.66
2007-07-13,73,40.4
2007-07-20,74,39.06
2007-07-27,70,39.24
2007-08-03,71,39.45
2007-08-10,74,38.87
2007-08-17,72,39.05
2007-08-24,71,40.36
2007-08-31,69,39.87
2007-09-07,68,38.73
2007-09-14,73,40.44
2007-09-21,72,42.53
2007-09-28,71,42.31
2007-10-05,70,42.14
2007-10-12,72,42.29
2007-10-19,70,41.37
2007-10-26,70,41.46
2007-11-02,70,40.42
2007-11-09,71,39.2
2007-11-16,68,39.55
2007-11-23,66,37.63
2007-11-30,69,38.21
2007-12-07,72,38.47
2007-12-14,71,41.14
2007-12-21,70,41.48
2007-12-28,67,42.44
2008-01-04,74,40.89
2008-01-11,73,38.2
2008-01-18,70,36.11
2008-01-25,72,35.26
2008-02-01,74,38.28
2008-02-08,74,36.37
2008-02-15,77,37.88
2008-02-22,72,34.98
2008-02-29,75,34.83
2008-03-07,75,35.01
2008-03-14,73,35.03
2008-03-28,74,37.66
2008-04-04,77,38.48
2008-04-11,74,37.3
2008-04-18,73,37.51
2008-04-25,76,38.58
2008-05-02,76,40.13
2008-05-09,74,38.59
2008-05-16,74,40.07
2008-05-23,75,38.53
2008-05-30,71,39.9
2008-06-06,74,38.21
2008-06-13,75,36.68
2008-06-20,76,34.43
2008-06-27,80,32.76
2008-07-11,78,32.58
2008-07-18,79,32.12
2008-07-25,79,31.4
2008-08-01,78,30.44
2008-08-08,79,30.97
2008-08-15,83,31.66
2008-08-22,80,31.17
2008-08-29,78,31.99
2008-09-05,74,31.5
2008-09-12,76,31.54
2008-09-19,77,30.43
2008-09-26,77,30
2008-10-03,76,28.12
2008-10-10,75,22.42
2008-10-17,78,25.29
2008-10-24,78,24.68
2008-10-31,75,26.77
2008-11-07,77,27
2008-11-14,81,27.65
2008-11-21,81,25.19
2008-11-28,75,28.56
2008-12-05,80,28.15
2008-12-12,78,28.18
2008-12-19,79,28.12
2008-12-26,72,27.94
2009-01-02,80,29.42
2009-01-09,79,26.68
2009-01-16,80,25.23
2009-01-23,83,26.12
2009-01-30,79,24.62
2009-02-06,77,26.08
2009-02-13,78,24.19
2009-02-20,79,23.58
2009-02-27,83,23.77
2009-03-06,79,22.58
2009-03-13,78,24.27
2009-03-20,80,25.33
2009-03-27,78,26
2009-04-03,80,26.83
2009-04-17,79,25.95
2009-04-24,77,25.16
2009-05-01,78,26.01
2009-05-08,79,25.25
2009-05-15,78,24.88
2009-05-22,81,23.68
2009-05-29,77,24.79
2009-06-05,80,24.56
2009-06-12,79,25.01
2009-06-19,80,24.04
2009-06-26,78,24.82
2009-07-10,84,23.44
2009-07-17,83,23.98
2009-07-24,84,25.45
2009-07-31,81,26.23
2009-08-07,80,25.62
2009-08-14,84,25.45
2009-08-21,87,26
2009-08-28,78,26.21
2009-09-04,82,25.51
2009-09-11,79,26.66
2009-09-18,86,27.05
2009-09-25,82,26.96
2009-10-02,80,26.52
2009-10-09,81,25.66
2009-10-16,82,25.7
2009-10-23,80,25.73
2009-10-30,82,25.67
2009-11-06,84,25.93
2009-11-13,83,26.25
2009-11-20,82,26.02
2009-11-27,80,26.99
2009-12-04,80,27.6
2009-12-11,78,28.01
2009-12-18,78,27.32
2010-01-08,81,27.1
2010-01-15,82,25.79
2010-01-22,82,25.39
2010-01-29,78,25.36
2010-02-05,85,25.24
2010-02-12,81,25.07
2010-02-19,81,25.1
2010-02-26,83,24.81
2010-03-05,84,24.99
2010-03-12,84,25.62
2010-03-19,80,26.24
2010-03-26,82,26.24
2010-04-09,85,26.44
2010-04-16,83,25.93
2010-04-23,83,26.25
2010-04-30,82,26.06
2010-05-07,83,25.1
2010-05-14,81,25.4
2010-05-21,83,24.85
2010-05-28,82,24.3
2010-06-04,82,24.17
2010-06-11,83,25.29
2010-06-18,85,25.43
2010-06-25,83,24.79
2010-07-02,86,24.29
2010-07-09,86,24.83
2010-07-16,89,24.69
2010-07-23,91,25.54
2010-07-30,88,25.94
2010-08-06,91,26.54
2010-08-13,88,26.72
2010-08-20,92,26.45
2010-08-27,87,26.94
2010-09-03,85,27.44
2010-09-10,84,27.83
2010-09-17,85,28.17
2010-09-24,85,28.58
2010-10-01,84,28.81
2010-10-08,83,28.22
2010-10-15,83,28.33
2010-10-22,85,28.29
2010-10-29,82,28.52
2010-11-05,85,29.27
2010-11-12,85,28.46
2010-11-19,87,28.32
2010-11-26,83,27.93
2010-12-03,84,28.49
2010-12-10,82,28.89
2010-12-17,81,29.21
2010-12-31,82,29.38
2011-01-07,86,28.85
2011-01-14,85,28.43
2011-01-21,85,28.33
2011-01-28,86,27.49
2011-02-04,85,27.97
2011-02-11,87,28.47
2011-02-18,88,28.57
2011-02-25,87,28.13
2011-03-04,89,27.92
2011-03-11,89,28.46
2011-03-18,84,27.94
2011-03-25,88,28.85
2011-04-01,90,30.62
2011-04-08,94,30.71
2011-04-15,92,30.65
2011-04-29,94,31.12
2011-05-06,97,31.26
2011-05-13,93,31.41
2011-05-20,92,31.32
2011-05-27,91,31.29
2011-06-03,90,30.65
2011-06-10,93,30.34
2011-06-17,95,30.77
2011-06-24,94,30.44
2011-07-01,93,31.68
2011-07-08,93,31.14
2011-07-15,96,30.31
2011-07-22,94,30.32
2011-07-29,94,29.26
2011-08-05,95,28.93
2011-08-12,93,28.22
2011-08-19,91,27.99
2011-08-26,92,29.04
2011-09-02,91,28.05
2011-09-09,90,27.54
2011-09-16,91,28.94
2011-09-23,90,27.85
2011-09-30,89,28.52
2011-10-07,89,28.44
2011-10-14,85,29.17
2011-10-21,88,29.13
2011-10-28,88,29.74
2011-11-04,90,29.16
2011-11-11,91,29.42
2011-11-18,89,28.64
2011-11-25,86,27.41
2011-12-02,89,28.96
2011-12-09,91,29.03
2011-12-16,87,28.85
2011-12-23,85,29.87
2011-12-30,83,30.24
2012-01-06,86,29.68
2012-01-13,90,30.07
2012-01-20,88,30.51
2012-01-27,91,29.16
2012-02-03,90,29.95
2012-02-10,90,29.84
2012-02-17,94,30.01
2012-02-24,93,30.34
2012-03-02,92,30.87
2012-03-09,90,31.18
2012-03-16,89,31.59
2012-03-23,89,31.52
2012-03-30,90,31.23
2012-04-13,94,30.54
2012-04-20,92,30.86
2012-04-27,93,32.67
2012-05-04,93,32.86
2012-05-11,90,33.59
2012-05-18,90,33.66
2012-05-25,90,33.69
2012-06-01,89,33.9
2012-06-08,93,34.55
2012-06-15,93,35.71
2012-06-22,91,35.17
2012-06-29,90,35.66
2012-07-06,91,35.44
2012-07-13,93,35.35
2012-07-20,94,35.29
2012-07-27,96,37.14
2012-08-03,98,37.58
2012-08-10,100,37.49
2012-08-17,100,37.17
2012-08-24,98,36.95
2012-08-31,96,36.64
2012-09-07,98,37.3
2012-09-14,95,37.26
2012-09-21,96,38.08
2012-09-28,93,37.7
2012-10-05,93,37.86
2012-10-12,90,35.63
2012-10-19,91,35.32
2012-10-26,90,34.63
2012-11-02,87,34.93
2012-11-09,92,33.54
2012-11-16,92,33.14
2012-11-23,88,34.36
2012-11-30,90,34.13
2012-12-07,93,33.74
2012-12-14,94,34.01
2012-12-21,84,33.67
2012-12-28,85,33.32
2013-01-04,92,35.23
2013-01-11,91,34.27
2013-01-18,91,33.44
2013-01-25,94,34.02
2013-02-01,90,35.51
2013-02-08,92,35.27
2013-02-15,95,35.36
2013-02-22,91,35.68
2013-03-01,96,36.01
2013-03-08,93,36.68
2013-03-15,90,36.43
2013-03-22,93,36.43
2013-04-05,91,38.02
2013-04-12,95,38.59
2013-04-19,96,38.28
2013-04-26,96,37.04
2013-05-03,97,37.34
2013-05-10,97,37.36
2013-05-17,94,37.44
2013-05-24,94,36.75
2013-05-31,91,34.99
2013-06-07,93,35.45
2013-06-14,93,35.91
2013-06-21,96,34.47
2013-06-28,95,35.4
2013-07-05,97,35.83
2013-07-12,95,35.81
2013-07-19,97,35.81
2013-07-26,96,35.6
2013-08-02,97,35.77
2013-08-09,94,34.8
2013-08-16,98,34.18
2013-08-23,95,34.29
2013-08-30,96,33.83
2013-09-06,92,33.41
2013-09-13,94,34.32
2013-09-20,92,34.31
2013-09-27,94,33.98
2013-10-04,92,33.75
2013-10-11,97,34.2
2013-10-18,93,34.61
2013-10-25,92,35.19
2013-11-01,95,36.24
2013-11-08,92,35.17
2013-11-15,97,35.43
2013-11-22,93,35.42
2013-11-29,90,35.21
2013-12-06,93,34.53
2013-12-13,97,33.85
2013-12-20,91,34.3
2013-12-27,85,35.18
2014-01-03,94,34.8
2014-01-10,92,33.62
2014-01-17,97,33.7
2014-01-24,94,33.42
2014-01-31,96,33.32
2014-02-07,94,32.3
2014-02-14,95,33.15
2014-02-21,95,32.8
2014-02-28,94,31.93
2014-03-07,99,32.54
2014-03-14,96,32.49
2014-03-21,95,34.3
2014-03-28,97,35.07
2014-04-04,97,35.55
2014-04-11,98,35.2
2014-04-25,97,34.49
