"Date","Procter...Gamble","Price"
2006-11-24,45,63.53
2006-12-01,46,62.69
2006-12-08,43,63.89
2006-12-15,43,64.11
2006-12-22,38,63.8
2006-12-29,31,64.27
2007-01-05,38,63.5
2007-01-12,47,65
2007-01-19,47,66.09
2007-01-26,51,64.86
2007-02-02,48,65.34
2007-02-09,44,64.43
2007-02-16,46,65.07
2007-02-23,50,64.82
2007-03-02,44,63.16
2007-03-09,48,62.16
2007-03-16,46,61.61
2007-03-23,54,63.8
2007-03-30,44,63.16
2007-04-13,43,63.38
2007-04-20,46,63.8
2007-04-27,46,62.98
2007-05-04,43,62.41
2007-05-11,46,61.65
2007-05-18,43,63.48
2007-05-25,41,62.96
2007-06-01,40,63.48
2007-06-08,41,63.07
2007-06-15,40,62.57
2007-06-22,36,61.03
2007-06-29,40,61.19
2007-07-06,39,61.48
2007-07-13,40,62.66
2007-07-20,41,62.15
2007-07-27,41,62.82
2007-08-03,41,62.88
2007-08-10,44,65.39
2007-08-17,42,65.35
2007-08-24,40,65.93
2007-08-31,42,65.31
2007-09-07,43,65.47
2007-09-14,45,67.81
2007-09-21,48,69.39
2007-09-28,46,70.34
2007-10-05,47,70.83
2007-10-12,48,71.7
2007-10-19,45,70.8
2007-10-26,43,71.75
2007-11-02,45,69.55
2007-11-09,45,70.42
2007-11-16,44,73.19
2007-11-23,42,72.86
2007-11-30,41,74
2007-12-07,41,74.12
2007-12-14,38,73.9
2007-12-21,38,74.08
2007-12-28,25,74.25
2008-01-04,37,72.02
2008-01-11,42,70.18
2008-01-18,43,67.15
2008-01-25,43,65.31
2008-02-01,43,66.05
2008-02-08,40,65.02
2008-02-15,40,66.3
2008-02-22,37,66.21
2008-02-29,43,66.18
2008-03-07,40,65.8
2008-03-14,40,66.74
2008-03-28,39,69.44
2008-04-04,40,70.6
2008-04-11,40,70
2008-04-18,38,67.17
2008-04-25,37,66.55
2008-05-02,36,66.8
2008-05-09,36,65.21
2008-05-16,39,66.75
2008-05-23,35,65.27
2008-05-30,37,66.05
2008-06-06,35,65.37
2008-06-13,33,66.45
2008-06-20,35,63.16
2008-06-27,34,60.49
2008-07-11,36,63.45
2008-07-18,36,63.67
2008-07-25,35,64.46
2008-08-01,32,64.95
2008-08-08,36,69.63
2008-08-15,33,71.6
2008-08-22,33,71.61
2008-08-29,33,69.77
2008-09-05,37,70.78
2008-09-12,35,73.15
2008-09-19,37,70.36
2008-09-26,39,68.84
2008-10-03,37,71.02
2008-10-10,39,59.56
2008-10-17,39,61.74
2008-10-24,42,58.87
2008-10-31,45,64.54
2008-11-07,40,64.49
2008-11-14,38,63.11
2008-11-21,37,63.09
2008-11-28,35,64.35
2008-12-05,34,62.63
2008-12-12,34,58.94
2008-12-19,29,60.18
2008-12-26,22,60.53
2009-01-02,24,62.8
2009-01-09,35,59.86
2009-01-16,38,57.73
2009-01-23,39,56
2009-01-30,35,54.5
2009-02-06,37,54
2009-02-13,37,51.09
2009-02-20,37,50.25
2009-02-27,36,48.17
2009-03-06,37,45.71
2009-03-13,38,46.95
2009-03-20,35,45.59
2009-03-27,37,48.57
2009-04-03,35,49.63
2009-04-17,35,51.66
2009-04-24,31,49.51
2009-05-01,30,49.5
2009-05-08,33,51.57
2009-05-15,34,50.67
2009-05-22,32,53.03
2009-05-29,31,51.94
2009-06-05,29,53.18
2009-06-12,32,52.55
2009-06-19,31,50.64
2009-06-26,28,51.75
2009-07-10,29,52.22
2009-07-17,30,55.92
2009-07-24,30,55.84
2009-07-31,29,55.51
2009-08-07,32,52.03
2009-08-14,31,52.37
2009-08-21,28,53.58
2009-08-28,32,53.19
2009-09-04,35,52.86
2009-09-11,34,55.64
2009-09-18,33,57.32
2009-09-25,38,58.01
2009-10-02,35,56.75
2009-10-09,36,57.56
2009-10-16,37,57.44
2009-10-23,39,57.64
2009-10-30,36,58
2009-11-06,35,61.04
2009-11-13,35,61.61
2009-11-20,34,61.8
2009-11-27,33,62.48
2009-12-04,30,62.6
2009-12-11,30,62.34
2009-12-18,28,61.55
2010-01-08,27,60.44
2010-01-15,32,60.82
2010-01-22,33,60.31
2010-01-29,32,61.55
2010-02-05,31,61.3
2010-02-12,31,61.76
2010-02-19,31,63.45
2010-02-26,31,63.28
2010-03-05,32,63.69
2010-03-12,30,63.32
2010-03-19,34,63.84
2010-03-26,33,63.69
2010-04-09,31,62.73
2010-04-16,31,62.85
2010-04-23,32,63.54
2010-04-30,32,62.16
2010-05-07,41,60.31
2010-05-14,31,62.54
2010-05-21,32,61.85
2010-05-28,30,61.09
2010-06-04,28,60.8
2010-06-11,28,61.01
2010-06-18,27,61.3
2010-06-25,26,59.79
2010-07-02,27,59.38
2010-07-09,25,61.75
2010-07-16,27,61.99
2010-07-23,28,61.91
2010-07-30,33,61.16
2010-08-06,30,60.02
2010-08-13,27,59.82
2010-08-20,28,59.98
2010-08-27,28,59.8
2010-09-03,29,60.29
2010-09-10,31,60.4
2010-09-17,28,60.97
2010-09-24,31,61.64
2010-10-01,33,60.16
2010-10-08,32,61.86
2010-10-15,35,62.76
2010-10-22,34,63.4
2010-10-29,33,63.57
2010-11-05,32,65
2010-11-12,31,64.33
2010-11-19,33,64.05
2010-11-26,32,62.13
2010-12-03,27,62.33
2010-12-10,31,63.2
2010-12-17,30,64.81
2010-12-31,23,64.33
2011-01-07,30,64.5
2011-01-14,34,65.53
2011-01-21,34,65.91
2011-01-28,32,64.2
2011-02-04,28,63.61
2011-02-11,31,64.73
2011-02-18,30,64.3
2011-02-25,30,62.84
2011-03-04,29,62.03
2011-03-11,31,61.49
2011-03-18,29,60.6
2011-03-25,29,60.88
2011-04-01,30,62.08
2011-04-08,31,61.9
2011-04-15,31,64.18
2011-04-29,26,64.9
2011-05-06,25,65.27
2011-05-13,28,66.86
2011-05-20,27,67.36
2011-05-27,27,66.2
2011-06-03,26,65.43
2011-06-10,25,64.7
2011-06-17,24,64.69
2011-06-24,26,62.59
2011-07-01,24,64.27
2011-07-08,25,64.93
2011-07-15,25,64.83
2011-07-22,25,64.25
2011-07-29,24,61.49
2011-08-05,27,60.59
2011-08-12,30,61.14
2011-08-19,26,60.96
2011-08-26,25,62.57
2011-09-02,24,62.55
2011-09-09,25,61.84
2011-09-16,27,64.33
2011-09-23,26,61.25
2011-09-30,30,63.18
2011-10-07,30,63.91
2011-10-14,27,64.89
2011-10-21,28,66.26
2011-10-28,27,64.73
2011-11-04,27,63.03
2011-11-11,28,63.89
2011-11-18,27,63.24
2011-11-25,25,61
2011-12-02,24,64.66
2011-12-09,23,64.97
2011-12-16,22,65.14
2011-12-23,19,66.67
2011-12-30,17,66.71
2012-01-06,23,66.36
2012-01-13,24,65.81
2012-01-20,26,66.23
2012-01-27,26,64.3
2012-02-03,26,62.77
2012-02-10,25,63.88
2012-02-17,25,64.91
2012-02-24,27,66.71
2012-03-02,25,66.67
2012-03-09,26,66.93
2012-03-16,23,67.25
2012-03-23,23,67.43
2012-03-30,24,67.21
2012-04-13,23,65.81
2012-04-20,28,67.51
2012-04-27,30,64.44
2012-05-04,39,64.28
2012-05-11,39,63.68
2012-05-18,39,63.52
2012-05-25,35,62.49
2012-06-01,31,61.55
2012-06-08,28,62.75
2012-06-15,27,62.88
2012-06-22,29,59.83
2012-06-29,25,61.25
2012-07-06,24,61.28
2012-07-13,26,65.09
2012-07-20,28,64.73
2012-07-27,26,65.09
2012-08-03,27,65.5
2012-08-10,26,66.77
2012-08-17,24,67
2012-08-24,26,67.02
2012-08-31,26,67.19
2012-09-07,24,68.52
2012-09-14,25,69.16
2012-09-21,25,69.42
2012-09-28,25,69.36
2012-10-05,23,69.63
2012-10-12,24,67.94
2012-10-19,24,68.57
2012-10-26,23,69.44
2012-11-02,20,69.19
2012-11-09,23,67.01
2012-11-16,22,66.82
2012-11-23,21,69.59
2012-11-30,23,69.83
2012-12-07,22,70.29
2012-12-14,20,69.93
2012-12-21,18,68.72
2012-12-28,15,67.15
2013-01-04,18,69.09
2013-01-11,23,69.22
2013-01-18,23,69.94
2013-01-25,23,73.25
2013-02-01,22,75.92
2013-02-08,22,75.75
2013-02-15,20,76.54
2013-02-22,23,76.99
2013-03-01,24,76.49
2013-03-08,23,77.18
2013-03-15,22,76.34
2013-03-22,21,77.27
2013-04-05,21,78.23
2013-04-12,21,80.08
2013-04-19,21,81.43
2013-04-26,22,77.1
2013-05-03,20,78.19
2013-05-10,20,78.76
2013-05-17,20,80.02
2013-05-24,22,81.88
2013-05-31,23,76.76
2013-06-07,22,77.75
2013-06-14,24,78.03
2013-06-21,24,77.43
2013-06-28,23,76.99
2013-07-05,23,78.34
2013-07-12,24,81.55
2013-07-19,26,81.37
2013-07-26,24,80.39
2013-08-02,25,81.29
2013-08-09,23,81.64
2013-08-16,25,79.9
2013-08-23,24,80.01
2013-08-30,24,77.89
2013-09-06,24,77.15
2013-09-13,25,79.05
2013-09-20,25,79.39
2013-09-27,26,77.21
2013-10-04,25,76.02
2013-10-11,25,78.48
2013-10-18,25,79.41
2013-10-25,26,80
2013-11-01,25,81.15
2013-11-08,25,82.51
2013-11-15,26,84.84
2013-11-22,24,84.95
2013-11-29,22,84.22
2013-12-06,23,84.52
2013-12-13,21,82.37
2013-12-20,20,81.84
2013-12-27,15,82.01
2014-01-03,18,80.45
2014-01-10,24,80.3
2014-01-17,26,79.88
2014-01-24,24,79.18
2014-01-31,24,76.62
2014-02-07,24,77.31
2014-02-14,24,79.4
2014-02-21,24,77.97
2014-02-28,24,78.66
2014-03-07,24,78.38
2014-03-14,23,78.98
2014-03-21,23,77.88
2014-03-28,24,79.76
2014-04-04,21,79.77
2014-04-11,23,80.76
2014-04-25,22,81.41
