"Date","sell.Johnson...Johnson","Price"
2010-12-31,29,61.85
2011-01-07,31,62.6
2011-01-14,35,62.55
2011-01-21,33,62.66
2011-01-28,24,60.01
2011-02-04,24,60.84
2011-02-11,24,60.7
2011-02-18,23,61.11
2011-02-25,28,59.64
2011-03-04,32,61.06
2011-03-11,37,59.69
2011-03-18,28,58.57
2011-03-25,28,58.98
2011-04-01,35,59.49
2011-04-08,29,59.46
2011-04-15,25,60.56
2011-04-29,28,65.72
2011-05-06,20,65.27
2011-05-13,37,66.62
2011-05-20,38,65.69
2011-05-27,39,66.77
2011-06-03,40,66.09
2011-06-10,17,66.09
2011-06-17,23,66.29
2011-06-24,35,65.06
2011-07-01,25,67.3
2011-07-08,29,67.57
2011-07-15,25,67.45
2011-07-22,33,66.72
2011-07-29,30,64.79
2011-08-05,34,62.71
2011-08-12,40,63.36
2011-08-19,17,63.14
2011-08-26,30,64.28
2011-09-02,23,64.07
2011-09-09,21,63.64
2011-09-16,21,64.59
2011-09-23,26,61.59
2011-09-30,21,63.69
2011-10-07,27,63.13
2011-10-14,27,64.72
2011-10-21,38,63.78
2011-10-28,39,65.6
2011-11-04,34,64.12
2011-11-11,40,65.25
2011-11-18,32,63.85
2011-11-25,18,61.27
2011-12-02,29,63.47
2011-12-09,27,64.53
2011-12-16,27,64.3
2011-12-23,32,65.98
2011-12-30,20,65.58
2012-01-06,17,64.83
2012-01-13,29,65.26
2012-01-20,33,65.27
2012-01-27,20,65.56
2012-02-03,31,65.64
2012-02-10,21,64.6
2012-02-17,15,64.99
2012-02-24,35,64.46
2012-03-02,17,64.77
2012-03-09,23,64.74
2012-03-16,26,65.12
2012-03-23,27,64.55
2012-03-30,32,65.96
2012-04-13,15,63.54
2012-04-20,28,63.71
2012-04-27,27,64.84
2012-05-04,18,64.74
2012-05-11,30,64.34
2012-05-18,34,63.35
2012-05-25,29,62.51
2012-06-01,21,61.78
2012-06-08,34,62.98
2012-06-15,23,66.01
2012-06-22,26,66.63
2012-06-29,25,67.56
2012-07-06,31,67.64
2012-07-13,23,68.61
2012-07-20,29,68.63
2012-07-27,38,69.52
2012-08-03,35,69.12
2012-08-10,39,68.64
2012-08-17,100,67.8
2012-08-24,28,67.6
2012-08-31,22,67.43
2012-09-07,40,67.88
2012-09-14,32,68.47
2012-09-21,42,69.06
2012-09-28,31,68.91
2012-10-05,27,69.65
2012-10-12,20,67.97
2012-10-19,21,71.86
2012-10-26,19,70.9
2012-11-02,32,70.9
2012-11-09,25,69.87
2012-11-16,25,69.19
2012-11-23,22,69.56
2012-11-30,24,69.73
2012-12-07,31,70.45
2012-12-14,23,70.69
2012-12-21,22,70.27
2012-12-28,25,69.48
2013-01-04,21,71.55
2013-01-11,21,72.35
2013-01-18,29,73.23
2013-01-25,21,73.92
2013-02-01,25,74.18
2013-02-08,28,75.48
2013-02-15,23,76.16
2013-02-22,24,76.25
2013-03-01,34,76.7
2013-03-08,30,78.19
2013-03-15,31,79.19
2013-03-22,25,79.74
2013-04-05,22,82.04
2013-04-12,33,82.74
2013-04-19,33,84.49
2013-04-26,24,85.12
2013-05-03,29,85.75
2013-05-10,21,85.76
2013-05-17,29,88.09
2013-05-24,30,86.82
2013-05-31,29,84.18
2013-06-07,37,84.91
2013-06-14,28,84.91
2013-06-21,29,83.2
2013-06-28,22,85.86
2013-07-05,23,87.87
2013-07-12,27,89.99
2013-07-19,20,92.23
2013-07-26,33,92.83
2013-08-02,27,94.39
2013-08-09,18,92.36
2013-08-16,37,89.37
2013-08-23,21,88.41
2013-08-30,23,86.41
2013-09-06,27,87.16
2013-09-13,28,88.57
2013-09-20,20,89.68
2013-09-27,37,86.73
2013-10-04,25,87.31
2013-10-11,33,89.45
2013-10-18,25,91.63
2013-10-25,24,92.09
2013-11-01,29,93.37
2013-11-08,28,94.05
2013-11-15,28,94.39
2013-11-22,28,95.25
2013-11-29,23,94.66
2013-12-06,21,94.44
2013-12-13,27,91.35
2013-12-20,25,92.09
2013-12-27,25,92.35
2014-01-03,34,91.85
2014-01-10,24,94.74
2014-01-17,18,95.06
2014-01-24,31,90.61
2014-01-31,27,88.47
2014-02-07,27,90.04
2014-02-14,30,92.76
2014-02-21,18,91.52
2014-02-28,32,92.12
2014-03-07,26,93.32
2014-03-14,23,92.81
2014-03-21,16,95.93
2014-03-28,21,97.44
2014-04-04,29,98.42
2014-04-11,26,96.87
2014-04-25,31,99.79
