"Date","sell.Disney","Price"
2009-03-20,54,17.45
2009-03-27,40,18.59
2009-04-03,35,20
2009-04-17,43,20.38
2009-04-24,43,20.26
2009-05-01,38,21.94
2009-05-08,49,25.46
2009-05-15,57,23.41
2009-05-22,37,23.7
2009-05-29,29,24.22
2009-06-05,28,24.95
2009-06-12,39,25.06
2009-06-19,30,23.53
2009-06-26,30,23.43
2009-07-10,37,22.41
2009-07-17,49,24.51
2009-07-24,43,26.58
2009-07-31,49,25.12
2009-08-07,53,26.69
2009-08-14,49,25.86
2009-08-21,51,26.79
2009-08-28,53,26.84
2009-09-04,59,25.9
2009-09-11,40,28.42
2009-09-18,34,28.44
2009-09-25,47,27.62
2009-10-02,44,27.21
2009-10-09,46,28.64
2009-10-16,38,29.4
2009-10-23,37,28.89
2009-10-30,40,27.37
2009-11-06,27,28.56
2009-11-13,51,30.44
2009-11-20,44,30.01
2009-11-27,35,30.35
2009-12-04,39,30.84
2009-12-11,49,31.7
2009-12-18,44,31.95
2010-01-08,33,31.88
2010-01-15,58,30.6
2010-01-22,50,29.98
2010-01-29,49,29.55
2010-02-05,56,29.54
2010-02-12,49,30.07
2010-02-19,39,31.23
2010-02-26,59,31.24
2010-03-05,49,33.22
2010-03-12,37,33.69
2010-03-19,44,33.64
2010-03-26,42,35.31
2010-04-09,39,36.22
2010-04-16,48,35.83
2010-04-23,40,36.79
2010-04-30,45,36.84
2010-05-07,50,33.41
2010-05-14,27,34.06
2010-05-21,43,32.87
2010-05-28,60,33.42
2010-06-04,42,33.69
2010-06-11,39,34.24
2010-06-18,30,35.15
2010-06-25,46,33.48
2010-07-02,32,31.38
2010-07-09,53,33.75
2010-07-16,32,33.03
2010-07-23,50,34.13
2010-07-30,60,33.69
2010-08-06,48,35
2010-08-13,41,33.68
2010-08-20,52,33.05
2010-08-27,48,32.78
2010-09-03,51,34.67
2010-09-10,35,34.15
2010-09-17,44,34.56
2010-09-24,33,33.58
2010-10-01,56,33.34
2010-10-08,50,34.51
2010-10-15,48,34.88
2010-10-22,38,34.97
2010-10-29,36,36.13
2010-11-05,58,37.2
2010-11-12,50,37.75
2010-11-19,50,37.01
2010-11-26,31,36.7
2010-12-03,45,37.59
2010-12-10,27,36.66
2010-12-17,58,37.05
2010-12-31,46,37.51
2011-01-07,51,39.45
2011-01-14,61,39.29
2011-01-21,65,39.74
2011-01-28,49,38.85
2011-02-04,31,40.71
2011-02-11,63,43.41
2011-02-18,39,43.56
2011-02-25,58,42.95
2011-03-04,61,43.55
2011-03-11,33,42.93
2011-03-18,52,41.23
2011-03-25,49,42.97
2011-04-01,50,42.85
2011-04-08,27,41.76
2011-04-15,44,41.52
2011-04-29,40,43.1
2011-05-06,50,43.06
2011-05-13,47,41.52
2011-05-20,40,41.5
2011-05-27,40,41.52
2011-06-03,49,39.38
2011-06-10,46,38.5
2011-06-17,33,38.04
2011-06-24,51,37.58
2011-07-01,50,39.72
2011-07-08,64,39.91
2011-07-15,39,39.27
2011-07-22,46,40.65
2011-07-29,36,38.62
2011-08-05,37,35.18
2011-08-12,49,33.09
2011-08-19,49,31.85
2011-08-26,52,32.4
2011-09-02,36,32.46
2011-09-09,33,31.04
2011-09-16,46,32.91
2011-09-23,54,29.83
2011-09-30,39,30.16
2011-10-07,62,31.7
2011-10-14,53,34.47
2011-10-21,62,35.16
2011-10-28,40,36.21
2011-11-04,41,34.76
2011-11-11,33,36.7
2011-11-18,43,35.63
2011-11-25,37,33.51
2011-12-02,58,36.61
2011-12-09,74,36.56
2011-12-16,45,35.32
2011-12-23,45,37.7
2011-12-30,50,37.5
2012-01-06,67,39.91
2012-01-13,51,38.4
2012-01-20,41,39.31
2012-01-27,48,39.25
2012-02-03,54,40
2012-02-10,45,41.45
2012-02-17,51,41.75
2012-02-24,65,41.31
2012-03-02,62,42.36
2012-03-09,52,42.24
2012-03-16,59,43.19
2012-03-23,49,43.65
2012-03-30,46,43.78
2012-04-13,52,41.85
2012-04-20,45,42.35
2012-04-27,63,43.35
2012-05-04,54,42.93
2012-05-11,58,45.56
2012-05-18,37,43.81
2012-05-25,52,44.5
2012-06-01,56,44.4
2012-06-08,64,46.24
2012-06-15,53,47.09
2012-06-22,41,47.47
2012-06-29,52,48.5
2012-07-06,34,48.04
2012-07-13,53,48.19
2012-07-20,62,48.59
2012-07-27,65,49.94
2012-08-03,55,49.77
2012-08-10,58,49.65
2012-08-17,55,50.46
2012-08-24,48,49.56
2012-08-31,50,49.47
2012-09-07,38,51.74
2012-09-14,53,52.35
2012-09-21,66,52.74
2012-09-28,38,52.28
2012-10-05,58,52.97
2012-10-12,65,50.59
2012-10-19,38,51.9
2012-10-26,63,50.08
2012-11-02,100,49.86
2012-11-09,55,47.06
2012-11-16,51,47.42
2012-11-23,61,49.26
2012-11-30,55,49.66
2012-12-07,62,49.24
2012-12-14,75,48.67
2012-12-21,62,50
2012-12-28,69,49.15
2013-01-04,64,52.19
2013-01-11,52,50.58
2013-01-18,58,52.34
2013-01-25,66,54.38
2013-02-01,70,54.59
2013-02-08,57,54.66
2013-02-15,68,55.61
2013-02-22,71,54.25
2013-03-01,60,55.33
2013-03-08,61,57.39
2013-03-15,68,57.58
2013-03-22,55,56.78
2013-04-05,50,57.7
2013-04-12,60,60.55
2013-04-19,54,61.56
2013-04-26,52,61.87
2013-05-03,48,64.8
2013-05-10,60,67.2
2013-05-17,47,66.58
2013-05-24,56,65.49
2013-05-31,61,63.08
2013-06-07,59,64.85
2013-06-14,50,63.8
2013-06-21,43,62.73
2013-06-28,55,63.15
2013-07-05,56,63.82
2013-07-12,57,66.98
2013-07-19,69,65.16
2013-07-26,64,64.98
2013-08-02,67,66.51
2013-08-09,60,64.73
2013-08-16,67,62.17
2013-08-23,75,61.73
2013-08-30,43,60.83
2013-09-06,59,61.39
2013-09-13,51,66.69
2013-09-20,60,65.01
2013-09-27,66,65.19
2013-10-04,59,65.3
2013-10-11,65,66.21
2013-10-18,73,67.15
2013-10-25,59,69.26
2013-11-01,45,69.01
2013-11-08,48,68.58
2013-11-15,63,70
2013-11-22,56,70.2
2013-11-29,74,70.54
2013-12-06,73,71.46
2013-12-13,65,69.62
2013-12-20,73,72.4
2013-12-27,61,74.35
2014-01-03,72,76.11
2014-01-10,72,75.39
2014-01-17,64,73.98
2014-01-24,71,72.72
2014-01-31,55,72.61
2014-02-07,54,75.67
2014-02-14,67,79.23
2014-02-21,80,80.13
2014-02-28,62,80.81
2014-03-07,77,82.21
2014-03-14,76,80.07
2014-03-21,72,80.35
2014-03-28,73,78.99
2014-04-04,70,80.43
2014-04-11,71,77.01
2014-04-25,61,78.23
