"Date","buy.Caterpillar","Price"
2012-01-06,53,95.76
2012-01-13,53,102.48
2012-01-20,28,105.64
2012-01-27,61,111.28
2012-02-03,58,113.94
2012-02-10,60,111.75
2012-02-17,55,113.95
2012-02-24,61,116
2012-03-02,53,112.49
2012-03-09,42,110.22
2012-03-16,63,113.58
2012-03-23,64,107.83
2012-03-30,61,106.52
2012-04-13,94,105.89
2012-04-20,70,107.73
2012-04-27,59,104.56
2012-05-04,64,98.44
2012-05-11,62,95.5
2012-05-18,46,88.68
2012-05-25,63,89.94
2012-06-01,33,85.52
2012-06-08,73,87.6
2012-06-15,51,86.93
2012-06-22,43,84.96
2012-06-29,49,84.91
2012-07-06,71,84.61
2012-07-13,51,82.07
2012-07-20,63,80.95
2012-07-27,39,86.16
2012-08-03,60,85.02
2012-08-10,61,88.94
2012-08-17,50,90.01
2012-08-24,61,87.47
2012-08-31,53,85.33
2012-09-07,37,88.1
2012-09-14,42,93.17
2012-09-21,55,91.72
2012-09-28,41,86.04
2012-10-05,43,85.43
2012-10-12,42,82.82
2012-10-19,47,83.86
2012-10-26,67,84.25
2012-11-02,37,85.79
2012-11-09,51,84.95
2012-11-16,37,81.93
2012-11-23,56,84.16
2012-11-30,66,85.24
2012-12-07,57,86.99
2012-12-14,43,89
2012-12-21,27,87.9
2012-12-28,51,86.81
2013-01-04,46,94.92
2013-01-11,39,95.19
2013-01-18,36,97.62
2013-01-25,38,95.58
2013-02-01,80,99.49
2013-02-08,49,96.85
2013-02-15,50,95.61
2013-02-22,54,91.54
2013-03-01,54,91.36
2013-03-08,57,90.51
2013-03-15,49,88.83
2013-03-22,56,87.48
2013-04-05,48,84.6
2013-04-12,47,85.05
2013-04-19,79,80.43
2013-04-26,37,84.68
2013-05-03,49,86.98
2013-05-10,46,88.62
2013-05-17,59,87.67
2013-05-24,59,86.21
2013-05-31,44,85.8
2013-06-07,48,84.65
2013-06-14,70,83.87
2013-06-21,41,83.12
2013-06-28,35,82.49
2013-07-05,54,82.14
2013-07-12,29,87.17
2013-07-19,46,85.65
2013-07-26,56,82.06
2013-08-02,58,84.3
2013-08-09,67,84.51
2013-08-16,52,85.16
2013-08-23,48,83.89
2013-08-30,63,82.54
2013-09-06,63,83.39
2013-09-13,64,87.01
2013-09-20,60,84.75
2013-09-27,44,83.8
2013-10-04,47,84.2
2013-10-11,35,85.61
2013-10-18,56,87.34
2013-10-25,49,84.77
2013-11-01,39,83.59
2013-11-08,30,84.24
2013-11-15,39,83.74
2013-11-22,51,82.88
2013-11-29,49,84.6
2013-12-06,59,85.5
2013-12-13,42,86.05
2013-12-20,45,88.93
2013-12-27,34,90.87
2014-01-03,41,89.82
2014-01-10,31,90.51
2014-01-17,62,91.44
2014-01-24,50,86.17
2014-01-31,54,93.91
2014-02-07,36,94.87
2014-02-14,68,96.55
2014-02-21,34,97.5
2014-02-28,60,96.97
2014-03-07,65,97.05
2014-03-14,40,95.39
2014-03-21,57,97.39
2014-03-28,45,99.39
2014-04-04,69,102.17
2014-04-11,47,101.45
2014-04-25,47,104.69
