"Date","buy.Nike","Price"
2006-03-24,24,85.96
2006-03-31,32,85.1
2006-04-07,27,83.63
2006-04-21,26,83.02
2006-04-28,43,81.84
2006-05-05,21,81.55
2006-05-12,28,81.5
2006-05-19,35,78.7
2006-05-26,36,81.01
2006-06-02,32,81.79
2006-06-09,35,81.13
2006-06-16,35,83.15
2006-06-23,31,84.36
2006-06-30,23,81
2006-07-07,27,79.08
2006-07-14,38,78.58
2006-07-21,31,80.06
2006-07-28,34,79.9
2006-08-04,38,78.67
2006-08-11,38,76.51
2006-08-18,37,76.71
2006-08-25,37,76.77
2006-09-01,33,81.14
2006-09-08,34,82.05
2006-09-15,26,82.97
2006-09-22,31,86.36
2006-09-29,23,87.62
2006-10-06,27,88.15
2006-10-13,29,89.6
2006-10-20,30,88.6
2006-10-27,24,91.86
2006-11-03,25,92.57
2006-11-10,28,94.07
2006-11-17,24,95.58
2006-11-24,32,96.73
2006-12-01,29,97.6
2006-12-08,40,97.04
2006-12-15,43,96.05
2006-12-22,38,99.94
2006-12-29,37,99.03
2007-01-05,34,98.83
2007-01-12,29,99.76
2007-01-19,24,99.94
2007-01-26,22,95.2
2007-02-02,30,100.2
2007-02-09,25,103.6
2007-02-16,28,106.3
2007-02-23,32,108.04
2007-03-02,33,103.86
2007-03-09,27,105.85
2007-03-16,28,107.47
2007-03-23,30,109.05
2007-03-30,36,106.26
2007-04-13,33,53.65
2007-04-20,25,53.53
2007-04-27,32,54.12
2007-05-04,28,53.29
2007-05-11,38,53.03
2007-05-18,37,53.25
2007-05-25,24,54.28
2007-06-01,27,56.69
2007-06-08,27,52.96
2007-06-15,25,53.42
2007-06-22,24,52.95
2007-06-29,27,58.29
2007-07-06,34,59.67
2007-07-13,30,59.01
2007-07-20,33,58.52
2007-07-27,37,55.44
2007-08-03,38,56.5
2007-08-10,36,55.78
2007-08-17,43,54.47
2007-08-24,34,54.12
2007-08-31,37,56.34
2007-09-07,31,54.7
2007-09-14,37,57.23
2007-09-21,24,57.26
2007-09-28,39,58.66
2007-10-05,31,60.35
2007-10-12,36,63.15
2007-10-19,34,63.33
2007-10-26,37,64.61
2007-11-02,29,63.87
2007-11-09,27,62.21
2007-11-16,28,62.64
2007-11-23,43,63.75
2007-11-30,47,65.65
2007-12-07,53,65.4
2007-12-14,41,64.32
2007-12-21,38,66.27
2007-12-28,38,64.31
2008-01-04,38,61.74
2008-01-11,38,60.7
2008-01-18,34,56.5
2008-01-25,32,56
2008-02-01,32,62.51
2008-02-08,41,60.64
2008-02-15,39,62.29
2008-02-22,38,60.59
2008-02-29,37,60.2
2008-03-07,37,58.24
2008-03-14,46,59.96
2008-03-28,36,65.86
2008-04-04,42,68.51
2008-04-11,40,66.69
2008-04-18,45,67.89
2008-04-25,39,68.74
2008-05-02,43,67.66
2008-05-09,45,64.87
2008-05-16,39,67.53
2008-05-23,38,64.77
2008-05-30,47,68.37
2008-06-06,35,67.93
2008-06-13,45,68.99
2008-06-20,39,66.73
2008-06-27,50,60.34
2008-07-11,51,56.26
2008-07-18,39,58.2
2008-07-25,49,58.17
2008-08-01,44,59.4
2008-08-08,54,62.95
2008-08-15,66,62.29
2008-08-22,65,61.11
2008-08-29,53,60.61
2008-09-05,49,58.82
2008-09-12,43,61.92
2008-09-19,48,63.7
2008-09-26,44,67.79
2008-10-03,36,63.25
2008-10-10,37,54.53
2008-10-17,41,57.48
2008-10-24,36,47.79
2008-10-31,39,57.63
2008-11-07,38,49.41
2008-11-14,47,46.53
2008-11-21,45,47.88
2008-11-28,47,53.25
2008-12-05,52,53.34
2008-12-12,50,49.37
2008-12-19,53,51.26
2008-12-26,55,49.76
2009-01-02,41,53.06
2009-01-09,44,49.61
2009-01-16,43,46.8
2009-01-23,44,45.68
2009-01-30,42,45.25
2009-02-06,45,48.68
2009-02-13,45,43.43
2009-02-20,47,42.93
2009-02-27,52,41.53
2009-03-06,41,39.94
2009-03-13,44,44.67
2009-03-20,50,45.02
2009-03-27,40,46.84
2009-04-03,52,51.87
2009-04-17,47,54.61
2009-04-24,50,54.73
2009-05-01,55,52.92
2009-05-08,49,54.42
2009-05-15,52,49.75
2009-05-22,52,52.41
2009-05-29,57,57.05
2009-06-05,47,58.29
2009-06-12,56,56.61
2009-06-19,46,56.7
2009-06-26,43,50.84
2009-07-10,51,51.3
2009-07-17,52,52.44
2009-07-24,53,52.17
2009-07-31,47,56.64
2009-08-07,53,58.07
2009-08-14,49,56.86
2009-08-21,55,55.65
2009-08-28,47,56.18
2009-09-04,43,54.23
2009-09-11,52,54.99
2009-09-18,47,58.59
2009-09-25,46,58.64
2009-10-02,43,62.02
2009-10-09,39,63.59
2009-10-16,40,65.1
2009-10-23,44,64.17
2009-10-30,39,62.18
2009-11-06,45,64.56
2009-11-13,44,64.42
2009-11-20,45,63.92
2009-11-27,54,65.05
2009-12-04,51,64.3
2009-12-11,58,63.86
2009-12-18,62,64.42
2010-01-08,42,65.72
2010-01-15,47,64.39
2010-01-22,47,62.98
2010-01-29,43,63.75
2010-02-05,43,61.7
2010-02-12,47,62.49
2010-02-19,44,64.35
2010-02-26,51,67.6
2010-03-05,45,68.32
2010-03-12,42,69.9
2010-03-19,43,73.52
2010-03-26,51,73.89
2010-04-09,42,75.18
2010-04-16,45,75.17
2010-04-23,45,77.9
2010-04-30,49,75.91
2010-05-07,43,70.61
2010-05-14,43,73.74
2010-05-21,47,71.39
2010-05-28,47,72.38
2010-06-04,48,70.77
2010-06-11,47,72.33
2010-06-18,48,74.94
2010-06-25,49,70.12
2010-07-02,47,67.86
2010-07-09,47,70.15
2010-07-16,45,68.96
2010-07-23,49,72.74
2010-07-30,44,73.64
2010-08-06,54,73.96
2010-08-13,53,70.58
2010-08-20,51,71.26
2010-08-27,48,70.94
2010-09-03,53,74.25
2010-09-10,55,73.75
2010-09-17,44,77.26
2010-09-24,40,79.57
2010-10-01,45,80.25
2010-10-08,47,82.04
2010-10-15,44,82
2010-10-22,45,81.92
2010-10-29,40,81.44
2010-11-05,39,84.11
2010-11-12,43,82.62
2010-11-19,43,85.81
2010-11-26,63,85.96
2010-12-03,62,87.53
2010-12-10,60,87.8
2010-12-17,61,90.05
2010-12-31,49,85.42
2011-01-07,47,83.53
2011-01-14,42,84.07
2011-01-21,51,82.3
2011-01-28,43,81.46
2011-02-04,41,85.74
2011-02-11,47,86.21
2011-02-18,47,88.82
2011-02-25,48,87.98
2011-03-04,43,89.88
2011-03-11,44,87.17
2011-03-18,52,77.59
2011-03-25,55,76.66
2011-04-01,55,76.53
2011-04-08,56,77.39
2011-04-15,50,78.73
2011-04-29,56,82.32
2011-05-06,49,82.02
2011-05-13,52,86.26
2011-05-20,53,85.05
2011-05-27,48,84.62
2011-06-03,45,80.36
2011-06-10,47,79.66
2011-06-17,48,81.11
2011-06-24,45,81.18
2011-07-01,44,91.82
2011-07-08,48,93.24
2011-07-15,44,91.7
2011-07-22,49,91.71
2011-07-29,47,90.15
2011-08-05,58,83.87
2011-08-12,50,84.24
2011-08-19,59,78.58
2011-08-26,49,86.29
2011-09-02,49,84.04
2011-09-09,55,82.5
2011-09-16,55,89.77
2011-09-23,50,88.64
2011-09-30,45,85.51
2011-10-07,45,88.15
2011-10-14,45,92.97
2011-10-21,45,94.35
2011-10-28,42,96.75
2011-11-04,43,94.38
2011-11-11,43,96.15
2011-11-18,41,92.75
2011-11-25,63,90.28
2011-12-02,60,96.25
2011-12-09,48,97.68
2011-12-16,55,93.67
2011-12-23,63,96.9
2011-12-30,59,96.37
2012-01-06,46,97.99
2012-01-13,43,98.3
2012-01-20,47,101.76
2012-01-27,55,102.11
2012-02-03,58,103.5
2012-02-10,61,105.41
2012-02-17,53,106.68
2012-02-24,79,106.29
2012-03-02,65,108.74
2012-03-09,64,109.98
2012-03-16,59,111.22
2012-03-23,65,107.42
2012-03-30,57,108.44
2012-04-13,55,109.17
2012-04-20,66,110.77
2012-04-27,62,110.64
2012-05-04,62,111.81
2012-05-11,59,108.26
2012-05-18,56,105.44
2012-05-25,55,108.79
2012-06-01,57,104.6
2012-06-08,70,108.64
2012-06-15,74,101.75
2012-06-22,63,99.4
2012-06-29,62,87.78
2012-07-06,63,91.38
2012-07-13,70,93.97
2012-07-20,74,93.08
2012-07-27,74,97.03
2012-08-03,80,94.57
2012-08-10,92,94.5
2012-08-17,84,96.26
2012-08-24,80,96.86
2012-08-31,79,97.36
2012-09-07,71,99.29
2012-09-14,69,96.64
2012-09-21,64,96.52
2012-09-28,62,94.91
2012-10-05,62,95.22
2012-10-12,55,94.42
2012-10-19,61,96.45
2012-10-26,57,91.15
2012-11-02,52,94.54
2012-11-09,57,92.31
2012-11-16,65,92.59
2012-11-23,93,96.75
2012-11-30,80,97.48
2012-12-07,81,98.59
2012-12-14,80,96.91
2012-12-21,89,105.1
2012-12-28,84,50.99
2013-01-04,70,52.88
2013-01-11,63,53.1
2013-01-18,63,53.29
2013-01-25,64,55.55
2013-02-01,60,53.7
2013-02-08,68,54.59
2013-02-15,71,54.95
2013-02-22,68,54.47
2013-03-01,69,54.82
2013-03-08,64,54.69
2013-03-15,68,54.78
2013-03-22,67,59.53
2013-04-05,67,58.97
2013-04-12,66,60.58
2013-04-19,70,60.92
2013-04-26,68,61.89
2013-05-03,63,64.55
2013-05-10,63,64.76
2013-05-17,61,65.32
2013-05-24,62,62.79
2013-05-31,66,61.66
2013-06-07,65,62.75
2013-06-14,66,61.89
2013-06-21,65,60.57
2013-06-28,62,63.68
2013-07-05,65,63.64
2013-07-12,64,63.67
2013-07-19,72,63.35
2013-07-26,68,62.53
2013-08-02,70,66.3
2013-08-09,71,66.31
2013-08-16,70,63.65
2013-08-23,66,64.21
2013-08-30,65,62.82
2013-09-06,61,64.98
2013-09-13,62,67.91
2013-09-20,59,69.37
2013-09-27,54,73.64
2013-10-04,61,72.14
2013-10-11,61,73.46
2013-10-18,56,75.93
2013-10-25,57,75.7
2013-11-01,57,76.06
2013-11-08,64,77.12
2013-11-15,64,79.22
2013-11-22,68,78.87
2013-11-29,94,79.14
2013-12-06,89,79.86
2013-12-13,85,76.4
2013-12-20,92,77.34
2013-12-27,93,78.16
2014-01-03,71,78.03
2014-01-10,69,76.92
2014-01-17,67,73.39
2014-01-24,69,71.65
2014-01-31,67,72.85
2014-02-07,66,72.69
2014-02-14,78,75.07
2014-02-21,75,76.48
2014-02-28,74,78.3
2014-03-07,76,79.46
2014-03-14,72,78.32
2014-03-21,71,75.21
2014-03-28,70,73.54
2014-04-04,75,72.84
2014-04-11,74,71.25
2014-04-25,75,72.7
