"Date","sell.CAT","Price"
2011-09-30,68,73.84
2011-10-07,62,75.52
2011-10-14,66,84.09
2011-10-21,48,87.39
2011-10-28,69,96.85
2011-11-04,48,95.74
2011-11-11,54,96.13
2011-11-18,66,93.93
2011-11-25,67,86.72
2011-12-02,49,96.29
2011-12-09,34,95.97
2011-12-16,61,87.2
2011-12-23,65,92.25
2011-12-30,58,90.6
2012-01-06,51,95.76
2012-01-13,66,102.48
2012-01-20,49,105.64
2012-01-27,57,111.28
2012-02-03,37,113.94
2012-02-10,65,111.75
2012-02-17,69,113.95
2012-02-24,81,116
2012-03-02,62,112.49
2012-03-09,68,110.22
2012-03-16,57,113.58
2012-03-23,53,107.83
2012-03-30,57,106.52
2012-04-13,54,105.89
2012-04-20,60,107.73
2012-04-27,64,104.56
2012-05-04,52,98.44
2012-05-11,56,95.5
2012-05-18,47,88.68
2012-05-25,57,89.94
2012-06-01,57,85.52
2012-06-08,51,87.6
2012-06-15,73,86.93
2012-06-22,49,84.96
2012-06-29,45,84.91
2012-07-06,38,84.61
2012-07-13,76,82.07
2012-07-20,64,80.95
2012-07-27,53,86.16
2012-08-03,49,85.02
2012-08-10,73,88.94
2012-08-17,58,90.01
2012-08-24,67,87.47
2012-08-31,75,85.33
2012-09-07,65,88.1
2012-09-14,61,93.17
2012-09-21,69,91.72
2012-09-28,51,86.04
2012-10-05,59,85.43
2012-10-12,56,82.82
2012-10-19,74,83.86
2012-10-26,80,84.25
2012-11-02,70,85.79
2012-11-09,53,84.95
2012-11-16,56,81.93
2012-11-23,42,84.16
2012-11-30,63,85.24
2012-12-07,54,86.99
2012-12-14,63,89
2012-12-21,78,87.9
2012-12-28,76,86.81
2013-01-04,56,94.92
2013-01-11,57,95.19
2013-01-18,57,97.62
2013-01-25,70,95.58
2013-02-01,70,99.49
2013-02-08,56,96.85
2013-02-15,46,95.61
2013-02-22,47,91.54
2013-03-01,52,91.36
2013-03-08,61,90.51
2013-03-15,63,88.83
2013-03-22,50,87.48
2013-04-05,68,84.6
2013-04-12,76,85.05
2013-04-19,53,80.43
2013-04-26,62,84.68
2013-05-03,60,86.98
2013-05-10,65,88.62
2013-05-17,60,87.67
2013-05-24,44,86.21
2013-05-31,62,85.8
2013-06-07,58,84.65
2013-06-14,42,83.87
2013-06-21,72,83.12
2013-06-28,72,82.49
2013-07-05,66,82.14
2013-07-12,66,87.17
2013-07-19,88,85.65
2013-07-26,75,82.06
2013-08-02,82,84.3
2013-08-09,71,84.51
2013-08-16,66,85.16
2013-08-23,70,83.89
2013-08-30,74,82.54
2013-09-06,73,83.39
2013-09-13,81,87.01
2013-09-20,67,84.75
2013-09-27,56,83.8
2013-10-04,52,84.2
2013-10-11,56,85.61
2013-10-18,78,87.34
2013-10-25,77,84.77
2013-11-01,81,83.59
2013-11-08,50,84.24
2013-11-15,70,83.74
2013-11-22,70,82.88
2013-11-29,65,84.6
2013-12-06,51,85.5
2013-12-13,74,86.05
2013-12-20,81,88.93
2013-12-27,85,90.87
2014-01-03,77,89.82
2014-01-10,75,90.51
2014-01-17,77,91.44
2014-01-24,66,86.17
2014-01-31,67,93.91
2014-02-07,61,94.87
2014-02-14,75,96.55
2014-02-21,75,97.5
2014-02-28,64,96.97
2014-03-07,57,97.05
2014-03-14,73,95.39
2014-03-21,51,97.39
2014-03-28,60,99.39
2014-04-04,69,102.17
2014-04-11,49,101.45
2014-04-25,80,104.69
