"Date","buy.3M","Price"
2010-08-06,47,87.29
2010-08-13,40,84.01
2010-08-20,40,80.66
2010-08-27,49,81
2010-09-03,46,83.48
2010-09-10,30,83.94
2010-09-17,28,86.07
2010-09-24,34,86.96
2010-10-01,27,87.62
2010-10-08,37,89.16
2010-10-15,34,89.14
2010-10-22,41,90.44
2010-10-29,41,84.22
2010-11-05,44,86.34
2010-11-12,39,86.24
2010-11-19,35,85.01
2010-11-26,36,84.4
2010-12-03,33,86.94
2010-12-10,30,84.32
2010-12-17,35,86.37
2010-12-31,32,86.3
2011-01-07,40,86.23
2011-01-14,25,88.1
2011-01-21,35,89.29
2011-01-28,29,87.44
2011-02-04,38,88.29
2011-02-11,41,91.8
2011-02-18,40,92.96
2011-02-25,33,90.25
2011-03-04,33,92.19
2011-03-11,31,91.61
2011-03-18,40,88.98
2011-03-25,24,92.27
2011-04-01,38,93.13
2011-04-08,47,93.22
2011-04-15,39,92.82
2011-04-29,26,97.21
2011-05-06,30,95.6
2011-05-13,35,96.01
2011-05-20,32,93.56
2011-05-27,35,93.47
2011-06-03,39,90.7
2011-06-10,56,90.73
2011-06-17,37,91.78
2011-06-24,42,90.89
2011-07-01,27,96.67
2011-07-08,33,97.62
2011-07-15,35,95.47
2011-07-22,38,95.38
2011-07-29,44,87.14
2011-08-05,41,82.75
2011-08-12,43,82.54
2011-08-19,31,76.87
2011-08-26,47,80.01
2011-09-02,37,79.35
2011-09-09,29,76.65
2011-09-16,28,80.53
2011-09-23,34,73.99
2011-09-30,35,71.79
2011-10-07,23,73.82
2011-10-14,26,78.89
2011-10-21,20,80.48
2011-10-28,44,81
2011-11-04,38,79.3
2011-11-11,36,82.29
2011-11-18,27,80.54
2011-11-25,28,76.13
2011-12-02,46,79.76
2011-12-09,37,82.2
2011-12-16,32,78.87
2011-12-23,40,82.2
2011-12-30,33,81.73
2012-01-06,35,83.37
2012-01-13,38,83.6
2012-01-20,28,85.65
2012-01-27,38,87.46
2012-02-03,28,87.73
2012-02-10,41,87.14
2012-02-17,35,87.56
2012-02-24,40,88.2
2012-03-02,38,87.52
2012-03-09,31,86.8
2012-03-16,34,89.56
2012-03-23,28,88.46
2012-03-30,33,89.21
2012-04-13,31,85.69
2012-04-20,53,87.48
2012-04-27,29,89.36
2012-05-04,42,88.67
2012-05-11,48,86.73
2012-05-18,37,83.51
2012-05-25,43,84.78
2012-06-01,43,82.85
2012-06-08,40,86
2012-06-15,30,87.44
2012-06-22,51,86.83
2012-06-29,33,89.6
2012-07-06,38,88.99
2012-07-13,43,87.59
2012-07-20,37,89.99
2012-07-27,43,91.71
2012-08-03,47,91.7
2012-08-10,45,92.29
2012-08-17,36,94.24
2012-08-24,31,92.83
2012-08-31,41,92.6
2012-09-07,50,92.82
2012-09-14,40,93.98
2012-09-21,32,93.21
2012-09-28,34,92.42
2012-10-05,34,94.96
2012-10-12,33,92.75
2012-10-19,30,92.94
2012-10-26,42,88.03
2012-11-02,38,88.97
2012-11-09,39,88.81
2012-11-16,42,88.5
2012-11-23,40,90.28
2012-11-30,38,90.95
2012-12-07,28,91.51
2012-12-14,35,92.28
2012-12-21,42,93.1
2012-12-28,35,91.78
2013-01-04,30,95.37
2013-01-11,42,96.28
2013-01-18,43,98.74
2013-01-25,39,100.59
2013-02-01,32,101.56
2013-02-08,43,102.66
2013-02-15,32,103.23
2013-02-22,39,103.54
2013-03-01,37,103.77
2013-03-08,38,105.71
2013-03-15,39,106.4
2013-03-22,33,106.42
2013-04-05,34,105.78
2013-04-12,43,107.68
2013-04-19,35,105.71
2013-04-26,43,103.79
2013-05-03,38,107.83
2013-05-10,49,110.48
2013-05-17,36,111.39
2013-05-24,33,110.27
2013-05-31,51,110.27
2013-06-07,40,111.11
2013-06-14,34,111.03
2013-06-21,86,109.59
2013-06-28,50,109.35
2013-07-05,35,111.54
2013-07-12,40,115.14
2013-07-19,41,116.19
2013-07-26,45,116.91
2013-08-02,35,118.26
2013-08-09,47,118.31
2013-08-16,53,115.9
2013-08-23,42,114.4
2013-08-30,44,113.58
2013-09-06,44,115.04
2013-09-13,40,118.6
2013-09-20,31,120.01
2013-09-27,33,120.22
2013-10-04,36,119.4
2013-10-11,47,120.72
2013-10-18,33,122.84
2013-10-25,38,124.42
2013-11-01,35,125.9
2013-11-08,37,127.99
2013-11-15,37,129.85
2013-11-22,31,131.02
2013-11-29,32,133.51
2013-12-06,38,128.61
2013-12-13,30,126.43
2013-12-20,35,136.72
2013-12-27,25,139.35
2014-01-03,36,138.45
2014-01-10,38,136.18
2014-01-17,43,137.31
2014-01-24,38,130.22
2014-01-31,34,128.19
2014-02-07,30,130.33
2014-02-14,40,132.12
2014-02-21,38,131.57
2014-02-28,38,134.73
2014-03-07,40,134.11
2014-03-14,39,129.83
2014-03-21,42,133.12
2014-03-28,34,134.2
2014-04-04,38,135.86
2014-04-11,34,132.39
2014-04-25,37,136.56
