"Date","buy.Visa","Price"
2011-03-18,34,71.42
2011-03-25,49,72.09
2011-04-01,45,74.22
2011-04-08,41,76.72
2011-04-15,44,76.47
2011-04-29,44,78.12
2011-05-06,49,79.41
2011-05-13,48,79.91
2011-05-20,46,78.23
2011-05-27,50,79.8
2011-06-03,51,79.13
2011-06-10,47,74.69
2011-06-17,49,74.43
2011-06-24,56,73.37
2011-07-01,46,87.97
2011-07-08,45,89.73
2011-07-15,47,88.75
2011-07-22,53,89.52
2011-07-29,52,85.54
2011-08-05,45,83.41
2011-08-12,55,83.83
2011-08-19,51,79.6
2011-08-26,52,85.85
2011-09-02,52,85.55
2011-09-09,49,86.35
2011-09-16,41,90.85
2011-09-23,46,90.08
2011-09-30,45,85.72
2011-10-07,42,86.25
2011-10-14,49,93.92
2011-10-21,66,93.43
2011-10-28,55,95.1
2011-11-04,54,92.64
2011-11-11,51,95.16
2011-11-18,49,90.81
2011-11-25,51,89.02
2011-12-02,62,97.2
2011-12-09,64,97.19
2011-12-16,72,97.44
2011-12-23,99,102.48
2011-12-30,80,101.53
2012-01-06,54,100.71
2012-01-13,56,100.74
2012-01-20,47,100.58
2012-01-27,45,101.05
2012-02-03,48,107.03
2012-02-10,45,113.9
2012-02-17,42,115.01
2012-02-24,48,117.54
2012-03-02,42,116.16
2012-03-09,46,117.17
2012-03-16,45,116.68
2012-03-23,44,118.78
2012-03-30,47,118
2012-04-13,48,123.16
2012-04-20,47,121.01
2012-04-27,42,123.52
2012-05-04,46,117.79
2012-05-11,50,117.92
2012-05-18,53,112.64
2012-05-25,46,119.37
2012-06-01,49,112.25
2012-06-08,53,116.58
2012-06-15,55,118.4
2012-06-22,53,124.95
2012-06-29,50,123.63
2012-07-06,58,125.28
2012-07-13,57,124.09
2012-07-20,60,125.75
2012-07-27,53,129.14
2012-08-03,61,130.98
2012-08-10,57,129.09
2012-08-17,55,128.69
2012-08-24,59,126.66
2012-08-31,59,128.25
2012-09-07,49,129.71
2012-09-14,55,134.25
2012-09-21,50,135
2012-09-28,48,134.28
2012-10-05,48,140.26
2012-10-12,54,139.12
2012-10-19,51,139.97
2012-10-26,50,138.31
2012-11-02,54,143.4
2012-11-09,49,142.93
2012-11-16,45,142.71
2012-11-23,55,148.12
2012-11-30,64,149.71
2012-12-07,59,148.55
2012-12-14,69,146.82
2012-12-21,85,150.77
2012-12-28,98,148.65
2013-01-04,72,156.77
2013-01-11,53,161.16
2013-01-18,54,158.27
2013-01-25,52,159.84
2013-02-01,54,158.56
2013-02-08,54,157.8
2013-02-15,45,157.99
2013-02-22,51,159.43
2013-03-01,48,158.08
2013-03-08,52,160.67
2013-03-15,47,158.55
2013-03-22,52,160.09
2013-04-05,51,165.16
2013-04-12,48,165.75
2013-04-19,48,163.96
2013-04-26,52,167.23
2013-05-03,52,179.54
2013-05-10,48,178.75
2013-05-17,49,184.57
2013-05-24,47,180.45
2013-05-31,54,178.14
2013-06-07,50,179.94
2013-06-14,56,180.93
2013-06-21,54,179.5
2013-06-28,53,182.75
2013-07-05,56,190.79
2013-07-12,51,190.72
2013-07-19,55,189.92
2013-07-26,58,193.2
2013-08-02,61,184
2013-08-09,55,179.81
2013-08-16,53,173.13
2013-08-23,52,179.1
2013-08-30,53,174.42
2013-09-06,49,176.67
2013-09-13,54,189
2013-09-20,50,198.83
2013-09-27,44,193.05
2013-10-04,46,190.48
2013-10-11,50,192.2
2013-10-18,43,200.45
2013-10-25,50,203.06
2013-11-01,53,199.16
2013-11-08,52,198.29
2013-11-15,56,202
2013-11-22,48,202.12
2013-11-29,61,203.46
2013-12-06,60,201.87
2013-12-13,77,207.36
2013-12-20,99,215.97
2013-12-27,100,219.67
2014-01-03,71,221.16
2014-01-10,63,221.13
2014-01-17,59,232.18
2014-01-24,55,221.25
2014-01-31,58,215.43
2014-02-07,55,221.78
2014-02-14,52,226
2014-02-21,54,223.36
2014-02-28,52,225.94
2014-03-07,50,225.56
2014-03-14,58,220.77
2014-03-21,50,223.37
2014-03-28,51,212.09
2014-04-04,50,207.7
2014-04-11,54,196.63
2014-04-25,52,198.93
