"Date","sell.McDonald.s","Price"
2011-06-03,28,80.54
2011-06-10,28,80.36
2011-06-17,33,82.52
2011-06-24,25,81.84
2011-07-01,21,85.65
2011-07-08,26,85.6
2011-07-15,24,85.48
2011-07-22,27,88.56
2011-07-29,28,86.48
2011-08-05,30,85.08
2011-08-12,25,86.5
2011-08-19,20,87.23
2011-08-26,21,89.93
2011-09-02,27,89.09
2011-09-09,20,85.03
2011-09-16,25,88.29
2011-09-23,22,87.37
2011-09-30,29,87.82
2011-10-07,45,87.2
2011-10-14,46,89.94
2011-10-21,40,92.32
2011-10-28,36,93.29
2011-11-04,25,93.81
2011-11-11,43,94.76
2011-11-18,30,92.74
2011-11-25,19,92.1
2011-12-02,35,95.7
2011-12-09,28,98.03
2011-12-16,33,97.49
2011-12-23,26,100.15
2011-12-30,19,100.33
2012-01-06,26,100.6
2012-01-13,24,100.35
2012-01-20,20,101.74
2012-01-27,27,98.69
2012-02-03,41,100.01
2012-02-10,34,99.47
2012-02-17,36,99.99
2012-02-24,30,100.32
2012-03-02,20,99.5
2012-03-09,27,96.84
2012-03-16,36,97.66
2012-03-23,100,95.55
2012-03-30,24,98.1
2012-04-13,35,96.97
2012-04-20,40,95.94
2012-04-27,32,97.38
2012-05-04,36,95.87
2012-05-11,31,91.9
2012-05-18,25,89.85
2012-05-25,34,91.05
2012-06-01,26,86.71
2012-06-08,45,87.75
2012-06-15,23,90.5
2012-06-22,35,88.35
2012-06-29,44,88.53
2012-07-06,31,89.66
2012-07-13,22,92.29
2012-07-20,28,91.58
2012-07-27,50,89.19
2012-08-03,32,89.59
2012-08-10,30,88.2
2012-08-17,43,87.36
2012-08-24,38,88.92
2012-08-31,29,89.49
2012-09-07,28,91.02
2012-09-14,45,91.7
2012-09-21,31,93.71
2012-09-28,38,91.75
2012-10-05,38,91
2012-10-12,36,92.51
2012-10-19,37,88.72
2012-10-26,40,86.71
2012-11-02,32,86.86
2012-11-09,45,84.74
2012-11-16,36,84.12
2012-11-23,43,87.05
2012-11-30,32,87.04
2012-12-07,38,88.48
2012-12-14,30,88.88
2012-12-21,38,90.18
2012-12-28,37,87.58
2013-01-04,36,89.85
2013-01-11,47,91.73
2013-01-18,50,92.26
2013-01-25,40,93.72
2013-02-01,30,95.95
2013-02-08,35,94.87
2013-02-15,39,93.9
2013-02-22,25,95.25
2013-03-01,30,95.68
2013-03-08,43,98.71
2013-03-15,29,99.67
2013-03-22,38,99.27
2013-04-05,36,101.42
2013-04-12,46,103.59
2013-04-19,40,99.92
2013-04-26,42,100.89
2013-05-03,50,102.92
2013-05-10,35,100.2
2013-05-17,53,101.54
2013-05-24,43,100.29
2013-05-31,36,96.57
2013-06-07,38,98.28
2013-06-14,38,98.42
2013-06-21,43,97.23
2013-06-28,39,99
2013-07-05,44,99.86
2013-07-12,43,101.58
2013-07-19,54,100.27
2013-07-26,41,98.03
2013-08-02,68,99.2
2013-08-09,47,97.62
2013-08-16,34,95.03
2013-08-23,31,95.13
2013-08-30,36,94.36
2013-09-06,44,96.26
2013-09-13,56,97.35
2013-09-20,40,96.9
2013-09-27,35,97.12
2013-10-04,44,94.7
2013-10-11,34,94.74
2013-10-18,44,95.2
2013-10-25,40,94.78
2013-11-01,38,97.24
2013-11-08,38,97.01
2013-11-15,37,96.92
2013-11-22,42,98.27
2013-11-29,45,97.37
2013-12-06,34,96.8
2013-12-13,45,94.44
2013-12-20,44,96.51
2013-12-27,43,96.91
2014-01-03,37,96.54
2014-01-10,35,95.8
2014-01-17,26,94.93
2014-01-24,35,94.43
2014-01-31,42,94.17
2014-02-07,45,95.92
2014-02-14,40,95.78
2014-02-21,35,96.45
2014-02-28,42,95.15
2014-03-07,38,95.5
2014-03-14,51,97.58
2014-03-21,39,95.47
2014-03-28,29,97.24
2014-04-04,51,97.87
2014-04-11,40,99.29
2014-04-25,48,100.73
