"Date","sell.Microsoft","Price"
2009-02-13,40,19.09
2009-02-20,25,18
2009-02-27,36,16.15
2009-03-06,29,15.28
2009-03-13,22,16.65
2009-03-20,31,17.06
2009-03-27,41,18.13
2009-04-03,37,18.75
2009-04-17,29,19.2
2009-04-24,35,20.91
2009-05-01,40,20.24
2009-05-08,46,19.42
2009-05-15,53,20.22
2009-05-22,40,19.75
2009-05-29,29,20.89
2009-06-05,29,22.14
2009-06-12,35,23.33
2009-06-19,40,24.07
2009-06-26,48,23.35
2009-07-10,45,22.39
2009-07-17,39,24.29
2009-07-24,39,23.45
2009-07-31,39,23.52
2009-08-07,41,23.56
2009-08-14,76,23.69
2009-08-21,45,24.41
2009-08-28,29,24.68
2009-09-04,26,24.62
2009-09-11,28,24.86
2009-09-18,39,25.26
2009-09-25,47,25.55
2009-10-02,27,24.96
2009-10-09,33,25.55
2009-10-16,23,26.5
2009-10-23,52,28.02
2009-10-30,48,27.73
2009-11-06,40,28.52
2009-11-13,44,29.63
2009-11-20,40,29.62
2009-11-27,39,29.22
2009-12-04,36,29.98
2009-12-11,27,29.85
2009-12-18,29,30.36
2010-01-08,39,30.66
2010-01-15,31,30.86
2010-01-22,37,28.96
2010-01-29,23,28.18
2010-02-05,27,28.02
2010-02-12,25,27.93
2010-02-19,27,28.77
2010-02-26,33,28.67
2010-03-05,36,28.59
2010-03-12,33,29.27
2010-03-19,23,29.59
2010-03-26,30,29.66
2010-04-09,35,30.34
2010-04-16,33,30.67
2010-04-23,28,30.96
2010-04-30,34,30.54
2010-05-07,30,28.21
2010-05-14,41,28.93
2010-05-21,36,26.84
2010-05-28,17,25.8
2010-06-04,28,25.79
2010-06-11,31,25.66
2010-06-18,40,26.44
2010-06-25,22,24.53
2010-07-02,36,23.27
2010-07-09,25,24.27
2010-07-16,34,24.89
2010-07-23,41,25.81
2010-07-30,39,25.81
2010-08-06,26,25.55
2010-08-13,27,24.4
2010-08-20,37,24.23
2010-08-27,39,23.93
2010-09-03,32,24.29
2010-09-10,23,23.85
2010-09-17,28,25.22
2010-09-24,31,24.78
2010-10-01,23,24.38
2010-10-08,46,24.57
2010-10-15,27,25.54
2010-10-22,25,25.38
2010-10-29,38,26.67
2010-11-05,29,26.85
2010-11-12,54,26.27
2010-11-19,36,25.69
2010-11-26,22,25.25
2010-12-03,28,27.02
2010-12-10,33,27.34
2010-12-17,29,27.9
2010-12-31,30,27.91
2011-01-07,32,28.6
2011-01-14,39,28.3
2011-01-21,37,28.02
2011-01-28,33,27.75
2011-02-04,44,27.77
2011-02-11,34,27.25
2011-02-18,39,27.06
2011-02-25,30,26.55
2011-03-04,27,25.95
2011-03-11,42,25.68
2011-03-18,32,24.8
2011-03-25,27,25.62
2011-04-01,29,25.48
2011-04-08,28,26.07
2011-04-15,35,25.37
2011-04-29,36,25.92
2011-05-06,49,25.87
2011-05-13,45,25.03
2011-05-20,39,24.49
2011-05-27,29,24.76
2011-06-03,25,23.91
2011-06-10,19,23.71
2011-06-17,34,24.26
2011-06-24,31,24.3
2011-07-01,30,26.02
2011-07-08,30,26.92
2011-07-15,28,26.78
2011-07-22,26,27.53
2011-07-29,31,27.4
2011-08-05,30,25.68
2011-08-12,22,25.1
2011-08-19,43,24.05
2011-08-26,39,25.25
2011-09-02,24,25.8
2011-09-09,35,25.74
2011-09-16,19,27.12
2011-09-23,33,25.06
2011-09-30,27,24.89
2011-10-07,29,26.25
2011-10-14,28,27.27
2011-10-21,34,27.16
2011-10-28,39,26.98
2011-11-04,35,26.25
2011-11-11,28,26.91
2011-11-18,31,25.3
2011-11-25,23,24.3
2011-12-02,30,25.22
2011-12-09,22,25.7
2011-12-16,33,26
2011-12-23,27,26.03
2011-12-30,37,25.96
2012-01-06,25,28.11
2012-01-13,34,28.25
2012-01-20,31,29.71
2012-01-27,37,29.23
2012-02-03,32,30.24
2012-02-10,34,30.5
2012-02-17,26,31.25
2012-02-24,23,31.48
2012-03-02,31,32.08
2012-03-09,29,31.99
2012-03-16,38,32.6
2012-03-23,38,32.01
2012-03-30,31,32.26
2012-04-13,34,30.81
2012-04-20,38,32.42
2012-04-27,33,31.98
2012-05-04,35,30.98
2012-05-11,51,31.16
2012-05-18,28,29.27
2012-05-25,33,29.06
2012-06-01,36,28.45
2012-06-08,32,29.65
2012-06-15,30,30.02
2012-06-22,37,30.7
2012-06-29,35,30.59
2012-07-06,32,30.19
2012-07-13,38,29.39
2012-07-20,38,30.12
2012-07-27,30,29.76
2012-08-03,24,29.75
2012-08-10,43,30.42
2012-08-17,35,30.9
2012-08-24,42,30.56
2012-08-31,40,30.82
2012-09-07,39,30.95
2012-09-14,45,31.21
2012-09-21,32,31.19
2012-09-28,37,29.76
2012-10-05,32,29.85
2012-10-12,26,29.2
2012-10-19,47,28.64
2012-10-26,60,28.21
2012-11-02,50,29.5
2012-11-09,47,28.83
2012-11-16,35,26.52
2012-11-23,44,27.7
2012-11-30,35,26.62
2012-12-07,34,26.46
2012-12-14,46,26.81
2012-12-21,39,27.45
2012-12-28,38,26.55
2013-01-04,52,26.74
2013-01-11,40,26.83
2013-01-18,36,27.25
2013-01-25,42,27.88
2013-02-01,46,27.93
2013-02-08,46,27.55
2013-02-15,45,28.01
2013-02-22,40,27.76
2013-03-01,39,27.95
2013-03-08,45,28
2013-03-15,33,28.04
2013-03-22,33,28.25
2013-04-05,39,28.7
2013-04-12,36,28.79
2013-04-19,45,29.77
2013-04-26,37,31.79
2013-05-03,42,33.49
2013-05-10,30,32.69
2013-05-17,26,34.87
2013-05-24,31,34.27
2013-05-31,32,34.9
2013-06-07,43,35.67
2013-06-14,53,34.4
2013-06-21,37,33.27
2013-06-28,35,34.54
2013-07-05,34,34.21
2013-07-12,40,35.67
2013-07-19,38,31.4
2013-07-26,33,31.62
2013-08-02,38,31.89
2013-08-09,36,32.7
2013-08-16,38,31.8
2013-08-23,35,34.75
2013-08-30,45,33.4
2013-09-06,100,31.15
2013-09-13,49,33.03
2013-09-20,49,32.79
2013-09-27,51,33.27
2013-10-04,41,33.88
2013-10-11,37,34.13
2013-10-18,58,34.96
2013-10-25,44,35.73
2013-11-01,46,35.53
2013-11-08,51,37.78
2013-11-15,53,37.84
2013-11-22,64,37.57
2013-11-29,46,38.13
2013-12-06,44,38.36
2013-12-13,47,36.69
2013-12-20,35,36.8
2013-12-27,30,37.29
2014-01-03,43,36.91
2014-01-10,45,36.04
2014-01-17,32,36.38
2014-01-24,44,36.81
2014-01-31,46,37.84
2014-02-07,45,36.56
2014-02-14,41,37.62
2014-02-21,46,37.98
2014-02-28,38,38.31
2014-03-07,39,37.9
2014-03-14,35,37.7
2014-03-21,31,40.16
2014-03-28,46,40.3
2014-04-04,35,39.87
2014-04-11,33,39.21
2014-04-25,42,39.91
