"Date","buy.McDonald.s","Price"
2008-09-12,5,64.06
2008-09-19,6,63.98
2008-09-26,4,63.2
2008-10-03,4,60.23
2008-10-10,8,53.35
2008-10-17,10,53.8
2008-10-24,7,53.06
2008-10-31,7,57.93
2008-11-07,6,55.47
2008-11-14,8,56.13
2008-11-21,11,55.15
2008-11-28,7,58.75
2008-12-05,8,62.72
2008-12-12,7,60.59
2008-12-19,7,60.32
2008-12-26,5,61.06
2009-01-02,8,63.75
2009-01-09,5,60.07
2009-01-16,6,59.67
2009-01-23,7,58.02
2009-01-30,8,58.02
2009-02-06,5,58.46
2009-02-13,6,56.81
2009-02-20,6,54.57
2009-02-27,5,52.25
2009-03-06,5,52.12
2009-03-13,6,52.38
2009-03-20,4,53.2
2009-03-27,6,55.01
2009-04-03,7,56.64
2009-04-17,8,56.09
2009-04-24,10,54.31
2009-05-01,4,52.4
2009-05-08,6,54.92
2009-05-15,5,53.46
2009-05-22,6,57.08
2009-05-29,6,58.99
2009-06-05,6,59.87
2009-06-12,9,58.36
2009-06-19,7,58.17
2009-06-26,8,57
2009-07-10,10,57.05
2009-07-17,6,57.84
2009-07-24,8,56.08
2009-07-31,7,55.06
2009-08-07,7,55.2
2009-08-14,7,55.27
2009-08-21,8,56.27
2009-08-28,9,56.07
2009-09-04,8,56.14
2009-09-11,5,54.39
2009-09-18,8,57
2009-09-25,7,56.95
2009-10-02,6,56.71
2009-10-09,9,56.7
2009-10-16,10,58.78
2009-10-23,11,59.43
2009-10-30,10,58.61
2009-11-06,7,61.72
2009-11-13,8,63.58
2009-11-20,9,63.97
2009-11-27,8,63.6
2009-12-04,7,61.59
2009-12-11,6,61.66
2009-12-18,7,62.17
2010-01-08,10,61.84
2010-01-15,6,62.28
2010-01-22,4,63.39
2010-01-29,7,62.43
2010-02-05,8,63.37
2010-02-12,8,63.59
2010-02-19,11,64.74
2010-02-26,7,63.85
2010-03-05,7,63.67
2010-03-12,8,65.53
2010-03-19,8,66.53
2010-03-26,8,67.26
2010-04-09,10,68.68
2010-04-16,12,69.03
2010-04-23,9,71.15
2010-04-30,7,70.59
2010-05-07,7,68.01
2010-05-14,7,69.59
2010-05-21,9,67.86
2010-05-28,6,66.87
2010-06-04,7,66.7
2010-06-11,10,69.54
2010-06-18,9,69.88
2010-06-25,7,67.42
2010-07-02,7,66.14
2010-07-09,8,69.22
2010-07-16,9,69.94
2010-07-23,11,69.9
2010-07-30,7,69.73
2010-08-06,8,71.74
2010-08-13,11,71.89
2010-08-20,10,73.08
2010-08-27,7,73.99
2010-09-03,7,75.09
2010-09-10,7,75.01
2010-09-17,9,74.32
2010-09-24,7,75.1
2010-10-01,6,74.92
2010-10-08,10,76.1
2010-10-15,8,77.48
2010-10-22,12,78.55
2010-10-29,11,77.77
2010-11-05,9,79.3
2010-11-12,11,78.85
2010-11-19,8,79.64
2010-11-26,8,78.54
2010-12-03,10,79.76
2010-12-10,6,77.56
2010-12-17,7,76.81
2010-12-31,10,76.76
2011-01-07,9,74.37
2011-01-14,8,74.06
2011-01-21,8,75.01
2011-01-28,9,73.28
2011-02-04,7,74.05
2011-02-11,9,76.14
2011-02-18,9,76.13
2011-02-25,9,74.44
2011-03-04,9,76.03
2011-03-11,11,76.73
2011-03-18,7,72.99
2011-03-25,10,75.25
2011-04-01,11,75.99
2011-04-08,11,76.04
2011-04-15,14,77.38
2011-04-29,12,78.31
2011-05-06,7,78.7
2011-05-13,10,80.74
2011-05-20,9,82.33
2011-05-27,8,81.62
2011-06-03,6,80.54
2011-06-10,8,80.36
2011-06-17,11,82.52
2011-06-24,11,81.84
2011-07-01,12,85.65
2011-07-08,12,85.6
2011-07-15,10,85.48
2011-07-22,10,88.56
2011-07-29,12,86.48
2011-08-05,11,85.08
2011-08-12,12,86.5
2011-08-19,12,87.23
2011-08-26,12,89.93
2011-09-02,10,89.09
2011-09-09,10,85.03
2011-09-16,9,88.29
2011-09-23,11,87.37
2011-09-30,12,87.82
2011-10-07,13,87.2
2011-10-14,11,89.94
2011-10-21,13,92.32
2011-10-28,8,93.29
2011-11-04,11,93.81
2011-11-11,10,94.76
2011-11-18,10,92.74
2011-11-25,12,92.1
2011-12-02,11,95.7
2011-12-09,9,98.03
2011-12-16,10,97.49
2011-12-23,9,100.15
2011-12-30,9,100.33
2012-01-06,16,100.6
2012-01-13,10,100.35
2012-01-20,8,101.74
2012-01-27,10,98.69
2012-02-03,9,100.01
2012-02-10,6,99.47
2012-02-17,8,99.99
2012-02-24,9,100.32
2012-03-02,8,99.5
2012-03-09,10,96.84
2012-03-16,9,97.66
2012-03-23,100,95.55
2012-03-30,15,98.1
2012-04-13,12,96.97
2012-04-20,16,95.94
2012-04-27,9,97.38
2012-05-04,11,95.87
2012-05-11,9,91.9
2012-05-18,9,89.85
2012-05-25,10,91.05
2012-06-01,8,86.71
2012-06-08,11,87.75
2012-06-15,10,90.5
2012-06-22,9,88.35
2012-06-29,9,88.53
2012-07-06,9,89.66
2012-07-13,13,92.29
2012-07-20,12,91.58
2012-07-27,13,89.19
2012-08-03,9,89.59
2012-08-10,11,88.2
2012-08-17,14,87.36
2012-08-24,9,88.92
2012-08-31,10,89.49
2012-09-07,7,91.02
2012-09-14,10,91.7
2012-09-21,8,93.71
2012-09-28,12,91.75
2012-10-05,12,91
2012-10-12,9,92.51
2012-10-19,12,88.72
2012-10-26,9,86.71
2012-11-02,9,86.86
2012-11-09,9,84.74
2012-11-16,11,84.12
2012-11-23,9,87.05
2012-11-30,8,87.04
2012-12-07,14,88.48
2012-12-14,11,88.88
2012-12-21,10,90.18
2012-12-28,10,87.58
2013-01-04,12,89.85
2013-01-11,10,91.73
2013-01-18,11,92.26
2013-01-25,11,93.72
2013-02-01,10,95.95
2013-02-08,8,94.87
2013-02-15,10,93.9
2013-02-22,13,95.25
2013-03-01,8,95.68
2013-03-08,9,98.71
2013-03-15,9,99.67
2013-03-22,8,99.27
2013-04-05,11,101.42
2013-04-12,10,103.59
2013-04-19,11,99.92
2013-04-26,9,100.89
2013-05-03,8,102.92
2013-05-10,10,100.2
2013-05-17,8,101.54
2013-05-24,10,100.29
2013-05-31,10,96.57
2013-06-07,10,98.28
2013-06-14,10,98.42
2013-06-21,44,97.23
2013-06-28,12,99
2013-07-05,11,99.86
2013-07-12,11,101.58
2013-07-19,14,100.27
2013-07-26,16,98.03
2013-08-02,15,99.2
2013-08-09,12,97.62
2013-08-16,12,95.03
2013-08-23,9,95.13
2013-08-30,8,94.36
2013-09-06,12,96.26
2013-09-13,11,97.35
2013-09-20,13,96.9
2013-09-27,9,97.12
2013-10-04,9,94.7
2013-10-11,10,94.74
2013-10-18,9,95.2
2013-10-25,8,94.78
2013-11-01,9,97.24
2013-11-08,10,97.01
2013-11-15,11,96.92
2013-11-22,10,98.27
2013-11-29,10,97.37
2013-12-06,12,96.8
2013-12-13,8,94.44
2013-12-20,11,96.51
2013-12-27,10,96.91
2014-01-03,10,96.54
2014-01-10,9,95.8
2014-01-17,9,94.93
2014-01-24,11,94.43
2014-01-31,9,94.17
2014-02-07,10,95.92
2014-02-14,8,95.78
2014-02-21,10,96.45
2014-02-28,9,95.15
2014-03-07,9,95.5
2014-03-14,9,97.58
2014-03-21,8,95.47
2014-03-28,11,97.24
2014-04-04,11,97.87
2014-04-11,10,99.29
2014-04-25,11,100.73
