"Date","buy.Boeing","Price"
2011-06-03,24,74.84
2011-06-10,27,72.69
2011-06-17,32,74.16
2011-06-24,37,71.26
2011-07-01,42,74.27
2011-07-08,42,75.07
2011-07-15,47,71.28
2011-07-22,44,72.67
2011-07-29,32,70.47
2011-08-05,38,62.75
2011-08-12,43,61.75
2011-08-19,48,57.54
2011-08-26,47,62.8
2011-09-02,41,64.03
2011-09-09,32,61.79
2011-09-16,47,65.38
2011-09-23,52,59.51
2011-09-30,57,60.51
2011-10-07,22,61.81
2011-10-14,22,63.89
2011-10-21,35,64.59
2011-10-28,51,68.17
2011-11-04,22,65.8
2011-11-11,32,66.92
2011-11-18,48,67.46
2011-11-25,40,62.78
2011-12-02,22,71.3
2011-12-09,44,71.93
2011-12-16,40,71.01
2011-12-23,46,73.97
2011-12-30,37,73.35
2012-01-06,40,73.98
2012-01-13,53,74.6
2012-01-20,45,75.52
2012-01-27,46,74.55
2012-02-03,46,76.34
2012-02-10,61,74.95
2012-02-17,37,75.35
2012-02-24,37,76.06
2012-03-02,44,74.9
2012-03-09,34,73.29
2012-03-16,44,75.2
2012-03-23,31,73.97
2012-03-30,18,74.37
2012-04-13,27,72.92
2012-04-20,38,73.55
2012-04-27,34,77.27
2012-05-04,37,75.84
2012-05-11,31,73.56
2012-05-18,23,69.15
2012-05-25,24,70
2012-06-01,24,67.24
2012-06-08,23,69.94
2012-06-15,25,71.99
2012-06-22,24,71.96
2012-06-29,25,74.3
2012-07-06,20,73.69
2012-07-13,40,73.51
2012-07-20,33,73.89
2012-07-27,30,75.51
2012-08-03,27,72.81
2012-08-10,28,74.21
2012-08-17,24,73.91
2012-08-24,24,71.09
2012-08-31,34,71.4
2012-09-07,28,72.89
2012-09-14,33,71.28
2012-09-21,19,69.97
2012-09-28,34,69.6
2012-10-05,17,70.89
2012-10-12,26,71.85
2012-10-19,28,74.01
2012-10-26,28,71.11
2012-11-02,25,70.05
2012-11-09,29,73.25
2012-11-16,21,70.77
2012-11-23,28,73.74
2012-11-30,33,74.28
2012-12-07,19,74.64
2012-12-14,30,74.02
2012-12-21,26,76.17
2012-12-28,23,74.69
2013-01-04,26,77.69
2013-01-11,32,75.16
2013-01-18,36,75.04
2013-01-25,35,75.03
2013-02-01,22,74.87
2013-02-08,42,76.56
2013-02-15,18,75.03
2013-02-22,33,76.66
2013-03-01,17,77.28
2013-03-08,31,81.23
2013-03-15,26,86.43
2013-03-22,41,84.82
2013-04-05,34,86.17
2013-04-12,35,88.89
2013-04-19,31,87.96
2013-04-26,23,92.85
2013-05-03,30,93.74
2013-05-10,22,94.24
2013-05-17,18,98.92
2013-05-24,15,100
2013-05-31,23,99.02
2013-06-07,26,102.49
2013-06-14,31,101.83
2013-06-21,23,99.98
2013-06-28,26,102.44
2013-07-05,19,104.2
2013-07-12,40,101.87
2013-07-19,31,106.96
2013-07-26,33,105.6
2013-08-02,30,107.9
2013-08-09,21,105.33
2013-08-16,21,103.47
2013-08-23,15,105.48
2013-08-30,22,103.92
2013-09-06,27,106.07
2013-09-13,17,111.33
2013-09-20,36,116.63
2013-09-27,36,118.74
2013-10-04,32,117.2
2013-10-11,45,117.98
2013-10-18,19,122.52
2013-10-25,30,131.19
2013-11-01,32,133.03
2013-11-08,34,133.49
2013-11-15,31,136.08
2013-11-22,53,135.97
2013-11-29,35,134.25
2013-12-06,22,135.18
2013-12-13,28,133.83
2013-12-20,40,136.67
2013-12-27,53,136.9
2014-01-03,38,137.62
2014-01-10,22,141.9
2014-01-17,32,140.46
2014-01-24,36,136.65
2014-01-31,39,125.26
2014-02-07,32,127.02
2014-02-14,27,130.16
2014-02-21,32,128.28
2014-02-28,48,128.92
2014-03-07,45,128.54
2014-03-14,69,123.11
2014-03-21,40,122.58
2014-03-28,43,124.46
2014-04-04,33,127.38
2014-04-11,35,122.07
2014-04-25,34,128.66
