"Date","sell.Visa","Price"
2011-05-27,42,79.8
2011-06-03,27,79.13
2011-06-10,49,74.69
2011-06-17,49,74.43
2011-06-24,39,73.37
2011-07-01,37,87.97
2011-07-08,64,89.73
2011-07-15,40,88.75
2011-07-22,44,89.52
2011-07-29,45,85.54
2011-08-05,45,83.41
2011-08-12,59,83.83
2011-08-19,65,79.6
2011-08-26,40,85.85
2011-09-02,39,85.55
2011-09-09,48,86.35
2011-09-16,24,90.85
2011-09-23,41,90.08
2011-09-30,38,85.72
2011-10-07,33,86.25
2011-10-14,29,93.92
2011-10-21,45,93.43
2011-10-28,44,95.1
2011-11-04,41,92.64
2011-11-11,32,95.16
2011-11-18,36,90.81
2011-11-25,41,89.02
2011-12-02,29,97.2
2011-12-09,58,97.19
2011-12-16,65,97.44
2011-12-23,57,102.48
2011-12-30,57,101.53
2012-01-06,36,100.71
2012-01-13,55,100.74
2012-01-20,59,100.58
2012-01-27,65,101.05
2012-02-03,44,107.03
2012-02-10,46,113.9
2012-02-17,52,115.01
2012-02-24,42,117.54
2012-03-02,38,116.16
2012-03-09,44,117.17
2012-03-16,35,116.68
2012-03-23,36,118.78
2012-03-30,50,118
2012-04-13,37,123.16
2012-04-20,45,121.01
2012-04-27,47,123.52
2012-05-04,32,117.79
2012-05-11,28,117.92
2012-05-18,45,112.64
2012-05-25,45,119.37
2012-06-01,48,112.25
2012-06-08,33,116.58
2012-06-15,57,118.4
2012-06-22,47,124.95
2012-06-29,41,123.63
2012-07-06,44,125.28
2012-07-13,59,124.09
2012-07-20,35,125.75
2012-07-27,63,129.14
2012-08-03,52,130.98
2012-08-10,56,129.09
2012-08-17,31,128.69
2012-08-24,51,126.66
2012-08-31,48,128.25
2012-09-07,44,129.71
2012-09-14,61,134.25
2012-09-21,57,135
2012-09-28,50,134.28
2012-10-05,48,140.26
2012-10-12,30,139.12
2012-10-19,52,139.97
2012-10-26,49,138.31
2012-11-02,45,143.4
2012-11-09,46,142.93
2012-11-16,41,142.71
2012-11-23,52,148.12
2012-11-30,52,149.71
2012-12-07,56,148.55
2012-12-14,66,146.82
2012-12-21,83,150.77
2012-12-28,100,148.65
2013-01-04,49,156.77
2013-01-11,59,161.16
2013-01-18,42,158.27
2013-01-25,53,159.84
2013-02-01,37,158.56
2013-02-08,46,157.8
2013-02-15,26,157.99
2013-02-22,34,159.43
2013-03-01,38,158.08
2013-03-08,45,160.67
2013-03-15,41,158.55
2013-03-22,51,160.09
2013-04-05,53,165.16
2013-04-12,57,165.75
2013-04-19,48,163.96
2013-04-26,55,167.23
2013-05-03,42,179.54
2013-05-10,43,178.75
2013-05-17,25,184.57
2013-05-24,43,180.45
2013-05-31,55,178.14
2013-06-07,46,179.94
2013-06-14,56,180.93
2013-06-21,38,179.5
2013-06-28,35,182.75
2013-07-05,68,190.79
2013-07-12,58,190.72
2013-07-19,56,189.92
2013-07-26,76,193.2
2013-08-02,54,184
2013-08-09,44,179.81
2013-08-16,50,173.13
2013-08-23,32,179.1
2013-08-30,28,174.42
2013-09-06,38,176.67
2013-09-13,64,189
2013-09-20,50,198.83
2013-09-27,43,193.05
2013-10-04,54,190.48
2013-10-11,51,192.2
2013-10-18,55,200.45
2013-10-25,44,203.06
2013-11-01,36,199.16
2013-11-08,53,198.29
2013-11-15,53,202
2013-11-22,48,202.12
2013-11-29,51,203.46
2013-12-06,67,201.87
2013-12-13,73,207.36
2013-12-20,96,215.97
2013-12-27,97,219.67
2014-01-03,87,221.16
2014-01-10,54,221.13
2014-01-17,51,232.18
2014-01-24,61,221.25
2014-01-31,57,215.43
2014-02-07,53,221.78
2014-02-14,47,226
2014-02-21,53,223.36
2014-02-28,51,225.94
2014-03-07,40,225.56
2014-03-14,39,220.77
2014-03-21,43,223.37
2014-03-28,64,212.09
2014-04-04,37,207.7
2014-04-11,47,196.63
2014-04-25,57,198.93
