"Date","buy.Intel","Price"
2010-12-17,46,21.46
2010-12-31,64,21.03
2011-01-07,54,20.66
2011-01-14,42,21.08
2011-01-21,41,20.82
2011-01-28,37,21.46
2011-02-04,44,21.68
2011-02-11,41,21.76
2011-02-18,41,22.14
2011-02-25,46,21.86
2011-03-04,40,21.56
2011-03-11,44,20.87
2011-03-18,41,19.93
2011-03-25,40,20.37
2011-04-01,47,19.72
2011-04-08,38,20.02
2011-04-15,33,19.75
2011-04-29,31,23.15
2011-05-06,30,23.25
2011-05-13,37,23.41
2011-05-20,33,23.22
2011-05-27,28,22.21
2011-06-03,34,21.73
2011-06-10,38,21.38
2011-06-17,37,21.19
2011-06-24,33,21.2
2011-07-01,42,22.53
2011-07-08,31,23.09
2011-07-15,38,22.37
2011-07-22,39,23.13
2011-07-29,39,22.33
2011-08-05,38,20.79
2011-08-12,41,20.65
2011-08-19,44,19.19
2011-08-26,47,19.77
2011-09-02,42,19.64
2011-09-09,37,19.7
2011-09-16,34,21.97
2011-09-23,37,22.16
2011-09-30,36,21.34
2011-10-07,32,22.29
2011-10-14,35,23.5
2011-10-21,35,24.03
2011-10-28,37,24.98
2011-11-04,37,23.74
2011-11-11,42,24.85
2011-11-18,45,24.29
2011-11-25,64,22.73
2011-12-02,51,24.64
2011-12-09,39,25.01
2011-12-16,45,23.23
2011-12-23,40,24.4
2011-12-30,55,24.25
2012-01-06,41,25.25
2012-01-13,38,25.14
2012-01-20,38,26.38
2012-01-27,33,26.73
2012-02-03,36,26.74
2012-02-10,35,26.7
2012-02-17,33,27.37
2012-02-24,34,26.7
2012-03-02,31,26.92
2012-03-09,29,27.07
2012-03-16,31,27.73
2012-03-23,31,27.88
2012-03-30,25,28.12
2012-04-13,35,28.09
2012-04-20,33,27.6
2012-04-27,40,28.38
2012-05-04,33,27.9
2012-05-11,33,27.63
2012-05-18,36,26.07
2012-05-25,35,25.74
2012-06-01,32,25.14
2012-06-08,34,26.41
2012-06-15,35,27.34
2012-06-22,38,26.94
2012-06-29,34,26.65
2012-07-06,35,26.16
2012-07-13,39,25.25
2012-07-20,35,25.52
2012-07-27,41,26.02
2012-08-03,39,26.23
2012-08-10,39,26.88
2012-08-17,38,26.33
2012-08-24,38,24.91
2012-08-31,45,24.83
2012-09-07,42,24.19
2012-09-14,37,23.37
2012-09-21,39,23.13
2012-09-28,35,22.66
2012-10-05,32,22.68
2012-10-12,31,21.48
2012-10-19,30,21.27
2012-10-26,36,21.95
2012-11-02,52,22.06
2012-11-09,49,20.8
2012-11-16,46,20.19
2012-11-23,67,19.72
2012-11-30,47,19.57
2012-12-07,38,20.16
2012-12-14,42,20.53
2012-12-21,42,20.77
2012-12-28,47,20.23
2013-01-04,39,21.16
2013-01-11,37,22
2013-01-18,29,21.25
2013-01-25,39,20.96
2013-02-01,33,21.36
2013-02-08,31,21
2013-02-15,34,21.12
2013-02-22,36,20.42
2013-03-01,31,21.03
2013-03-08,37,21.58
2013-03-15,28,21.38
2013-03-22,31,21.33
2013-04-05,28,20.94
2013-04-12,31,21.68
2013-04-19,29,22.44
2013-04-26,29,23.4
2013-05-03,35,23.96
2013-05-10,31,24.5
2013-05-17,27,24.04
2013-05-24,30,23.92
2013-05-31,33,24.28
2013-06-07,34,24.59
2013-06-14,36,24.92
2013-06-21,32,24.2
2013-06-28,33,24.23
2013-07-05,31,24.06
2013-07-12,32,23.9
2013-07-19,36,23.04
2013-07-26,37,23.26
2013-08-02,41,23.22
2013-08-09,38,22.51
2013-08-16,39,21.91
2013-08-23,41,22.44
2013-08-30,36,21.98
2013-09-06,38,22.67
2013-09-13,34,23.44
2013-09-20,35,23.77
2013-09-27,30,22.98
2013-10-04,32,22.81
2013-10-11,33,23.26
2013-10-18,31,23.88
2013-10-25,35,24.24
2013-11-01,34,24.33
2013-11-08,34,24.09
2013-11-15,37,24.52
2013-11-22,42,23.87
2013-11-29,63,23.84
2013-12-06,52,24.82
2013-12-13,41,24.29
2013-12-20,43,25.06
2013-12-27,51,25.6
2014-01-03,45,25.78
2014-01-10,37,25.53
2014-01-17,36,25.85
2014-01-24,37,24.81
2014-01-31,34,24.54
2014-02-07,32,24.21
2014-02-14,33,24.76
2014-02-21,29,24.42
2014-02-28,30,24.76
2014-03-07,33,24.64
2014-03-14,31,24.5
2014-03-21,32,25.17
2014-03-28,33,25.62
2014-04-04,30,26.16
2014-04-11,32,26.18
2014-04-25,28,26.26
