"Date","sell.Verizon","Price"
2012-11-30,52,44.12
2012-12-07,43,44.41
2012-12-14,46,44.21
2012-12-21,44,43.57
2012-12-28,61,42.9
2013-01-04,51,44.3
2013-01-11,49,43.3
2013-01-18,39,42.54
2013-01-25,40,42.67
2013-02-01,38,44.56
2013-02-08,39,44.35
2013-02-15,38,44.4
2013-02-22,29,45.4
2013-03-01,30,46.72
2013-03-08,35,47.96
2013-03-15,45,48.02
2013-03-22,38,49.02
2013-04-05,38,49.56
2013-04-12,25,50.86
2013-04-19,43,52.25
2013-04-26,33,53.63
2013-05-03,36,52.68
2013-05-10,38,52.89
2013-05-17,30,53.35
2013-05-24,39,51.39
2013-05-31,42,48.48
2013-06-07,52,50.24
2013-06-14,46,51.07
2013-06-21,37,49.52
2013-06-28,37,50.34
2013-07-05,42,51.3
2013-07-12,47,50.41
2013-07-19,32,49.95
2013-07-26,50,51.02
2013-08-02,47,50.25
2013-08-09,50,49.32
2013-08-16,43,47.71
2013-08-23,46,47.61
2013-08-30,50,47.38
2013-09-06,44,46.34
2013-09-13,76,47.76
2013-09-20,76,47.78
2013-09-27,58,47
2013-10-04,43,47.1
2013-10-11,56,47.09
2013-10-18,56,50.01
2013-10-25,45,50.71
2013-11-01,49,50.49
2013-11-08,51,50.2
2013-11-15,44,50.31
2013-11-22,46,50.22
2013-11-29,53,49.62
2013-12-06,45,49.48
2013-12-13,48,47.84
2013-12-20,47,48.08
2013-12-27,54,49.17
2014-01-03,50,48.42
2014-01-10,49,47.75
2014-01-17,40,48.35
2014-01-24,39,47.63
2014-01-31,42,48.02
2014-02-07,34,46.81
2014-02-14,48,46.51
2014-02-21,41,47.27
2014-02-28,39,47.58
2014-03-07,35,47.15
2014-03-14,47,46.08
2014-03-21,32,46.91
2014-03-28,43,47.42
2014-04-04,45,48.04
2014-04-11,39,47.07
2014-04-25,42,45.94
