"Date","buy.Travelers","Price"
2011-12-02,40,54.24
2011-12-09,46,56.02
2011-12-16,52,57.28
2011-12-23,58,59.35
2011-12-30,48,59.17
2012-01-06,63,59.35
2012-01-13,37,59.37
2012-01-20,59,61.59
2012-01-27,63,58.05
2012-02-03,44,60.12
2012-02-10,49,59.38
2012-02-17,54,59.85
2012-02-24,59,58.6
2012-03-02,65,58.01
2012-03-09,70,57.61
2012-03-16,36,59.2
2012-03-23,51,58.2
2012-03-30,48,59.2
2012-04-13,42,58.12
2012-04-20,50,62.75
2012-04-27,39,64.01
2012-05-04,70,64.5
2012-05-11,47,64.62
2012-05-18,47,62.18
2012-05-25,47,62.6
2012-06-01,47,60.58
2012-06-08,50,62.14
2012-06-15,53,63.41
2012-06-22,50,63.35
2012-06-29,50,63.84
2012-07-06,73,63.26
2012-07-13,50,63.13
2012-07-20,40,62.71
2012-07-27,43,62.72
2012-08-03,47,63.71
2012-08-10,40,63.98
2012-08-17,40,65.13
2012-08-24,37,65.4
2012-08-31,43,64.74
2012-09-07,49,65.21
2012-09-14,35,68.58
2012-09-21,35,68.61
2012-09-28,47,68.26
2012-10-05,51,69.56
2012-10-12,59,68.72
2012-10-19,39,73.51
2012-10-26,39,71.56
2012-11-02,39,69.62
2012-11-09,39,68.98
2012-11-16,39,68.65
2012-11-23,55,71.27
2012-11-30,53,70.82
2012-12-07,41,73.39
2012-12-14,50,73.37
2012-12-21,55,72.82
2012-12-28,39,71.24
2013-01-04,34,74.06
2013-01-11,51,74.85
2013-01-18,36,76.31
2013-01-25,33,78.35
2013-02-01,39,79.89
2013-02-08,45,78.86
2013-02-15,51,80.39
2013-02-22,37,81.01
2013-03-01,37,80.69
2013-03-08,35,81.65
2013-03-15,31,82.28
2013-03-22,52,83.69
2013-04-05,34,84.41
2013-04-12,34,86.26
2013-04-19,35,84.81
2013-04-26,35,85.15
2013-05-03,30,85.41
2013-05-10,41,86.49
2013-05-17,32,86.5
2013-05-24,40,83.6
2013-05-31,49,83.72
2013-06-07,29,83.44
2013-06-14,43,82.15
2013-06-21,55,79.07
2013-06-28,55,79.92
2013-07-05,39,81.34
2013-07-12,45,84.18
2013-07-19,61,84.66
2013-07-26,47,83.6
2013-08-02,44,84
2013-08-09,30,82.1
2013-08-16,39,81.1
2013-08-23,34,80.19
2013-08-30,34,79.9
2013-09-06,39,80.49
2013-09-13,30,83.56
2013-09-20,33,86.06
2013-09-27,30,85.41
2013-10-04,41,84.68
2013-10-11,55,84.66
2013-10-18,32,86.58
2013-10-25,32,86.63
2013-11-01,55,86.4
2013-11-08,35,87.8
2013-11-15,38,88.67
2013-11-22,37,90.52
2013-11-29,30,90.74
2013-12-06,57,89.01
2013-12-13,64,86.49
2013-12-20,44,89.18
2013-12-27,39,89.85
2014-01-03,40,89.16
2014-01-10,62,87.49
2014-01-17,46,86.47
2014-01-24,48,81.61
2014-01-31,43,81.28
2014-02-07,38,80.88
2014-02-14,38,84.02
2014-02-21,35,83.79
2014-02-28,35,83.84
2014-03-07,30,83.93
2014-03-14,47,82.66
2014-03-21,63,83.78
2014-03-28,35,83.99
2014-04-04,35,85.2
2014-04-11,32,85.3
2014-04-25,44,88.31
