"Date","X3M","Price"
2009-02-06,57,52.39
2009-02-13,56,49.42
2009-02-20,59,47.25
2009-02-27,57,45.46
2009-03-06,58,41.83
2009-03-13,59,48
2009-03-20,60,45.93
2009-03-27,62,50.33
2009-04-03,60,52.11
2009-04-17,56,53.81
2009-04-24,59,57
2009-05-01,82,57.88
2009-05-08,64,60.09
2009-05-15,62,57.92
2009-05-22,63,56.07
2009-05-29,57,57.1
2009-06-05,58,60.94
2009-06-12,59,61
2009-06-19,58,59.37
2009-06-26,57,59.26
2009-07-10,62,59.79
2009-07-17,60,62.92
2009-07-24,59,69.42
2009-07-31,59,70.52
2009-08-07,59,72.9
2009-08-14,60,71.32
2009-08-21,59,72.64
2009-08-28,59,71.92
2009-09-04,60,71.35
2009-09-11,55,74
2009-09-18,58,74.62
2009-09-25,56,73.8
2009-10-02,56,71.93
2009-10-09,56,74.73
2009-10-16,56,76.02
2009-10-23,56,77.82
2009-10-30,54,73.57
2009-11-06,56,75.41
2009-11-13,57,77.32
2009-11-20,58,76.64
2009-11-27,54,76.75
2009-12-04,54,78.24
2009-12-11,53,81.75
2009-12-18,50,80.97
2010-01-08,51,84.32
2010-01-15,54,83.37
2010-01-22,57,81.48
2010-01-29,56,80.49
2010-02-05,54,78.54
2010-02-12,55,79.18
2010-02-19,53,81.52
2010-02-26,57,80.15
2010-03-05,56,82.44
2010-03-12,59,81.38
2010-03-19,58,81.96
2010-03-26,57,81
2010-04-09,57,83.49
2010-04-16,58,83.76
2010-04-23,56,86.58
2010-04-30,58,88.67
2010-05-07,58,82.63
2010-05-14,60,84.68
2010-05-21,59,80.7
2010-05-28,57,79.31
2010-06-04,56,76.1
2010-06-11,57,78.3
2010-06-18,57,81.18
2010-06-25,56,78.9
2010-07-02,54,77.67
2010-07-09,53,82.16
2010-07-16,53,80.95
2010-07-23,56,86.17
2010-07-30,56,85.54
2010-08-06,57,87.29
2010-08-13,56,84.01
2010-08-20,58,80.66
2010-08-27,57,81
2010-09-03,56,83.48
2010-09-10,56,83.94
2010-09-17,56,86.07
2010-09-24,55,86.96
2010-10-01,54,87.62
2010-10-08,56,89.16
2010-10-15,54,89.14
2010-10-22,55,90.44
2010-10-29,55,84.22
2010-11-05,56,86.34
2010-11-12,54,86.24
2010-11-19,54,85.01
2010-11-26,50,84.4
2010-12-03,52,86.94
2010-12-10,52,84.32
2010-12-17,49,86.37
2010-12-31,38,86.3
2011-01-07,48,86.23
2011-01-14,51,88.1
2011-01-21,53,89.29
2011-01-28,53,87.44
2011-02-04,51,88.29
2011-02-11,52,91.8
2011-02-18,53,92.96
2011-02-25,52,90.25
2011-03-04,55,92.19
2011-03-11,51,91.61
2011-03-18,51,88.98
2011-03-25,56,92.27
2011-04-01,56,93.13
2011-04-08,55,93.22
2011-04-15,56,92.82
2011-04-29,53,97.21
2011-05-06,52,95.6
2011-05-13,57,96.01
2011-05-20,56,93.56
2011-05-27,55,93.47
2011-06-03,54,90.7
2011-06-10,55,90.73
2011-06-17,53,91.78
2011-06-24,54,90.89
2011-07-01,52,96.67
2011-07-08,52,97.62
2011-07-15,54,95.47
2011-07-22,54,95.38
2011-07-29,55,87.14
2011-08-05,55,82.75
2011-08-12,54,82.54
2011-08-19,53,76.87
2011-08-26,52,80.01
2011-09-02,51,79.35
2011-09-09,51,76.65
2011-09-16,52,80.53
2011-09-23,53,73.99
2011-09-30,54,71.79
2011-10-07,54,73.82
2011-10-14,52,78.89
2011-10-21,55,80.48
2011-10-28,52,81
2011-11-04,50,79.3
2011-11-11,52,82.29
2011-11-18,51,80.54
2011-11-25,49,76.13
2011-12-02,52,79.76
2011-12-09,51,82.2
2011-12-16,50,78.87
2011-12-23,43,82.2
2011-12-30,39,81.73
2012-01-06,45,83.37
2012-01-13,49,83.6
2012-01-20,52,85.65
2012-01-27,53,87.46
2012-02-03,56,87.73
2012-02-10,53,87.14
2012-02-17,52,87.56
2012-02-24,51,88.2
2012-03-02,53,87.52
2012-03-09,54,86.8
2012-03-16,52,89.56
2012-03-23,54,88.46
2012-03-30,55,89.21
2012-04-13,53,85.69
2012-04-20,54,87.48
2012-04-27,55,89.36
2012-05-04,50,88.67
2012-05-11,54,86.73
2012-05-18,54,83.51
2012-05-25,56,84.78
2012-06-01,53,82.85
2012-06-08,53,86
2012-06-15,55,87.44
2012-06-22,54,86.83
2012-06-29,53,89.6
2012-07-06,51,88.99
2012-07-13,55,87.59
2012-07-20,53,89.99
2012-07-27,53,91.71
2012-08-03,56,91.7
2012-08-10,57,92.29
2012-08-17,51,94.24
2012-08-24,54,92.83
2012-08-31,53,92.6
2012-09-07,51,92.82
2012-09-14,54,93.98
2012-09-21,53,93.21
2012-09-28,54,92.42
2012-10-05,54,94.96
2012-10-12,53,92.75
2012-10-19,52,92.94
2012-10-26,53,88.03
2012-11-02,47,88.97
2012-11-09,52,88.81
2012-11-16,54,88.5
2012-11-23,49,90.28
2012-11-30,53,90.95
2012-12-07,50,91.51
2012-12-14,49,92.28
2012-12-21,43,93.1
2012-12-28,35,91.78
2013-01-04,40,95.37
2013-01-11,54,96.28
2013-01-18,53,98.74
2013-01-25,53,100.59
2013-02-01,52,101.56
2013-02-08,50,102.66
2013-02-15,48,103.23
2013-02-22,52,103.54
2013-03-01,51,103.77
2013-03-08,52,105.71
2013-03-15,52,106.4
2013-03-22,54,106.42
2013-04-05,52,105.78
2013-04-12,55,107.68
2013-04-19,53,105.71
2013-04-26,55,103.79
2013-05-03,51,107.83
2013-05-10,51,110.48
2013-05-17,55,111.39
2013-05-24,51,110.27
2013-05-31,55,110.27
2013-06-07,56,111.11
2013-06-14,56,111.03
2013-06-21,61,109.59
2013-06-28,56,109.35
2013-07-05,52,111.54
2013-07-12,53,115.14
2013-07-19,53,116.19
2013-07-26,52,116.91
2013-08-02,54,118.26
2013-08-09,52,118.31
2013-08-16,53,115.9
2013-08-23,53,114.4
2013-08-30,52,113.58
2013-09-06,50,115.04
2013-09-13,54,118.6
2013-09-20,50,120.01
2013-09-27,52,120.22
2013-10-04,52,119.4
2013-10-11,53,120.72
2013-10-18,53,122.84
2013-10-25,53,124.42
2013-11-01,50,125.9
2013-11-08,53,127.99
2013-11-15,52,129.85
2013-11-22,53,131.02
2013-11-29,47,133.51
2013-12-06,51,128.61
2013-12-13,50,126.43
2013-12-20,46,136.72
2013-12-27,35,139.35
2014-01-03,38,138.45
2014-01-10,50,136.18
2014-01-17,52,137.31
2014-01-24,53,130.22
2014-01-31,50,128.19
2014-02-07,50,130.33
2014-02-14,51,132.12
2014-02-21,52,131.57
2014-02-28,53,134.73
2014-03-07,52,134.11
2014-03-14,52,129.83
2014-03-21,53,133.12
2014-03-28,53,134.2
2014-04-04,53,135.86
2014-04-11,52,132.39
2014-04-25,52,136.56
