"Date","Coca.Cola","Price"
2012-08-24,22,38.47
2012-08-31,19,37.4
2012-09-07,19,37.9
2012-09-14,22,38.12
2012-09-21,23,38.03
2012-09-28,20,37.93
2012-10-05,21,38.58
2012-10-12,21,38.23
2012-10-19,23,37.4
2012-10-26,22,37.04
2012-11-02,21,37.08
2012-11-09,21,36.29
2012-11-16,21,36.56
2012-11-23,20,37.93
2012-11-30,22,37.92
2012-12-07,22,37.71
2012-12-14,24,37.66
2012-12-21,19,36.89
2012-12-28,15,35.97
2013-01-04,14,37.66
2013-01-11,18,36.91
2013-01-18,18,37.7
2013-01-25,17,37.05
2013-02-01,17,37.54
2013-02-08,18,38.77
2013-02-15,16,37.42
2013-02-22,16,38.52
2013-03-01,17,38.7
2013-03-08,16,39.22
2013-03-15,18,38.83
2013-03-22,17,40.04
2013-04-05,17,40.08
2013-04-12,17,41.08
2013-04-19,17,42.66
2013-04-26,18,42.1
2013-05-03,17,42.24
2013-05-10,18,42.15
2013-05-17,19,42.97
2013-05-24,19,42.24
2013-05-31,20,39.99
2013-06-07,17,41.41
2013-06-14,18,40.34
2013-06-21,20,39.76
2013-06-28,16,40.11
2013-07-05,15,40.52
2013-07-12,15,41.03
2013-07-19,16,41.09
2013-07-26,15,40.64
2013-08-02,15,40.22
2013-08-09,15,40.16
2013-08-16,14,39.05
2013-08-23,14,38.52
2013-08-30,16,38.18
2013-09-06,14,38.35
2013-09-13,19,38.69
2013-09-20,37,39.4
2013-09-27,24,38.4
2013-10-04,19,37.2
2013-10-11,16,37.77
2013-10-18,16,38.78
2013-10-25,16,39.03
2013-11-01,15,39.61
2013-11-08,15,40.05
2013-11-15,18,40.22
2013-11-22,18,40.43
2013-11-29,17,40.19
2013-12-06,17,40.46
2013-12-13,19,39.23
2013-12-20,15,40.04
2013-12-27,12,40.66
2014-01-03,12,40.46
2014-01-10,12,40.13
2014-01-17,15,39.28
2014-01-24,15,38.84
2014-01-31,15,37.82
2014-02-07,20,37.95
2014-02-14,16,38.93
2014-02-21,16,37.18
2014-02-28,16,38.2
2014-03-07,15,38.55
2014-03-14,15,38.17
2014-03-21,14,38.44
2014-03-28,15,38.95
2014-04-04,15,38.22
2014-04-11,14,38.63
2014-04-25,15,41.01
