"Date","sell.Home.Depot","Price"
2010-05-21,56,33.02
2010-05-28,47,33.86
2010-06-04,73,32.15
2010-06-11,61,32.22
2010-06-18,60,31.94
2010-06-25,51,30.2
2010-07-02,65,27.76
2010-07-09,52,28.26
2010-07-16,46,27.11
2010-07-23,58,28.25
2010-07-30,43,28.51
2010-08-06,47,28.68
2010-08-13,52,27.31
2010-08-20,60,28.17
2010-08-27,57,28.74
2010-09-03,59,29.85
2010-09-10,36,29.68
2010-09-17,59,29.89
2010-09-24,57,31.64
2010-10-01,35,31.82
2010-10-08,46,31.89
2010-10-15,50,30.7
2010-10-22,42,31.48
2010-10-29,45,30.9
2010-11-05,40,31.92
2010-11-12,38,31.44
2010-11-19,50,31.22
2010-11-26,51,31
2010-12-03,54,33.48
2010-12-10,60,34.4
2010-12-17,41,35.1
2010-12-31,71,35.06
2011-01-07,56,34.38
2011-01-14,59,35.89
2011-01-21,36,36.51
2011-01-28,43,36.7
2011-02-04,40,36.8
2011-02-11,47,37.48
2011-02-18,46,38.48
2011-02-25,54,37.08
2011-03-04,47,37.22
2011-03-11,37,37.14
2011-03-18,51,36
2011-03-25,67,37.42
2011-04-01,57,37.56
2011-04-08,66,37.46
2011-04-15,48,38.17
2011-04-29,66,37.15
2011-05-06,63,36.99
2011-05-13,64,37.01
2011-05-20,56,37.05
2011-05-27,55,36
2011-06-03,77,34.63
2011-06-10,68,33.47
2011-06-17,73,34.53
2011-06-24,63,35.08
2011-07-01,61,36.73
2011-07-08,68,36.62
2011-07-15,87,35.91
2011-07-22,55,36.52
2011-07-29,61,34.93
2011-08-05,67,30.74
2011-08-12,55,30.58
2011-08-19,68,31.88
2011-08-26,70,34
2011-09-02,60,32.18
2011-09-09,58,31.87
2011-09-16,43,34.61
2011-09-23,53,33.72
2011-09-30,39,32.87
2011-10-07,44,33.92
2011-10-14,43,35.05
2011-10-21,44,36.86
2011-10-28,53,36.12
2011-11-04,39,36.39
2011-11-11,53,38.06
2011-11-18,52,37.88
2011-11-25,57,36.47
2011-12-02,61,39.94
2011-12-09,62,40.23
2011-12-16,64,40.42
2011-12-23,57,42.09
2011-12-30,67,42.04
2012-01-06,40,43.2
2012-01-13,58,43.51
2012-01-20,56,44.51
2012-01-27,56,44.87
2012-02-03,64,45.17
2012-02-10,45,45.33
2012-02-17,48,46.71
2012-02-24,39,46.98
2012-03-02,61,47.41
2012-03-09,41,48.1
2012-03-16,51,49.05
2012-03-23,62,49.54
2012-03-30,59,50.31
2012-04-13,67,50.96
2012-04-20,72,51.46
2012-04-27,63,51.95
2012-05-04,73,51.96
2012-05-11,62,50.34
2012-05-18,59,47.05
2012-05-25,85,49.44
2012-06-01,73,47.96
2012-06-08,75,52.35
2012-06-15,66,51.87
2012-06-22,83,52.02
2012-06-29,84,52.99
2012-07-06,68,52.15
2012-07-13,67,52.09
2012-07-20,63,50.7
2012-07-27,56,53.71
2012-08-03,68,52.29
2012-08-10,71,53.06
2012-08-17,77,56.73
2012-08-24,58,56.96
2012-08-31,55,56.75
2012-09-07,54,57.26
2012-09-14,64,59.46
2012-09-21,82,59.42
2012-09-28,70,60.37
2012-10-05,62,63.2
2012-10-12,54,59.56
2012-10-19,55,61.89
2012-10-26,65,60.04
2012-11-02,59,62.02
2012-11-09,71,60.96
2012-11-16,85,62.12
2012-11-23,70,64.82
2012-11-30,72,65.07
2012-12-07,60,64.45
2012-12-14,68,62.06
2012-12-21,60,61.32
2012-12-28,57,60.65
2013-01-04,67,63.18
2013-01-11,56,63.7
2013-01-18,60,65.47
2013-01-25,64,67.82
2013-02-01,70,67.3
2013-02-08,53,67.01
2013-02-15,58,67.52
2013-02-22,67,65.58
2013-03-01,52,69.03
2013-03-08,65,71.37
2013-03-15,62,69.05
2013-03-22,68,69.56
2013-04-05,85,70.06
2013-04-12,81,73.62
2013-04-19,89,74
2013-04-26,91,73.35
2013-05-03,85,73.96
2013-05-10,97,76.01
2013-05-17,90,76.86
2013-05-24,95,78.99
2013-05-31,70,78.66
2013-06-07,71,78.74
2013-06-14,86,76.59
2013-06-21,74,73.82
2013-06-28,91,77.47
2013-07-05,79,78.29
2013-07-12,67,80.54
2013-07-19,87,79.89
2013-07-26,75,78.74
2013-08-02,90,80.23
2013-08-09,70,78.97
2013-08-16,85,75.38
2013-08-23,81,73.89
2013-08-30,77,74.49
2013-09-06,74,72.7
2013-09-13,73,75.11
2013-09-20,79,77
2013-09-27,77,75.96
2013-10-04,86,75.78
2013-10-11,70,76.32
2013-10-18,78,74.69
2013-10-25,63,76.25
2013-11-01,72,76.99
2013-11-08,65,75.48
2013-11-15,70,80.03
2013-11-22,77,79.18
2013-11-29,87,80.67
2013-12-06,77,79.84
2013-12-13,75,79.01
2013-12-20,67,80.04
2013-12-27,79,81.64
2014-01-03,87,81.89
2014-01-10,71,82.01
2014-01-17,56,81
2014-01-24,64,79.16
2014-01-31,70,76.85
2014-02-07,58,76.45
2014-02-14,83,77.93
2014-02-21,69,77.74
2014-02-28,76,82.03
2014-03-07,68,82.55
2014-03-14,77,79.38
2014-03-21,60,80.42
2014-03-28,79,78.72
2014-04-04,91,78.72
2014-04-11,89,75.7
2014-04-25,100,79.38
