"Date","TMK","Price"
2008-02-22,49,61.71
2008-02-29,37,60.26
2008-03-07,30,59.07
2008-03-14,33,58.45
2008-03-28,29,59.63
2008-04-04,23,62.98
2008-04-11,29,61.37
2008-04-18,35,63.78
2008-04-25,36,63.12
2008-05-02,26,65.2
2008-05-09,42,63.01
2008-05-16,34,63.56
2008-05-23,37,63.3
2008-05-30,35,63.41
2008-06-06,32,60.92
2008-06-13,31,62
2008-06-20,33,60.06
2008-06-27,36,58.96
2008-07-11,33,58.11
2008-07-18,28,59.6
2008-07-25,36,57.39
2008-08-01,28,57.96
2008-08-08,38,59.82
2008-08-15,30,59.4
2008-08-22,31,58.62
2008-08-29,32,59.74
2008-09-05,25,60.01
2008-09-12,28,61.21
2008-09-19,26,61.88
2008-09-26,26,62.39
2008-10-03,34,51.83
2008-10-10,42,38.34
2008-10-17,31,33.62
2008-10-24,34,37.17
2008-10-31,34,41.77
2008-11-07,32,42.41
2008-11-14,28,38.47
2008-11-21,37,29.22
2008-11-28,29,36.15
2008-12-05,30,38.99
2008-12-12,34,39.72
2008-12-19,32,44.13
2008-12-26,29,42.35
2009-01-02,28,44.89
2009-01-09,34,42.86
2009-01-16,35,37.63
2009-01-23,36,31.68
2009-01-30,31,30
2009-02-06,31,31.43
2009-02-13,33,27.49
2009-02-20,34,22.07
2009-02-27,29,20.6
2009-03-06,30,17.06
2009-03-13,36,23.21
2009-03-20,35,24.79
2009-03-27,33,28.84
2009-04-03,29,28.83
2009-04-17,31,32.26
2009-04-24,35,26.63
2009-05-01,33,29.43
2009-05-08,31,37.93
2009-05-15,30,35.34
2009-05-22,33,36.29
2009-05-29,29,40.16
2009-06-05,31,39.28
2009-06-12,35,38.29
2009-06-19,27,36.92
2009-06-26,32,36.95
2009-07-10,28,33.68
2009-07-17,32,37.73
2009-07-24,29,42.05
2009-07-31,24,39.06
2009-08-07,38,41.19
2009-08-14,27,40.82
2009-08-21,29,42.2
2009-08-28,27,42.76
2009-09-04,31,40.89
2009-09-11,34,42.34
2009-09-18,25,44.86
2009-09-25,28,41.93
2009-10-02,31,40.43
2009-10-09,36,45.46
2009-10-16,29,45.15
2009-10-23,29,44.26
2009-10-30,30,40.6
2009-11-06,34,41.91
2009-11-13,33,42.71
2009-11-20,31,42.32
2009-11-27,27,42.62
2009-12-04,29,43.65
2009-12-11,31,44.33
2009-12-18,24,42.81
2010-01-08,26,46.09
2010-01-15,27,46.2
2010-01-22,30,44.24
2010-01-29,30,44.9
2010-02-05,27,44.09
2010-02-12,30,44.38
2010-02-19,32,46.53
2010-02-26,29,46.5
2010-03-05,34,49.99
2010-03-12,24,51.15
2010-03-19,27,53.18
2010-03-26,27,52.66
2010-04-09,30,53.88
2010-04-16,30,54.5
2010-04-23,31,56.22
2010-04-30,34,53.54
2010-05-07,29,49.1
2010-05-14,29,51.03
2010-05-21,30,50.62
2010-05-28,30,51.53
2010-06-04,33,49.54
2010-06-11,34,51.9
2010-06-18,34,52.86
2010-06-25,33,52.05
2010-07-02,36,49.04
2010-07-09,26,51.89
2010-07-16,31,48.99
2010-07-23,24,51.23
2010-07-30,29,53.07
2010-08-06,29,53.26
2010-08-13,28,50.63
2010-08-20,29,49.49
2010-08-27,34,50.27
2010-09-03,28,52.25
2010-09-10,35,52.66
2010-09-17,32,53.8
2010-09-24,29,54.37
2010-10-01,31,53.33
2010-10-08,27,54.43
2010-10-15,31,54.5
2010-10-22,27,55.37
2010-10-29,23,57.28
2010-11-05,30,59.25
2010-11-12,38,57.99
2010-11-19,39,58.97
2010-11-26,43,58.15
2010-12-03,44,60.75
2010-12-10,40,61.74
2010-12-17,43,60.4
2010-12-31,89,59.74
2011-01-07,47,61.36
2011-01-14,39,61.56
2011-01-21,38,61.4
2011-01-28,31,62.38
2011-02-04,30,63.6
2011-02-11,34,63.44
2011-02-18,28,65.45
2011-02-25,28,64.37
2011-03-04,31,65.36
2011-03-11,30,65.16
2011-03-18,32,64.76
2011-03-25,28,66.01
2011-04-01,35,67.27
2011-04-08,30,66.66
2011-04-15,29,66.38
2011-04-29,23,66.92
2011-05-06,25,65.77
2011-05-13,27,65.99
2011-05-20,31,66.84
2011-05-27,28,65.94
2011-06-03,27,64.35
2011-06-10,27,63.17
2011-06-17,26,62.92
2011-06-24,26,62.5
2011-07-01,27,64.53
2011-07-08,28,43.17
2011-07-15,24,41.37
2011-07-22,26,41.96
2011-07-29,25,40.39
2011-08-05,24,36.61
2011-08-12,25,36.15
2011-08-19,26,35.24
2011-08-26,27,36.53
2011-09-02,24,35.87
2011-09-09,25,35.74
2011-09-16,24,37.17
2011-09-23,25,34.31
2011-09-30,25,34.86
2011-10-07,26,35.7
2011-10-14,27,38.5
2011-10-21,25,39.8
2011-10-28,28,41.57
2011-11-04,28,41.6
2011-11-11,24,42.34
2011-11-18,25,42.06
2011-11-25,27,39.68
2011-12-02,24,42.62
2011-12-09,27,43.16
2011-12-16,24,42.14
2011-12-23,23,43.51
2011-12-30,22,43.39
2012-01-06,25,43.46
2012-01-13,26,43.96
2012-01-20,26,45.32
2012-01-27,22,45.75
2012-02-03,23,47.67
2012-02-10,24,47.2
2012-02-17,23,48.72
2012-02-24,25,48.8
2012-03-02,29,48.56
2012-03-09,25,48.77
2012-03-16,27,50.55
2012-03-23,29,49.56
2012-03-30,26,49.85
2012-04-13,25,48.53
2012-04-20,24,48.63
2012-04-27,24,49.09
2012-05-04,23,47.56
2012-05-11,30,48.21
2012-05-18,23,45.5
2012-05-25,27,46.47
2012-06-01,26,45.56
2012-06-08,25,47.5
2012-06-15,24,48.32
2012-06-22,26,48.78
2012-06-29,32,50.55
2012-07-06,28,50.89
2012-07-13,27,51.9
2012-07-20,24,51.19
2012-07-27,24,50.01
2012-08-03,22,51.36
2012-08-10,23,50.31
2012-08-17,25,51.11
2012-08-24,25,50.94
2012-08-31,24,51.18
2012-09-07,25,52.27
2012-09-14,26,52.76
2012-09-21,28,51.92
2012-09-28,26,51.35
2012-10-05,22,51.93
2012-10-12,24,50.77
2012-10-19,23,51.1
2012-10-26,22,50.46
2012-11-02,23,50.56
2012-11-09,26,50.22
2012-11-16,25,50.47
2012-11-23,25,51.84
2012-11-30,27,51.99
2012-12-07,27,51.77
2012-12-14,25,50.58
2012-12-21,21,52.11
2012-12-28,22,50.96
2013-01-04,20,53.46
2013-01-11,30,53.45
2013-01-18,24,53.76
2013-01-25,28,55.98
2013-02-01,24,56.02
2013-02-08,28,55.55
2013-02-15,26,56.21
2013-02-22,27,56.13
2013-03-01,26,56.3
2013-03-08,26,58.35
2013-03-15,24,59.36
2013-03-22,28,59.29
2013-04-05,27,58.14
2013-04-12,25,59.62
2013-04-19,27,59.3
2013-04-26,27,61.31
2013-05-03,25,62.63
2013-05-10,26,64.2
2013-05-17,27,64.86
2013-05-24,26,64.26
2013-05-31,29,64.51
2013-06-07,26,64.96
2013-06-14,26,64.66
2013-06-21,24,64.55
2013-06-28,28,65.14
2013-07-05,24,67.08
2013-07-12,26,69.24
2013-07-19,24,69.55
2013-07-26,27,70.34
2013-08-02,25,72.4
2013-08-09,23,71.16
2013-08-16,27,70.93
2013-08-23,31,71.32
2013-08-30,30,68.89
2013-09-06,30,70.55
2013-09-13,33,72.17
2013-09-20,30,71.94
2013-09-27,30,72.84
2013-10-04,36,72.56
2013-10-11,34,73.16
2013-10-18,29,75.02
2013-10-25,32,73.36
2013-11-01,34,72.77
2013-11-08,32,73.9
2013-11-15,31,75.42
2013-11-22,29,75.41
2013-11-29,29,76
2013-12-06,33,76.78
2013-12-13,29,75.84
2013-12-20,29,77.85
2013-12-27,33,78.24
2014-01-03,33,77.58
2014-01-10,32,78.27
2014-01-17,33,77.71
2014-01-24,34,74.56
2014-01-31,35,75.15
2014-02-07,31,75.08
2014-02-14,34,75.86
2014-02-21,32,76.08
2014-02-28,33,77.51
2014-03-07,32,80.27
2014-03-14,33,77.99
2014-03-21,33,79.21
2014-03-28,28,77.35
2014-04-04,30,78.42
2014-04-11,30,76.46
2014-04-25,31,78.39
