"Date","AVB","Price"
2007-02-02,9,145.59
2007-02-09,9,145.99
2007-02-16,7,145.04
2007-02-23,8,141.18
2007-03-02,8,131.29
2007-03-09,7,131.08
2007-03-16,8,128.36
2007-03-23,7,134.98
2007-03-30,5,130
2007-04-13,7,128.74
2007-04-20,8,130.35
2007-04-27,8,125.95
2007-05-04,6,119.03
2007-05-11,8,123.84
2007-05-18,6,116.29
2007-05-25,10,118.9
2007-06-01,9,129.41
2007-06-08,6,124.5
2007-06-15,7,129.5
2007-06-22,8,121.02
2007-06-29,7,118.88
2007-07-06,8,124.34
2007-07-13,10,122.73
2007-07-20,7,116.8
2007-07-27,9,107.01
2007-08-03,6,109.77
2007-08-10,7,115.85
2007-08-17,5,113.64
2007-08-24,7,114.26
2007-08-31,6,114.38
2007-09-07,8,111.13
2007-09-14,6,115.91
2007-09-21,8,116
2007-09-28,7,118.06
2007-10-05,7,123.95
2007-10-12,9,120.29
2007-10-19,8,109.11
2007-10-26,7,117.85
2007-11-02,8,112.17
2007-11-09,7,106.38
2007-11-16,7,101.89
2007-11-23,7,99.33
2007-11-30,7,99.44
2007-12-07,9,103.2
2007-12-14,8,93.5
2007-12-21,6,95.78
2007-12-28,5,92.82
2008-01-04,7,84.02
2008-01-11,7,87.86
2008-01-18,8,83.18
2008-01-25,9,91.9
2008-02-01,7,99.2
2008-02-08,8,90.54
2008-02-15,8,92.1
2008-02-22,8,95.74
2008-02-29,8,92.43
2008-03-07,9,92.25
2008-03-14,7,94.31
2008-03-28,7,95.1
2008-04-04,8,104.01
2008-04-11,8,96.33
2008-04-18,8,101.11
2008-04-25,8,104.88
2008-05-02,7,105.37
2008-05-09,8,99.41
2008-05-16,6,104.19
2008-05-23,7,98.49
2008-05-30,8,101.2
2008-06-06,9,99.15
2008-06-13,7,98.46
2008-06-20,8,92.69
2008-06-27,8,88.21
2008-07-11,8,87.24
2008-07-18,7,93.32
2008-07-25,8,96.03
2008-08-01,6,99.27
2008-08-08,8,104.53
2008-08-15,5,101.71
2008-08-22,7,101.13
2008-08-29,8,100
2008-09-05,8,100.02
2008-09-12,8,100.16
2008-09-19,6,103.9
2008-09-26,7,99.26
2008-10-03,8,86.14
2008-10-10,8,81.31
2008-10-17,9,73.16
2008-10-24,9,64.19
2008-10-31,7,71.02
2008-11-07,8,64.35
2008-11-14,9,55.46
2008-11-21,7,47.8
2008-11-28,7,60.67
2008-12-05,8,66.63
2008-12-12,8,63.04
2008-12-19,9,64.5
2008-12-26,6,57.04
2009-01-02,6,59.66
2009-01-09,6,54.55
2009-01-16,7,55.23
2009-01-23,7,54.38
2009-01-30,8,51.81
2009-02-06,8,50.55
2009-02-13,6,44.26
2009-02-20,7,44.03
2009-02-27,8,42.42
2009-03-06,8,42.14
2009-03-13,6,48.99
2009-03-20,8,44.62
2009-03-27,7,47.54
2009-04-03,9,53.55
2009-04-17,7,60.21
2009-04-24,8,61.41
2009-05-01,7,54.06
2009-05-08,6,58.39
2009-05-15,7,53.83
2009-05-22,7,54.64
2009-05-29,6,61.48
2009-06-05,7,63.76
2009-06-12,7,61.2
2009-06-19,9,57.71
2009-06-26,8,55.39
2009-07-10,7,51.34
2009-07-17,7,53.97
2009-07-24,6,56.53
2009-07-31,6,58.2
2009-08-07,6,70.66
2009-08-14,7,65.12
2009-08-21,7,65.16
2009-08-28,8,65.13
2009-09-04,6,64.04
2009-09-11,8,68.3
2009-09-18,8,75.74
2009-09-25,6,71.86
2009-10-02,7,67.99
2009-10-09,8,73.56
2009-10-16,7,72.05
2009-10-23,7,73.14
2009-10-30,8,68.78
2009-11-06,7,67.53
2009-11-13,8,73.49
2009-11-20,8,71.99
2009-11-27,7,69.12
2009-12-04,7,76.94
2009-12-11,6,76.74
2009-12-18,8,79.82
2010-01-08,7,79.39
2010-01-15,7,79.43
2010-01-22,6,75.44
2010-01-29,7,76.61
2010-02-05,7,75.59
2010-02-12,7,75.49
2010-02-19,6,78.82
2010-02-26,7,81.42
2010-03-05,7,83.2
2010-03-12,8,86.24
2010-03-19,7,87.97
2010-03-26,7,87.78
2010-04-09,7,92.88
2010-04-16,7,90.98
2010-04-23,8,101.27
2010-04-30,7,104.04
2010-05-07,7,97.74
2010-05-14,6,100.4
2010-05-21,6,94.31
2010-05-28,7,98.06
2010-06-04,7,92.07
2010-06-11,7,103.23
2010-06-18,8,104
2010-06-25,6,100.72
2010-07-02,7,91.3
2010-07-09,7,98.98
2010-07-16,6,96.43
2010-07-23,5,104.25
2010-07-30,6,105.09
2010-08-06,8,101.34
2010-08-13,7,102.18
2010-08-20,6,104.45
2010-08-27,7,103.85
2010-09-03,8,110.39
2010-09-10,8,107.09
2010-09-17,7,109.66
2010-09-24,7,106.9
2010-10-01,8,105.13
2010-10-08,8,105.76
2010-10-15,8,110.05
2010-10-22,7,110.08
2010-10-29,8,106.31
2010-11-05,8,113.33
2010-11-12,8,108.83
2010-11-19,6,109.06
2010-11-26,8,109.9
2010-12-03,7,114.44
2010-12-10,6,113.12
2010-12-17,6,108.95
2010-12-31,5,112.55
2011-01-07,7,109.51
2011-01-14,7,112.5
2011-01-21,7,112.83
2011-01-28,7,113.78
2011-02-04,9,113.8
2011-02-11,8,116
2011-02-18,6,116.07
2011-02-25,8,118.11
2011-03-04,7,115.03
2011-03-11,6,117.65
2011-03-18,8,117.45
2011-03-25,6,117.4
2011-04-01,8,120.86
2011-04-08,6,118.01
2011-04-15,7,121.1
2011-04-29,6,126.61
2011-05-06,6,126.09
2011-05-13,7,126.93
2011-05-20,7,127.1
2011-05-27,8,130
2011-06-03,6,131.24
2011-06-10,7,130
2011-06-17,7,129.08
2011-06-24,9,127.5
2011-07-01,8,132.56
2011-07-08,7,137.33
2011-07-15,7,132.71
2011-07-22,7,139.51
2011-07-29,8,134.19
2011-08-05,6,121.46
2011-08-12,7,129.3
2011-08-19,8,125.5
2011-08-26,8,130.59
2011-09-02,7,134.36
2011-09-09,8,132.32
2011-09-16,8,130.18
2011-09-23,9,117.35
2011-09-30,8,114.05
2011-10-07,8,115.97
2011-10-14,7,121.83
2011-10-21,7,124.45
2011-10-28,8,133.09
2011-11-04,8,130.32
2011-11-11,8,129.32
2011-11-18,7,123.24
2011-11-25,12,118.1
2011-12-02,10,124.01
2011-12-09,10,125.64
2011-12-16,11,128.96
2011-12-23,9,131.95
2011-12-30,9,130.6
2012-01-06,10,128.2
2012-01-13,9,126.49
2012-01-20,7,127.82
2012-01-27,9,135.42
2012-02-03,9,139.82
2012-02-10,13,134.45
2012-02-17,14,134.03
2012-02-24,19,133
2012-03-02,15,132.22
2012-03-09,65,137.8
2012-03-16,11,138.48
2012-03-23,9,137.09
2012-03-30,9,141.35
2012-04-13,8,140.15
2012-04-20,9,144.83
2012-04-27,9,146.06
2012-05-04,8,145.43
2012-05-11,9,146.9
2012-05-18,20,136.92
2012-05-25,19,139.84
2012-06-01,9,137.01
2012-06-08,8,141.66
2012-06-15,12,140.7
2012-06-22,12,137.36
2012-06-29,14,141.48
2012-07-06,27,144.59
2012-07-13,14,149.05
2012-07-20,10,148.07
2012-07-27,9,145.51
2012-08-03,8,144.72
2012-08-10,7,140.34
2012-08-17,9,141.76
2012-08-24,11,144.18
2012-08-31,13,141.52
2012-09-07,12,144.36
2012-09-14,9,141.33
2012-09-21,11,138.81
2012-09-28,12,135.99
2012-10-05,12,136.21
2012-10-12,9,132.29
2012-10-19,11,136.91
2012-10-26,9,133.07
2012-11-02,10,137.72
2012-11-09,8,131.93
2012-11-16,10,128.87
2012-11-23,11,128.54
2012-11-30,10,131.79
2012-12-07,9,133.68
2012-12-14,8,132.6
2012-12-21,8,136.65
2012-12-28,7,133.98
2013-01-04,9,136.37
2013-01-11,10,136.16
2013-01-18,8,138.56
2013-01-25,10,138.42
2013-02-01,9,126.11
2013-02-08,8,128.84
2013-02-15,9,130.26
2013-02-22,9,128.83
2013-03-01,11,126.21
2013-03-08,15,124.08
2013-03-15,11,128.37
2013-03-22,9,126.83
2013-04-05,8,133.44
2013-04-12,9,135.57
2013-04-19,8,133.07
2013-04-26,9,130.22
2013-05-03,8,129.79
2013-05-10,12,133.29
2013-05-17,9,138.69
2013-05-24,11,138.58
2013-05-31,9,132.66
2013-06-07,9,134.48
2013-06-14,11,134.59
2013-06-21,10,131.69
2013-06-28,8,134.91
2013-07-05,8,135.01
2013-07-12,7,140.45
2013-07-19,8,140.36
2013-07-26,7,138.98
2013-08-02,8,133.95
2013-08-09,8,133.12
2013-08-16,8,122.79
2013-08-23,11,126.23
2013-08-30,11,123.9
2013-09-06,10,125.59
2013-09-13,8,129.19
2013-09-20,8,133.04
2013-09-27,13,129.3
2013-10-04,9,124.91
2013-10-11,8,128.96
2013-10-18,8,132.64
2013-10-25,8,131.47
2013-11-01,9,125.71
2013-11-08,10,121.84
2013-11-15,8,120.22
2013-11-22,8,117.56
2013-11-29,18,118.56
2013-12-06,15,121.7
2013-12-13,9,119.24
2013-12-20,100,118.76
2013-12-27,12,118.91
2014-01-03,9,119.76
2014-01-10,9,121.8
2014-01-17,9,121.88
2014-01-24,10,119.52
2014-01-31,8,123.5
2014-02-07,8,127.81
2014-02-14,9,128.99
2014-02-21,8,128.66
2014-02-28,9,128.97
2014-03-07,8,128.22
2014-03-14,9,129.75
2014-03-21,12,129.84
2014-03-28,9,130.13
2014-04-04,10,133.43
2014-04-11,9,132.25
2014-04-25,10,135.33
