"Date","TROW","Price"
2005-09-02,29,62.94
2005-09-09,57,63.37
2005-09-16,52,63.98
2005-09-23,58,62.89
2005-09-30,61,65.3
2005-10-07,53,63.21
2005-10-14,58,62.05
2005-10-21,69,63.14
2005-10-28,74,64.77
2005-11-04,57,67.27
2005-11-11,50,69.77
2005-11-18,72,71.01
2005-11-25,66,73.86
2005-12-02,65,73.03
2005-12-09,74,73.36
2005-12-16,80,74.5
2005-12-23,67,73.3
2005-12-30,46,72.03
2006-01-06,38,73.86
2006-01-13,79,76.01
2006-01-20,84,75.62
2006-01-27,69,78.12
2006-02-03,62,76.44
2006-02-10,66,74.41
2006-02-17,76,76.36
2006-02-24,79,76.71
2006-03-03,64,76.85
2006-03-10,58,75.91
2006-03-17,62,77.79
2006-03-24,79,75.18
2006-03-31,65,78.21
2006-04-07,57,80.64
2006-04-21,42,83.62
2006-04-28,68,84.19
2006-05-05,98,83.51
2006-05-12,46,78.91
2006-05-19,89,77.61
2006-05-26,64,79.46
2006-06-02,77,80.94
2006-06-09,69,77.48
2006-06-16,62,74.87
2006-06-23,57,73.48
2006-06-30,47,37.81
2006-07-07,44,37.19
2006-07-14,55,35.44
2006-07-21,52,35.83
2006-07-28,51,40.42
2006-08-04,77,41.5
2006-08-11,50,42.32
2006-08-18,34,43.94
2006-08-25,74,42.56
2006-09-01,55,44.4
2006-09-08,53,44.15
2006-09-15,68,47.45
2006-09-22,70,46.95
2006-09-29,66,47.85
2006-10-06,66,47.65
2006-10-13,72,47.62
2006-10-20,47,47.81
2006-10-27,63,46.81
2006-11-03,51,45.31
2006-11-10,53,44.9
2006-11-17,47,44.92
2006-11-24,55,44.02
2006-12-01,73,43.35
2006-12-08,70,44.81
2006-12-15,66,44.5
2006-12-22,61,43.8
2006-12-29,74,43.77
2007-01-05,80,46.06
2007-01-12,49,48.56
2007-01-19,53,47.65
2007-01-26,63,47.78
2007-02-02,57,47.78
2007-02-09,64,49.24
2007-02-16,68,49.6
2007-02-23,60,48.44
2007-03-02,69,45.85
2007-03-09,60,46.28
2007-03-16,56,46.19
2007-03-23,57,48.73
2007-03-30,67,47.19
2007-04-13,65,48.95
2007-04-20,54,50.98
2007-04-27,58,49.85
2007-05-04,59,50.18
2007-05-11,65,50.36
2007-05-18,76,49.64
2007-05-25,55,48.99
2007-06-01,67,51.97
2007-06-08,54,50.23
2007-06-15,52,53.43
2007-06-22,74,51.88
2007-06-29,59,51.89
2007-07-06,64,53.64
2007-07-13,72,53.31
2007-07-20,69,53.08
2007-07-27,85,49.08
2007-08-03,64,48.39
2007-08-10,50,50.51
2007-08-17,57,51.95
2007-08-24,78,52.57
2007-08-31,68,51.32
2007-09-07,54,49.31
2007-09-14,68,52.97
2007-09-21,65,53.87
2007-09-28,58,55.69
2007-10-05,64,57.71
2007-10-12,76,58.57
2007-10-19,64,54.02
2007-10-26,52,61.71
2007-11-02,74,62.72
2007-11-09,67,58.6
2007-11-16,61,64.7
2007-11-23,65,59.05
2007-11-30,67,61.48
2007-12-07,64,62.83
2007-12-14,71,62.5
2007-12-21,68,61.19
2007-12-28,65,60.18
2008-01-04,67,55.03
2008-01-11,65,52.06
2008-01-18,66,47.74
2008-01-25,76,52.01
2008-02-01,78,52.11
2008-02-08,73,49.73
2008-02-15,80,49.23
2008-02-22,63,49.5
2008-02-29,69,50.53
2008-03-07,78,47.35
2008-03-14,86,46.29
2008-03-28,63,48.91
2008-04-04,76,54.33
2008-04-11,68,51.34
2008-04-18,69,54.4
2008-04-25,73,59.56
2008-05-02,69,61.66
2008-05-09,67,60.47
2008-05-16,62,62.05
2008-05-23,60,57.46
2008-05-30,75,57.92
2008-06-06,65,58.37
2008-06-13,65,62.83
2008-06-20,63,59.57
2008-06-27,68,56.5
2008-07-11,76,50.78
2008-07-18,59,54.74
2008-07-25,84,56.62
2008-08-01,74,59.75
2008-08-08,58,60.51
2008-08-15,72,60.3
2008-08-22,74,58.98
2008-08-29,68,59.36
2008-09-05,53,58.36
2008-09-12,68,57.44
2008-09-19,69,65.01
2008-09-26,79,60.93
2008-10-03,61,49.88
2008-10-10,62,39.99
2008-10-17,64,39.47
2008-10-24,68,31.47
2008-10-31,72,39.54
2008-11-07,60,36.33
2008-11-14,61,31.51
2008-11-21,62,27.82
2008-11-28,55,34.21
2008-12-05,60,34.81
2008-12-12,53,31.43
2008-12-19,88,33.27
2008-12-26,72,32.06
2009-01-02,63,36.4
2009-01-09,57,31.81
2009-01-16,58,29.29
2009-01-23,66,29.94
2009-01-30,62,27.58
2009-02-06,69,28.82
2009-02-13,73,26.68
2009-02-20,59,24.4
2009-02-27,70,22.74
2009-03-06,72,21.07
2009-03-13,77,26.45
2009-03-20,64,24.88
2009-03-27,77,29.12
2009-04-03,62,32.24
2009-04-17,75,35.56
2009-04-24,74,39.21
2009-05-01,63,38.43
2009-05-08,55,40.94
2009-05-15,62,36.95
2009-05-22,57,38.15
2009-05-29,62,40.57
2009-06-05,69,42.07
2009-06-12,73,43.16
2009-06-19,61,42.28
2009-06-26,54,41.87
2009-07-10,71,37.51
2009-07-17,63,41.68
2009-07-24,76,45.45
2009-07-31,78,46.71
2009-08-07,64,48.69
2009-08-14,61,45.75
2009-08-21,71,46.64
2009-08-28,61,45.73
2009-09-04,73,44.21
2009-09-11,70,43.93
2009-09-18,62,46.52
2009-09-25,50,44.1
2009-10-02,49,43.18
2009-10-09,86,44.83
2009-10-16,69,47.62
2009-10-23,72,54.27
2009-10-30,62,48.73
2009-11-06,66,49.98
2009-11-13,59,50.74
2009-11-20,56,48.71
2009-11-27,72,47.37
2009-12-04,60,49.73
2009-12-11,52,50.06
2009-12-18,61,53.27
2010-01-08,53,53.9
2010-01-15,46,53.6
2010-01-22,57,50.64
2010-01-29,50,49.62
2010-02-05,54,48.87
2010-02-12,64,48.94
2010-02-19,63,49.95
2010-02-26,58,50.69
2010-03-05,54,53.98
2010-03-12,63,53.33
2010-03-19,60,54.81
2010-03-26,69,55.08
2010-04-09,53,56.52
2010-04-16,49,56.72
2010-04-23,48,58.88
2010-04-30,59,57.54
2010-05-07,59,52.51
2010-05-14,49,52.47
2010-05-21,59,50.99
2010-05-28,63,49.52
2010-06-04,54,47.92
2010-06-11,61,49.84
2010-06-18,44,49.34
2010-06-25,61,47.57
2010-07-02,56,43.6
2010-07-09,57,47.89
2010-07-16,71,46.93
2010-07-23,54,47.85
2010-07-30,55,48.23
2010-08-06,60,49.26
2010-08-13,59,46.41
2010-08-20,60,46.09
2010-08-27,67,45.24
2010-09-03,58,48.09
2010-09-10,58,48.62
2010-09-17,53,49.66
2010-09-24,50,50.37
2010-10-01,56,50.34
2010-10-08,52,51.62
2010-10-15,59,52.38
2010-10-22,64,54.89
2010-10-29,54,55.27
2010-11-05,61,60.46
2010-11-12,58,57.74
2010-11-19,56,58.98
2010-11-26,64,58.65
2010-12-03,58,61.32
2010-12-10,50,63.02
2010-12-17,63,62.99
2010-12-31,56,64.54
2011-01-07,54,64.63
2011-01-14,49,67.7
2011-01-21,59,66.25
2011-01-28,61,65.85
2011-02-04,55,66.08
2011-02-11,53,68.98
2011-02-18,57,71.1
2011-02-25,53,67.12
2011-03-04,54,66.74
2011-03-11,59,64.72
2011-03-18,47,62.24
2011-03-25,63,65.07
2011-04-01,54,67.89
2011-04-08,59,67.85
2011-04-15,54,67.01
2011-04-29,67,64.25
2011-05-06,63,62.52
2011-05-13,58,62
2011-05-20,54,62.91
2011-05-27,52,62.44
2011-06-03,58,58.97
2011-06-10,50,56.71
2011-06-17,49,57.23
2011-06-24,56,56.51
2011-07-01,54,61
2011-07-08,47,60.91
2011-07-15,42,58.34
2011-07-22,52,60.32
2011-07-29,48,56.8
2011-08-05,54,51.51
2011-08-12,52,50.96
2011-08-19,45,46.44
2011-08-26,46,50.69
2011-09-02,57,50.17
2011-09-09,46,49.43
2011-09-16,53,53.03
2011-09-23,48,46.91
2011-09-30,54,47.77
2011-10-07,49,49.06
2011-10-14,46,53.58
2011-10-21,52,54.86
2011-10-28,50,56.54
2011-11-04,55,52.76
2011-11-11,52,54.33
2011-11-18,60,52.5
2011-11-25,47,49.61
2011-12-02,57,57.5
2011-12-09,52,57.96
2011-12-16,53,54.28
2011-12-23,50,57.49
2011-12-30,49,56.95
2012-01-06,59,58.71
2012-01-13,50,59
2012-01-20,45,60.05
2012-01-27,52,59.82
2012-02-03,52,59.3
2012-02-10,58,59.14
2012-02-17,52,62.91
2012-02-24,54,61.03
2012-03-02,50,61.65
2012-03-09,51,63.11
2012-03-16,51,64.77
2012-03-23,56,64.02
2012-03-30,47,65.3
2012-04-13,57,62.05
2012-04-20,56,61.88
2012-04-27,52,63.23
2012-05-04,49,60.45
2012-05-11,45,60.13
2012-05-18,47,56.89
2012-05-25,47,57.2
2012-06-01,43,55.21
2012-06-08,44,58.8
2012-06-15,49,60.79
2012-06-22,46,60.75
2012-06-29,45,62.96
2012-07-06,45,61.82
2012-07-13,56,62.79
2012-07-20,48,61.47
2012-07-27,50,61.25
2012-08-03,57,60.81
2012-08-10,56,60.93
2012-08-17,53,62.37
2012-08-24,53,62.73
2012-08-31,42,61.44
2012-09-07,37,63.4
2012-09-14,54,65.81
2012-09-21,52,64.11
2012-09-28,52,63.3
2012-10-05,51,63.79
2012-10-12,51,63.6
2012-10-19,41,65.35
2012-10-26,44,64.83
2012-11-02,41,64.99
2012-11-09,42,63.36
2012-11-16,46,63.25
2012-11-23,47,65.7
2012-11-30,42,64.67
2012-12-07,41,64.84
2012-12-14,44,63.98
2012-12-21,45,65.89
2012-12-28,45,63.93
2013-01-04,44,68.34
2013-01-11,44,69.54
2013-01-18,47,71.13
2013-01-25,42,72.09
2013-02-01,44,73.08
2013-02-08,45,73.27
2013-02-15,41,73.13
2013-02-22,45,71.91
2013-03-01,44,71.74
2013-03-08,49,75.2
2013-03-15,46,75.56
2013-03-22,37,74.12
2013-04-05,44,73.26
2013-04-12,40,76.8
2013-04-19,39,74.53
2013-04-26,49,71.02
2013-05-03,42,73.25
2013-05-10,44,75.19
2013-05-17,42,78.36
2013-05-24,46,76.92
2013-05-31,44,75.91
2013-06-07,44,75.68
2013-06-14,38,73.4
2013-06-21,43,72.07
2013-06-28,36,73.2
2013-07-05,36,75.37
2013-07-12,36,77.45
2013-07-19,39,79.18
2013-07-26,46,76.25
2013-08-02,39,76.35
2013-08-09,43,74.68
2013-08-16,44,72.75
2013-08-23,45,72.58
2013-08-30,49,70.14
2013-09-06,39,70.72
2013-09-13,39,71.56
2013-09-20,65,73.96
2013-09-27,46,72.45
2013-10-04,39,72.71
2013-10-11,44,74.66
2013-10-18,46,76.83
2013-10-25,50,75.75
2013-11-01,39,77.63
2013-11-08,38,78.8
2013-11-15,44,79.99
2013-11-22,42,81.13
2013-11-29,37,80.46
2013-12-06,50,79.82
2013-12-13,44,78.37
2013-12-20,37,82.88
2013-12-27,38,83.43
2014-01-03,46,83.3
2014-01-10,38,83.43
2014-01-17,43,82.28
2014-01-24,38,77.38
2014-01-31,40,78.44
2014-02-07,45,79.34
2014-02-14,48,80.83
2014-02-21,41,80
2014-02-28,41,81.17
2014-03-07,48,83
2014-03-14,46,80.28
2014-03-21,46,82.92
2014-03-28,47,81.67
2014-04-04,39,81.58
2014-04-11,44,77.25
2014-04-25,52,81.35
