"Date","XL","Price"
2006-06-23,29,61.11
2006-06-30,30,61.3
2006-07-07,30,63.02
2006-07-14,31,62.76
2006-07-21,31,64.56
2006-07-28,30,65.09
2006-08-04,31,61.56
2006-08-11,30,61.5
2006-08-18,31,63.67
2006-08-25,30,62.76
2006-09-01,30,65.49
2006-09-08,29,66.9
2006-09-15,29,67.78
2006-09-22,29,67.23
2006-09-29,30,68.7
2006-10-06,30,70.91
2006-10-13,29,71.79
2006-10-20,28,70.76
2006-10-27,27,70.82
2006-11-03,28,69.4
2006-11-10,29,71.16
2006-11-17,29,72.01
2006-11-24,28,71.64
2006-12-01,32,70.55
2006-12-08,32,70.87
2006-12-15,32,72.08
2006-12-22,31,71.24
2006-12-29,32,72.02
2007-01-05,33,71.01
2007-01-12,31,68.3
2007-01-19,31,67.85
2007-01-26,31,68.86
2007-02-02,33,69.89
2007-02-09,34,72.64
2007-02-16,30,73.85
2007-02-23,32,72.9
2007-03-02,31,69.69
2007-03-09,32,70.69
2007-03-16,31,68.31
2007-03-23,29,70.85
2007-03-30,30,69.96
2007-04-13,31,70.8
2007-04-20,32,73.09
2007-04-27,32,78.19
2007-05-04,32,79.43
2007-05-11,35,80.45
2007-05-18,35,81.58
2007-05-25,35,80.03
2007-06-01,36,81.9
2007-06-08,38,81.44
2007-06-15,36,83.42
2007-06-22,37,83.31
2007-06-29,37,84.29
2007-07-06,37,83.44
2007-07-13,39,84.33
2007-07-20,38,83
2007-07-27,38,78.01
2007-08-03,39,72.94
2007-08-10,37,75.16
2007-08-17,37,73.64
2007-08-24,36,78.45
2007-08-31,36,76.2
2007-09-07,35,73.5
2007-09-14,36,73.91
2007-09-21,35,76.62
2007-09-28,35,79.2
2007-10-05,35,81.24
2007-10-12,34,79.7
2007-10-19,33,74.06
2007-10-26,34,71.89
2007-11-02,35,64.9
2007-11-09,34,64.68
2007-11-16,36,63.2
2007-11-23,36,52.99
2007-11-30,38,58.53
2007-12-07,37,60.3
2007-12-14,38,52.46
2007-12-21,38,50.16
2007-12-28,41,50.02
2008-01-04,39,49.89
2008-01-11,37,49.69
2008-01-18,36,39.52
2008-01-25,36,44.69
2008-02-01,36,46.44
2008-02-08,38,42.68
2008-02-15,35,38.65
2008-02-22,34,36.86
2008-02-29,35,36.06
2008-03-07,35,32.58
2008-03-14,37,31.47
2008-03-28,35,29.5
2008-04-04,37,30.33
2008-04-11,35,29.95
2008-04-18,36,30.44
2008-04-25,36,32.28
2008-05-02,36,37.78
2008-05-09,35,34.26
2008-05-16,36,35.45
2008-05-23,36,33.87
2008-05-30,39,34.91
2008-06-06,37,32.31
2008-06-13,37,30.58
2008-06-20,39,28.36
2008-06-27,38,23.77
2008-07-11,39,16.25
2008-07-18,40,19.88
2008-07-25,40,18.77
2008-08-01,40,18.47
2008-08-08,41,19.87
2008-08-15,39,20.04
2008-08-22,36,19.5
2008-08-29,38,20.1
2008-09-05,38,19.08
2008-09-12,54,17.78
2008-09-19,40,20.59
2008-09-26,35,18.41
2008-10-03,33,14.99
2008-10-10,34,5.43
2008-10-17,34,9.85
2008-10-24,34,7.21
2008-10-31,33,9.7
2008-11-07,32,8.42
2008-11-14,34,6.14
2008-11-21,34,4.64
2008-11-28,38,5.03
2008-12-05,37,6.05
2008-12-12,37,2.68
2008-12-19,38,4
2008-12-26,39,3.33
2009-01-02,37,3.89
2009-01-09,36,4.3
2009-01-16,34,3.18
2009-01-23,34,3.32
2009-01-30,35,2.9
2009-02-06,35,3.03
2009-02-13,34,4.31
2009-02-20,34,3.38
2009-02-27,35,3.31
2009-03-06,36,2.95
2009-03-13,35,3.99
2009-03-20,35,4.24
2009-03-27,36,6.19
2009-04-03,37,6.13
2009-04-17,38,8.16
2009-04-24,37,8.96
2009-05-01,37,9.84
2009-05-08,39,11.12
2009-05-15,38,8.93
2009-05-22,37,9.86
2009-05-29,37,10.12
2009-06-05,42,10.67
2009-06-12,41,11.63
2009-06-19,41,11.23
2009-06-26,40,10.85
2009-07-10,43,11.05
2009-07-17,41,12.44
2009-07-24,41,13.61
2009-07-31,40,14.08
2009-08-07,41,14.98
2009-08-14,41,15.04
2009-08-21,39,15.77
2009-08-28,39,17.22
2009-09-04,41,16.85
2009-09-11,40,16.98
2009-09-18,39,16.89
2009-09-25,37,16.86
2009-10-02,39,16.78
2009-10-09,43,17.81
2009-10-16,47,17.88
2009-10-23,44,17.18
2009-10-30,41,16.41
2009-11-06,41,17.22
2009-11-13,41,17.45
2009-11-20,41,18
2009-11-27,47,17.7
2009-12-04,45,18.21
2009-12-11,44,18.15
2009-12-18,44,18.21
2010-01-08,42,18.2
2010-01-15,41,17.09
2010-01-22,43,16.48
2010-01-29,41,16.77
2010-02-05,42,16.46
2010-02-12,43,17.64
2010-02-19,43,18.42
2010-02-26,46,18.27
2010-03-05,50,19.34
2010-03-12,50,18.78
2010-03-19,47,18.83
2010-03-26,51,18.89
2010-04-09,52,19.09
2010-04-16,51,19.72
2010-04-23,50,19.96
2010-04-30,49,17.8
2010-05-07,49,17.26
2010-05-14,48,18.8
2010-05-21,48,17.37
2010-05-28,54,17.61
2010-06-04,48,16.41
2010-06-11,50,17.35
2010-06-18,48,17.99
2010-06-25,48,17.39
2010-07-02,50,15.97
2010-07-09,48,17.4
2010-07-16,50,16.8
2010-07-23,52,17.77
2010-07-30,50,17.73
2010-08-06,51,17.99
2010-08-13,49,18
2010-08-20,48,17.63
2010-08-27,49,18.17
2010-09-03,47,19.1
2010-09-10,48,20.24
2010-09-17,45,20.89
2010-09-24,45,21.22
2010-10-01,47,21.55
2010-10-08,47,22.08
2010-10-15,51,22.04
2010-10-22,54,21.98
2010-10-29,51,21.15
2010-11-05,53,20.8
2010-11-12,52,20.13
2010-11-19,53,20.18
2010-11-26,60,19.75
2010-12-03,58,20.55
2010-12-10,58,21.11
2010-12-17,58,21.7
2010-12-31,63,21.82
2011-01-07,55,22.12
2011-01-14,49,23.57
2011-01-21,47,22.69
2011-01-28,50,22.81
2011-02-04,47,23.44
2011-02-11,48,23.24
2011-02-18,45,24.65
2011-02-25,47,23.28
2011-03-04,46,22.95
2011-03-11,47,22.22
2011-03-18,45,21.97
2011-03-25,46,23.12
2011-04-01,47,24.78
2011-04-08,47,25.19
2011-04-15,46,24.47
2011-04-29,47,24.42
2011-05-06,47,23.45
2011-05-13,45,23
2011-05-20,44,23.54
2011-05-27,47,23.21
2011-06-03,46,22.44
2011-06-10,47,20.87
2011-06-17,46,21.32
2011-06-24,46,21.18
2011-07-01,46,22.3
2011-07-08,47,22.11
2011-07-15,48,21.19
2011-07-22,49,21.57
2011-07-29,47,20.52
2011-08-05,46,19.96
2011-08-12,47,19.24
2011-08-19,46,18.76
2011-08-26,46,19.27
2011-09-02,46,19.56
2011-09-09,46,19.25
2011-09-16,44,20.03
2011-09-23,44,18.36
2011-09-30,45,18.8
2011-10-07,48,18.76
2011-10-14,49,19.75
2011-10-21,53,21.54
2011-10-28,53,22.56
2011-11-04,54,21.31
2011-11-11,56,21.2
2011-11-18,57,19.86
2011-11-25,60,18.92
2011-12-02,61,20.75
2011-12-09,60,20.56
2011-12-16,59,19.66
2011-12-23,60,20.27
2011-12-30,60,19.77
2012-01-06,56,19.93
2012-01-13,53,20.26
2012-01-20,55,20.39
2012-01-27,57,20.3
2012-02-03,54,21.02
2012-02-10,52,19.27
2012-02-17,53,19.94
2012-02-24,55,20.08
2012-03-02,52,21.02
2012-03-09,53,21.22
2012-03-16,52,21.87
2012-03-23,53,21.13
2012-03-30,51,21.69
2012-04-13,52,20.81
2012-04-20,51,21.38
2012-04-27,50,21.72
2012-05-04,50,21.14
2012-05-11,48,22.12
2012-05-18,47,20.35
2012-05-25,48,20.25
2012-06-01,50,19.7
2012-06-08,51,20.39
2012-06-15,50,20.35
2012-06-22,55,20.11
2012-06-29,56,21.04
2012-07-06,53,20.83
2012-07-13,52,20.45
2012-07-20,52,20.41
2012-07-27,53,20.88
2012-08-03,54,21.2
2012-08-10,53,22.98
2012-08-17,53,23.45
2012-08-24,56,23.23
2012-08-31,52,23.12
2012-09-07,50,23.76
2012-09-14,50,24.68
2012-09-21,50,24.2
2012-09-28,50,24.03
2012-10-05,53,24.86
2012-10-12,52,24.98
2012-10-19,53,25.43
2012-10-26,53,24.77
2012-11-02,51,24.01
2012-11-09,52,24
2012-11-16,55,23.71
2012-11-23,59,24.36
2012-11-30,62,24.33
2012-12-07,61,25.09
2012-12-14,60,24.29
2012-12-21,60,24.56
2012-12-28,61,24.69
2013-01-04,55,26.01
2013-01-11,51,26.6
2013-01-18,50,27.22
2013-01-25,50,27.79
2013-02-01,49,28.07
2013-02-08,50,28.24
2013-02-15,52,28.67
2013-02-22,49,28.99
2013-03-01,48,28.82
2013-03-08,51,29.66
2013-03-15,52,30.4
2013-03-22,52,30.25
2013-04-05,50,30.77
2013-04-12,49,31.29
2013-04-19,50,30.44
2013-04-26,50,31.15
2013-05-03,50,32.23
2013-05-10,49,31.93
2013-05-17,48,32.45
2013-05-24,50,31.5
2013-05-31,50,31.43
2013-06-07,51,31.31
2013-06-14,53,31.06
2013-06-21,51,29.56
2013-06-28,53,30.32
2013-07-05,53,30.65
2013-07-12,54,32.01
2013-07-19,54,32.88
2013-07-26,52,32.22
2013-08-02,52,31.95
2013-08-09,52,30.84
2013-08-16,51,30.43
2013-08-23,50,30.92
2013-08-30,51,29.56
2013-09-06,49,29.94
2013-09-13,49,30.51
2013-09-20,47,31.44
2013-09-27,48,31
2013-10-04,50,31.15
2013-10-11,52,31.3
2013-10-18,55,32.08
2013-10-25,54,31.68
2013-11-01,52,30.32
2013-11-08,51,31.25
2013-11-15,53,31.39
2013-11-22,54,31.55
2013-11-29,62,31.99
2013-12-06,59,30.75
2013-12-13,57,29.65
2013-12-20,55,31.1
2013-12-27,58,31.69
2014-01-03,52,30.81
2014-01-10,49,30.42
2014-01-17,49,29.94
2014-01-24,50,28.81
2014-01-31,49,28.74
2014-02-07,47,28.87
2014-02-14,47,29.23
2014-02-21,47,29.44
2014-02-28,61,30.4
2014-03-07,57,30.7
2014-03-14,57,29.97
2014-03-21,55,30.55
2014-03-28,55,30.62
2014-04-04,55,31.21
2014-04-11,54,30.95
2014-04-25,55,31.39
