"Date","ALL","Price"
2006-05-05,74,56.87
2006-05-12,72,56.38
2006-05-19,71,56.39
2006-05-26,71,55.01
2006-06-02,71,55.11
2006-06-09,70,54.36
2006-06-16,69,53.51
2006-06-23,70,52.91
2006-06-30,69,54.73
2006-07-07,71,55.03
2006-07-14,74,54.73
2006-07-21,70,56.65
2006-07-28,72,57.02
2006-08-04,72,55.63
2006-08-11,69,55.66
2006-08-18,72,57.92
2006-08-25,72,57
2006-09-01,71,58.37
2006-09-08,68,59.06
2006-09-15,70,60.12
2006-09-22,69,60.67
2006-09-29,69,62.73
2006-10-06,69,63.15
2006-10-13,69,62.93
2006-10-20,72,61.23
2006-10-27,70,61.74
2006-11-03,72,61.48
2006-11-10,73,63.06
2006-11-17,75,64.48
2006-11-24,72,64.91
2006-12-01,74,63.29
2006-12-08,76,63.82
2006-12-15,77,65.21
2006-12-22,79,65.37
2006-12-29,78,65.11
2007-01-05,75,65.18
2007-01-12,72,64.6
2007-01-19,72,63.73
2007-01-26,73,63.47
2007-02-02,72,61.19
2007-02-09,72,61.08
2007-02-16,76,62.18
2007-02-23,78,61.28
2007-03-02,70,59.6
2007-03-09,71,60.1
2007-03-16,69,59.7
2007-03-23,70,60.78
2007-03-30,70,60.06
2007-04-13,71,61.33
2007-04-20,69,62.49
2007-04-27,69,62.63
2007-05-04,70,62.84
2007-05-11,70,63.45
2007-05-18,73,62.75
2007-05-25,71,61.4
2007-06-01,71,61.58
2007-06-08,71,60.85
2007-06-15,68,61.38
2007-06-22,67,61.18
2007-06-29,72,61.51
2007-07-06,71,61.79
2007-07-13,78,61.05
2007-07-20,74,57.37
2007-07-27,71,53.5
2007-08-03,71,51.61
2007-08-10,72,52.09
2007-08-17,72,56.41
2007-08-24,69,56.86
2007-08-31,68,54.75
2007-09-07,70,53.9
2007-09-14,72,54.76
2007-09-21,70,55.88
2007-09-28,71,57.19
2007-10-05,74,58.84
2007-10-12,74,58.81
2007-10-19,70,54.49
2007-10-26,68,52.43
2007-11-02,73,51.25
2007-11-09,69,53.13
2007-11-16,70,52.64
2007-11-23,71,50.09
2007-11-30,71,51.12
2007-12-07,73,52.46
2007-12-14,75,51.58
2007-12-21,75,51.89
2007-12-28,76,52.19
2008-01-04,78,51.08
2008-01-11,73,51.49
2008-01-18,74,48.46
2008-01-25,74,50.45
2008-02-01,74,49.42
2008-02-08,74,46.57
2008-02-15,75,46.18
2008-02-22,77,47.64
2008-02-29,73,47.73
2008-03-07,73,47.03
2008-03-14,72,45.74
2008-03-28,71,47.57
2008-04-04,72,48.98
2008-04-11,72,48.2
2008-04-18,71,50.17
2008-04-25,73,50.01
2008-05-02,74,51.89
2008-05-09,74,49.38
2008-05-16,73,50.07
2008-05-23,71,49.92
2008-05-30,72,50.94
2008-06-06,73,50.03
2008-06-13,72,49.89
2008-06-20,75,47.89
2008-06-27,76,46.52
2008-07-11,80,44.15
2008-07-18,83,45.09
2008-07-25,78,45.58
2008-08-01,76,45.96
2008-08-08,78,46.69
2008-08-15,79,46.19
2008-08-22,75,46.14
2008-08-29,78,45.13
2008-09-05,74,45.08
2008-09-12,74,45.23
2008-09-19,75,47.54
2008-09-26,74,46.33
2008-10-03,73,42.48
2008-10-10,74,26.96
2008-10-17,74,31.58
2008-10-24,72,25.53
2008-10-31,74,26.39
2008-11-07,74,26.89
2008-11-14,76,27.07
2008-11-21,76,21.52
2008-11-28,73,25.44
2008-12-05,77,27.03
2008-12-12,81,27.16
2008-12-19,80,31.86
2008-12-26,83,30.84
2009-01-02,84,33.26
2009-01-09,80,30.06
2009-01-16,78,28.77
2009-01-23,79,26.63
2009-01-30,82,21.67
2009-02-06,79,22.7
2009-02-13,78,21.23
2009-02-20,82,18.44
2009-02-27,79,16.83
2009-03-06,78,14.55
2009-03-13,77,16.82
2009-03-20,77,18.59
2009-03-27,78,20.4
2009-04-03,78,21.26
2009-04-17,78,23.42
2009-04-24,76,22.31
2009-05-01,78,23.1
2009-05-08,78,26.12
2009-05-15,77,24.3
2009-05-22,75,26.27
2009-05-29,76,25.73
2009-06-05,78,25.05
2009-06-12,77,24.85
2009-06-19,78,24.07
2009-06-26,77,24.16
2009-07-10,82,23.08
2009-07-17,85,24.24
2009-07-24,81,26.4
2009-07-31,82,26.91
2009-08-07,82,27.79
2009-08-14,82,28.55
2009-08-21,80,28.63
2009-08-28,77,29.26
2009-09-04,77,28.85
2009-09-11,77,28.92
2009-09-18,80,30.64
2009-09-25,80,29.13
2009-10-02,79,30.76
2009-10-09,78,31.92
2009-10-16,80,31.67
2009-10-23,80,31.5
2009-10-30,80,29.57
2009-11-06,83,28.93
2009-11-13,81,28.91
2009-11-20,82,29.12
2009-11-27,81,28.27
2009-12-04,83,28.6
2009-12-11,82,28.63
2009-12-18,84,28.82
2010-01-08,86,31.21
2010-01-15,85,30.91
2010-01-22,84,29.98
2010-01-29,85,29.93
2010-02-05,85,28.91
2010-02-12,85,29.53
2010-02-19,88,31.22
2010-02-26,83,31.25
2010-03-05,82,32.14
2010-03-12,83,31.47
2010-03-19,82,31.26
2010-03-26,83,32.2
2010-04-09,81,32.97
2010-04-16,81,33.85
2010-04-23,83,35.19
2010-04-30,83,32.67
2010-05-07,83,31.8
2010-05-14,82,31.87
2010-05-21,81,30.54
2010-05-28,83,30.63
2010-06-04,81,28.94
2010-06-11,84,29.98
2010-06-18,81,30.54
2010-06-25,83,30.83
2010-07-02,83,28.28
2010-07-09,89,29.44
2010-07-16,93,27.83
2010-07-23,87,28.28
2010-07-30,90,28.24
2010-08-06,89,28.98
2010-08-13,86,28.1
2010-08-20,85,27.75
2010-08-27,85,27.99
2010-09-03,80,29.42
2010-09-10,85,29.87
2010-09-17,82,30.99
2010-09-24,82,31.6
2010-10-01,79,31.57
2010-10-08,81,32.42
2010-10-15,80,32.43
2010-10-22,83,32.79
2010-10-29,83,30.49
2010-11-05,86,31.27
2010-11-12,86,30.18
2010-11-19,89,30.33
2010-11-26,87,29.33
2010-12-03,86,30.31
2010-12-10,88,30.94
2010-12-17,88,31.31
2010-12-31,91,31.88
2011-01-07,92,31.29
2011-01-14,88,30.71
2011-01-21,87,31.35
2011-01-28,87,31.15
2011-02-04,88,31.35
2011-02-11,88,31.39
2011-02-18,88,32.11
2011-02-25,93,31.48
2011-03-04,85,31.71
2011-03-11,86,31.99
2011-03-18,82,31.15
2011-03-25,84,31.46
2011-04-01,86,31.45
2011-04-08,86,31.4
2011-04-15,85,31.41
2011-04-29,83,33.84
2011-05-06,79,33.43
2011-05-13,84,32.38
2011-05-20,85,32.01
2011-05-27,84,31.24
2011-06-03,84,30.67
2011-06-10,85,29.65
2011-06-17,85,29.65
2011-06-24,86,29.43
2011-07-01,85,30.9
2011-07-08,87,30.54
2011-07-15,95,29.47
2011-07-22,89,28.69
2011-07-29,89,27.72
2011-08-05,90,26.29
2011-08-12,88,25.12
2011-08-19,86,24.36
2011-08-26,85,24.45
2011-09-02,82,24.96
2011-09-09,85,24.81
2011-09-16,88,24.94
2011-09-23,89,22.77
2011-09-30,85,23.69
2011-10-07,85,23.72
2011-10-14,86,24.96
2011-10-21,87,26.9
2011-10-28,89,27.16
2011-11-04,86,25.9
2011-11-11,86,26.64
2011-11-18,84,25.98
2011-11-25,84,24.7
2011-12-02,86,26.68
2011-12-09,91,26.93
2011-12-16,89,26.44
2011-12-23,90,27.62
2011-12-30,91,27.41
2012-01-06,88,28.02
2012-01-13,87,28.98
2012-01-20,84,29.83
2012-01-27,88,29.09
2012-02-03,90,30.69
2012-02-10,88,30.97
2012-02-17,91,31.39
2012-02-24,90,31.36
2012-03-02,94,31.24
2012-03-09,85,31.66
2012-03-16,83,32.68
2012-03-23,83,32.51
2012-03-30,81,32.92
2012-04-13,81,32.3
2012-04-20,83,32.65
2012-04-27,83,33.55
2012-05-04,83,34.2
2012-05-11,82,34.83
2012-05-18,81,32.75
2012-05-25,82,33.57
2012-06-01,84,33.07
2012-06-08,84,34.31
2012-06-15,85,34.15
2012-06-22,87,34.08
2012-06-29,86,35.09
2012-07-06,86,34.79
2012-07-13,91,33.87
2012-07-20,84,34.41
2012-07-27,86,34.73
2012-08-03,91,37.04
2012-08-10,84,37.98
2012-08-17,88,37.86
2012-08-24,88,37.76
2012-08-31,86,37.28
2012-09-07,88,38.48
2012-09-14,85,39.86
2012-09-21,86,40.43
2012-09-28,86,39.61
2012-10-05,86,40.98
2012-10-12,84,40.61
2012-10-19,86,42.01
2012-10-26,85,40.15
2012-11-02,85,38.56
2012-11-09,86,38.73
2012-11-16,85,38.92
2012-11-23,86,40.74
2012-11-30,86,40.48
2012-12-07,87,41.48
2012-12-14,90,40.18
2012-12-21,87,40.31
2012-12-28,92,39.86
2013-01-04,92,42.2
2013-01-11,86,42.96
2013-01-18,87,43.21
2013-01-25,89,43.91
2013-02-01,87,44.84
2013-02-08,88,45.14
2013-02-15,90,45.85
2013-02-22,95,46.74
2013-03-01,85,46.35
2013-03-08,87,47.42
2013-03-15,85,47.98
2013-03-22,84,48.22
2013-04-05,85,49.32
2013-04-12,87,50.35
2013-04-19,84,48.97
2013-04-26,85,49.09
2013-05-03,86,48.69
2013-05-10,86,49.39
2013-05-17,86,50
2013-05-24,86,48.73
2013-05-31,87,48.24
2013-06-07,87,47.46
2013-06-14,88,46.87
2013-06-21,85,47.23
2013-06-28,87,48.12
2013-07-05,90,49.13
2013-07-12,90,51.11
2013-07-19,96,52.1
2013-07-26,89,51.52
2013-08-02,90,52.15
2013-08-09,88,50.66
2013-08-16,90,49.39
2013-08-23,88,49.27
2013-08-30,88,47.92
2013-09-06,86,48.4
2013-09-13,87,50.06
2013-09-20,88,52
2013-09-27,87,51.07
2013-10-04,88,52.35
2013-10-11,89,52.52
2013-10-18,91,53.87
2013-10-25,88,53.35
2013-11-01,92,53.28
2013-11-08,91,54.12
2013-11-15,94,54.7
2013-11-22,94,54.71
2013-11-29,91,54.27
2013-12-06,94,54.32
2013-12-13,96,52.81
2013-12-20,94,53.77
2013-12-27,98,53.65
2014-01-03,97,53.33
2014-01-10,96,54.09
2014-01-17,95,52.9
2014-01-24,95,50.62
2014-01-31,98,51.2
2014-02-07,92,52.76
2014-02-14,100,52.96
2014-02-21,100,53.86
2014-02-28,95,54.26
2014-03-07,95,55.71
2014-03-14,97,55.13
2014-03-21,93,56.06
2014-03-28,96,55.8
2014-04-04,95,56.41
2014-04-11,92,55.29
2014-04-25,95,56.11
