"Date","STT","Price"
2009-11-27,13,40.2
2009-12-04,16,41.68
2009-12-11,15,39.4
2009-12-18,15,41.6
2010-01-08,18,45.51
2010-01-15,15,42.67
2010-01-22,18,43.36
2010-01-29,17,42.88
2010-02-05,16,43.35
2010-02-12,15,44.62
2010-02-19,14,46.64
2010-02-26,14,44.91
2010-03-05,17,45.64
2010-03-12,14,44.65
2010-03-19,18,45.95
2010-03-26,14,46.16
2010-04-09,16,46.96
2010-04-16,15,46.5
2010-04-23,17,44.48
2010-04-30,16,43.5
2010-05-07,15,41.34
2010-05-14,14,41.63
2010-05-21,14,39.65
2010-05-28,14,38.17
2010-06-04,15,36.48
2010-06-11,15,37.68
2010-06-18,15,37.2
2010-06-25,15,35.83
2010-07-02,15,32.81
2010-07-09,14,37.21
2010-07-16,17,36.91
2010-07-23,16,39.79
2010-07-30,15,38.92
2010-08-06,14,39.08
2010-08-13,15,37.28
2010-08-20,14,36.89
2010-08-27,14,35.85
2010-09-03,13,37.92
2010-09-10,15,37.93
2010-09-17,14,38.21
2010-09-24,15,38.32
2010-10-01,14,38.21
2010-10-08,14,38.99
2010-10-15,15,40.05
2010-10-22,14,40.4
2010-10-29,15,41.76
2010-11-05,14,45.47
2010-11-12,15,43.89
2010-11-19,15,43.44
2010-11-26,16,43.84
2010-12-03,14,45.71
2010-12-10,13,45.93
2010-12-17,15,45.47
2010-12-31,16,46.34
2011-01-07,16,46.62
2011-01-14,15,49.99
2011-01-21,16,48.25
2011-01-28,15,46.41
2011-02-04,15,46.37
2011-02-11,16,46.98
2011-02-18,15,46.12
2011-02-25,18,44.8
2011-03-04,16,43.81
2011-03-11,16,43.34
2011-03-18,16,44.37
2011-03-25,16,44.04
2011-04-01,15,45.47
2011-04-08,15,46.06
2011-04-15,17,45.41
2011-04-29,16,46.55
2011-05-06,15,46.55
2011-05-13,17,45.55
2011-05-20,17,46.84
2011-05-27,16,45.19
2011-06-03,16,43.5
2011-06-10,17,42.71
2011-06-17,15,43.41
2011-06-24,16,43.31
2011-07-01,16,45.95
2011-07-08,17,46.34
2011-07-15,17,43.83
2011-07-22,17,42.62
2011-07-29,17,41.47
2011-08-05,16,38.74
2011-08-12,16,34.68
2011-08-19,16,31.91
2011-08-26,16,34.04
2011-09-02,16,33.33
2011-09-09,16,32.05
2011-09-16,16,34.43
2011-09-23,17,30.94
2011-09-30,17,32.16
2011-10-07,16,31.59
2011-10-14,14,33.9
2011-10-21,18,38.78
2011-10-28,17,42.01
2011-11-04,16,39.99
2011-11-11,17,41.24
2011-11-18,16,38.5
2011-11-25,17,36.24
2011-12-02,17,39.98
2011-12-09,16,40.93
2011-12-16,15,40.04
2011-12-23,15,41.39
2011-12-30,15,40.31
2012-01-06,15,41.76
2012-01-13,17,42.94
2012-01-20,17,41.5
2012-01-27,16,39.06
2012-02-03,16,42.57
2012-02-10,19,40.66
2012-02-17,17,40.25
2012-02-24,17,40.53
2012-03-02,17,41.98
2012-03-09,17,42.1
2012-03-16,18,45.76
2012-03-23,16,45.63
2012-03-30,15,45.5
2012-04-13,16,43.19
2012-04-20,17,45.12
2012-04-27,17,46.32
2012-05-04,16,45.19
2012-05-11,16,43.57
2012-05-18,17,41.1
2012-05-25,18,41.78
2012-06-01,18,39.88
2012-06-08,17,42.16
2012-06-15,16,43.85
2012-06-22,17,43.91
2012-06-29,16,44.64
2012-07-06,17,44.04
2012-07-13,16,44.11
2012-07-20,18,40.08
2012-07-27,17,40.37
2012-08-03,17,40.7
2012-08-10,15,41.85
2012-08-17,15,41.91
2012-08-24,16,41.44
2012-08-31,16,41.6
2012-09-07,17,43
2012-09-14,16,43.92
2012-09-21,16,43.71
2012-09-28,18,41.96
2012-10-05,18,41.99
2012-10-12,18,41.38
2012-10-19,18,44.66
2012-10-26,17,44.38
2012-11-02,17,44.72
2012-11-09,16,44.31
2012-11-16,17,44.21
2012-11-23,18,45.78
2012-11-30,18,44.44
2012-12-07,18,45.15
2012-12-14,19,45.45
2012-12-21,17,46.41
2012-12-28,17,46.05
2013-01-04,18,49.39
2013-01-11,19,50.58
2013-01-18,19,53.36
2013-01-25,18,56.45
2013-02-01,18,56.36
2013-02-08,20,56.55
2013-02-15,17,57.24
2013-02-22,18,57.19
2013-03-01,21,56.31
2013-03-08,19,59.2
2013-03-15,20,60.03
2013-03-22,19,59.77
2013-04-05,20,57.57
2013-04-12,20,59.75
2013-04-19,18,56.93
2013-04-26,19,57.86
2013-05-03,19,59.45
2013-05-10,20,60.33
2013-05-17,20,65.16
2013-05-24,22,64.49
2013-05-31,23,66.18
2013-06-07,21,67.44
2013-06-14,22,66.06
2013-06-21,22,64.95
2013-06-28,22,65.21
2013-07-05,22,67.76
2013-07-12,23,68.95
2013-07-19,23,69.28
2013-07-26,23,68.95
2013-08-02,23,70.57
2013-08-09,20,69.32
2013-08-16,22,67.85
2013-08-23,22,69.67
2013-08-30,21,66.72
2013-09-06,22,67.63
2013-09-13,21,68.05
2013-09-20,21,67.64
2013-09-27,23,66.21
2013-10-04,22,66.42
2013-10-11,21,67.22
2013-10-18,22,69.77
2013-10-25,22,68.74
2013-11-01,22,70.35
2013-11-08,21,71.86
2013-11-15,23,70.64
2013-11-22,23,72.7
2013-11-29,23,72.61
2013-12-06,24,71.23
2013-12-13,24,69.73
2013-12-20,24,71.55
2013-12-27,21,72.96
2014-01-03,24,74.7
2014-01-10,27,74.88
2014-01-17,25,73.5
2014-01-24,25,69.52
2014-01-31,25,66.95
2014-02-07,26,68.23
2014-02-14,29,68.81
2014-02-21,30,68.52
2014-02-28,31,65.67
2014-03-07,30,68.14
2014-03-14,30,64.73
2014-03-21,32,68.81
2014-03-28,31,68.99
2014-04-04,32,68.25
2014-04-11,31,63.76
2014-04-25,34,63.79
