"Date","BXP","Price"
2011-08-19,11,98.78
2011-08-26,16,100.6
2011-09-02,14,101.25
2011-09-09,11,100.26
2011-09-16,14,102.5
2011-09-23,12,92.42
2011-09-30,14,89.1
2011-10-07,11,85.47
2011-10-14,9,92.34
2011-10-21,10,92.98
2011-10-28,13,99.84
2011-11-04,13,98.81
2011-11-11,8,98.09
2011-11-18,12,95.13
2011-11-25,11,89.15
2011-12-02,12,93.73
2011-12-09,14,95.49
2011-12-16,13,95.96
2011-12-23,12,101.01
2011-12-30,13,99.6
2012-01-06,10,99.22
2012-01-13,12,97.49
2012-01-20,9,99.86
2012-01-27,8,104.24
2012-02-03,12,107.57
2012-02-10,11,103.78
2012-02-17,11,104.84
2012-02-24,11,102.62
2012-03-02,10,102.46
2012-03-09,10,102.31
2012-03-16,15,105.94
2012-03-23,10,104.01
2012-03-30,11,104.99
2012-04-13,8,100.3
2012-04-20,9,105.02
2012-04-27,11,107.8
2012-05-04,10,107.95
2012-05-11,7,108.31
2012-05-18,7,100.87
2012-05-25,12,103.85
2012-06-01,9,101.31
2012-06-08,7,105.2
2012-06-15,9,104.03
2012-06-22,7,103.31
2012-06-29,9,108.37
2012-07-06,9,110.18
2012-07-13,5,110.59
2012-07-20,6,109.93
2012-07-27,10,110.79
2012-08-03,11,113
2012-08-10,7,110.7
2012-08-17,8,111.76
2012-08-24,10,111.84
2012-08-31,11,112.13
2012-09-07,8,114.37
2012-09-14,7,116.07
2012-09-21,7,113.54
2012-09-28,8,110.61
2012-10-05,10,110.15
2012-10-12,7,108.98
2012-10-19,10,109.53
2012-10-26,13,106.53
2012-11-02,9,107.22
2012-11-09,6,103.1
2012-11-16,8,100.85
2012-11-23,7,103.06
2012-11-30,10,102.63
2012-12-07,8,105.4
2012-12-14,6,103.98
2012-12-21,11,105.7
2012-12-28,6,104.94
2013-01-04,9,107.47
2013-01-11,8,107
2013-01-18,11,107.83
2013-01-25,12,109.46
2013-02-01,10,105.1
2013-02-08,10,105.14
2013-02-15,12,107.21
2013-02-22,9,106.27
2013-03-01,8,103.52
2013-03-08,8,102.89
2013-03-15,8,105.25
2013-03-22,10,100.98
2013-04-05,8,106.25
2013-04-12,9,110.36
2013-04-19,8,109.8
2013-04-26,9,107.77
2013-05-03,8,108.58
2013-05-10,11,111.23
2013-05-17,10,112.43
2013-05-24,7,112.44
2013-05-31,9,106.58
2013-06-07,9,109.81
2013-06-14,9,110.09
2013-06-21,8,101.94
2013-06-28,6,105.47
2013-07-05,7,105.18
2013-07-12,10,110.36
2013-07-19,7,110.11
2013-07-26,4,109.75
2013-08-02,7,103.97
2013-08-09,10,105.09
2013-08-16,10,99.46
2013-08-23,10,103.29
2013-08-30,8,102.5
2013-09-06,7,104.81
2013-09-13,6,104.8
2013-09-20,9,109.36
2013-09-27,10,107.09
2013-10-04,10,106.48
2013-10-11,9,107.28
2013-10-18,10,108.82
2013-10-25,8,109.64
2013-11-01,14,104.42
2013-11-08,14,100.33
2013-11-15,11,103.03
2013-11-22,8,101.69
2013-11-29,11,99.49
2013-12-06,10,100.73
2013-12-13,13,98.46
2013-12-20,12,103.5
2013-12-27,10,100.4
2014-01-03,9,101.59
2014-01-10,7,104.44
2014-01-17,10,104.74
2014-01-24,9,104.89
2014-01-31,11,108.09
2014-02-07,9,109.18
2014-02-14,12,110.96
2014-02-21,11,110.91
2014-02-28,13,112.43
2014-03-07,9,110.94
2014-03-14,6,111.85
2014-03-21,7,113.95
2014-03-28,11,113.89
2014-04-04,10,116.31
2014-04-11,10,115.35
2014-04-25,10,117.37
