"Date","ZION","Price"
2008-10-31,47,38.11
2008-11-07,47,38.95
2008-11-14,50,32.69
2008-11-21,46,25.9
2008-11-28,45,31.89
2008-12-05,48,30.02
2008-12-12,49,25.71
2008-12-19,46,24.94
2008-12-26,52,22.31
2009-01-02,54,25
2009-01-09,52,21.78
2009-01-16,52,16.49
2009-01-23,47,13.56
2009-01-30,50,14.92
2009-02-06,51,14.34
2009-02-13,49,11.42
2009-02-20,50,9
2009-02-27,54,9.37
2009-03-06,54,6.48
2009-03-13,51,9.42
2009-03-20,54,9.92
2009-03-27,53,10.46
2009-04-03,56,11.25
2009-04-17,57,15.02
2009-04-24,56,12.08
2009-05-01,54,10.71
2009-05-08,51,20.36
2009-05-15,55,15.05
2009-05-22,55,12.71
2009-05-29,66,13.68
2009-06-05,55,14.47
2009-06-12,54,14.78
2009-06-19,55,13.34
2009-06-26,52,11.9
2009-07-10,54,11
2009-07-17,50,11.56
2009-07-24,56,11.2
2009-07-31,53,13.58
2009-08-07,55,17.06
2009-08-14,56,16.95
2009-08-21,54,18.22
2009-08-28,52,18.12
2009-09-04,50,16.74
2009-09-11,50,15.89
2009-09-18,52,18.4
2009-09-25,50,17.78
2009-10-02,50,16.68
2009-10-09,50,17.27
2009-10-16,49,18.17
2009-10-23,49,16.82
2009-10-30,48,14.16
2009-11-06,46,13.83
2009-11-13,46,13.11
2009-11-20,45,12.55
2009-11-27,45,12.62
2009-12-04,45,13.06
2009-12-11,46,13.59
2009-12-18,45,13.12
2010-01-08,47,16.41
2010-01-15,49,16.26
2010-01-22,49,17.66
2010-01-29,48,18.97
2010-02-05,50,18
2010-02-12,50,17.85
2010-02-19,48,18.44
2010-02-26,51,18.54
2010-03-05,49,18.74
2010-03-12,51,20.99
2010-03-19,48,22.11
2010-03-26,52,22.23
2010-04-09,53,23.93
2010-04-16,53,25.53
2010-04-23,52,30
2010-04-30,53,28.73
2010-05-07,52,25.57
2010-05-14,51,27.33
2010-05-21,52,23.8
2010-05-28,52,23.95
2010-06-04,51,22.35
2010-06-11,51,23.68
2010-06-18,46,23.98
2010-06-25,48,23.82
2010-07-02,48,20.75
2010-07-09,48,23.25
2010-07-16,50,21.69
2010-07-23,53,20.55
2010-07-30,51,22.19
2010-08-06,53,21.64
2010-08-13,52,19.89
2010-08-20,51,19.14
2010-08-27,51,18.71
2010-09-03,50,20.33
2010-09-10,48,19.84
2010-09-17,48,21.45
2010-09-24,48,20.89
2010-10-01,47,21.21
2010-10-08,47,21.89
2010-10-15,46,20.72
2010-10-22,46,21.69
2010-10-29,49,20.75
2010-11-05,53,22.03
2010-11-12,52,21.36
2010-11-19,49,20.5
2010-11-26,45,19.5
2010-12-03,45,21.29
2010-12-10,47,23.36
2010-12-17,46,22.27
2010-12-31,48,24.23
2011-01-07,50,24.57
2011-01-14,47,24.59
2011-01-21,48,24.31
2011-01-28,51,23.43
2011-02-04,52,24.6
2011-02-11,56,24.96
2011-02-18,54,24.1
2011-02-25,53,23.48
2011-03-04,72,22.69
2011-03-11,57,23.35
2011-03-18,57,22.83
2011-03-25,59,23.23
2011-04-01,60,23.52
2011-04-08,61,24.22
2011-04-15,60,23.19
2011-04-29,61,24.44
2011-05-06,56,23.82
2011-05-13,58,23.12
2011-05-20,62,23.31
2011-05-27,57,23.71
2011-06-03,58,22.89
2011-06-10,56,22.03
2011-06-17,59,23.14
2011-06-24,57,22.39
2011-07-01,53,24.42
2011-07-08,53,24.42
2011-07-15,54,23.17
2011-07-22,56,23.44
2011-07-29,55,21.9
2011-08-05,55,19.13
2011-08-12,56,16.49
2011-08-19,56,15.1
2011-08-26,50,16.25
2011-09-02,50,16.18
2011-09-09,49,16.13
2011-09-16,48,17.32
2011-09-23,50,14.83
2011-09-30,48,14.08
2011-10-07,47,15.43
2011-10-14,46,16.71
2011-10-21,46,16.98
2011-10-28,44,18.24
2011-11-04,43,17.06
2011-11-11,45,16.83
2011-11-18,41,16.26
2011-11-25,40,14.74
2011-12-02,41,16.21
2011-12-09,42,15.5
2011-12-16,41,15.07
2011-12-23,43,16.33
2011-12-30,44,16.28
2012-01-06,44,17.64
2012-01-13,44,18.5
2012-01-20,43,18.85
2012-01-27,44,16.89
2012-02-03,44,18.03
2012-02-10,45,18.37
2012-02-17,43,19.86
2012-02-24,43,19
2012-03-02,45,18.86
2012-03-09,43,18.99
2012-03-16,43,22.28
2012-03-23,46,21.73
2012-03-30,46,21.46
2012-04-13,48,20.53
2012-04-20,46,20.54
2012-04-27,47,20.65
2012-05-04,47,19.77
2012-05-11,46,20.12
2012-05-18,45,18.27
2012-05-25,48,18.87
2012-06-01,46,18.22
2012-06-08,45,18.4
2012-06-15,45,18.7
2012-06-22,48,19.13
2012-06-29,47,19.42
2012-07-06,47,19.39
2012-07-13,48,19.02
2012-07-20,48,18.73
2012-07-27,56,18.48
2012-08-03,56,18.93
2012-08-10,55,18.87
2012-08-17,50,19.7
2012-08-24,52,19.14
2012-08-31,47,19.25
2012-09-07,46,20.3
2012-09-14,48,21.35
2012-09-21,49,20.87
2012-09-28,47,20.66
2012-10-05,47,21.98
2012-10-12,44,21.98
2012-10-19,45,21.45
2012-10-26,44,21.22
2012-11-02,40,21.42
2012-11-09,40,20.03
2012-11-16,43,19.55
2012-11-23,42,20.66
2012-11-30,43,20.07
2012-12-07,42,19.84
2012-12-14,43,20.6
2012-12-21,42,21.49
2012-12-28,45,21.13
2013-01-04,44,22.65
2013-01-11,43,21.75
2013-01-18,42,22.55
2013-01-25,44,22.98
2013-02-01,44,23.93
2013-02-08,46,24.14
2013-02-15,46,24.34
2013-02-22,47,24.04
2013-03-01,53,24.04
2013-03-08,53,25.3
2013-03-15,49,25.56
2013-03-22,51,25.22
2013-04-05,50,23.88
2013-04-12,51,24.4
2013-04-19,49,23.71
2013-04-26,48,24.24
2013-05-03,49,25.15
2013-05-10,47,26.15
2013-05-17,47,27.39
2013-05-24,49,27.49
2013-05-31,48,28.07
2013-06-07,48,27.37
2013-06-14,49,26.96
2013-06-21,48,27.91
2013-06-28,48,28.92
2013-07-05,49,30.97
2013-07-12,50,29.97
2013-07-19,51,30.55
2013-07-26,51,29.55
2013-08-02,53,30.15
2013-08-09,50,29.49
2013-08-16,51,28.86
2013-08-23,52,29.47
2013-08-30,50,27.97
2013-09-06,46,28.67
2013-09-13,48,28.99
2013-09-20,43,27.97
2013-09-27,44,27.33
2013-10-04,45,27.84
2013-10-11,44,28.32
2013-10-18,45,29.91
2013-10-25,41,28.51
2013-11-01,45,28.42
2013-11-08,43,29.64
2013-11-15,43,29.2
2013-11-22,41,29.39
2013-11-29,38,29.33
2013-12-06,38,29.73
2013-12-13,40,28.47
2013-12-20,41,29.22
2013-12-27,41,29.79
2014-01-03,44,29.86
2014-01-10,43,30.06
2014-01-17,43,30.16
2014-01-24,44,30.23
2014-01-31,43,28.75
2014-02-07,43,28.93
2014-02-14,46,30.9
2014-02-21,43,29.91
2014-02-28,43,31.2
2014-03-07,44,31.57
2014-03-14,44,31.35
2014-03-21,46,31.24
2014-03-28,47,30.29
2014-04-04,45,31.37
2014-04-11,46,29.23
2014-04-25,48,29
