"Date","WY","Price"
2005-12-30,45,66.34
2006-01-06,53,67.75
2006-01-13,53,66.48
2006-01-20,48,66.72
2006-01-27,48,68.49
2006-02-03,48,67.5
2006-02-10,50,69.25
2006-02-17,53,70
2006-02-24,48,69.02
2006-03-03,55,67.57
2006-03-10,52,70.88
2006-03-17,50,73.28
2006-03-24,54,73.18
2006-03-31,52,72.43
2006-04-07,51,74.04
2006-04-21,55,75.04
2006-04-28,55,70.47
2006-05-05,57,70.83
2006-05-12,53,68.13
2006-05-19,55,65.46
2006-05-26,56,64.61
2006-06-02,54,64.34
2006-06-09,59,60.02
2006-06-16,62,59.05
2006-06-23,59,60.3
2006-06-30,68,62.25
2006-07-07,62,60.62
2006-07-14,70,58.1
2006-07-21,77,55.35
2006-07-28,70,58.57
2006-08-04,67,57.36
2006-08-11,63,55.6
2006-08-18,67,57.97
2006-08-25,61,60.69
2006-09-01,56,62.2
2006-09-08,49,63.16
2006-09-15,57,62.09
2006-09-22,54,59.02
2006-09-29,53,61.53
2006-10-06,46,61.35
2006-10-13,49,65.13
2006-10-20,53,64.2
2006-10-27,48,63.6
2006-11-03,46,62.97
2006-11-10,53,63.39
2006-11-17,50,63.86
2006-11-24,39,64.3
2006-12-01,47,64.81
2006-12-08,44,66.68
2006-12-15,46,71.93
2006-12-22,54,70.26
2006-12-29,55,70.65
2007-01-05,58,71.54
2007-01-12,52,73
2007-01-19,52,74.25
2007-01-26,53,75.15
2007-02-02,56,76.52
2007-02-09,52,78.14
2007-02-16,55,83.03
2007-02-23,53,82.25
2007-03-02,56,86.18
2007-03-09,56,82.17
2007-03-16,53,79.19
2007-03-23,52,78.06
2007-03-30,60,74.74
2007-04-13,59,76.02
2007-04-20,58,77.5
2007-04-27,52,81.35
2007-05-04,55,82.62
2007-05-11,58,81.34
2007-05-18,57,80.14
2007-05-25,63,79.95
2007-06-01,60,82.35
2007-06-08,68,81.61
2007-06-15,62,82.05
2007-06-22,62,80.57
2007-06-29,68,78.93
2007-07-06,64,80.65
2007-07-13,71,81.68
2007-07-20,72,81.4
2007-07-27,70,72
2007-08-03,70,66.6
2007-08-10,62,66.42
2007-08-17,68,65
2007-08-24,67,67.05
2007-08-31,63,68.17
2007-09-07,50,67.3
2007-09-14,63,69.39
2007-09-21,56,71.87
2007-09-28,58,72.3
2007-10-05,55,75.76
2007-10-12,53,73.4
2007-10-19,51,69.69
2007-10-26,49,68.34
2007-11-02,53,73.27
2007-11-09,48,69.42
2007-11-16,50,71.78
2007-11-23,45,68.71
2007-11-30,52,73.18
2007-12-07,51,75.53
2007-12-14,54,72.49
2007-12-21,55,74.09
2007-12-28,57,73.58
2008-01-04,65,68.62
2008-01-11,61,66
2008-01-18,59,63.43
2008-01-25,61,63.43
2008-02-01,61,69.51
2008-02-08,60,62.34
2008-02-15,62,63.86
2008-02-22,62,63.38
2008-02-29,65,61.2
2008-03-07,68,60.09
2008-03-14,66,61.97
2008-03-28,61,63.7
2008-04-04,68,65.62
2008-04-11,65,61.02
2008-04-18,59,64.21
2008-04-25,61,65.97
2008-05-02,67,63.68
2008-05-09,66,62.68
2008-05-16,64,67.32
2008-05-23,70,64.05
2008-05-30,64,62.33
2008-06-06,72,58.23
2008-06-13,74,56.63
2008-06-20,70,52.75
2008-06-27,74,50.38
2008-07-11,78,47.83
2008-07-18,82,51.14
2008-07-25,81,50.05
2008-08-01,73,55.78
2008-08-08,81,50.55
2008-08-15,75,55.01
2008-08-22,71,53.23
2008-08-29,72,55.49
2008-09-05,60,54.64
2008-09-12,63,56.81
2008-09-19,61,62.29
2008-09-26,62,62.32
2008-10-03,65,56.8
2008-10-10,63,46.92
2008-10-17,59,39.77
2008-10-24,59,30.59
2008-10-31,56,38.22
2008-11-07,59,32.72
2008-11-14,54,32.78
2008-11-21,55,31.67
2008-11-28,47,37.62
2008-12-05,61,35.39
2008-12-12,58,37.76
2008-12-19,62,33.59
2008-12-26,56,30.56
2009-01-02,66,31.89
2009-01-09,66,30.98
2009-01-16,68,29.38
2009-01-23,66,28.04
2009-01-30,67,27.34
2009-02-06,63,28.03
2009-02-13,66,26.12
2009-02-20,65,24.92
2009-02-27,64,24.16
2009-03-06,63,19.36
2009-03-13,66,23.82
2009-03-20,66,26.52
2009-03-27,71,28.83
2009-04-03,72,31.06
2009-04-17,70,34.45
2009-04-24,66,37.64
2009-05-01,69,34.78
2009-05-08,67,35.66
2009-05-15,69,31.45
2009-05-22,73,32.44
2009-05-29,66,33.58
2009-06-05,75,34.26
2009-06-12,71,34.18
2009-06-19,76,28.89
2009-06-26,77,30.16
2009-07-10,80,27.97
2009-07-17,80,30.64
2009-07-24,77,34.75
2009-07-31,81,35.04
2009-08-07,79,38.31
2009-08-14,75,35.96
2009-08-21,75,37.02
2009-08-28,75,37.79
2009-09-04,73,37.09
2009-09-11,67,37.29
2009-09-18,67,39.65
2009-09-25,68,36.95
2009-10-02,67,35.08
2009-10-09,67,36.35
2009-10-16,63,40.11
2009-10-23,58,39.48
2009-10-30,62,36.34
2009-11-06,59,37.62
2009-11-13,59,38.36
2009-11-20,61,37.86
2009-11-27,51,37.69
2009-12-04,59,42.54
2009-12-11,63,42.04
2009-12-18,60,42.8
2010-01-08,67,44.11
2010-01-15,69,43.59
2010-01-22,64,41.26
2010-01-29,64,39.9
2010-02-05,62,39.45
2010-02-12,63,39.54
2010-02-19,64,41.29
2010-02-26,64,40.4
2010-03-05,64,43.38
2010-03-12,66,43.68
2010-03-19,63,44.37
2010-03-26,67,44.3
2010-04-09,68,47.19
2010-04-16,67,47.86
2010-04-23,69,53.3
2010-04-30,66,49.52
2010-05-07,70,44.67
2010-05-14,71,46.09
2010-05-21,73,42.98
2010-05-28,72,42.58
2010-06-04,70,40.12
2010-06-11,73,41.01
2010-06-18,77,39.25
2010-06-25,79,37.3
2010-07-02,79,34.49
2010-07-09,79,35.84
2010-07-16,83,40.5
2010-07-23,85,16.63
2010-07-30,88,16.22
2010-08-06,87,17.17
2010-08-13,85,16.36
2010-08-20,84,16.15
2010-08-27,78,15.78
2010-09-03,74,16.39
2010-09-10,71,16.28
2010-09-17,74,15.97
2010-09-24,72,16.33
2010-10-01,69,16.09
2010-10-08,67,15.82
2010-10-15,65,15.52
2010-10-22,67,15.72
2010-10-29,68,16.22
2010-11-05,67,17.5
2010-11-12,65,17.45
2010-11-19,69,17.18
2010-11-26,63,17.03
2010-12-03,68,17.7
2010-12-10,66,17.76
2010-12-17,68,18.16
2010-12-31,76,18.93
2011-01-07,76,20.57
2011-01-14,72,21.63
2011-01-21,73,22.49
2011-01-28,71,22.67
2011-02-04,75,24.3
2011-02-11,73,25.2
2011-02-18,72,25.16
2011-02-25,74,24.2
2011-03-04,72,23.57
2011-03-11,75,24.38
2011-03-18,69,24.39
2011-03-25,74,24.22
2011-04-01,73,25.14
2011-04-08,76,23.61
2011-04-15,74,22.69
2011-04-29,77,23.01
2011-05-06,77,22.09
2011-05-13,80,21.91
2011-05-20,83,21.76
2011-05-27,80,20.87
2011-06-03,80,20.77
2011-06-10,81,20.4
2011-06-17,82,20.33
2011-06-24,86,20.33
2011-07-01,87,22.29
2011-07-08,89,22.1
2011-07-15,93,21.65
2011-07-22,94,22.18
2011-07-29,94,19.99
2011-08-05,90,17.87
2011-08-12,86,16.83
2011-08-19,89,15.7
2011-08-26,83,17
2011-09-02,82,17.11
2011-09-09,73,16.86
2011-09-16,78,17.8
2011-09-23,80,15.95
2011-09-30,76,15.55
2011-10-07,79,16.03
2011-10-14,75,17.19
2011-10-21,74,17.09
2011-10-28,73,18.3
2011-11-04,70,17.31
2011-11-11,71,16.89
2011-11-18,73,16.41
2011-11-25,62,15.48
2011-12-02,72,16.77
2011-12-09,69,17.23
2011-12-16,72,16.7
2011-12-23,72,18.17
2011-12-30,78,18.67
2012-01-06,75,19.02
2012-01-13,78,20.22
2012-01-20,79,20.65
2012-01-27,78,20.47
2012-02-03,81,21.3
2012-02-10,78,20.02
2012-02-17,80,20.65
2012-02-24,80,21.06
2012-03-02,77,21.16
2012-03-09,76,21.48
2012-03-16,75,22.01
2012-03-23,78,21.87
2012-03-30,77,21.92
2012-04-13,75,20.74
2012-04-20,76,20.98
2012-04-27,76,20.85
2012-05-04,80,19.98
2012-05-11,77,20.07
2012-05-18,82,18.76
2012-05-25,86,19.77
2012-06-01,82,19.11
2012-06-08,84,20.45
2012-06-15,86,20.79
2012-06-22,88,20.69
2012-06-29,99,22.36
2012-07-06,96,22.29
2012-07-13,94,23.37
2012-07-20,95,23.06
2012-07-27,98,23.59
2012-08-03,99,23.65
2012-08-10,95,23.54
2012-08-17,96,24.24
2012-08-24,91,24.37
2012-08-31,87,24.91
2012-09-07,85,25.45
2012-09-14,90,27.15
2012-09-21,81,26.53
2012-09-28,78,26.14
2012-10-05,78,26.64
2012-10-12,79,26.26
2012-10-19,76,28.01
2012-10-26,75,27.37
2012-11-02,71,27.73
2012-11-09,74,26.31
2012-11-16,70,25.38
2012-11-23,63,26.72
2012-11-30,75,27.56
2012-12-07,74,27.21
2012-12-14,72,27.33
2012-12-21,76,28.14
2012-12-28,72,27.58
2013-01-04,80,29.39
2013-01-11,77,30.8
2013-01-18,76,30.63
2013-01-25,78,30.95
2013-02-01,75,30.39
2013-02-08,76,30.21
2013-02-15,76,30.65
2013-02-22,76,29.72
2013-03-01,76,29.57
2013-03-08,79,30.24
2013-03-15,74,30.55
2013-03-22,78,31.01
2013-04-05,74,31.16
2013-04-12,81,31.78
2013-04-19,81,29.84
2013-04-26,76,30.53
2013-05-03,83,30.65
2013-05-10,80,31.39
2013-05-17,79,32.48
2013-05-24,83,31.74
2013-05-31,84,29.82
2013-06-07,87,29.03
2013-06-14,91,28.29
2013-06-21,94,27.42
2013-06-28,92,28.49
2013-07-05,92,28.31
2013-07-12,98,29.55
2013-07-19,98,29.86
2013-07-26,100,28.8
2013-08-02,97,27.98
2013-08-09,98,27.81
2013-08-16,94,27.06
2013-08-23,92,27.81
2013-08-30,87,27.38
2013-09-06,84,28.51
2013-09-13,86,28.39
2013-09-20,83,28.81
2013-09-27,84,28.93
2013-10-04,85,28.59
2013-10-11,77,29.34
2013-10-18,78,30.11
2013-10-25,72,31.39
2013-11-01,75,30.34
2013-11-08,76,29.3
2013-11-15,74,29.74
2013-11-22,73,29.56
2013-11-29,64,30.13
2013-12-06,78,29.82
2013-12-13,76,30.01
2013-12-20,78,31.4
2013-12-27,72,31.3
2014-01-03,84,31.34
2014-01-10,82,31.06
2014-01-17,79,30.97
2014-01-24,78,30.19
2014-01-31,81,29.88
2014-02-07,76,29.88
2014-02-14,81,30.45
2014-02-21,79,30.18
2014-02-28,83,29.51
2014-03-07,81,29.79
2014-03-14,81,29.86
2014-03-21,79,29.29
2014-03-28,79,29.18
2014-04-04,81,29.6
2014-04-11,81,27.72
2014-04-25,86,29.52
