"Date","JPM","Price"
2007-09-07,31,43.52
2007-09-14,36,45.54
2007-09-21,36,47.13
2007-09-28,35,45.82
2007-10-05,38,47.58
2007-10-12,38,46.82
2007-10-19,42,45.02
2007-10-26,34,47.32
2007-11-02,41,43.15
2007-11-09,45,42.31
2007-11-16,43,43.09
2007-11-23,39,41.95
2007-11-30,43,45.62
2007-12-07,54,46.08
2007-12-14,36,45.2
2007-12-21,36,44.11
2007-12-28,30,43.26
2008-01-04,36,40.93
2008-01-11,41,40.86
2008-01-18,54,39.59
2008-01-25,51,43.64
2008-02-01,50,48.25
2008-02-08,35,43.82
2008-02-15,37,43.25
2008-02-22,34,43.93
2008-02-29,36,40.65
2008-03-07,42,37.56
2008-03-14,39,36.54
2008-03-28,52,42.71
2008-04-04,54,45.57
2008-04-11,42,42.53
2008-04-18,47,45.76
2008-04-25,42,47.79
2008-05-02,43,48.66
2008-05-09,36,46.57
2008-05-16,43,46.53
2008-05-23,44,42.32
2008-05-30,36,43
2008-06-06,45,40.09
2008-06-13,44,39.58
2008-06-20,46,37.86
2008-06-27,47,35.05
2008-07-11,43,33.16
2008-07-18,71,40.02
2008-07-25,46,39.52
2008-08-01,47,40.76
2008-08-08,40,41.07
2008-08-15,41,38.07
2008-08-22,42,37.67
2008-08-29,37,38.49
2008-09-05,39,39.6
2008-09-12,41,41.17
2008-09-19,73,47.05
2008-09-26,84,48.24
2008-10-03,85,45.9
2008-10-10,80,41.64
2008-10-17,82,39.33
2008-10-24,59,35.43
2008-10-31,53,41.25
2008-11-07,44,37.75
2008-11-14,57,34.47
2008-11-21,64,22.72
2008-11-28,52,31.66
2008-12-05,53,33.35
2008-12-12,51,30.94
2008-12-19,46,30.32
2008-12-26,31,29.8
2009-01-02,30,31.35
2009-01-09,49,25.97
2009-01-16,63,22.82
2009-01-23,67,24.28
2009-01-30,54,25.51
2009-02-06,55,27.63
2009-02-13,49,24.69
2009-02-20,53,19.9
2009-02-27,71,22.85
2009-03-06,63,15.93
2009-03-13,69,23.75
2009-03-20,59,23.15
2009-03-27,66,27.4
2009-04-03,52,29.28
2009-04-17,90,33.26
2009-04-24,63,33.38
2009-05-01,54,32.49
2009-05-08,62,38.94
2009-05-15,52,34.91
2009-05-22,46,34.41
2009-05-29,44,36.9
2009-06-05,49,34.55
2009-06-12,48,35.13
2009-06-19,46,35
2009-06-26,38,34.45
2009-07-10,41,32.34
2009-07-17,70,36.89
2009-07-24,48,37.92
2009-07-31,45,38.65
2009-08-07,47,42.36
2009-08-14,41,42.45
2009-08-21,44,43.66
2009-08-28,45,42.92
2009-09-04,39,42.34
2009-09-11,36,42.5
2009-09-18,45,44.95
2009-09-25,40,43.65
2009-10-02,46,41.86
2009-10-09,40,45.85
2009-10-16,59,46.06
2009-10-23,43,45.23
2009-10-30,36,41.77
2009-11-06,37,43.48
2009-11-13,35,42.9
2009-11-20,32,42.46
2009-11-27,33,41.33
2009-12-04,38,41.74
2009-12-11,39,40.96
2009-12-18,37,40.95
2010-01-08,41,44.68
2010-01-15,56,43.68
2010-01-22,49,39.16
2010-01-29,41,38.94
2010-02-05,37,38.3
2010-02-12,38,38.95
2010-02-19,36,40.03
2010-02-26,39,41.97
2010-03-05,40,42.81
2010-03-12,37,43.15
2010-03-19,39,43.45
2010-03-26,37,45.02
2010-04-09,36,45.98
2010-04-16,49,45.55
2010-04-23,36,44.94
2010-04-30,38,42.58
2010-05-07,41,40.76
2010-05-14,41,39.89
2010-05-21,37,40.05
2010-05-28,37,39.58
2010-06-04,37,37.62
2010-06-11,36,38.09
2010-06-18,36,39.18
2010-06-25,36,39.44
2010-07-02,40,35.83
2010-07-09,36,38.85
2010-07-16,49,39
2010-07-23,40,39.83
2010-07-30,36,40.28
2010-08-06,36,40.44
2010-08-13,36,37.5
2010-08-20,37,37.14
2010-08-27,35,36.6
2010-09-03,34,39.17
2010-09-10,35,39.76
2010-09-17,33,40.06
2010-09-24,33,39.75
2010-10-01,35,38.81
2010-10-08,38,39.31
2010-10-15,53,37.15
2010-10-22,45,37.7
2010-10-29,38,37.63
2010-11-05,39,40.94
2010-11-12,38,39.61
2010-11-19,32,39.41
2010-11-26,32,37.5
2010-12-03,35,39.61
2010-12-10,37,41.43
2010-12-17,34,39.67
2010-12-31,29,42.42
2011-01-07,41,43.64
2011-01-14,53,44.91
2011-01-21,39,45.29
2011-01-28,39,44.54
2011-02-04,34,44.59
2011-02-11,39,46.57
2011-02-18,37,48
2011-02-25,36,46.68
2011-03-04,32,45.52
2011-03-11,38,45.74
2011-03-18,36,45.74
2011-03-25,38,45.86
2011-04-01,34,46.35
2011-04-08,39,46.84
2011-04-15,46,44.89
2011-04-29,38,45.63
2011-05-06,32,45.04
2011-05-13,32,43.15
2011-05-20,34,43.13
2011-05-27,32,42.79
2011-06-03,29,41.57
2011-06-10,30,41.05
2011-06-17,40,40.8
2011-06-24,33,39.49
2011-07-01,31,41.58
2011-07-08,34,40.74
2011-07-15,39,39.98
2011-07-22,34,42.19
2011-07-29,27,40.45
2011-08-05,36,37.6
2011-08-12,45,35.91
2011-08-19,33,34.35
2011-08-26,42,36.21
2011-09-02,34,34.63
2011-09-09,40,32.08
2011-09-16,37,33.43
2011-09-23,42,29.59
2011-09-30,40,30.12
2011-10-07,40,30.7
2011-10-14,44,31.89
2011-10-21,39,33.42
2011-10-28,33,36.69
2011-11-04,34,33.97
2011-11-11,33,33.28
2011-11-18,31,30.62
2011-11-25,31,28.48
2011-12-02,35,32.33
2011-12-09,35,33.18
2011-12-16,34,31.89
2011-12-23,33,33.57
2011-12-30,28,33.25
2012-01-06,34,35.36
2012-01-13,43,35.92
2012-01-20,34,37.36
2012-01-27,34,37.21
2012-02-03,33,38.28
2012-02-10,33,37.61
2012-02-17,33,38.47
2012-02-24,32,38.28
2012-03-02,35,40.63
2012-03-09,36,41.03
2012-03-16,41,44.57
2012-03-23,37,45.16
2012-03-30,35,45.98
2012-04-13,40,43.21
2012-04-20,36,42.72
2012-04-27,30,43.34
2012-05-04,30,41.75
2012-05-11,82,36.96
2012-05-18,93,33.49
2012-05-25,57,33.5
2012-06-01,46,31.93
2012-06-08,43,33.68
2012-06-15,46,35.03
2012-06-22,42,35.99
2012-06-29,44,35.73
2012-07-06,39,33.9
2012-07-13,75,36.07
2012-07-20,41,33.9
2012-07-27,36,36.89
2012-08-03,34,36.09
2012-08-10,34,36.97
2012-08-17,27,36.98
2012-08-24,30,37.17
2012-08-31,29,37.14
2012-09-07,33,39.3
2012-09-14,38,41.57
2012-09-21,35,40.88
2012-09-28,34,40.48
2012-10-05,33,41.71
2012-10-12,38,41.62
2012-10-19,34,42.32
2012-10-26,31,41.16
2012-11-02,29,42.42
2012-11-09,31,40.62
2012-11-16,30,39.53
2012-11-23,28,41.09
2012-11-30,31,41.08
2012-12-07,40,42.56
2012-12-14,40,42.81
2012-12-21,35,44
2012-12-28,25,43.24
2013-01-04,38,45.36
2013-01-11,39,46.14
2013-01-18,45,46.46
2013-01-25,47,47.16
2013-02-01,36,47.85
2013-02-08,34,48.63
2013-02-15,30,48.88
2013-02-22,42,48.91
2013-03-01,38,48.91
2013-03-08,36,50.2
2013-03-15,44,50.02
2013-03-22,38,48.78
2013-04-05,36,47.91
2013-04-12,45,49.01
2013-04-19,36,47.23
2013-04-26,32,48.88
2013-05-03,34,47.57
2013-05-10,38,48.96
2013-05-17,41,52.3
2013-05-24,42,53.66
2013-05-31,34,54.59
2013-06-07,36,54.27
2013-06-14,36,53.13
2013-06-21,35,51.96
2013-06-28,36,52.79
2013-07-05,31,53.99
2013-07-12,45,54.97
2013-07-19,37,56.16
2013-07-26,36,56.05
2013-08-02,36,56.49
2013-08-09,35,54.52
2013-08-16,35,53.29
2013-08-23,36,52.32
2013-08-30,30,50.53
2013-09-06,28,52.56
2013-09-13,34,52.59
2013-09-20,38,52.8
2013-09-27,39,52.24
2013-10-04,33,52.67
2013-10-11,42,52.51
2013-10-18,38,54.3
2013-10-25,42,52.77
2013-11-01,35,52.51
2013-11-08,32,53.96
2013-11-15,38,54.87
2013-11-22,40,57.46
2013-11-29,33,57.22
2013-12-06,35,56.06
2013-12-13,31,56.17
2013-12-20,32,57.7
2013-12-27,27,58.14
2014-01-03,29,58.66
2014-01-10,42,58.49
2014-01-17,50,58.11
2014-01-24,36,55.09
2014-01-31,39,55.36
2014-02-07,37,56.62
2014-02-14,35,58.15
2014-02-21,37,57.61
2014-02-28,35,56.82
2014-03-07,33,59.4
2014-03-14,32,56.8
2014-03-21,33,60.17
2014-03-28,34,60.04
2014-04-04,32,59.81
2014-04-11,40,55.3
2014-04-25,31,55.7
