"Date","ETFC","Price"
2012-10-05,1,9.12
2012-10-12,1,9
2012-10-19,1,8.57
2012-10-26,1,8.26
2012-11-02,1,8.4
2012-11-09,1,8.08
2012-11-16,1,7.88
2012-11-23,1,8.14
2012-11-30,1,8.42
2012-12-07,1,8.38
2012-12-14,1,8.32
2012-12-21,1,8.83
2012-12-28,1,8.76
2013-01-04,2,9.39
2013-01-11,1,9.58
2013-01-18,1,10.18
2013-01-25,1,10.33
2013-02-01,2,10.8
2013-02-08,2,11.02
2013-02-15,2,11.22
2013-02-22,2,10.84
2013-03-01,1,10.63
2013-03-08,1,11.3
2013-03-15,2,10.66
2013-03-22,2,10.66
2013-04-05,2,9.95
2013-04-12,1,10.17
2013-04-19,1,9.83
2013-04-26,1,10.2
2013-05-03,2,10.85
2013-05-10,1,11.16
2013-05-17,1,11.53
2013-05-24,1,11.31
2013-05-31,1,11.62
2013-06-07,1,11.76
2013-06-14,1,11.44
2013-06-21,1,12.24
2013-06-28,2,12.66
2013-07-05,1,13.16
2013-07-12,2,13.42
2013-07-19,2,13.49
2013-07-26,2,14.85
2013-08-02,1,15.29
2013-08-09,2,14.68
2013-08-16,2,14.56
2013-08-23,1,14.65
2013-08-30,1,14.04
2013-09-06,2,16.26
2013-09-13,2,17.11
2013-09-20,2,16.71
2013-09-27,2,16.76
2013-10-04,1,17.13
2013-10-11,1,17
2013-10-18,1,17.49
2013-10-25,2,17.31
2013-11-01,1,17.13
2013-11-08,1,17.76
2013-11-15,2,17.64
2013-11-22,1,17.75
2013-11-29,1,17.92
2013-12-06,2,18.28
2013-12-13,1,18.53
2013-12-20,1,19.34
2013-12-27,2,19.45
2014-01-03,2,20.3
2014-01-10,2,20.91
2014-01-17,1,21.02
2014-01-24,2,20.97
2014-01-31,2,20.02
2014-02-07,2,20.27
2014-02-14,1,21.81
2014-02-21,2,22.37
2014-02-28,1,22.47
2014-03-07,1,23.5
2014-03-14,1,23.49
2014-03-21,2,24.86
2014-03-28,1,22.59
2014-04-04,2,20.43
2014-04-11,2,19.79
2014-04-25,3,22.4
