"Date","EQR","Price"
2011-06-24,44,58.36
2011-07-01,24,61.35
2011-07-08,25,62.83
2011-07-15,43,61.75
2011-07-22,30,63.68
2011-07-29,28,61.82
2011-08-05,54,55.66
2011-08-12,21,59.05
2011-08-19,34,56.49
2011-08-26,50,58.65
2011-09-02,29,59.71
2011-09-09,25,59.81
2011-09-16,33,57.8
2011-09-23,31,53.13
2011-09-30,33,51.87
2011-10-07,41,51.99
2011-10-14,24,55.32
2011-10-21,37,56.7
2011-10-28,46,58.75
2011-11-04,43,58.47
2011-11-11,47,59.03
2011-11-18,36,54.7
2011-11-25,31,52.63
2011-12-02,37,54.25
2011-12-09,47,54.4
2011-12-16,25,55.85
2011-12-23,19,57.47
2011-12-30,20,57.03
2012-01-06,28,55.69
2012-01-13,64,55
2012-01-20,59,55.77
2012-01-27,57,59.63
2012-02-03,43,60.25
2012-02-10,44,58.59
2012-02-17,51,58.51
2012-02-24,47,58.06
2012-03-02,46,57.66
2012-03-09,42,59.31
2012-03-16,22,59.97
2012-03-23,37,60.15
2012-03-30,39,62.62
2012-04-13,44,60.85
2012-04-20,52,62.11
2012-04-27,38,61.57
2012-05-04,43,62.69
2012-05-11,62,63.36
2012-05-18,42,60.35
2012-05-25,22,61.64
2012-06-01,35,59.6
2012-06-08,32,61.9
2012-06-15,46,61.93
2012-06-22,43,59.34
2012-06-29,43,62.36
2012-07-06,52,63.21
2012-07-13,35,64.76
2012-07-20,41,64.09
2012-07-27,38,62.98
2012-08-03,44,62.71
2012-08-10,36,60.2
2012-08-17,40,60.17
2012-08-24,51,60.82
2012-08-31,52,60.4
2012-09-07,37,60.56
2012-09-14,41,60.23
2012-09-21,38,57.43
2012-09-28,33,57.53
2012-10-05,38,56.88
2012-10-12,30,56.02
2012-10-19,28,57.13
2012-10-26,41,56.06
2012-11-02,37,59.1
2012-11-09,40,56.66
2012-11-16,33,54.31
2012-11-23,35,54.46
2012-11-30,72,55.51
2012-12-07,40,55.11
2012-12-14,32,55.49
2012-12-21,45,56.61
2012-12-28,21,55.9
2013-01-04,30,57.23
2013-01-11,48,58.15
2013-01-18,44,58.41
2013-01-25,31,58.09
2013-02-01,44,54.73
2013-02-08,38,55.44
2013-02-15,33,57.51
2013-02-22,32,57.21
2013-03-01,33,55.34
2013-03-08,32,54.93
2013-03-15,41,56.09
2013-03-22,48,54.66
2013-04-05,24,57.88
2013-04-12,43,59.09
2013-04-19,36,57.97
2013-04-26,38,56.61
2013-05-03,43,56.02
2013-05-10,51,57.71
2013-05-17,71,59.59
2013-05-24,100,60.3
2013-05-31,74,56.55
2013-06-07,40,56.69
2013-06-14,45,56.34
2013-06-21,32,54.73
2013-06-28,33,58.06
2013-07-05,38,57.36
2013-07-12,37,58.63
2013-07-19,36,58.74
2013-07-26,31,58.09
2013-08-02,31,54.95
2013-08-09,42,54.21
2013-08-16,48,50.67
2013-08-23,48,52.51
2013-08-30,34,51.89
2013-09-06,32,53.04
2013-09-13,38,54.59
2013-09-20,45,56.1
2013-09-27,50,54.55
2013-10-04,41,52.63
2013-10-11,42,53.72
2013-10-18,40,55.21
2013-10-25,35,54.91
2013-11-01,39,52.9
2013-11-08,36,51.7
2013-11-15,29,51.38
2013-11-22,35,50.83
2013-11-29,35,51.54
2013-12-06,32,53.16
2013-12-13,38,52.21
2013-12-20,35,51.96
2013-12-27,39,51.84
2014-01-03,26,52.43
2014-01-10,27,53.57
2014-01-17,45,53.84
2014-01-24,46,53.7
2014-01-31,35,55.38
2014-02-07,39,56.87
2014-02-14,27,58.58
2014-02-21,51,58.71
2014-02-28,40,58.47
2014-03-07,50,58.25
2014-03-14,38,58.07
2014-03-21,34,57.19
2014-03-28,38,57.39
2014-04-04,37,59.16
2014-04-11,49,57.73
2014-04-25,32,58.66
