"Date","HBAN","Price"
2012-03-02,12,5.88
2012-03-09,13,5.86
2012-03-16,14,6.43
2012-03-23,12,6.3
2012-03-30,9,6.45
2012-04-13,10,6.22
2012-04-20,13,6.55
2012-04-27,10,6.73
2012-05-04,9,6.49
2012-05-11,12,6.54
2012-05-18,12,6.16
2012-05-25,9,6.46
2012-06-01,8,6.11
2012-06-08,11,6.23
2012-06-15,7,6.3
2012-06-22,7,6.28
2012-06-29,5,6.4
2012-07-06,6,6.38
2012-07-13,7,6.48
2012-07-20,11,6.33
2012-07-27,7,6.4
2012-08-03,7,6.32
2012-08-10,9,6.45
2012-08-17,11,6.52
2012-08-24,10,6.55
2012-08-31,6,6.59
2012-09-07,6,6.7
2012-09-14,13,7.2
2012-09-21,11,6.94
2012-09-28,9,6.9
2012-10-05,10,7.19
2012-10-12,9,6.93
2012-10-19,15,6.45
2012-10-26,10,6.33
2012-11-02,8,6.35
2012-11-09,8,6.16
2012-11-16,8,6.01
2012-11-23,10,6.23
2012-11-30,7,6.17
2012-12-07,6,6.18
2012-12-14,7,6.16
2012-12-21,8,6.37
2012-12-28,6,6.28
2013-01-04,11,6.69
2013-01-11,9,6.59
2013-01-18,11,7
2013-01-25,11,6.93
2013-02-01,10,7.08
2013-02-08,7,7.2
2013-02-15,9,7.1
2013-02-22,8,6.98
2013-03-01,9,7.07
2013-03-08,15,7.36
2013-03-15,13,7.51
2013-03-22,8,7.38
2013-04-05,9,7.21
2013-04-12,10,7.39
2013-04-19,15,7
2013-04-26,8,7.11
2013-05-03,12,7.27
2013-05-10,10,7.49
2013-05-17,7,7.74
2013-05-24,11,7.54
2013-05-31,11,7.75
2013-06-07,9,7.68
2013-06-14,9,7.53
2013-06-21,9,7.66
2013-06-28,12,7.87
2013-07-05,10,8.5
2013-07-12,16,8.33
2013-07-19,12,8.38
2013-07-26,12,8.6
2013-08-02,17,8.71
2013-08-09,14,8.55
2013-08-16,14,8.56
2013-08-23,13,8.6
2013-08-30,13,8.24
2013-09-06,12,8.52
2013-09-13,14,8.52
2013-09-20,8,8.38
2013-09-27,9,8.23
2013-10-04,9,8.45
2013-10-11,7,8.48
2013-10-18,12,8.9
2013-10-25,10,8.93
2013-11-01,13,8.85
2013-11-08,8,9.02
2013-11-15,11,8.96
2013-11-22,13,9.14
2013-11-29,11,9.17
2013-12-06,7,9.24
2013-12-13,13,9.36
2013-12-20,13,9.56
2013-12-27,10,9.61
2014-01-03,10,9.6
2014-01-10,14,9.79
2014-01-17,17,9.63
2014-01-24,12,9.42
2014-01-31,14,9.07
2014-02-07,13,9.03
2014-02-14,7,9.12
2014-02-21,9,9.11
2014-02-28,13,9.53
2014-03-07,14,9.8
2014-03-14,11,9.57
2014-03-21,9,9.89
2014-03-28,14,9.86
2014-04-04,11,10.06
2014-04-11,13,9.41
2014-04-25,10,9.16
