"Date","The.Coca.Cola.Company","Price"
2010-07-09,19,52.4
2010-07-16,26,52.37
2010-07-23,23,54.75
2010-07-30,18,55.11
2010-08-06,16,56.75
2010-08-13,19,55.73
2010-08-20,23,55.3
2010-08-27,23,56.16
2010-09-03,23,57.56
2010-09-10,17,58.52
2010-09-17,28,57.56
2010-09-24,25,58.62
2010-10-01,23,59.12
2010-10-08,22,59.41
2010-10-15,23,59.94
2010-10-22,25,61.61
2010-10-29,25,61.32
2010-11-05,24,62.58
2010-11-12,21,62.92
2010-11-19,25,64.32
2010-11-26,29,64.11
2010-12-03,27,64.5
2010-12-10,25,64.65
2010-12-17,18,65.7
2010-12-31,19,65.77
2011-01-07,19,62.92
2011-01-14,18,63.13
2011-01-21,21,62.77
2011-01-28,14,62.21
2011-02-04,16,62.56
2011-02-11,18,63.57
2011-02-18,21,64.55
2011-02-25,25,64.31
2011-03-04,27,65.21
2011-03-11,25,64.81
2011-03-18,30,62.7
2011-03-25,28,65.22
2011-04-01,27,67.22
2011-04-08,27,67.27
2011-04-15,25,68.01
2011-04-29,24,67.46
2011-05-06,30,66.9
2011-05-13,33,68.18
2011-05-20,20,68.3
2011-05-27,26,66.51
2011-06-03,29,65.53
2011-06-10,14,65.39
2011-06-17,17,65.62
2011-06-24,25,64.93
2011-07-01,27,68.09
2011-07-08,21,68.68
2011-07-15,25,67.53
2011-07-22,23,69.73
2011-07-29,28,68.01
2011-08-05,16,66.77
2011-08-12,24,67.14
2011-08-19,16,67.1
2011-08-26,21,68.5
2011-09-02,20,69.74
2011-09-09,17,69.37
2011-09-16,18,71.23
2011-09-23,19,67.42
2011-09-30,28,67.56
2011-10-07,27,65.9
2011-10-14,19,67.85
2011-10-21,24,68.19
2011-10-28,20,68.93
2011-11-04,17,67.78
2011-11-11,22,68.12
2011-11-18,30,67.39
2011-11-25,15,64.74
2011-12-02,31,66.38
2011-12-09,26,67.57
2011-12-16,17,67.44
2011-12-23,21,69.94
2011-12-30,14,69.97
2012-01-06,14,68.93
2012-01-13,23,66.99
2012-01-20,18,68.09
2012-01-27,17,67.44
2012-02-03,29,68.08
2012-02-10,17,67.94
2012-02-17,20,69.05
2012-02-24,23,69
2012-03-02,33,69.18
2012-03-09,20,69.51
2012-03-16,32,70.16
2012-03-23,22,71.49
2012-03-30,20,74.01
2012-04-13,29,71.94
2012-04-20,17,74.13
2012-04-27,26,76.63
2012-05-04,27,77
2012-05-11,24,77.47
2012-05-18,27,74.05
2012-05-25,25,75.23
2012-06-01,27,73.09
2012-06-08,14,75.24
2012-06-15,19,76.09
2012-06-22,29,74.94
2012-06-29,28,78.19
2012-07-06,17,78.15
2012-07-13,19,77.28
2012-07-20,21,77.03
2012-07-27,28,80.01
2012-08-03,23,80.83
2012-08-10,17,78.79
2012-08-17,25,39.53
2012-08-24,35,38.47
2012-08-31,28,37.4
2012-09-07,30,37.9
2012-09-14,33,38.12
2012-09-21,33,38.03
2012-09-28,31,37.93
2012-10-05,21,38.58
2012-10-12,41,38.23
2012-10-19,50,37.4
2012-10-26,32,37.04
2012-11-02,32,37.08
2012-11-09,20,36.29
2012-11-16,28,36.56
2012-11-23,21,37.93
2012-11-30,25,37.92
2012-12-07,24,37.71
2012-12-14,25,37.66
2012-12-21,30,36.89
2012-12-28,13,35.97
2013-01-04,13,37.66
2013-01-11,15,36.91
2013-01-18,24,37.7
2013-01-25,26,37.05
2013-02-01,11,37.54
2013-02-08,20,38.77
2013-02-15,18,37.42
2013-02-22,23,38.52
2013-03-01,21,38.7
2013-03-08,14,39.22
2013-03-15,22,38.83
2013-03-22,26,40.04
2013-04-05,25,40.08
2013-04-12,18,41.08
2013-04-19,29,42.66
2013-04-26,23,42.1
2013-05-03,23,42.24
2013-05-10,19,42.15
2013-05-17,15,42.97
2013-05-24,12,42.24
2013-05-31,12,39.99
2013-06-07,11,41.41
2013-06-14,12,40.34
2013-06-21,12,39.76
2013-06-28,16,40.11
2013-07-05,14,40.52
2013-07-12,16,41.03
2013-07-19,17,41.09
2013-07-26,16,40.64
2013-08-02,9,40.22
2013-08-09,9,40.16
2013-08-16,18,39.05
2013-08-23,15,38.52
2013-08-30,12,38.18
2013-09-06,9,38.35
2013-09-13,23,38.69
2013-09-20,17,39.4
2013-09-27,18,38.4
2013-10-04,23,37.2
2013-10-11,17,37.77
2013-10-18,20,38.78
2013-10-25,23,39.03
2013-11-01,21,39.61
2013-11-08,20,40.05
2013-11-15,23,40.22
2013-11-22,29,40.43
2013-11-29,20,40.19
2013-12-06,16,40.46
2013-12-13,20,39.23
2013-12-20,17,40.04
2013-12-27,11,40.66
2014-01-03,12,40.46
2014-01-10,16,40.13
2014-01-17,13,39.28
2014-01-24,17,38.84
2014-01-31,22,37.82
2014-02-07,17,37.95
2014-02-14,16,38.93
2014-02-21,22,37.18
2014-02-28,24,38.2
2014-03-07,17,38.55
2014-03-14,15,38.17
2014-03-21,20,38.44
2014-03-28,20,38.95
2014-04-04,22,38.22
2014-04-11,23,38.63
2014-04-25,22,41.01
