"Date","American.Express.Company","Price"
2007-11-09,43,56.49
2007-11-16,28,58.67
2007-11-23,24,55.63
2007-11-30,19,58.98
2007-12-07,30,56.96
2007-12-14,32,52.29
2007-12-21,47,51.95
2007-12-28,23,50.84
2008-01-04,37,49.14
2008-01-11,44,44
2008-01-18,23,43.61
2008-01-25,30,45.44
2008-02-01,38,49.6
2008-02-08,21,44.98
2008-02-15,33,45.11
2008-02-22,31,45.06
2008-02-29,40,42.3
2008-03-07,47,41.53
2008-03-14,38,41.01
2008-03-28,34,43.15
2008-04-04,45,46.11
2008-04-11,40,43.39
2008-04-18,31,45.53
2008-04-25,35,47.77
2008-05-02,52,50.4
2008-05-09,39,48.96
2008-05-16,38,48.68
2008-05-23,25,45.45
2008-05-30,23,46.35
2008-06-06,24,44.65
2008-06-13,23,44.66
2008-06-20,29,41.18
2008-06-27,22,38.04
2008-07-11,35,39.21
2008-07-18,28,42.19
2008-07-25,29,36.62
2008-08-01,39,37.19
2008-08-08,32,37.81
2008-08-15,27,39.07
2008-08-22,19,38.79
2008-08-29,32,39.68
2008-09-05,37,39.4
2008-09-12,21,38.95
2008-09-19,34,40.4
2008-09-26,36,39.5
2008-10-03,27,30.87
2008-10-10,34,23.15
2008-10-17,26,23.33
2008-10-24,35,24.05
2008-10-31,36,27.5
2008-11-07,32,25.31
2008-11-14,28,19.99
2008-11-21,29,18.69
2008-11-28,30,23.31
2008-12-05,38,21.78
2008-12-12,32,20.34
2008-12-19,31,19.43
2008-12-26,32,17.91
2009-01-02,35,19.33
2009-01-09,34,19.23
2009-01-16,28,17.01
2009-01-23,28,16
2009-01-30,37,16.73
2009-02-06,24,17.93
2009-02-13,33,15.74
2009-02-20,29,12.97
2009-02-27,45,12.06
2009-03-06,18,10.26
2009-03-13,27,13.09
2009-03-20,26,12.26
2009-03-27,40,14.45
2009-04-03,24,15.33
2009-04-17,31,21.81
2009-04-24,28,25.3
2009-05-01,28,24.29
2009-05-08,22,28.4
2009-05-15,26,24.23
2009-05-22,25,23.4
2009-05-29,25,24.85
2009-06-05,24,24.95
2009-06-12,34,25.16
2009-06-19,22,24.64
2009-06-26,24,23.76
2009-07-10,19,23.22
2009-07-17,27,28.03
2009-07-24,36,29.51
2009-07-31,34,28.33
2009-08-07,30,32.69
2009-08-14,19,31.72
2009-08-21,37,32.85
2009-08-28,26,34.24
2009-09-04,29,32.84
2009-09-11,30,34.17
2009-09-18,18,34.77
2009-09-25,28,33.07
2009-10-02,26,32.49
2009-10-09,26,34.94
2009-10-16,25,34.95
2009-10-23,22,34.58
2009-10-30,26,34.84
2009-11-06,23,37.21
2009-11-13,39,40.35
2009-11-20,24,40.93
2009-11-27,24,40.84
2009-12-04,23,39.3
2009-12-11,29,40.73
2009-12-18,25,40.51
2010-01-08,28,41.95
2010-01-15,21,42.39
2010-01-22,30,38.59
2010-01-29,36,37.66
2010-02-05,22,37.85
2010-02-12,26,38.42
2010-02-19,25,39.06
2010-02-26,29,38.19
2010-03-05,30,40.2
2010-03-12,33,40.76
2010-03-19,21,40.33
2010-03-26,29,41.12
2010-04-09,26,43.88
2010-04-16,26,45.1
2010-04-23,26,48.05
2010-04-30,25,46.12
2010-05-07,30,40.6
2010-05-14,27,40.64
2010-05-21,26,39.82
2010-05-28,21,39.87
2010-06-04,26,38.41
2010-06-11,17,40.13
2010-06-18,31,42.03
2010-06-25,18,42.67
2010-07-02,27,39.42
2010-07-09,24,42.58
2010-07-16,34,41.38
2010-07-23,30,44.79
2010-07-30,21,44.64
2010-08-06,20,43.5
2010-08-13,33,41.73
2010-08-20,28,40.76
2010-08-27,20,40.91
2010-09-03,21,41.8
2010-09-10,20,40.19
2010-09-17,25,41.37
2010-09-24,19,43.13
2010-10-01,22,41.78
2010-10-08,29,37.99
2010-10-15,24,39.09
2010-10-22,26,39.03
2010-10-29,23,41.46
2010-11-05,26,44.07
2010-11-12,24,42.7
2010-11-19,28,42.75
2010-11-26,20,42.27
2010-12-03,31,44.88
2010-12-10,30,46.26
2010-12-17,28,44.01
2010-12-31,21,42.92
2011-01-07,27,44.36
2011-01-14,24,46.25
2011-01-21,25,46
2011-01-28,22,43.86
2011-02-04,29,43.82
2011-02-11,30,46.75
2011-02-18,22,45.53
2011-02-25,22,43.53
2011-03-04,20,43.72
2011-03-11,24,44.28
2011-03-18,19,44.17
2011-03-25,26,45.59
2011-04-01,22,45.36
2011-04-08,21,46.28
2011-04-15,25,46.25
2011-04-29,20,49.08
2011-05-06,22,50.2
2011-05-13,24,49.49
2011-05-20,23,51.19
2011-05-27,19,51.13
2011-06-03,20,49.28
2011-06-10,23,47.74
2011-06-17,24,48.5
2011-06-24,25,48.34
2011-07-01,20,52.34
2011-07-08,14,53.07
2011-07-15,24,51.81
2011-07-22,20,52.24
2011-07-29,30,50.04
2011-08-05,27,47.21
2011-08-12,28,44.89
2011-08-19,23,44.47
2011-08-26,18,48.48
2011-09-02,24,48.51
2011-09-09,24,47.28
2011-09-16,26,50.12
2011-09-23,25,46.45
2011-09-30,24,44.9
2011-10-07,24,43.43
2011-10-14,22,46.1
2011-10-21,25,48.46
2011-10-28,20,52.1
2011-11-04,22,51.18
2011-11-11,23,50.37
2011-11-18,22,46.88
2011-11-25,21,45
2011-12-02,24,48.23
2011-12-09,24,48.8
2011-12-16,25,46.88
2011-12-23,18,47.95
2011-12-30,20,47.17
2012-01-06,15,48.27
2012-01-13,25,49.76
2012-01-20,24,50.04
2012-01-27,23,49.85
2012-02-03,17,52.25
2012-02-10,23,51.81
2012-02-17,20,52.86
2012-02-24,28,53.33
2012-03-02,23,52.99
2012-03-09,21,53.2
2012-03-16,25,56.55
2012-03-23,21,57.25
2012-03-30,16,57.86
2012-04-13,19,57.28
2012-04-20,28,57.45
2012-04-27,22,60.17
2012-05-04,28,60.1
2012-05-11,24,59.64
2012-05-18,27,55.4
2012-05-25,25,55.81
2012-06-01,26,53.43
2012-06-08,24,55.86
2012-06-15,26,56.28
2012-06-22,26,56.79
2012-06-29,23,58.21
2012-07-06,21,58.63
2012-07-13,24,57.93
2012-07-20,26,55.81
2012-07-27,20,58.53
2012-08-03,24,57.61
2012-08-10,22,55.85
2012-08-17,24,57.59
2012-08-24,22,57.49
2012-08-31,22,58.3
2012-09-07,19,57.73
2012-09-14,22,59.27
2012-09-21,26,57.86
2012-09-28,23,56.86
2012-10-05,30,58.56
2012-10-12,23,57.89
2012-10-19,22,56.86
2012-10-26,30,55.75
2012-11-02,23,56.71
2012-11-09,22,55.83
2012-11-16,20,54.3
2012-11-23,26,56.51
2012-11-30,20,55.9
2012-12-07,28,56.61
2012-12-14,20,56.65
2012-12-21,22,57.65
2012-12-28,20,56.67
2013-01-04,24,59.61
2013-01-11,28,61.24
2013-01-18,21,59.78
2013-01-25,24,59.5
2013-02-01,24,59.91
2013-02-08,19,61.8
2013-02-15,18,61.69
2013-02-22,21,62.57
2013-03-01,24,62.37
2013-03-08,21,64.7
2013-03-15,25,66.09
2013-03-22,23,66.22
2013-04-05,17,65.3
2013-04-12,24,65.68
2013-04-19,19,67.24
2013-04-26,20,67.75
2013-05-03,20,70.23
2013-05-10,27,70.08
2013-05-17,26,73.32
2013-05-24,21,75.27
2013-05-31,21,75.71
2013-06-07,20,78.04
2013-06-14,18,72.97
2013-06-21,26,73.31
2013-06-28,26,74.76
2013-07-05,24,76.31
2013-07-12,23,78.33
2013-07-19,27,74.06
2013-07-26,22,75.34
2013-08-02,30,75.69
2013-08-09,22,75.5
2013-08-16,25,75.17
2013-08-23,18,73.65
2013-08-30,18,71.91
2013-09-06,25,73.35
2013-09-13,22,75.3
2013-09-20,20,77.32
2013-09-27,25,75.89
2013-10-04,24,74.31
2013-10-11,17,75.4
2013-10-18,21,80.52
2013-10-25,18,82.61
2013-11-01,23,82.16
2013-11-08,22,81.78
2013-11-15,26,82.8
2013-11-22,26,83.85
2013-11-29,24,85.8
2013-12-06,27,85.93
2013-12-13,24,83.68
2013-12-20,19,87.57
2013-12-27,18,89.19
2014-01-03,21,89.74
2014-01-10,19,88.55
2014-01-17,21,90.97
2014-01-24,21,86.95
2014-01-31,22,85.02
2014-02-07,23,87
2014-02-14,22,89
2014-02-21,20,88.75
2014-02-28,18,91.28
2014-03-07,17,93.86
2014-03-14,26,90.17
2014-03-21,16,91.52
2014-03-28,22,90.46
2014-04-04,24,89.17
2014-04-11,18,84.54
2014-04-25,20,87.03
