"Date","CVX","Price"
2007-03-23,67,73.7
2007-03-30,68,73.96
2007-04-13,55,77.01
2007-04-20,71,78.45
2007-04-27,66,78.08
2007-05-04,66,79.3
2007-05-11,69,80.04
2007-05-18,77,82.85
2007-05-25,78,81.13
2007-06-01,68,82.23
2007-06-08,64,80.69
2007-06-15,60,83.17
2007-06-22,60,81.55
2007-06-29,57,84.24
2007-07-06,57,87.68
2007-07-13,99,93.33
2007-07-20,65,92.12
2007-07-27,81,85.2
2007-08-03,74,81.02
2007-08-10,66,83.42
2007-08-17,60,84.36
2007-08-24,55,87.22
2007-08-31,69,87.76
2007-09-07,56,87.65
2007-09-14,57,90.65
2007-09-21,74,94.84
2007-09-28,58,93.58
2007-10-05,68,92.32
2007-10-12,76,91.41
2007-10-19,72,89.27
2007-10-26,57,91.65
2007-11-02,85,88.48
2007-11-09,69,87.26
2007-11-16,59,85.98
2007-11-23,45,86.67
2007-11-30,59,87.77
2007-12-07,50,90.96
2007-12-14,70,92.02
2007-12-21,65,94.04
2007-12-28,50,94.86
2008-01-04,60,93.35
2008-01-11,60,90.67
2008-01-18,67,83.46
2008-01-25,69,81.82
2008-02-01,62,82.49
2008-02-08,70,79.26
2008-02-15,65,83.6
2008-02-22,59,85.42
2008-02-29,69,86.66
2008-03-07,71,85.26
2008-03-14,61,85.34
2008-03-28,54,84.5
2008-04-04,55,88.05
2008-04-11,57,88.8
2008-04-18,67,93.18
2008-04-25,72,92.69
2008-05-02,79,95.32
2008-05-09,83,97.39
2008-05-16,68,100.38
2008-05-23,89,100.73
2008-05-30,81,99.15
2008-06-06,80,99.5
2008-06-13,68,99.4
2008-06-20,72,96.62
2008-06-27,59,97.8
2008-07-11,58,92.25
2008-07-18,68,86.05
2008-07-25,65,82.56
2008-08-01,74,84.31
2008-08-08,67,84.4
2008-08-15,61,84.25
2008-08-22,68,88.1
2008-08-29,55,86.32
2008-09-05,60,80.22
2008-09-12,60,84.24
2008-09-19,73,87.8
2008-09-26,64,86.95
2008-10-03,68,79.38
2008-10-10,82,57.83
2008-10-17,96,62.35
2008-10-24,90,63.91
2008-10-31,77,74.6
2008-11-07,69,73.46
2008-11-14,63,72.68
2008-11-21,81,70.49
2008-11-28,68,79.01
2008-12-05,73,74.42
2008-12-12,70,79
2008-12-19,56,70.85
2008-12-26,64,70.35
2009-01-02,61,76.52
2009-01-09,63,72.82
2009-01-16,64,71.74
2009-01-23,50,70.82
2009-01-30,57,70.52
2009-02-06,53,74.9
2009-02-13,54,69.73
2009-02-20,60,65.07
2009-02-27,62,60.71
2009-03-06,66,58.27
2009-03-13,81,62.91
2009-03-20,57,64.71
2009-03-27,73,68.9
2009-04-03,62,70.48
2009-04-17,63,66.01
2009-04-24,61,66.6
2009-05-01,64,66.87
2009-05-08,66,70.38
2009-05-15,59,65.88
2009-05-22,51,64.44
2009-05-29,59,66.67
2009-06-05,69,69.37
2009-06-12,71,72.67
2009-06-19,57,68.06
2009-06-26,55,65.95
2009-07-10,62,61.4
2009-07-17,59,65.12
2009-07-24,61,68.43
2009-07-31,66,69.47
2009-08-07,63,69.5
2009-08-14,61,68.63
2009-08-21,51,69.73
2009-08-28,68,70.68
2009-09-04,50,68.96
2009-09-11,50,70.75
2009-09-18,57,72.64
2009-09-25,58,70.66
2009-10-02,53,68.14
2009-10-09,59,72.76
2009-10-16,60,76.81
2009-10-23,59,76.68
2009-10-30,57,76.54
2009-11-06,47,77.53
2009-11-13,56,77.94
2009-11-20,51,76.77
2009-11-27,43,78.17
2009-12-04,52,78.07
2009-12-11,57,77.76
2009-12-18,52,76.9
2010-01-08,48,79.47
2010-01-15,53,79.23
2010-01-22,45,74.59
2010-01-29,47,72.12
2010-02-05,46,71.18
2010-02-12,53,71.01
2010-02-19,49,74.05
2010-02-26,53,72.3
2010-03-05,53,74.3
2010-03-12,61,73.72
2010-03-19,47,74.98
2010-03-26,60,74.43
2010-04-09,51,79.5
2010-04-16,53,80.75
2010-04-23,50,82.67
2010-04-30,56,81.44
2010-05-07,60,77.1
2010-05-14,55,77.83
2010-05-21,57,74.48
2010-05-28,51,73.87
2010-06-04,49,71.28
2010-06-11,56,74.06
2010-06-18,53,75.52
2010-06-25,49,70.06
2010-07-02,47,67.31
2010-07-09,51,71.84
2010-07-16,46,71.5
2010-07-23,47,73.52
2010-07-30,50,76.21
2010-08-06,53,78.73
2010-08-13,54,77.4
2010-08-20,50,75.05
2010-08-27,46,74.93
2010-09-03,45,78
2010-09-10,42,78.82
2010-09-17,49,78.46
2010-09-24,42,80.12
2010-10-01,57,81.95
2010-10-08,55,83.94
2010-10-15,58,83.61
2010-10-22,46,84.55
2010-10-29,50,82.6
2010-11-05,65,84.98
2010-11-12,53,85.44
2010-11-19,48,83.94
2010-11-26,53,82.05
2010-12-03,55,84.89
2010-12-10,51,87.03
2010-12-17,55,88.49
2010-12-31,57,91.25
2011-01-07,56,91.19
2011-01-14,55,92.83
2011-01-21,53,93.78
2011-01-28,54,93.37
2011-02-04,63,97.11
2011-02-11,59,96.45
2011-02-18,60,98.72
2011-02-25,76,102.1
2011-03-04,69,103.75
2011-03-11,67,99.93
2011-03-18,58,102.8
2011-03-25,68,106.78
2011-04-01,63,108.32
2011-04-08,67,109.66
2011-04-15,61,106.24
2011-04-29,68,109.44
2011-05-06,64,102.88
2011-05-13,56,102.39
2011-05-20,48,102.57
2011-05-27,54,103.21
2011-06-03,59,101
2011-06-10,55,99.67
2011-06-17,53,99.17
2011-06-24,53,97.9
2011-07-01,52,104.09
2011-07-08,48,105.89
2011-07-15,58,106.19
2011-07-22,57,108.97
2011-07-29,63,104.02
2011-08-05,73,97.61
2011-08-12,73,95.86
2011-08-19,63,93.29
2011-08-26,60,96.85
2011-09-02,61,96.41
2011-09-09,54,95.19
2011-09-16,52,99.63
2011-09-23,56,90.01
2011-09-30,56,92.59
2011-10-07,53,94.4
2011-10-14,52,100.47
2011-10-21,59,105.53
2011-10-28,62,109.64
2011-11-04,63,106.43
2011-11-11,70,107.05
2011-11-18,62,97.88
2011-11-25,49,92.29
2011-12-02,55,101.69
2011-12-09,54,104.25
2011-12-16,58,100.86
2011-12-23,52,107.5
2011-12-30,51,106.4
2012-01-06,49,108.31
2012-01-13,62,106.09
2012-01-20,53,106.89
2012-01-27,63,103.96
2012-02-03,55,105.5
2012-02-10,52,105.28
2012-02-17,54,106.66
2012-02-24,64,109.08
2012-03-02,50,109.61
2012-03-09,56,109.57
2012-03-16,66,110.28
2012-03-23,53,106.36
2012-03-30,62,107.21
2012-04-13,54,100.78
2012-04-20,49,102.52
2012-04-27,56,106.2
2012-05-04,55,103.72
2012-05-11,54,102.69
2012-05-18,54,98.46
2012-05-25,56,98.86
2012-06-01,52,96.41
2012-06-08,51,100.84
2012-06-15,50,104.33
2012-06-22,54,100.44
2012-06-29,52,105.5
2012-07-06,44,105.07
2012-07-13,51,106.01
2012-07-20,49,109.19
2012-07-27,51,109.26
2012-08-03,46,111.12
2012-08-10,52,113.55
2012-08-17,46,112.66
2012-08-24,53,112.01
2012-08-31,45,112.16
2012-09-07,45,114
2012-09-14,53,117.25
2012-09-21,53,117.8
2012-09-28,51,116.56
2012-10-05,50,117.5
2012-10-12,52,112.07
2012-10-19,48,113.38
2012-10-26,57,111.18
2012-11-02,48,108.37
2012-11-09,49,105.84
2012-11-16,55,102.4
2012-11-23,48,105.47
2012-11-30,56,105.69
2012-12-07,52,106.99
2012-12-14,50,107.82
2012-12-21,48,109.71
2012-12-28,49,106.45
2013-01-04,46,110.5
2013-01-11,48,111.73
2013-01-18,52,115.24
2013-01-25,47,116.2
2013-02-01,54,116.5
2013-02-08,44,115.64
2013-02-15,44,114.96
2013-02-22,50,115.96
2013-03-01,51,116.9
2013-03-08,62,118.57
2013-03-15,57,119.68
2013-03-22,50,121.18
2013-04-05,47,117.52
2013-04-12,54,119.94
2013-04-19,57,115.9
2013-04-26,53,120.04
2013-05-03,62,123.49
2013-05-10,55,123.23
2013-05-17,50,123.42
2013-05-24,54,125.45
2013-05-31,49,122.75
2013-06-07,45,121.7
2013-06-14,45,120.28
2013-06-21,49,118.93
2013-06-28,45,118.34
2013-07-05,47,120.51
2013-07-12,51,124.06
2013-07-19,49,126.91
2013-07-26,45,127.56
2013-08-02,52,124.95
2013-08-09,52,122.5
2013-08-16,49,119.88
2013-08-23,47,119.53
2013-08-30,51,120.43
2013-09-06,44,121.21
2013-09-13,50,124.14
2013-09-20,51,124.92
2013-09-27,43,122.64
2013-10-04,42,118.13
2013-10-11,53,117.67
2013-10-18,51,119.65
2013-10-25,49,120.59
2013-11-01,55,118.01
2013-11-08,47,121.19
2013-11-15,49,120.06
2013-11-22,50,124.03
2013-11-29,45,122.44
2013-12-06,41,122.29
2013-12-13,44,119.9
2013-12-20,51,122.78
2013-12-27,45,125.23
2014-01-03,43,124.35
2014-01-10,49,121.01
2014-01-17,47,119.29
2014-01-24,48,116.29
2014-01-31,60,111.63
2014-02-07,61,112.05
2014-02-14,56,113.48
2014-02-21,60,112.68
2014-02-28,58,115.33
2014-03-07,62,115.08
2014-03-14,55,114.1
2014-03-21,54,115.63
2014-03-28,50,118.5
2014-04-04,53,118.8
2014-04-11,58,117.03
2014-04-25,52,123.99
