"Date","The.Boeing.Company","Price"
2009-01-16,44,42.46
2009-01-23,46,41.98
2009-01-30,46,42.31
2009-02-06,42,42.92
2009-02-13,42,40.48
2009-02-20,42,36.31
2009-02-27,39,31.44
2009-03-06,41,30.1
2009-03-13,32,33.4
2009-03-20,30,32.55
2009-03-27,32,37.53
2009-04-03,33,37.69
2009-04-17,49,38.32
2009-04-24,38,38.72
2009-05-01,33,41.21
2009-05-08,49,45.83
2009-05-15,38,43
2009-05-22,40,42.94
2009-05-29,43,44.85
2009-06-05,43,52.65
2009-06-12,43,51.44
2009-06-19,50,48.44
2009-06-26,42,41.88
2009-07-10,46,39.65
2009-07-17,47,41.36
2009-07-24,47,42.37
2009-07-31,35,42.91
2009-08-07,32,46.69
2009-08-14,44,44.87
2009-08-21,35,45.87
2009-08-28,33,51.04
2009-09-04,35,49.15
2009-09-11,27,51.35
2009-09-18,58,53.02
2009-09-25,45,51.52
2009-10-02,41,51.4
2009-10-09,47,52.69
2009-10-16,39,53.19
2009-10-23,48,49.89
2009-10-30,45,47.8
2009-11-06,30,49.68
2009-11-13,34,50.68
2009-11-20,44,51.7
2009-11-27,28,52.45
2009-12-04,27,54.68
2009-12-11,42,55.6
2009-12-18,52,53.44
2010-01-08,63,61.6
2010-01-15,32,60.82
2010-01-22,51,57.77
2010-01-29,54,60.6
2010-02-05,41,58.4
2010-02-12,27,59.65
2010-02-19,49,63.59
2010-02-26,42,63.16
2010-03-05,54,67.93
2010-03-12,51,69.83
2010-03-19,29,70.72
2010-03-26,49,72.59
2010-04-09,49,72.42
2010-04-16,58,70.79
2010-04-23,38,75.13
2010-04-30,47,72.43
2010-05-07,34,66.72
2010-05-14,37,69.82
2010-05-21,59,64.56
2010-05-28,30,64.18
2010-06-04,52,61.15
2010-06-11,27,65.38
2010-06-18,31,67.96
2010-06-25,35,68.77
2010-07-02,46,61.94
2010-07-09,40,64.66
2010-07-16,28,61.9
2010-07-23,35,67.93
2010-07-30,33,68.14
2010-08-06,27,68.7
2010-08-13,28,64.84
2010-08-20,42,64.6
2010-08-27,42,63.16
2010-09-03,36,64.64
2010-09-10,31,63.84
2010-09-17,46,62.95
2010-09-24,26,64.6
2010-10-01,31,66.83
2010-10-08,33,69.23
2010-10-15,53,70.11
2010-10-22,48,71.26
2010-10-29,28,70.64
2010-11-05,34,71.27
2010-11-12,43,63.09
2010-11-19,26,63.59
2010-11-26,21,64.8
2010-12-03,20,66.54
2010-12-10,35,64.16
2010-12-17,32,65.03
2010-12-31,21,65.26
2011-01-07,31,69.38
2011-01-14,24,70.07
2011-01-21,52,71.68
2011-01-28,40,69.23
2011-02-04,43,71.38
2011-02-11,32,72.14
2011-02-18,47,73.04
2011-02-25,39,72.3
2011-03-04,35,71.8
2011-03-11,49,71.64
2011-03-18,32,69.1
2011-03-25,37,73.34
2011-04-01,27,74.01
2011-04-08,37,73.47
2011-04-15,58,72.6
2011-04-29,40,79.78
2011-05-06,42,79.31
2011-05-13,30,79.03
2011-05-20,35,77.52
2011-05-27,40,76.99
2011-06-03,34,74.84
2011-06-10,42,72.69
2011-06-17,37,74.16
2011-06-24,38,71.26
2011-07-01,33,74.27
2011-07-08,35,75.07
2011-07-15,31,71.28
2011-07-22,30,72.67
2011-07-29,30,70.47
2011-08-05,42,62.75
2011-08-12,23,61.75
2011-08-19,35,57.54
2011-08-26,33,62.8
2011-09-02,28,64.03
2011-09-09,37,61.79
2011-09-16,49,65.38
2011-09-23,61,59.51
2011-09-30,42,60.51
2011-10-07,51,61.81
2011-10-14,42,63.89
2011-10-21,37,64.59
2011-10-28,42,68.17
2011-11-04,37,65.8
2011-11-11,41,66.92
2011-11-18,42,67.46
2011-11-25,29,62.78
2011-12-02,36,71.3
2011-12-09,34,71.93
2011-12-16,37,71.01
2011-12-23,30,73.97
2011-12-30,24,73.35
2012-01-06,33,73.98
2012-01-13,35,74.6
2012-01-20,31,75.52
2012-01-27,34,74.55
2012-02-03,56,76.34
2012-02-10,40,74.95
2012-02-17,40,75.35
2012-02-24,57,76.06
2012-03-02,42,74.9
2012-03-09,31,73.29
2012-03-16,38,75.2
2012-03-23,29,73.97
2012-03-30,28,74.37
2012-04-13,32,72.92
2012-04-20,46,73.55
2012-04-27,33,77.27
2012-05-04,41,75.84
2012-05-11,46,73.56
2012-05-18,40,69.15
2012-05-25,35,70
2012-06-01,34,67.24
2012-06-08,42,69.94
2012-06-15,17,71.99
2012-06-22,30,71.96
2012-06-29,21,74.3
2012-07-06,31,73.69
2012-07-13,35,73.51
2012-07-20,36,73.89
2012-07-27,42,75.51
2012-08-03,34,72.81
2012-08-10,32,74.21
2012-08-17,26,73.91
2012-08-24,21,71.09
2012-08-31,36,71.4
2012-09-07,32,72.89
2012-09-14,50,71.28
2012-09-21,40,69.97
2012-09-28,43,69.6
2012-10-05,39,70.89
2012-10-12,45,71.85
2012-10-19,45,74.01
2012-10-26,45,71.11
2012-11-02,36,70.05
2012-11-09,32,73.25
2012-11-16,27,70.77
2012-11-23,38,73.74
2012-11-30,36,74.28
2012-12-07,35,74.64
2012-12-14,30,74.02
2012-12-21,37,76.17
2012-12-28,20,74.69
2013-01-04,20,77.69
2013-01-11,30,75.16
2013-01-18,33,75.04
2013-01-25,38,75.03
2013-02-01,44,74.87
2013-02-08,46,76.56
2013-02-15,30,75.03
2013-02-22,33,76.66
2013-03-01,36,77.28
2013-03-08,40,81.23
2013-03-15,34,86.43
2013-03-22,17,84.82
2013-04-05,35,86.17
2013-04-12,42,88.89
2013-04-19,37,87.96
2013-04-26,39,92.85
2013-05-03,38,93.74
2013-05-10,28,94.24
2013-05-17,26,98.92
2013-05-24,23,100
2013-05-31,42,99.02
2013-06-07,21,102.49
2013-06-14,24,101.83
2013-06-21,38,99.98
2013-06-28,26,102.44
2013-07-05,29,104.2
2013-07-12,38,101.87
2013-07-19,34,106.96
2013-07-26,28,105.6
2013-08-02,40,107.9
2013-08-09,19,105.33
2013-08-16,28,103.47
2013-08-23,20,105.48
2013-08-30,32,103.92
2013-09-06,31,106.07
2013-09-13,22,111.33
2013-09-20,48,116.63
2013-09-27,40,118.74
2013-10-04,29,117.2
2013-10-11,32,117.98
2013-10-18,34,122.52
2013-10-25,24,131.19
2013-11-01,33,133.03
2013-11-08,36,133.49
2013-11-15,43,136.08
2013-11-22,35,135.97
2013-11-29,31,134.25
2013-12-06,26,135.18
2013-12-13,27,133.83
2013-12-20,24,136.67
2013-12-27,16,136.9
2014-01-03,21,137.62
2014-01-10,25,141.9
2014-01-17,33,140.46
2014-01-24,29,136.65
2014-01-31,28,125.26
2014-02-07,33,127.02
2014-02-14,21,130.16
2014-02-21,28,128.28
2014-02-28,29,128.92
2014-03-07,28,128.54
2014-03-14,40,123.11
2014-03-21,35,122.58
2014-03-28,33,124.46
2014-04-04,33,127.38
2014-04-11,32,122.07
2014-04-25,29,128.66
