"Date","V","Price"
2010-08-27,49,71.11
2010-09-03,46,72.5
2010-09-10,49,68.09
2010-09-17,48,68.49
2010-09-24,51,72.37
2010-10-01,50,73.32
2010-10-08,49,74
2010-10-15,50,77.6
2010-10-22,49,79.29
2010-10-29,49,78.16
2010-11-05,51,79.8
2010-11-12,51,76.94
2010-11-19,50,77.05
2010-11-26,51,75.48
2010-12-03,50,77.35
2010-12-10,50,80.2
2010-12-17,49,66.9
2010-12-31,49,70.38
2011-01-07,54,72.96
2011-01-14,54,71.12
2011-01-21,52,70.15
2011-01-28,52,69.46
2011-02-04,52,72.9
2011-02-11,53,74.93
2011-02-18,54,75.83
2011-02-25,53,74.68
2011-03-04,59,74.69
2011-03-11,53,72.51
2011-03-18,52,71.42
2011-03-25,54,72.09
2011-04-01,54,74.22
2011-04-08,51,76.72
2011-04-15,52,76.47
2011-04-29,51,78.12
2011-05-06,53,79.41
2011-05-13,54,79.91
2011-05-20,52,78.23
2011-05-27,51,79.8
2011-06-03,49,79.13
2011-06-10,48,74.69
2011-06-17,48,74.43
2011-06-24,47,73.37
2011-07-01,48,87.97
2011-07-08,46,89.73
2011-07-15,47,88.75
2011-07-22,48,89.52
2011-07-29,49,85.54
2011-08-05,50,83.41
2011-08-12,52,83.83
2011-08-19,53,79.6
2011-08-26,53,85.85
2011-09-02,49,85.55
2011-09-09,51,86.35
2011-09-16,51,90.85
2011-09-23,51,90.08
2011-09-30,51,85.72
2011-10-07,52,86.25
2011-10-14,52,93.92
2011-10-21,54,93.43
2011-10-28,56,95.1
2011-11-04,61,92.64
2011-11-11,59,95.16
2011-11-18,58,90.81
2011-11-25,56,89.02
2011-12-02,56,97.2
2011-12-09,56,97.19
2011-12-16,54,97.44
2011-12-23,50,102.48
2011-12-30,54,101.53
2012-01-06,56,100.71
2012-01-13,57,100.74
2012-01-20,55,100.58
2012-01-27,59,101.05
2012-02-03,59,107.03
2012-02-10,58,113.9
2012-02-17,56,115.01
2012-02-24,54,117.54
2012-03-02,60,116.16
2012-03-09,56,117.17
2012-03-16,55,116.68
2012-03-23,54,118.78
2012-03-30,54,118
2012-04-13,55,123.16
2012-04-20,56,121.01
2012-04-27,54,123.52
2012-05-04,55,117.79
2012-05-11,55,117.92
2012-05-18,56,112.64
2012-05-25,52,119.37
2012-06-01,53,112.25
2012-06-08,54,116.58
2012-06-15,55,118.4
2012-06-22,53,124.95
2012-06-29,51,123.63
2012-07-06,49,125.28
2012-07-13,51,124.09
2012-07-20,51,125.75
2012-07-27,52,129.14
2012-08-03,50,130.98
2012-08-10,51,129.09
2012-08-17,54,128.69
2012-08-24,58,126.66
2012-08-31,54,128.25
2012-09-07,53,129.71
2012-09-14,54,134.25
2012-09-21,53,135
2012-09-28,52,134.28
2012-10-05,53,140.26
2012-10-12,51,139.12
2012-10-19,53,139.97
2012-10-26,53,138.31
2012-11-02,53,143.4
2012-11-09,55,142.93
2012-11-16,58,142.71
2012-11-23,54,148.12
2012-11-30,54,149.71
2012-12-07,52,148.55
2012-12-14,53,146.82
2012-12-21,51,150.77
2012-12-28,50,148.65
2013-01-04,54,156.77
2013-01-11,53,161.16
2013-01-18,52,158.27
2013-01-25,55,159.84
2013-02-01,54,158.56
2013-02-08,53,157.8
2013-02-15,56,157.99
2013-02-22,52,159.43
2013-03-01,57,158.08
2013-03-08,53,160.67
2013-03-15,54,158.55
2013-03-22,53,160.09
2013-04-05,52,165.16
2013-04-12,53,165.75
2013-04-19,50,163.96
2013-04-26,51,167.23
2013-05-03,54,179.54
2013-05-10,53,178.75
2013-05-17,52,184.57
2013-05-24,50,180.45
2013-05-31,52,178.14
2013-06-07,53,179.94
2013-06-14,51,180.93
2013-06-21,51,179.5
2013-06-28,50,182.75
2013-07-05,50,190.79
2013-07-12,50,190.72
2013-07-19,50,189.92
2013-07-26,51,193.2
2013-08-02,50,184
2013-08-09,50,179.81
2013-08-16,55,173.13
2013-08-23,54,179.1
2013-08-30,54,174.42
2013-09-06,53,176.67
2013-09-13,60,189
2013-09-20,100,198.83
2013-09-27,98,193.05
2013-10-04,90,190.48
2013-10-11,74,192.2
2013-10-18,74,200.45
2013-10-25,68,203.06
2013-11-01,66,199.16
2013-11-08,65,198.29
2013-11-15,63,202
2013-11-22,62,202.12
2013-11-29,60,203.46
2013-12-06,59,201.87
2013-12-13,59,207.36
2013-12-20,56,215.97
2013-12-27,61,219.67
2014-01-03,62,221.16
2014-01-10,60,221.13
2014-01-17,59,232.18
2014-01-24,59,221.25
2014-01-31,59,215.43
2014-02-07,59,221.78
2014-02-14,58,226
2014-02-21,58,223.36
2014-02-28,59,225.94
2014-03-07,60,225.56
2014-03-14,56,220.77
2014-03-21,57,223.37
2014-03-28,57,212.09
2014-04-04,55,207.7
2014-04-11,56,196.63
2014-04-25,57,198.93
