"Date","Chevron.Corporation","Price"
2009-08-07,46,69.5
2009-08-14,36,68.63
2009-08-21,46,69.73
2009-08-28,64,70.68
2009-09-04,46,68.96
2009-09-11,52,70.75
2009-09-18,55,72.64
2009-09-25,59,70.66
2009-10-02,32,68.14
2009-10-09,48,72.76
2009-10-16,44,76.81
2009-10-23,67,76.68
2009-10-30,45,76.54
2009-11-06,35,77.53
2009-11-13,35,77.94
2009-11-20,38,76.77
2009-11-27,52,78.17
2009-12-04,65,78.07
2009-12-11,57,77.76
2009-12-18,30,76.9
2010-01-08,59,79.47
2010-01-15,45,79.23
2010-01-22,53,74.59
2010-01-29,55,72.12
2010-02-05,38,71.18
2010-02-12,52,71.01
2010-02-19,65,74.05
2010-02-26,54,72.3
2010-03-05,38,74.3
2010-03-12,35,73.72
2010-03-19,52,74.98
2010-03-26,65,74.43
2010-04-09,34,79.5
2010-04-16,38,80.75
2010-04-23,46,82.67
2010-04-30,60,81.44
2010-05-07,33,77.1
2010-05-14,45,77.83
2010-05-21,39,74.48
2010-05-28,45,73.87
2010-06-04,40,71.28
2010-06-11,36,74.06
2010-06-18,34,75.52
2010-06-25,39,70.06
2010-07-02,50,67.31
2010-07-09,30,71.84
2010-07-16,29,71.5
2010-07-23,29,73.52
2010-07-30,45,76.21
2010-08-06,43,78.73
2010-08-13,47,77.4
2010-08-20,43,75.05
2010-08-27,33,74.93
2010-09-03,32,78
2010-09-10,39,78.82
2010-09-17,46,78.46
2010-09-24,46,80.12
2010-10-01,54,81.95
2010-10-08,38,83.94
2010-10-15,62,83.61
2010-10-22,25,84.55
2010-10-29,51,82.6
2010-11-05,34,84.98
2010-11-12,57,85.44
2010-11-19,25,83.94
2010-11-26,46,82.05
2010-12-03,40,84.89
2010-12-10,45,87.03
2010-12-17,36,88.49
2010-12-31,32,91.25
2011-01-07,38,91.19
2011-01-14,49,92.83
2011-01-21,40,93.78
2011-01-28,34,93.37
2011-02-04,46,97.11
2011-02-11,35,96.45
2011-02-18,33,98.72
2011-02-25,45,102.1
2011-03-04,20,103.75
2011-03-11,37,99.93
2011-03-18,41,102.8
2011-03-25,45,106.78
2011-04-01,39,108.32
2011-04-08,29,109.66
2011-04-15,52,106.24
2011-04-29,32,109.44
2011-05-06,55,102.88
2011-05-13,37,102.39
2011-05-20,35,102.57
2011-05-27,35,103.21
2011-06-03,42,101
2011-06-10,26,99.67
2011-06-17,27,99.17
2011-06-24,28,97.9
2011-07-01,45,104.09
2011-07-08,31,105.89
2011-07-15,37,106.19
2011-07-22,32,108.97
2011-07-29,47,104.02
2011-08-05,22,97.61
2011-08-12,28,95.86
2011-08-19,46,93.29
2011-08-26,39,96.85
2011-09-02,32,96.41
2011-09-09,24,95.19
2011-09-16,35,99.63
2011-09-23,26,90.01
2011-09-30,24,92.59
2011-10-07,25,94.4
2011-10-14,38,100.47
2011-10-21,35,105.53
2011-10-28,45,109.64
2011-11-04,18,106.43
2011-11-11,20,107.05
2011-11-18,23,97.88
2011-11-25,30,92.29
2011-12-02,31,101.69
2011-12-09,36,104.25
2011-12-16,24,100.86
2011-12-23,35,107.5
2011-12-30,30,106.4
2012-01-06,30,108.31
2012-01-13,51,106.09
2012-01-20,29,106.89
2012-01-27,39,103.96
2012-02-03,23,105.5
2012-02-10,29,105.28
2012-02-17,36,106.66
2012-02-24,52,109.08
2012-03-02,28,109.61
2012-03-09,26,109.57
2012-03-16,32,110.28
2012-03-23,39,106.36
2012-03-30,53,107.21
2012-04-13,33,100.78
2012-04-20,46,102.52
2012-04-27,44,106.2
2012-05-04,19,103.72
2012-05-11,34,102.69
2012-05-18,27,98.46
2012-05-25,61,98.86
2012-06-01,46,96.41
2012-06-08,44,100.84
2012-06-15,31,104.33
2012-06-22,38,100.44
2012-06-29,41,105.5
2012-07-06,27,105.07
2012-07-13,32,106.01
2012-07-20,33,109.19
2012-07-27,51,109.26
2012-08-03,34,111.12
2012-08-10,29,113.55
2012-08-17,32,112.66
2012-08-24,42,112.01
2012-08-31,45,112.16
2012-09-07,41,114
2012-09-14,41,117.25
2012-09-21,31,117.8
2012-09-28,45,116.56
2012-10-05,28,117.5
2012-10-12,26,112.07
2012-10-19,29,113.38
2012-10-26,42,111.18
2012-11-02,41,108.37
2012-11-09,33,105.84
2012-11-16,20,102.4
2012-11-23,37,105.47
2012-11-30,25,105.69
2012-12-07,36,106.99
2012-12-14,31,107.82
2012-12-21,30,109.71
2012-12-28,17,106.45
2013-01-04,17,110.5
2013-01-11,23,111.73
2013-01-18,22,115.24
2013-01-25,28,116.2
2013-02-01,29,116.5
2013-02-08,42,115.64
2013-02-15,26,114.96
2013-02-22,36,115.96
2013-03-01,38,116.9
2013-03-08,47,118.57
2013-03-15,36,119.68
2013-03-22,32,121.18
2013-04-05,17,117.52
2013-04-12,38,119.94
2013-04-19,34,115.9
2013-04-26,37,120.04
2013-05-03,42,123.49
2013-05-10,38,123.23
2013-05-17,29,123.42
2013-05-24,32,125.45
2013-05-31,29,122.75
2013-06-07,24,121.7
2013-06-14,31,120.28
2013-06-21,31,118.93
2013-06-28,26,118.34
2013-07-05,25,120.51
2013-07-12,27,124.06
2013-07-19,23,126.91
2013-07-26,37,127.56
2013-08-02,25,124.95
2013-08-09,34,122.5
2013-08-16,21,119.88
2013-08-23,28,119.53
2013-08-30,38,120.43
2013-09-06,18,121.21
2013-09-13,30,124.14
2013-09-20,40,124.92
2013-09-27,34,122.64
2013-10-04,25,118.13
2013-10-11,25,117.67
2013-10-18,23,119.65
2013-10-25,29,120.59
2013-11-01,31,118.01
2013-11-08,26,121.19
2013-11-15,25,120.06
2013-11-22,27,124.03
2013-11-29,24,122.44
2013-12-06,36,122.29
2013-12-13,34,119.9
2013-12-20,20,122.78
2013-12-27,16,125.23
2014-01-03,23,124.35
2014-01-10,26,121.01
2014-01-17,34,119.29
2014-01-24,41,116.29
2014-01-31,37,111.63
2014-02-07,41,112.05
2014-02-14,36,113.48
2014-02-21,33,112.68
2014-02-28,40,115.33
2014-03-07,36,115.08
2014-03-14,28,114.1
2014-03-21,25,115.63
2014-03-28,26,118.5
2014-04-04,29,118.8
2014-04-11,32,117.03
2014-04-25,28,123.99
