"Date","HD","Price"
2013-10-18,81,74.69
2013-10-25,79,76.25
2013-11-01,83,76.99
2013-11-08,79,75.48
2013-11-15,82,80.03
2013-11-22,81,79.18
2013-11-29,87,80.67
2013-12-06,85,79.84
2013-12-13,87,79.01
2013-12-20,87,80.04
2013-12-27,100,81.64
2014-01-03,99,81.89
2014-01-10,91,82.01
2014-01-17,89,81
2014-01-24,88,79.16
2014-01-31,86,76.85
2014-02-07,85,76.45
2014-02-14,84,77.93
2014-02-21,81,77.74
2014-02-28,81,82.03
2014-03-07,87,82.55
2014-03-14,83,79.38
2014-03-21,82,80.42
2014-03-28,84,78.72
2014-04-04,86,78.72
2014-04-11,87,75.7
2014-04-25,86,79.38
