"Date","buy.GS","Price"
2009-05-15,36,134.4
2009-05-22,38,136.35
2009-05-29,50,144.57
2009-06-05,40,149.01
2009-06-12,52,145.64
2009-06-19,54,143.13
2009-06-26,66,146.74
2009-07-10,72,141.87
2009-07-17,39,156.84
2009-07-24,44,164.72
2009-07-31,51,163.3
2009-08-07,37,163.65
2009-08-14,34,162.73
2009-08-21,48,163.51
2009-08-28,62,164.42
2009-09-04,45,162.97
2009-09-11,47,174.7
2009-09-18,57,183.18
2009-09-25,56,179.5
2009-10-02,45,179.61
2009-10-09,61,189.3
2009-10-16,34,184.37
2009-10-23,48,180.36
2009-10-30,33,170.17
2009-11-06,41,171.78
2009-11-13,53,176.76
2009-11-20,22,170.01
2009-11-27,48,164.16
2009-12-04,32,167.24
2009-12-11,57,166
2009-12-18,33,163.19
2010-01-08,44,174.31
2010-01-15,35,165.21
2010-01-22,48,154.12
2010-01-29,28,148.72
2010-02-05,36,154.16
2010-02-12,47,153.93
2010-02-19,41,156.18
2010-02-26,35,156.35
2010-03-05,45,167.18
2010-03-12,41,174.96
2010-03-19,35,177.9
2010-03-26,26,172.87
2010-04-09,31,179.12
2010-04-16,43,160.7
2010-04-23,37,157.4
2010-04-30,54,145.2
2010-05-07,47,142.99
2010-05-14,38,143.23
2010-05-21,40,140.62
2010-05-28,39,144.26
2010-06-04,43,142.25
2010-06-11,31,135.64
2010-06-18,35,138.18
2010-06-25,39,139.66
2010-07-02,44,131.08
2010-07-09,41,138.06
2010-07-16,43,146.17
2010-07-23,46,147.38
2010-07-30,43,150.82
2010-08-06,37,155.18
2010-08-13,25,148.08
2010-08-20,40,148.24
2010-08-27,26,139.75
2010-09-03,37,147.29
2010-09-10,48,150.39
2010-09-17,28,150.98
2010-09-24,38,147.28
2010-10-01,40,147.7
2010-10-08,23,152.66
2010-10-15,33,150.69
2010-10-22,24,157.76
2010-10-29,38,161.13
2010-11-05,33,171.07
2010-11-12,29,165.83
2010-11-19,55,166.67
2010-11-26,37,158.22
2010-12-03,42,162.31
2010-12-10,45,168.47
2010-12-17,25,164.04
2010-12-31,51,168.16
2011-01-07,34,170.69
2011-01-14,32,175
2011-01-21,43,166.2
2011-01-28,33,161.77
2011-02-04,31,164.83
2011-02-11,31,166.66
2011-02-18,38,168.04
2011-02-25,49,165.12
2011-03-04,29,161
2011-03-11,29,160.68
2011-03-18,50,159.96
2011-03-25,42,157.97
2011-04-01,27,160.23
2011-04-08,38,160.96
2011-04-15,27,155.13
2011-04-29,25,151.01
2011-05-06,37,150.1
2011-05-13,34,141.46
2011-05-20,47,134.99
2011-05-27,46,138.66
2011-06-03,36,135.33
2011-06-10,36,135.92
2011-06-17,21,137.23
2011-06-24,45,130.91
2011-07-01,32,136.65
2011-07-08,29,134.08
2011-07-15,35,130.16
2011-07-22,28,135.49
2011-07-29,32,134.97
2011-08-05,34,125.18
2011-08-12,38,116.47
2011-08-19,37,111.76
2011-08-26,36,111.75
2011-09-02,38,107.06
2011-09-09,42,102.25
2011-09-16,33,107.49
2011-09-23,39,95.18
2011-09-30,29,94.55
2011-10-07,26,92.69
2011-10-14,23,96.73
2011-10-21,26,102.09
2011-10-28,28,115.86
2011-11-04,43,105.04
2011-11-11,26,101.66
2011-11-18,30,91.91
2011-11-25,28,88.75
2011-12-02,34,97.25
2011-12-09,29,101.45
2011-12-16,22,90.1
2011-12-23,25,93.79
2011-12-30,38,90.43
2012-01-06,35,93.42
2012-01-13,28,98.96
2012-01-20,49,108.74
2012-01-27,29,111.77
2012-02-03,39,117.53
2012-02-10,31,114.12
2012-02-17,42,115.91
2012-02-24,26,115.87
2012-03-02,31,119.96
2012-03-09,31,117.29
2012-03-16,25,122.93
2012-03-23,39,126.18
2012-03-30,28,124.37
2012-04-13,37,115.09
2012-04-20,27,112.44
2012-04-27,28,114.41
2012-05-04,33,108.99
2012-05-11,29,102.13
2012-05-18,33,95.49
2012-05-25,19,96.7
2012-06-01,39,92.64
2012-06-08,28,94.54
2012-06-15,33,95.66
2012-06-22,32,93.63
2012-06-29,26,95.86
2012-07-06,31,95.47
2012-07-13,53,97.43
2012-07-20,47,94.16
2012-07-27,37,101.64
2012-08-03,47,100.98
2012-08-10,45,103.02
2012-08-17,54,103.6
2012-08-24,39,104.96
2012-08-31,46,105.72
2012-09-07,45,116.33
2012-09-14,43,121.36
2012-09-21,42,116.72
2012-09-28,27,113.68
2012-10-05,35,119.31
2012-10-12,35,120.2
2012-10-19,28,123.62
2012-10-26,30,119.44
2012-11-02,25,123.25
2012-11-09,36,116.15
2012-11-16,29,115.84
2012-11-23,48,120.31
2012-11-30,39,117.79
2012-12-07,45,116.57
2012-12-14,38,119.36
2012-12-21,43,128.44
2012-12-28,28,125.52
2013-01-04,41,134.51
2013-01-11,33,137.13
2013-01-18,43,144.45
2013-01-25,34,144.46
2013-02-01,32,149.9
2013-02-08,28,151.6
2013-02-15,48,154.99
2013-02-22,29,154.09
2013-03-01,44,150.53
2013-03-08,38,152.98
2013-03-15,45,154.84
2013-03-22,24,146.6
2013-04-05,30,143.69
2013-04-12,32,149.12
2013-04-19,24,138.72
2013-04-26,34,144.11
2013-05-03,26,145.37
2013-05-10,32,149.1
2013-05-17,37,158.18
2013-05-24,34,158.72
2013-05-31,28,162.08
2013-06-07,49,166.01
2013-06-14,30,162.92
2013-06-21,32,154.25
2013-06-28,30,151.25
2013-07-05,32,153.24
2013-07-12,32,160.11
2013-07-19,31,164.36
2013-07-26,32,165.26
2013-08-02,42,167.62
2013-08-09,47,162.13
2013-08-16,40,160.66
2013-08-23,33,158.65
2013-08-30,30,152.13
2013-09-06,26,156.66
2013-09-13,32,164
2013-09-20,25,169.75
2013-09-27,28,159.85
2013-10-04,26,156.55
2013-10-11,32,160
2013-10-18,25,158.69
2013-10-25,25,162.09
2013-11-01,35,162.05
2013-11-08,38,163.17
2013-11-15,29,164.4
2013-11-22,32,168.1
2013-11-29,33,168.94
2013-12-06,36,167.21
2013-12-13,33,168.39
2013-12-20,40,175.16
2013-12-27,49,176.35
2014-01-03,35,178.15
2014-01-10,28,178.39
2014-01-17,36,176.28
2014-01-24,34,167.64
2014-01-31,31,164.12
2014-02-07,37,161.93
2014-02-14,28,163.72
2014-02-21,26,164.5
2014-02-28,33,166.45
2014-03-07,32,174.26
2014-03-14,39,165.35
2014-03-21,32,166.95
2014-03-28,22,162.3
2014-04-04,32,163.24
2014-04-11,29,152.72
2014-04-25,39,158.24
