"Date","Exxon.Mobil.Corporation","Price"
2013-12-06,29,95.65
2013-12-13,26,95.31
2013-12-20,26,98.68
2013-12-27,20,101.51
2014-01-03,20,99.51
2014-01-10,20,100.52
2014-01-17,26,99.16
2014-01-24,26,94.85
2014-01-31,17,92.16
2014-02-07,23,90.58
2014-02-14,29,94.11
2014-02-21,34,95.03
2014-02-28,26,96.27
2014-03-07,35,94.99
2014-03-14,33,93.47
2014-03-21,28,94.31
2014-03-28,40,97.7
2014-04-04,34,97.36
2014-04-11,26,96.72
2014-04-25,25,100.41
