"Date","NEE","Price"
2007-01-26,48,56
2007-02-02,36,57.65
2007-02-09,38,58.95
2007-02-16,35,59.24
2007-02-23,36,59.64
2007-03-02,34,57.95
2007-03-09,41,58
2007-03-16,34,59.6
2007-03-23,36,61.69
2007-03-30,34,61.17
2007-04-13,38,60.47
2007-04-20,35,62.25
2007-04-27,36,63.9
2007-05-04,34,63.96
2007-05-11,39,64.59
2007-05-18,84,65.07
2007-05-25,55,62.58
2007-06-01,53,63.34
2007-06-08,46,58.51
2007-06-15,50,61.3
2007-06-22,41,57.98
2007-06-29,40,56.74
2007-07-06,36,56.5
2007-07-13,36,57.46
2007-07-20,37,58.62
2007-07-27,38,54.92
2007-08-03,39,57.11
2007-08-10,33,60.2
2007-08-17,36,60
2007-08-24,35,60
2007-08-31,39,58.84
2007-09-07,34,58.59
2007-09-14,35,61.39
2007-09-21,40,63.1
2007-09-28,35,60.88
2007-10-05,33,62.83
2007-10-12,39,63.54
2007-10-19,35,60.69
2007-10-26,36,66.63
2007-11-02,37,66.59
2007-11-09,39,68.89
2007-11-16,41,67.97
2007-11-23,42,68.49
2007-11-30,43,69.76
2007-12-07,43,71.2
2007-12-14,41,69.39
2007-12-21,37,68.38
2007-12-28,39,68.62
2008-01-04,48,68.82
2008-01-11,42,71.26
2008-01-18,38,63.7
2008-01-25,39,61.07
2008-02-01,39,65.33
2008-02-08,42,63.23
2008-02-15,48,64.69
2008-02-22,37,64.58
2008-02-29,39,60.29
2008-03-07,41,60.29
2008-03-14,40,61.44
2008-03-28,38,61.96
2008-04-04,48,65.95
2008-04-11,63,64.84
2008-04-18,58,66.44
2008-04-25,51,66.63
2008-05-02,45,68.45
2008-05-09,48,65.24
2008-05-16,44,64.37
2008-05-23,42,65.48
2008-05-30,45,67.52
2008-06-06,44,64.01
2008-06-13,42,67.42
2008-06-20,42,66.41
2008-06-27,45,63.52
2008-07-11,41,67.91
2008-07-18,41,65.21
2008-07-25,42,63.07
2008-08-01,41,61.24
2008-08-08,40,60.05
2008-08-15,39,59.73
2008-08-22,37,61.41
2008-08-29,39,60.06
2008-09-05,37,55.06
2008-09-12,37,55.98
2008-09-19,41,55.97
2008-09-26,38,55.32
2008-10-03,44,48.4
2008-10-10,39,37.08
2008-10-17,41,41.82
2008-10-24,42,43.2
2008-10-31,37,47.24
2008-11-07,39,46.92
2008-11-14,38,47.3
2008-11-21,39,48.37
2008-11-28,39,48.76
2008-12-05,38,46.35
2008-12-12,39,46.29
2008-12-19,38,50.39
2008-12-26,39,50.01
2009-01-02,46,51.66
2009-01-09,42,50.02
2009-01-16,41,49.83
2009-01-23,43,47.95
2009-01-30,45,51.55
2009-02-06,40,52.36
2009-02-13,42,50.91
2009-02-20,40,48.99
2009-02-27,43,45.33
2009-03-06,43,42.82
2009-03-13,40,45.21
2009-03-20,38,49.35
2009-03-27,40,50.49
2009-04-03,42,52.87
2009-04-17,41,50.98
2009-04-24,40,50.52
2009-05-01,42,56.05
2009-05-08,41,57.16
2009-05-15,43,54.44
2009-05-22,41,53.51
2009-05-29,46,56.53
2009-06-05,42,55.08
2009-06-12,45,57.39
2009-06-19,44,57.05
2009-06-26,40,56.69
2009-07-10,45,54.3
2009-07-17,43,56.82
2009-07-24,45,60.05
2009-07-31,45,56.67
2009-08-07,42,56.82
2009-08-14,45,56.82
2009-08-21,47,58.03
2009-08-28,44,56.4
2009-09-04,43,55.13
2009-09-11,42,53.42
2009-09-18,45,55.03
2009-09-25,43,54.39
2009-10-02,42,53.23
2009-10-09,44,53.1
2009-10-16,45,53.5
2009-10-23,45,52.63
2009-10-30,46,49.1
2009-11-06,46,49.76
2009-11-13,46,51.14
2009-11-20,44,51.11
2009-11-27,48,51.58
2009-12-04,43,52.75
2009-12-11,43,56.25
2009-12-18,45,54.62
2010-01-08,43,52.64
2010-01-15,44,50.55
2010-01-22,44,48.14
2010-01-29,44,48.76
2010-02-05,43,47.4
2010-02-12,41,45.57
2010-02-19,42,46.88
2010-02-26,47,46.37
2010-03-05,44,47.65
2010-03-12,43,47.07
2010-03-19,58,48.16
2010-03-26,59,47.81
2010-04-09,60,49.71
2010-04-16,54,48.43
2010-04-23,61,51.3
2010-04-30,61,52.05
2010-05-07,63,51.22
2010-05-14,63,52.71
2010-05-21,67,50.59
2010-05-28,66,49.93
2010-06-04,68,48.63
2010-06-11,71,50
2010-06-18,67,52.51
2010-06-25,70,49.22
2010-07-02,72,48.96
2010-07-09,71,51.43
2010-07-16,72,52.61
2010-07-23,67,52.81
2010-07-30,69,52.3
2010-08-06,69,53.71
2010-08-13,69,52.02
2010-08-20,72,53.29
2010-08-27,66,53.89
2010-09-03,71,54.64
2010-09-10,74,55.16
2010-09-17,71,53.76
2010-09-24,75,54.5
2010-10-01,73,54.41
2010-10-08,72,54.92
2010-10-15,59,55.32
2010-10-22,54,55.45
2010-10-29,56,55.04
2010-11-05,55,54.73
2010-11-12,57,53.63
2010-11-19,57,51.97
2010-11-26,55,50.78
2010-12-03,56,51.1
2010-12-10,53,52
2010-12-17,51,51.67
2010-12-31,59,51.99
2011-01-07,59,52.22
2011-01-14,55,54.15
2011-01-21,57,54.42
2011-01-28,55,54.03
2011-02-04,52,54.74
2011-02-11,56,55.06
2011-02-18,53,54.59
2011-02-25,55,54.69
2011-03-04,51,54.75
2011-03-11,53,55.69
2011-03-18,55,52.76
2011-03-25,53,54.1
2011-04-01,60,55.93
2011-04-08,61,56
2011-04-15,52,55.12
2011-04-29,55,56.57
2011-05-06,53,57.39
2011-05-13,58,58.64
2011-05-20,59,57.78
2011-05-27,55,57.35
2011-06-03,54,55.68
2011-06-10,55,55.49
2011-06-17,57,56.63
2011-06-24,57,56.61
2011-07-01,64,58.18
2011-07-08,59,57.7
2011-07-15,57,56.8
2011-07-22,57,57.46
2011-07-29,56,55.25
2011-08-05,56,52.81
2011-08-12,57,52.69
2011-08-19,60,54.29
2011-08-26,56,55.41
2011-09-02,55,55.63
2011-09-09,58,53.6
2011-09-16,56,55.28
2011-09-23,58,53.81
2011-09-30,57,54.02
2011-10-07,59,54.2
2011-10-14,56,54.86
2011-10-21,60,55.87
2011-10-28,56,57.04
2011-11-04,57,56.44
2011-11-11,60,55.82
2011-11-18,56,55.53
2011-11-25,62,52.57
2011-12-02,60,55.76
2011-12-09,58,57.48
2011-12-16,58,57.87
2011-12-23,59,60.25
2011-12-30,70,60.88
2012-01-06,71,58.92
2012-01-13,72,59.12
2012-01-20,66,59.31
2012-01-27,65,59.92
2012-02-03,66,60.21
2012-02-10,64,60.36
2012-02-17,72,60.22
2012-02-24,71,60.77
2012-03-02,66,59.8
2012-03-09,67,60.01
2012-03-16,65,60.16
2012-03-23,67,60.4
2012-03-30,70,61.08
2012-04-13,77,62.08
2012-04-20,75,63.46
2012-04-27,73,64.54
2012-05-04,71,63.57
2012-05-11,68,65.17
2012-05-18,68,65
2012-05-25,68,65.33
2012-06-01,65,64.59
2012-06-08,67,66.94
2012-06-15,64,67.77
2012-06-22,69,66.62
2012-06-29,66,68.81
2012-07-06,67,68.3
2012-07-13,68,69.33
2012-07-20,72,70.49
2012-07-27,72,71.09
2012-08-03,70,70.87
2012-08-10,74,69.8
2012-08-17,74,69.6
2012-08-24,77,67.84
2012-08-31,79,67.31
2012-09-07,85,67.65
2012-09-14,79,67.79
2012-09-21,76,68.63
2012-09-28,72,70.33
2012-10-05,69,70.83
2012-10-12,65,69.37
2012-10-19,67,71.72
2012-10-26,70,69.52
2012-11-02,68,69.73
2012-11-09,67,67.38
2012-11-16,65,67.35
2012-11-23,64,67.2
2012-11-30,65,68.71
2012-12-07,66,69.37
2012-12-14,75,69.47
2012-12-21,78,69.96
2012-12-28,83,68.25
2013-01-04,85,70.88
2013-01-11,76,71.78
2013-01-18,74,71.55
2013-01-25,71,72.5
2013-02-01,68,72.28
2013-02-08,73,72.1
2013-02-15,67,72.5
2013-02-22,71,72.75
2013-03-01,72,72.36
2013-03-08,68,74.16
2013-03-15,75,74.47
2013-03-22,72,76.17
2013-04-05,64,79.54
2013-04-12,68,79.49
2013-04-19,69,80.08
2013-04-26,70,80.54
2013-05-03,71,81.75
2013-05-10,70,80
2013-05-17,66,81.1
2013-05-24,68,77.3
2013-05-31,67,75.62
2013-06-07,68,78.8
2013-06-14,69,79.73
2013-06-21,71,78.33
2013-06-28,69,81.48
2013-07-05,74,79.93
2013-07-12,71,84.01
2013-07-19,73,84.96
2013-07-26,73,83.95
2013-08-02,75,87.94
2013-08-09,76,86.26
2013-08-16,75,82.15
2013-08-23,74,81.41
2013-08-30,72,80.36
2013-09-06,69,80.01
2013-09-13,73,79.22
2013-09-20,73,80.69
2013-09-27,74,80.07
2013-10-04,76,79.65
2013-10-11,75,81.75
2013-10-18,77,83.54
2013-10-25,76,85.95
2013-11-01,73,88.14
2013-11-08,74,87.12
2013-11-15,77,88.57
2013-11-22,75,86.59
2013-11-29,79,84.59
2013-12-06,73,84.63
2013-12-13,73,82.71
2013-12-20,76,84.82
2013-12-27,83,84.7
2014-01-03,100,84.36
2014-01-10,81,87.25
2014-01-17,76,87.66
2014-01-24,75,87.06
2014-01-31,79,91.93
2014-02-07,76,90.61
2014-02-14,75,93.27
2014-02-21,80,92.56
2014-02-28,78,91.39
2014-03-07,77,91.8
2014-03-14,78,94.26
2014-03-21,82,94.57
2014-03-28,78,94.72
2014-04-04,78,95.01
2014-04-11,79,95.15
2014-04-25,82,97.67
