"Date","EIX","Price"
2006-10-27,52,44.12
2006-11-03,50,44.32
2006-11-10,51,45.34
2006-11-17,38,46.7
2006-11-24,63,46.05
2006-12-01,41,46.2
2006-12-08,60,46.87
2006-12-15,40,44.98
2006-12-22,45,45.54
2006-12-29,69,45.48
2007-01-05,46,43.98
2007-01-12,50,42.95
2007-01-19,35,43.55
2007-01-26,37,44.56
2007-02-02,39,45.43
2007-02-09,49,46.16
2007-02-16,42,46.48
2007-02-23,42,46.97
2007-03-02,61,47.31
2007-03-09,29,48.94
2007-03-16,50,48.38
2007-03-23,63,50.24
2007-03-30,47,49.13
2007-04-13,62,51.03
2007-04-20,49,52.15
2007-04-27,37,52.84
2007-05-04,68,53.94
2007-05-11,45,56.7
2007-05-18,61,58.86
2007-05-25,51,56.76
2007-06-01,49,58.24
2007-06-08,57,54.76
2007-06-15,51,56.23
2007-06-22,34,53.62
2007-06-29,58,56.12
2007-07-06,46,56.5
2007-07-13,71,58.21
2007-07-20,47,57.87
2007-07-27,59,52.7
2007-08-03,54,53.45
2007-08-10,61,53.14
2007-08-17,31,53.33
2007-08-24,47,54.8
2007-08-31,43,52.71
2007-09-07,39,52.91
2007-09-14,24,55.33
2007-09-21,41,57.24
2007-09-28,51,55.45
2007-10-05,36,56.63
2007-10-12,43,56.52
2007-10-19,44,54.16
2007-10-26,41,56.64
2007-11-02,67,57.42
2007-11-09,43,56.65
2007-11-16,39,54.6
2007-11-23,49,54.53
2007-11-30,47,55.98
2007-12-07,52,57.4
2007-12-14,25,55.14
2007-12-21,45,55.62
2007-12-28,59,54.07
2008-01-04,33,53.38
2008-01-11,54,54.61
2008-01-18,42,50.67
2008-01-25,46,49.99
2008-02-01,40,53.47
2008-02-08,46,51.14
2008-02-15,46,51.84
2008-02-22,46,51.37
2008-02-29,40,49.4
2008-03-07,37,49.65
2008-03-14,49,48.91
2008-03-28,44,48.99
2008-04-04,39,51.18
2008-04-11,44,50.93
2008-04-18,52,53.31
2008-04-25,41,52.9
2008-05-02,56,53
2008-05-09,46,51.7
2008-05-16,42,52.98
2008-05-23,49,52.03
2008-05-30,40,53.23
2008-06-06,44,51.27
2008-06-13,51,52.84
2008-06-20,45,51.4
2008-06-27,49,49.92
2008-07-11,38,51.74
2008-07-18,64,49.8
2008-07-25,44,47.67
2008-08-01,40,46.8
2008-08-08,38,46.68
2008-08-15,43,44.73
2008-08-22,39,46.32
2008-08-29,53,45.92
2008-09-05,34,42.76
2008-09-12,47,42.51
2008-09-19,57,40.04
2008-09-26,37,40.09
2008-10-03,42,39.49
2008-10-10,59,30.24
2008-10-17,48,32.76
2008-10-24,47,32.39
2008-10-31,37,35.59
2008-11-07,35,35.23
2008-11-14,38,33.47
2008-11-21,34,31.57
2008-11-28,51,33.4
2008-12-05,50,31.41
2008-12-12,32,32.43
2008-12-19,38,31.19
2008-12-26,48,31.1
2009-01-02,39,33.03
2009-01-09,32,31.81
2009-01-16,41,33.23
2009-01-23,36,32.21
2009-01-30,39,32.57
2009-02-06,38,33.28
2009-02-13,39,31.2
2009-02-20,33,27.77
2009-02-27,37,27.22
2009-03-06,49,23.73
2009-03-13,43,27.59
2009-03-20,44,28.53
2009-03-27,42,28.94
2009-04-03,52,29.52
2009-04-17,43,28.07
2009-04-24,40,28.16
2009-05-01,42,29.3
2009-05-08,39,30.27
2009-05-15,41,28.36
2009-05-22,36,28.8
2009-05-29,36,29.24
2009-06-05,49,29.79
2009-06-12,47,32.49
2009-06-19,33,31.65
2009-06-26,37,31.29
2009-07-10,48,30.09
2009-07-17,52,31.03
2009-07-24,44,32.93
2009-07-31,32,32.32
2009-08-07,36,31.8
2009-08-14,44,32.24
2009-08-21,34,34
2009-08-28,39,33.7
2009-09-04,41,33.12
2009-09-11,35,33.55
2009-09-18,39,34.99
2009-09-25,37,34.14
2009-10-02,41,32.52
2009-10-09,42,33.1
2009-10-16,50,33.5
2009-10-23,37,32.64
2009-10-30,36,31.82
2009-11-06,40,33.19
2009-11-13,37,33.32
2009-11-20,48,33.04
2009-11-27,47,33.81
2009-12-04,40,34.84
2009-12-11,35,36.24
2009-12-18,33,35.36
2010-01-08,48,34.5
2010-01-15,34,35.24
2010-01-22,42,33.87
2010-01-29,43,33.32
2010-02-05,39,32.46
2010-02-12,31,32.59
2010-02-19,40,34.24
2010-02-26,43,32.63
2010-03-05,42,33.78
2010-03-12,49,33.79
2010-03-19,40,34.41
2010-03-26,32,34.02
2010-04-09,40,34.22
2010-04-16,41,33.93
2010-04-23,42,34.37
2010-04-30,28,34.37
2010-05-07,38,33.03
2010-05-14,41,33.66
2010-05-21,40,31.71
2010-05-28,31,32.36
2010-06-04,38,31.88
2010-06-11,46,32.77
2010-06-18,33,34.35
2010-06-25,34,32.68
2010-07-02,47,31.13
2010-07-09,41,33.06
2010-07-16,37,32.55
2010-07-23,43,32.91
2010-07-30,39,33.15
2010-08-06,36,34
2010-08-13,35,33.94
2010-08-20,41,33.86
2010-08-27,45,33.98
2010-09-03,38,34.88
2010-09-10,41,34.39
2010-09-17,38,33.85
2010-09-24,40,34.69
2010-10-01,38,34.63
2010-10-08,38,35.2
2010-10-15,37,35.62
2010-10-22,30,35.99
2010-10-29,39,36.9
2010-11-05,39,38.22
2010-11-12,37,37.57
2010-11-19,34,37.85
2010-11-26,39,37.06
2010-12-03,37,38.07
2010-12-10,47,38.18
2010-12-17,36,38.68
2010-12-31,44,38.6
2011-01-07,41,38.74
2011-01-14,38,37.78
2011-01-21,32,37.39
2011-01-28,38,36.31
2011-02-04,37,36.75
2011-02-11,39,37.02
2011-02-18,39,36.68
2011-02-25,36,36.01
2011-03-04,39,37.45
2011-03-11,43,37.76
2011-03-18,38,35.71
2011-03-25,36,36.62
2011-04-01,36,37.05
2011-04-08,38,37.27
2011-04-15,32,38.72
2011-04-29,43,39.27
2011-05-06,42,39.49
2011-05-13,42,39.55
2011-05-20,36,39.72
2011-05-27,41,39.32
2011-06-03,37,38.91
2011-06-10,41,39
2011-06-17,43,39.24
2011-06-24,38,38.7
2011-07-01,35,38.87
2011-07-08,37,39.05
2011-07-15,29,38.57
2011-07-22,44,39.23
2011-07-29,36,38.07
2011-08-05,46,35.05
2011-08-12,38,34.78
2011-08-19,33,35.86
2011-08-26,26,35.98
2011-09-02,32,36.19
2011-09-09,34,35.36
2011-09-16,33,37.76
2011-09-23,36,37.11
2011-09-30,32,38.25
2011-10-07,35,37.74
2011-10-14,31,38.25
2011-10-21,34,39.56
2011-10-28,32,40.72
2011-11-04,44,40.76
2011-11-11,37,40.77
2011-11-18,40,39.61
2011-11-25,34,37.85
2011-12-02,44,38.46
2011-12-09,50,39.05
2011-12-16,29,39.3
2011-12-23,34,41.19
2011-12-30,34,41.4
2012-01-06,38,40.39
2012-01-13,37,40.57
2012-01-20,41,40.49
2012-01-27,33,41.06
2012-02-03,35,41.08
2012-02-10,38,41.09
2012-02-17,31,41.16
2012-02-24,38,42.23
2012-03-02,29,42.81
2012-03-09,32,42.82
2012-03-16,35,42.64
2012-03-23,35,42.67
2012-03-30,36,42.51
2012-04-13,33,41.57
2012-04-20,29,42.89
2012-04-27,32,43.81
2012-05-04,42,43.76
2012-05-11,33,44.39
2012-05-18,33,43.82
2012-05-25,28,45
2012-06-01,29,44.37
2012-06-08,35,46.04
2012-06-15,30,46.14
2012-06-22,31,44.59
2012-06-29,36,46.2
2012-07-06,32,45.65
2012-07-13,30,46.41
2012-07-20,35,46.01
2012-07-27,28,46.36
2012-08-03,35,45.69
2012-08-10,30,44.98
2012-08-17,29,44.76
2012-08-24,28,43.87
2012-08-31,31,43.79
2012-09-07,26,44.31
2012-09-14,37,45.17
2012-09-21,35,45.39
2012-09-28,34,45.69
2012-10-05,35,47.25
2012-10-12,35,46.59
2012-10-19,36,47.4
2012-10-26,42,46.57
2012-11-02,35,46.69
2012-11-09,34,44.17
2012-11-16,36,44.46
2012-11-23,35,43.49
2012-11-30,34,45.48
2012-12-07,36,44.98
2012-12-14,26,44.81
2012-12-21,31,45.82
2012-12-28,31,44.77
2013-01-04,57,47
2013-01-11,38,45.8
2013-01-18,33,46.55
2013-01-25,34,47.03
2013-02-01,31,48.19
2013-02-08,37,47.84
2013-02-15,28,46.68
2013-02-22,31,46.86
2013-03-01,33,48.48
2013-03-08,30,50.72
2013-03-15,33,50.94
2013-03-22,32,50.41
2013-04-05,29,50.88
2013-04-12,30,51.95
2013-04-19,31,52.47
2013-04-26,34,53.35
2013-05-03,33,52.24
2013-05-10,33,50.01
2013-05-17,32,48.8
2013-05-24,38,47.71
2013-05-31,33,45.94
2013-06-07,33,47.61
2013-06-14,32,47.15
2013-06-21,25,46.06
2013-06-28,28,48.16
2013-07-05,31,46.06
2013-07-12,36,48.47
2013-07-19,38,49.71
2013-07-26,32,49.09
2013-08-02,28,49.37
2013-08-09,30,49.08
2013-08-16,30,46.98
2013-08-23,30,46.48
2013-08-30,30,45.89
2013-09-06,34,45.04
2013-09-13,26,44.94
2013-09-20,30,46.02
2013-09-27,34,45.81
2013-10-04,27,46.35
2013-10-11,35,47.68
2013-10-18,30,48.38
2013-10-25,42,49.41
2013-11-01,32,49.47
2013-11-08,25,49.05
2013-11-15,28,49.17
2013-11-22,30,46
2013-11-29,26,46.21
2013-12-06,26,45.89
2013-12-13,31,45.68
2013-12-20,27,46.58
2013-12-27,39,45.97
2014-01-03,33,45.44
2014-01-10,26,45.51
2014-01-17,30,46.9
2014-01-24,28,46.92
2014-01-31,30,48.16
2014-02-07,36,48.71
2014-02-14,30,50.54
2014-02-21,32,51.36
2014-02-28,29,52.37
2014-03-07,35,51.42
2014-03-14,36,52.06
2014-03-21,33,53.87
2014-03-28,35,55.29
2014-04-04,44,55.93
2014-04-11,36,56.32
2014-04-25,36,56.93
