"Date","DTE","Price"
2007-06-08,48,50.06
2007-06-15,57,51.38
2007-06-22,48,48.46
2007-06-29,53,48.22
2007-07-06,58,48.62
2007-07-13,51,50.9
2007-07-20,52,50.89
2007-07-27,59,46.35
2007-08-03,51,46.22
2007-08-10,44,48.04
2007-08-17,39,47.69
2007-08-24,47,49.06
2007-08-31,44,47.81
2007-09-07,31,47.73
2007-09-14,30,48.76
2007-09-21,28,49.22
2007-09-28,24,48.44
2007-10-05,24,48.94
2007-10-12,24,50.53
2007-10-19,26,47.53
2007-10-26,26,48.97
2007-11-02,24,48.99
2007-11-09,24,47.84
2007-11-16,28,48.5
2007-11-23,26,48.76
2007-11-30,29,49.05
2007-12-07,24,50.5
2007-12-14,24,46.79
2007-12-21,24,45.18
2007-12-28,22,44.67
2008-01-04,25,43
2008-01-11,25,44.3
2008-01-18,29,42.7
2008-01-25,30,41.47
2008-02-01,36,43.59
2008-02-08,29,41.86
2008-02-15,27,41.77
2008-02-22,27,41.69
2008-02-29,27,39.81
2008-03-07,29,39.52
2008-03-14,28,39.27
2008-03-28,50,38.71
2008-04-04,33,40.59
2008-04-11,32,40.66
2008-04-18,32,42.57
2008-04-25,33,41.04
2008-05-02,37,41.35
2008-05-09,37,42.49
2008-05-16,39,43.83
2008-05-23,40,43.5
2008-05-30,35,44.24
2008-06-06,40,43.54
2008-06-13,97,44.11
2008-06-20,59,42.99
2008-06-27,53,41.45
2008-07-11,54,43.71
2008-07-18,69,41.92
2008-07-25,60,41.03
2008-08-01,52,39.81
2008-08-08,51,40.98
2008-08-15,41,41.7
2008-08-22,37,42.49
2008-08-29,38,42.16
2008-09-05,29,41.44
2008-09-12,32,43.64
2008-09-19,29,42.33
2008-09-26,27,40.77
2008-10-03,27,39.42
2008-10-10,25,30.42
2008-10-17,28,33.68
2008-10-24,25,33.01
2008-10-31,24,35.3
2008-11-07,26,37.91
2008-11-14,26,36.77
2008-11-21,24,36.73
2008-11-28,22,37.19
2008-12-05,26,34.14
2008-12-12,25,34.44
2008-12-19,24,34.79
2008-12-26,21,35.18
2009-01-02,35,36.21
2009-01-09,28,35.6
2009-01-16,29,34.75
2009-01-23,29,33.72
2009-01-30,34,34.5
2009-02-06,28,34.96
2009-02-13,27,32.63
2009-02-20,28,29.37
2009-02-27,26,26.77
2009-03-06,28,24.05
2009-03-13,32,25.54
2009-03-20,33,27.2
2009-03-27,51,28.27
2009-04-03,40,28.54
2009-04-17,30,29.04
2009-04-24,28,27.95
2009-05-01,31,30.47
2009-05-08,29,31.65
2009-05-15,38,29.44
2009-05-22,34,29.13
2009-05-29,33,30.25
2009-06-05,42,31.51
2009-06-12,37,31.96
2009-06-19,44,31.3
2009-06-26,51,31.96
2009-07-10,56,30.86
2009-07-17,53,32.61
2009-07-24,58,34.7
2009-07-31,55,34.46
2009-08-07,53,34.42
2009-08-14,60,34.11
2009-08-21,50,35.34
2009-08-28,45,35.05
2009-09-04,34,34.88
2009-09-11,29,35.12
2009-09-18,31,35.25
2009-09-25,27,35.03
2009-10-02,24,34.04
2009-10-09,27,35.12
2009-10-16,25,36.53
2009-10-23,26,37.85
2009-10-30,23,36.98
2009-11-06,27,38.34
2009-11-13,25,39.68
2009-11-20,26,39.68
2009-11-27,21,39.83
2009-12-04,26,42.17
2009-12-11,26,43.95
2009-12-18,22,42.98
2010-01-08,28,43.16
2010-01-15,28,43.93
2010-01-22,27,42.06
2010-01-29,32,42.04
2010-02-05,28,41.78
2010-02-12,27,41.95
2010-02-19,28,44.6
2010-02-26,29,43.42
2010-03-05,31,45.04
2010-03-12,26,44.87
2010-03-19,31,45.1
2010-03-26,31,44.7
2010-04-09,34,46.12
2010-04-16,35,45.64
2010-04-23,32,47.93
2010-04-30,34,48.17
2010-05-07,30,45.69
2010-05-14,35,47.3
2010-05-21,32,45.39
2010-05-28,39,45.51
2010-06-04,39,44.42
2010-06-11,44,46.09
2010-06-18,56,48.35
2010-06-25,64,46.53
2010-07-02,51,45.47
2010-07-09,58,47.73
2010-07-16,64,47.13
2010-07-23,65,48.06
2010-07-30,70,46.16
2010-08-06,71,46.83
2010-08-13,71,46.21
2010-08-20,61,45.91
2010-08-27,48,47.13
2010-09-03,47,47.54
2010-09-10,44,47.47
2010-09-17,39,46.31
2010-09-24,34,45.84
2010-10-01,33,46.48
2010-10-08,29,47.22
2010-10-15,30,47.11
2010-10-22,31,46.93
2010-10-29,32,46.76
2010-11-05,29,46.83
2010-11-12,28,45.71
2010-11-19,26,45.71
2010-11-26,21,45.1
2010-12-03,27,45.58
2010-12-10,28,46.11
2010-12-17,31,45.37
2010-12-31,28,45.32
2011-01-07,28,46.34
2011-01-14,27,46.85
2011-01-21,28,46.52
2011-01-28,28,46.22
2011-02-04,30,46.3
2011-02-11,31,46.94
2011-02-18,30,47.13
2011-02-25,33,46.98
2011-03-04,32,47.72
2011-03-11,30,48.99
2011-03-18,30,47.03
2011-03-25,31,47.78
2011-04-01,34,49.36
2011-04-08,34,49.21
2011-04-15,40,49.34
2011-04-29,37,50.53
2011-05-06,31,51.16
2011-05-13,35,52.54
2011-05-20,36,51.9
2011-05-27,44,51.12
2011-06-03,46,50.26
2011-06-10,45,49.34
2011-06-17,56,49.24
2011-06-24,63,49.04
2011-07-01,60,50.8
2011-07-08,78,50.37
2011-07-15,87,50.33
2011-07-22,98,51.23
2011-07-29,99,49.84
2011-08-05,88,47.13
2011-08-12,75,46.95
2011-08-19,65,47.51
2011-08-26,76,49.37
2011-09-02,58,49.64
2011-09-09,62,48.47
2011-09-16,58,50.56
2011-09-23,49,48.47
2011-09-30,49,49.02
2011-10-07,43,49.91
2011-10-14,42,50.58
2011-10-21,34,51.89
2011-10-28,26,52.3
2011-11-04,28,52.12
2011-11-11,31,52.26
2011-11-18,30,51.21
2011-11-25,24,49.43
2011-12-02,31,51.69
2011-12-09,29,52.18
2011-12-16,28,51.44
2011-12-23,24,54.7
2011-12-30,25,54.45
2012-01-06,30,53.52
2012-01-13,29,53.48
2012-01-20,27,53.63
2012-01-27,29,53.6
2012-02-03,33,53.71
2012-02-10,33,53.95
2012-02-17,31,54.3
2012-02-24,28,54.85
2012-03-02,35,54.35
2012-03-09,32,55.38
2012-03-16,31,55.04
2012-03-23,33,54.66
2012-03-30,33,55.03
2012-04-13,32,54.25
2012-04-20,40,55.46
2012-04-27,34,56.4
2012-05-04,36,55.76
2012-05-11,33,56.34
2012-05-18,35,55.06
2012-05-25,40,56.56
2012-06-01,45,56.36
2012-06-08,53,57.99
2012-06-15,54,60.09
2012-06-22,69,58.42
2012-06-29,66,59.33
2012-07-06,100,59.24
2012-07-13,84,59.99
2012-07-20,84,61.03
2012-07-27,66,61.15
2012-08-03,62,61.65
2012-08-10,56,60.51
2012-08-17,50,60.53
2012-08-24,46,58.74
2012-08-31,45,58.4
2012-09-07,42,59.49
2012-09-14,38,58.81
2012-09-21,33,58.81
2012-09-28,30,59.94
2012-10-05,31,60.67
2012-10-12,32,60.38
2012-10-19,33,61.41
2012-10-26,25,61.66
2012-11-02,42,61.28
2012-11-09,28,59.19
2012-11-16,25,59.3
2012-11-23,26,58.88
2012-11-30,27,60.58
2012-12-07,27,61.05
2012-12-14,26,60.55
2012-12-21,28,61.13
2012-12-28,24,59.41
2013-01-04,27,61.64
2013-01-11,28,61.46
2013-01-18,27,61.9
2013-01-25,38,62.75
2013-02-01,34,63.97
2013-02-08,36,64.28
2013-02-15,31,64.42
2013-02-22,29,65.62
2013-03-01,38,66.43
2013-03-08,32,66.65
2013-03-15,32,66.36
2013-03-22,33,66.28
2013-04-05,37,68.83
2013-04-12,41,70.35
2013-04-19,41,72.26
2013-04-26,34,72.26
2013-05-03,33,72.6
2013-05-10,34,70.3
2013-05-17,39,71.77
2013-05-24,42,68.27
2013-05-31,45,66.61
2013-06-07,81,67.51
2013-06-14,62,66.87
2013-06-21,77,64.67
2013-06-28,90,67.01
2013-07-05,71,65.77
2013-07-12,78,68.99
2013-07-19,77,70.27
2013-07-26,66,70.15
2013-08-02,58,71.64
2013-08-09,60,70.8
2013-08-16,57,67.59
2013-08-23,48,67.38
2013-08-30,50,66.87
2013-09-06,36,65.56
2013-09-13,39,65.82
2013-09-20,32,67.18
2013-09-27,29,66.06
2013-10-04,33,65.07
2013-10-11,29,66.83
2013-10-18,29,67.21
2013-10-25,30,69.44
2013-11-01,35,69.44
2013-11-08,31,69.34
2013-11-15,30,69.49
2013-11-22,71,68.86
2013-11-29,26,66.74
2013-12-06,31,67.61
2013-12-13,28,65.36
2013-12-20,28,66.61
2013-12-27,51,66.36
2014-01-03,30,65.13
2014-01-10,34,66.67
2014-01-17,35,65.85
2014-01-24,34,65.47
2014-01-31,41,68.22
2014-02-07,37,67.89
2014-02-14,38,71.73
2014-02-21,36,72.29
2014-02-28,35,71.76
2014-03-07,39,70.33
2014-03-14,39,71.65
2014-03-21,39,71.52
2014-03-28,42,73.19
2014-04-04,39,74.74
2014-04-11,40,74.86
2014-04-25,38,78.38
