"Date","D","Price"
2006-08-11,58,79.27
2006-08-18,56,79.27
2006-08-25,59,80.88
2006-09-01,59,79.58
2006-09-08,60,77.71
2006-09-15,62,77.16
2006-09-22,61,76.3
2006-09-29,60,76.49
2006-10-06,62,76.21
2006-10-13,63,77.85
2006-10-20,62,80.16
2006-10-27,62,80.64
2006-11-03,62,80.67
2006-11-10,62,81.22
2006-11-17,66,80.88
2006-11-24,66,81
2006-12-01,63,80.88
2006-12-08,63,81.13
2006-12-15,63,82.9
2006-12-22,62,82.36
2006-12-29,64,83.84
2007-01-05,64,82.24
2007-01-12,63,80
2007-01-19,62,80.76
2007-01-26,64,82.07
2007-02-02,63,86.54
2007-02-09,63,87.46
2007-02-16,65,86.56
2007-02-23,65,85.68
2007-03-02,63,85
2007-03-09,64,84.59
2007-03-16,63,84.97
2007-03-23,65,88.91
2007-03-30,63,88.77
2007-04-13,61,89.14
2007-04-20,63,90.86
2007-04-27,65,91.55
2007-05-04,67,90.82
2007-05-11,67,90.53
2007-05-18,67,91.06
2007-05-25,69,86.57
2007-06-01,71,87.64
2007-06-08,69,82.47
2007-06-15,68,85.63
2007-06-22,65,80.55
2007-06-29,65,86.31
2007-07-06,66,86.19
2007-07-13,68,88.6
2007-07-20,67,87.19
2007-07-27,67,82.19
2007-08-03,65,84
2007-08-10,64,90.25
2007-08-17,66,87.37
2007-08-24,66,88.9
2007-08-31,70,85.18
2007-09-07,68,84.48
2007-09-14,70,85.72
2007-09-21,67,86.16
2007-09-28,68,84.3
2007-10-05,67,87.07
2007-10-12,64,87.55
2007-10-19,68,85.99
2007-10-26,63,88.64
2007-11-02,65,90.69
2007-11-09,66,92.14
2007-11-16,67,91.3
2007-11-23,75,45.71
2007-11-30,73,47.23
2007-12-07,71,48.77
2007-12-14,63,47.82
2007-12-21,64,48.7
2007-12-28,68,47.6
2008-01-04,67,46.44
2008-01-11,68,47.29
2008-01-18,66,44.24
2008-01-25,65,41.03
2008-02-01,68,43.57
2008-02-08,69,42.11
2008-02-15,69,42.67
2008-02-22,69,42.27
2008-02-29,66,39.94
2008-03-07,69,39.1
2008-03-14,67,39.57
2008-03-28,68,40.5
2008-04-04,69,43.21
2008-04-11,67,42.95
2008-04-18,67,44.19
2008-04-25,68,43.54
2008-05-02,68,45.59
2008-05-09,66,44.99
2008-05-16,67,45.97
2008-05-23,67,45.44
2008-05-30,71,46.3
2008-06-06,67,45.92
2008-06-13,67,46.13
2008-06-20,68,47.08
2008-06-27,66,46.2
2008-07-11,67,46.87
2008-07-18,67,44.47
2008-07-25,66,43.31
2008-08-01,65,42.59
2008-08-08,65,42.77
2008-08-15,68,42.55
2008-08-22,64,43.58
2008-08-29,67,43.53
2008-09-05,67,40.94
2008-09-12,67,43.11
2008-09-19,68,44.17
2008-09-26,69,43.4
2008-10-03,67,41.88
2008-10-10,68,33.67
2008-10-17,68,35.95
2008-10-24,69,35.14
2008-10-31,70,36.28
2008-11-07,67,35.83
2008-11-14,65,36.39
2008-11-21,64,36.93
2008-11-28,65,36.82
2008-12-05,66,35.23
2008-12-12,65,34.6
2008-12-19,64,34.98
2008-12-26,67,34.9
2009-01-02,70,36.54
2009-01-09,67,35.11
2009-01-16,66,34.6
2009-01-23,67,35
2009-01-30,68,35.18
2009-02-06,71,36.93
2009-02-13,70,34.54
2009-02-20,69,31.69
2009-02-27,70,30.18
2009-03-06,70,28.12
2009-03-13,71,29.53
2009-03-20,68,30.99
2009-03-27,72,31.07
2009-04-03,69,30.44
2009-04-17,67,29.94
2009-04-24,65,29.29
2009-05-01,66,31.09
2009-05-08,66,31.87
2009-05-15,70,30.52
2009-05-22,65,30.81
2009-05-29,68,31.79
2009-06-05,68,32.02
2009-06-12,66,33.39
2009-06-19,63,32.72
2009-06-26,63,33.39
2009-07-10,66,32.45
2009-07-17,65,32.87
2009-07-24,64,34.59
2009-07-31,67,33.8
2009-08-07,65,33.6
2009-08-14,64,33.56
2009-08-21,67,34.22
2009-08-28,68,33.22
2009-09-04,69,33
2009-09-11,67,32.79
2009-09-18,68,34.33
2009-09-25,66,34.19
2009-10-02,67,33.49
2009-10-09,66,34.7
2009-10-16,68,34.52
2009-10-23,67,35.17
2009-10-30,67,34.09
2009-11-06,67,35.97
2009-11-13,66,36.26
2009-11-20,67,36.37
2009-11-27,66,36.14
2009-12-04,64,37.75
2009-12-11,66,39.08
2009-12-18,64,39.13
2010-01-08,68,38.56
2010-01-15,67,38.85
2010-01-22,69,37.8
2010-01-29,69,37.46
2010-02-05,66,36.75
2010-02-12,67,37.14
2010-02-19,68,39.17
2010-02-26,66,37.99
2010-03-05,69,39.11
2010-03-12,68,39.69
2010-03-19,70,40.7
2010-03-26,67,40.6
2010-04-09,70,41.59
2010-04-16,66,41.18
2010-04-23,71,41.77
2010-04-30,70,41.8
2010-05-07,69,40.22
2010-05-14,68,40.99
2010-05-21,69,39.53
2010-05-28,66,38.96
2010-06-04,69,39.01
2010-06-11,68,40.6
2010-06-18,68,42
2010-06-25,71,40.17
2010-07-02,64,38.67
2010-07-09,65,40.9
2010-07-16,66,40.43
2010-07-23,65,42.41
2010-07-30,66,41.99
2010-08-06,71,43.67
2010-08-13,68,43.91
2010-08-20,72,43.93
2010-08-27,70,43.42
2010-09-03,69,43.99
2010-09-10,69,43.29
2010-09-17,70,43.42
2010-09-24,70,44.23
2010-10-01,69,44.03
2010-10-08,70,44.68
2010-10-15,71,44.54
2010-10-22,72,44.51
2010-10-29,73,43.46
2010-11-05,73,43.5
2010-11-12,71,42.86
2010-11-19,69,42.76
2010-11-26,69,41.84
2010-12-03,69,42.42
2010-12-10,70,41.62
2010-12-17,69,42.57
2010-12-31,71,42.72
2011-01-07,73,43.23
2011-01-14,73,42.98
2011-01-21,74,43.35
2011-01-28,73,43.39
2011-02-04,70,43.61
2011-02-11,73,44.12
2011-02-18,73,44.37
2011-02-25,71,45
2011-03-04,70,45.54
2011-03-11,71,45.51
2011-03-18,72,43.78
2011-03-25,71,44.54
2011-04-01,74,44.7
2011-04-08,71,44.82
2011-04-15,74,44.47
2011-04-29,71,46.42
2011-05-06,72,46.92
2011-05-13,73,47.99
2011-05-20,74,48.28
2011-05-27,72,47.23
2011-06-03,73,47.15
2011-06-10,72,47.53
2011-06-17,70,47.66
2011-06-24,70,47.25
2011-07-01,68,48.99
2011-07-08,69,48.63
2011-07-15,71,48.46
2011-07-22,70,49.78
2011-07-29,75,48.45
2011-08-05,71,48.59
2011-08-12,72,47.71
2011-08-19,74,47.99
2011-08-26,75,48.46
2011-09-02,72,47.98
2011-09-09,75,47.19
2011-09-16,76,49.84
2011-09-23,76,49.99
2011-09-30,79,50.77
2011-10-07,76,50.27
2011-10-14,74,50.49
2011-10-21,77,52.07
2011-10-28,77,51.37
2011-11-04,77,51.56
2011-11-11,100,52.06
2011-11-18,78,51.04
2011-11-25,78,49.51
2011-12-02,77,50.56
2011-12-09,77,50.77
2011-12-16,76,50.65
2011-12-23,73,52.95
2011-12-30,76,53.08
2012-01-06,77,51.43
2012-01-13,79,50.6
2012-01-20,80,50.57
2012-01-27,79,49.56
2012-02-03,78,50.38
2012-02-10,80,49.91
2012-02-17,77,50.57
2012-02-24,76,51.32
2012-03-02,81,50.52
2012-03-09,79,50.76
2012-03-16,79,50.32
2012-03-23,80,50.28
2012-03-30,76,51.21
2012-04-13,77,50.28
2012-04-20,75,51.02
2012-04-27,77,52.07
2012-05-04,78,51.99
2012-05-11,76,52.22
2012-05-18,76,52.29
2012-05-25,76,52.55
2012-06-01,76,51.63
2012-06-08,77,53.23
2012-06-15,75,53.78
2012-06-22,73,53.61
2012-06-29,68,54
2012-07-06,71,53.83
2012-07-13,71,54.19
2012-07-20,70,53.96
2012-07-27,71,54.97
2012-08-03,70,54.41
2012-08-10,70,53.72
2012-08-17,71,53.92
2012-08-24,71,53.49
2012-08-31,70,52.48
2012-09-07,72,53.16
2012-09-14,73,52.82
2012-09-21,72,52.7
2012-09-28,71,52.94
2012-10-05,72,53.26
2012-10-12,70,52.68
2012-10-19,69,53.51
2012-10-26,72,52.07
2012-11-02,66,51.7
2012-11-09,72,49.33
2012-11-16,70,50.15
2012-11-23,69,50.12
2012-11-30,70,51.11
2012-12-07,69,51.69
2012-12-14,69,51.19
2012-12-21,70,51.94
2012-12-28,68,51.08
2013-01-04,71,53.54
2013-01-11,72,52.43
2013-01-18,71,52.92
2013-01-25,71,53.88
2013-02-01,74,54.17
2013-02-08,73,54.31
2013-02-15,72,54.92
2013-02-22,71,56.38
2013-03-01,73,56.42
2013-03-08,73,55.87
2013-03-15,75,56.79
2013-03-22,74,56.77
2013-04-05,73,59.63
2013-04-12,73,60.12
2013-04-19,71,61.07
2013-04-26,72,61.01
2013-05-03,72,60.91
2013-05-10,70,59.75
2013-05-17,75,61.17
2013-05-24,75,57.62
2013-05-31,73,56.55
2013-06-07,74,55.64
2013-06-14,72,56.04
2013-06-21,72,55.01
2013-06-28,71,56.82
2013-07-05,69,56.25
2013-07-12,73,58.8
2013-07-19,73,59.68
2013-07-26,71,59.52
2013-08-02,69,59.43
2013-08-09,71,60.33
2013-08-16,71,57.44
2013-08-23,72,58.86
2013-08-30,74,58.35
2013-09-06,71,57.53
2013-09-13,72,61.28
2013-09-20,71,62.27
2013-09-27,74,62.43
2013-10-04,75,62.22
2013-10-11,72,62.95
2013-10-18,73,63.68
2013-10-25,76,64.66
2013-11-01,77,64.09
2013-11-08,75,65.41
2013-11-15,76,67.52
2013-11-22,76,66.62
2013-11-29,75,64.91
2013-12-06,72,64.42
2013-12-13,74,63.58
2013-12-20,73,64.55
2013-12-27,74,64.41
2014-01-03,73,63.51
2014-01-10,75,67.78
2014-01-17,80,66.29
2014-01-24,75,65.93
2014-01-31,75,67.91
2014-02-07,74,66.93
2014-02-14,75,71.11
2014-02-21,76,71.39
2014-02-28,74,69.4
2014-03-07,74,68.44
2014-03-14,73,69.89
2014-03-21,74,70.06
2014-03-28,76,71.09
2014-04-04,76,69.62
2014-04-11,75,69.42
2014-04-25,72,72.33
