"Date","AEE","Price"
2005-12-02,21,52.9
2005-12-09,23,51.51
2005-12-16,16,52.27
2005-12-23,23,51.74
2005-12-30,21,51.24
2006-01-06,24,51.91
2006-01-13,39,51.03
2006-01-20,25,51.95
2006-01-27,23,51.32
2006-02-03,26,50.18
2006-02-10,20,50.69
2006-02-17,28,50.16
2006-02-24,30,51.13
2006-03-03,19,50.61
2006-03-10,31,50.42
2006-03-17,16,50.83
2006-03-24,19,50.53
2006-03-31,24,49.82
2006-04-07,25,49.64
2006-04-21,16,50.28
2006-04-28,27,50.37
2006-05-05,24,50.43
2006-05-12,19,48.62
2006-05-19,22,48.75
2006-05-26,20,49.49
2006-06-02,17,50.55
2006-06-09,27,50.66
2006-06-16,26,50.56
2006-06-23,27,49.99
2006-06-30,24,50.5
2006-07-07,25,50.77
2006-07-14,30,50.32
2006-07-21,26,51.68
2006-07-28,19,51.81
2006-08-04,25,51.04
2006-08-11,25,50.28
2006-08-18,29,51.44
2006-08-25,27,52.38
2006-09-01,23,53.49
2006-09-08,29,52.17
2006-09-15,31,52.88
2006-09-22,25,52.59
2006-09-29,23,52.79
2006-10-06,24,52.49
2006-10-13,24,52.58
2006-10-20,21,54.4
2006-10-27,30,54.77
2006-11-03,32,53.81
2006-11-10,24,53.8
2006-11-17,23,53.8
2006-11-24,21,53.83
2006-12-01,22,54.79
2006-12-08,19,53.51
2006-12-15,30,54.01
2006-12-22,36,53.91
2006-12-29,24,53.73
2007-01-05,26,53.11
2007-01-12,62,53.07
2007-01-19,61,53
2007-01-26,31,53.22
2007-02-02,23,53.69
2007-02-09,21,53.99
2007-02-16,27,53.51
2007-02-23,20,52.96
2007-03-02,23,51.63
2007-03-09,26,50.12
2007-03-16,24,48.74
2007-03-23,23,50.63
2007-03-30,21,50.3
2007-04-13,23,50.61
2007-04-20,29,50.2
2007-04-27,23,52.37
2007-05-04,27,53.91
2007-05-11,23,54.37
2007-05-18,28,54.44
2007-05-25,29,51.9
2007-06-01,24,52.77
2007-06-08,28,49.19
2007-06-15,29,50.43
2007-06-22,19,48.5
2007-06-29,20,49.01
2007-07-06,23,49.58
2007-07-13,25,50.89
2007-07-20,23,51.5
2007-07-27,29,48.76
2007-08-03,18,47.54
2007-08-10,29,51.36
2007-08-17,23,50.36
2007-08-24,24,51.05
2007-08-31,33,50.78
2007-09-07,32,50.62
2007-09-14,28,52.04
2007-09-21,24,53.31
2007-09-28,26,52.5
2007-10-05,30,53.71
2007-10-12,27,54
2007-10-19,27,52.46
2007-10-26,29,53.43
2007-11-02,33,53.14
2007-11-09,33,52.8
2007-11-16,28,53.01
2007-11-23,25,53.59
2007-11-30,24,53.85
2007-12-07,34,53.69
2007-12-14,33,53.77
2007-12-21,34,54.35
2007-12-28,40,54.43
2008-01-04,36,52.92
2008-01-11,58,51.86
2008-01-18,100,47.1
2008-01-25,51,44.18
2008-02-01,34,45.54
2008-02-08,34,44.3
2008-02-15,29,44.09
2008-02-22,36,43.65
2008-02-29,32,42.7
2008-03-07,39,41.49
2008-03-14,37,41.55
2008-03-28,28,43.44
2008-04-04,31,45.09
2008-04-11,30,44.51
2008-04-18,25,45.88
2008-04-25,25,45.59
2008-05-02,30,47.75
2008-05-09,34,45.91
2008-05-16,25,46.07
2008-05-23,30,44.91
2008-05-30,33,45.45
2008-06-06,30,43.65
2008-06-13,32,43.49
2008-06-20,25,42.7
2008-06-27,35,41.36
2008-07-11,35,41.02
2008-07-18,31,40.45
2008-07-25,27,40.1
2008-08-01,31,39.19
2008-08-08,30,40.42
2008-08-15,34,42
2008-08-22,36,42.51
2008-08-29,37,41.86
2008-09-05,25,39.95
2008-09-12,31,40.21
2008-09-19,35,41.54
2008-09-26,33,40.18
2008-10-03,32,37
2008-10-10,32,27.54
2008-10-17,34,30.28
2008-10-24,31,29.53
2008-10-31,35,32.45
2008-11-07,26,32.28
2008-11-14,35,33.67
2008-11-21,29,32.66
2008-11-28,28,35.58
2008-12-05,35,33.7
2008-12-12,26,32.75
2008-12-19,29,32.69
2008-12-26,25,32.19
2009-01-02,25,34.12
2009-01-09,50,32.66
2009-01-16,48,32.47
2009-01-23,38,33.09
2009-01-30,54,33.25
2009-02-06,46,33.7
2009-02-13,38,32
2009-02-20,34,25.73
2009-02-27,32,23.78
2009-03-06,30,20.97
2009-03-13,35,20.16
2009-03-20,33,21.99
2009-03-27,37,23.31
2009-04-03,36,23.27
2009-04-17,32,22.49
2009-04-24,28,22.15
2009-05-01,28,23.95
2009-05-08,29,24.65
2009-05-15,28,23.21
2009-05-22,29,22.79
2009-05-29,33,23.26
2009-06-05,36,24.08
2009-06-12,29,24.41
2009-06-19,30,24.07
2009-06-26,31,24.53
2009-07-10,27,23.36
2009-07-17,28,24.17
2009-07-24,27,25.76
2009-07-31,33,25.43
2009-08-07,31,26.41
2009-08-14,30,26.41
2009-08-21,28,27.05
2009-08-28,36,27.57
2009-09-04,30,26.89
2009-09-11,35,25.45
2009-09-18,31,26.05
2009-09-25,32,25.48
2009-10-02,32,24.52
2009-10-09,37,25.27
2009-10-16,30,25.61
2009-10-23,32,25.2
2009-10-30,41,24.34
2009-11-06,30,24.68
2009-11-13,30,25.72
2009-11-20,34,25.28
2009-11-27,28,25.58
2009-12-04,31,27.01
2009-12-11,33,27.82
2009-12-18,32,28
2010-01-08,43,27.01
2010-01-15,53,27.34
2010-01-22,37,25.78
2010-01-29,35,25.55
2010-02-05,41,24.86
2010-02-12,32,24.56
2010-02-19,60,25.65
2010-02-26,46,24.71
2010-03-05,34,25.94
2010-03-12,35,25.51
2010-03-19,30,26.04
2010-03-26,36,25.63
2010-04-09,32,26.51
2010-04-16,35,26.35
2010-04-23,34,26.82
2010-04-30,36,25.96
2010-05-07,41,24.2
2010-05-14,35,25.09
2010-05-21,31,24.14
2010-05-28,37,24.66
2010-06-04,29,24.09
2010-06-11,31,24.12
2010-06-18,32,25.54
2010-06-25,33,24.26
2010-07-02,31,23.68
2010-07-09,35,24.9
2010-07-16,29,24.6
2010-07-23,33,25.29
2010-07-30,30,25.37
2010-08-06,30,27.2
2010-08-13,28,27.58
2010-08-20,31,27.14
2010-08-27,33,28.27
2010-09-03,41,28.65
2010-09-10,34,27.79
2010-09-17,33,27.42
2010-09-24,37,27.96
2010-10-01,37,28.79
2010-10-08,33,29.18
2010-10-15,35,28.88
2010-10-22,41,28.83
2010-10-29,34,28.98
2010-11-05,37,29.83
2010-11-12,39,29.29
2010-11-19,43,29.18
2010-11-26,44,28.91
2010-12-03,38,29.23
2010-12-10,32,28.51
2010-12-17,36,28.4
2010-12-31,34,28.19
2011-01-07,52,28.29
2011-01-14,50,28.19
2011-01-21,36,28.63
2011-01-28,36,28.4
2011-02-04,41,28.23
2011-02-11,32,28.74
2011-02-18,51,28.89
2011-02-25,40,27.52
2011-03-04,41,27.89
2011-03-11,35,27.73
2011-03-18,37,27.09
2011-03-25,33,27.57
2011-04-01,30,28.17
2011-04-08,33,28.47
2011-04-15,33,28.83
2011-04-29,39,29.31
2011-05-06,33,29.09
2011-05-13,36,29.69
2011-05-20,33,30.02
2011-05-27,40,29.69
2011-06-03,31,29.07
2011-06-10,33,28.36
2011-06-17,34,28.39
2011-06-24,31,28.26
2011-07-01,35,29.21
2011-07-08,35,29.04
2011-07-15,35,28.81
2011-07-22,35,29.35
2011-07-29,37,28.82
2011-08-05,35,27.62
2011-08-12,37,27.4
2011-08-19,37,28.4
2011-08-26,47,29.2
2011-09-02,38,29.55
2011-09-09,43,28.93
2011-09-16,43,30.42
2011-09-23,41,30.23
2011-09-30,44,29.77
2011-10-07,38,29.25
2011-10-14,40,30.7
2011-10-21,40,31.76
2011-10-28,35,32.21
2011-11-04,40,32.29
2011-11-11,40,32.99
2011-11-18,33,32.29
2011-11-25,32,31.51
2011-12-02,41,32.47
2011-12-09,34,32.33
2011-12-16,39,31.71
2011-12-23,30,32.83
2011-12-30,35,33.13
2012-01-06,35,32.09
2012-01-13,33,32.33
2012-01-20,44,31.64
2012-01-27,43,31.61
2012-02-03,37,31.77
2012-02-10,39,31.31
2012-02-17,38,31.9
2012-02-24,35,32.24
2012-03-02,37,31.97
2012-03-09,40,31.92
2012-03-16,41,31.46
2012-03-23,34,31.77
2012-03-30,41,32.58
2012-04-13,41,31.47
2012-04-20,39,31.68
2012-04-27,40,32.76
2012-05-04,39,32.37
2012-05-11,37,32.5
2012-05-18,39,31.93
2012-05-25,43,32.06
2012-06-01,35,32.04
2012-06-08,39,33.25
2012-06-15,38,33.61
2012-06-22,44,33.02
2012-06-29,50,33.54
2012-07-06,69,33.42
2012-07-13,46,33.67
2012-07-20,40,33.83
2012-07-27,37,34.42
2012-08-03,42,34.34
2012-08-10,36,34.7
2012-08-17,46,33.58
2012-08-24,43,33.2
2012-08-31,44,32.72
2012-09-07,44,33.12
2012-09-14,44,32.67
2012-09-21,40,32.64
2012-09-28,38,32.67
2012-10-05,38,32.88
2012-10-12,39,32.6
2012-10-19,40,32.96
2012-10-26,44,32.33
2012-11-02,36,32.68
2012-11-09,38,30.36
2012-11-16,41,29.36
2012-11-23,37,28.55
2012-11-30,44,29.97
2012-12-07,46,29.74
2012-12-14,43,29.42
2012-12-21,42,31.05
2012-12-28,38,30.32
2013-01-04,40,31.19
2013-01-11,43,31.46
2013-01-18,48,31.7
2013-01-25,46,32.17
2013-02-01,49,32.68
2013-02-08,42,32.61
2013-02-15,43,33.13
2013-02-22,46,33.58
2013-03-01,46,33.89
2013-03-08,48,33.89
2013-03-15,40,34.39
2013-03-22,46,34.27
2013-04-05,45,34.79
2013-04-12,47,35.49
2013-04-19,47,35.82
2013-04-26,44,36
2013-05-03,45,36.55
2013-05-10,44,35.52
2013-05-17,43,36.28
2013-05-24,43,34.53
2013-05-31,49,34.04
2013-06-07,47,34.91
2013-06-14,48,34.1
2013-06-21,45,33.17
2013-06-28,43,34.44
2013-07-05,46,33.66
2013-07-12,48,35.49
2013-07-19,46,36.1
2013-07-26,43,35.95
2013-08-02,44,36.67
2013-08-09,48,35.41
2013-08-16,55,33.63
2013-08-23,48,33.86
2013-08-30,46,33.81
2013-09-06,44,33.15
2013-09-13,43,32.86
2013-09-20,41,34.6
2013-09-27,41,35.01
2013-10-04,40,34.54
2013-10-11,43,35.54
2013-10-18,41,35.88
2013-10-25,43,36.48
2013-11-01,45,36.48
2013-11-08,44,36.41
2013-11-15,47,36.95
2013-11-22,45,36.67
2013-11-29,47,35.85
2013-12-06,50,36.44
2013-12-13,49,35.02
2013-12-20,51,36.15
2013-12-27,46,36
2014-01-03,44,35.4
2014-01-10,49,36.52
2014-01-17,50,36.15
2014-01-24,54,35.91
2014-01-31,50,37.84
2014-02-07,52,37.44
2014-02-14,49,38.63
2014-02-21,47,40.88
2014-02-28,49,40.41
2014-03-07,46,39.89
2014-03-14,48,41.14
2014-03-21,53,40.48
2014-03-28,54,40.8
2014-04-04,51,40.4
2014-04-11,51,40.5
2014-04-25,55,41.52
